,city_name,Country,First Administration,Second Administration,latitude (degree),longitude (degree),elevation (m),dist_to_sea (km),mean_temp (Celsius),mean_solarradiation (W/m2),mean_humidity (%),mean_windspeed (kph),mean_temp_index,mean_humid_index,mean_wind_index,temp_std (Celsius),mean_temp_range (Celsius),mean_abs_temp_diff_1 (Celsius),precip_std (mm),precip_sum (mm),mean_pressure (millibar),pressure_std (millibar),mean_snow_depth (cm),mean_cloud_cover (%),mean_visibility (km),clear_day_num,cloudy_day_num,overcast_day_num,rain_day_num,snow_day_num,temp precip corr,humid radiat corr,humid precip corr,temp radiat corr,pressure_temp_corr,Koppen climate,Color Code,Climate Names,Group,Precipitation Type,Level of Heat,Region,Continent
0,Aberdeen,United Kingdom,Scotland,Aberdeen City,57.1482429,-2.0928095,22.87474251,1.934849019,9.419,171.136,81.597,27.954,0.467219973,0.000382743,0.010231906,4.155,4.898,1.265,4.193,713.225,1011.599,11.922,0.131,46.302,10.5,45,261,25,262,12,-0.02,-0.113,0.219,0.36,0.08,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
1,Belfast,United Kingdom,Northern Ireland,Belfast,54.596391,-5.9301829,4.790583611,2.447202459,10.731,170.776,80.328,23.089,0.572460783,0.000638257,0.020486731,4.545,5.853,1.31,3.744,843.243,1013.287,11.826,0.0,54.188,16.428,20,288,25,296,16,0.034,-0.725,0.32,0.474,0.068,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
2,"Birmingham, UK",United Kingdom,England,West Midlands,52.486243,-1.890401,123.8345718,86.6812302,11.178,184.384,78.99,20.052,0.589398217,0.002121093,0.026650822,5.559,8.093,1.59,3.189,573.974,1015.808,10.28,0.001,55.79,15.605,32,295,27,247,11,-0.039,-0.757,0.365,0.513,-0.024,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
3,Cairn Gorm,United Kingdom,Scotland,Scotland,57.0724694,-3.6093504,969.5418701,56.36520921,6.452,71.562,87.079,39.071,0.223624256,0.000459381,0.007498449,4.599,4.507,1.358,5.623,1578.858,1012.088,12.173,0.475,77.855,35.711,8,219,136,322,89,-0.166,-0.431,0.145,0.533,0.188,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
4,Cardiff,United Kingdom,Wales,Cardiff,51.4816546,-3.1791934,12.04001808,2.855244192,11.748,102.803,80.457,23.599,0.639093535,0.001669367,0.017889813,5.116,6.18,1.288,3.942,845.423,1016.394,10.043,0.001,52.568,17.853,49,279,27,264,12,-0.098,-0.676,0.363,0.584,-0.07,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
5,Edinburgh,United Kingdom,Scotland,Edinburgh,55.9533456,-3.1883749,64.51445007,1.898201062,9.978,143.884,79.539,25.006,0.50887643,0.000818856,0.016549556,4.836,6.982,1.488,4.265,781.643,1012.756,11.804,0.136,64.531,28.418,12,299,45,292,31,-0.017,-0.675,0.351,0.538,0.099,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
6,Liverpool,United Kingdom,England,,53.4071991,-2.99168,14.4782629,0.013231532,11.486,210.218,78.238,27.393,0.622120199,0.001338315,0.013880774,5.027,5.934,1.292,3.039,645.092,1015.111,10.863,0.026,61.728,16.172,19,309,35,265,12,-0.052,-0.727,0.354,0.546,0.005,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
7,London,United Kingdom,England,Greater London,51.5073359,-0.12765,7.596413612,51.50444958,13.005,141.308,72.468,18.883,0.73462486,0.005875526,0.026537702,5.808,7.443,1.447,3.786,523.807,1016.785,9.609,0.003,50.482,16.488,47,283,24,186,1,-0.01,-0.802,0.345,0.622,-0.019,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
8,Plymouth,United Kingdom,England,Plymouth,50.3754565,-4.1426565,26.88327599,0.620966376,12.115,117.029,81.427,29.113,0.674069735,0.001492316,0.010160321,4.571,6.549,1.202,5.142,957.787,1016.519,9.807,0.01,64.337,17.505,36,221,101,261,7,-0.041,-0.652,0.377,0.558,-0.044,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,Northern Europe,Europe
9,Abu Dhabi,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.4538352,54.3774014,1.803915024,1.233745566,29.415,262.481,55.826,22.322,0.562513053,0.018990698,0.016903927,5.502,9.365,0.883,0.671,36.8,1007.745,7.6,0.0,18.557,9.349,224,135,0,27,0,-0.166,-0.417,0.161,0.617,-0.888,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,"Arabian Peninsula, Middle East",Asia
