,Climate Code,Koppen Climate,Description
0,Af,Tropical rainforest climate,average precipitation of at least 60 mm (2.4 in) in every month.
1,Am,Tropical monsoon climate,driest month (which nearly always occurs at or soon after the 'winter' solstice for that side of the equator) with precipitation less than 60 mm (2.4 in) but at least 100âˆ?Total Annual Precipitation (mm)/25)
2,Aw,Tropical wet and dry or savanna climate,with the driest month having precipitation less than 60 mm (2.4 in) and less than 100âˆ?Total Annual Precipitation (mm)/25)
3,BWh,Hot desert climate,"The precipitation threshold (in millimetres) involves first multiplying the average annual temperature in ¡ãC by 20, then adding 280 if 70% or more of the total precipitation is in the high-sun summer half of the year (April through September in the Northern Hemisphere, or October through March in the Southern), or 140 if 30¨C70% of the total precipitation is received during the applicable period, or 0 if less than 30% of the total precipitation is so received there. If the area's annual precipitation is less than half the threshold (50%), it is classified as a BW (desert climate), while 50-100% the threshold results in a semi-arid climate. above the following isotherm most commonly a mean annual temperature of 18 ¡ãC (64.4 ¡ãF), or sometimes the coldest month's mean temperature of 0 or ?3 ¡ãC (32.0 or 26.5 ¡ãF)"
4,BWk,Cold desert climate,"The precipitation threshold (in millimetres) involves first multiplying the average annual temperature in ¡ãC by 20, then adding 280 if 70% or more of the total precipitation is in the high-sun summer half of the year (April through September in the Northern Hemisphere, or October through March in the Southern), or 140 if 30¨C70% of the total precipitation is received during the applicable period, or 0 if less than 30% of the total precipitation is so received there. If the area's annual precipitation is less than half the threshold (50%), it is classified as a BW (desert climate), while 50-100% the threshold results in a semi-arid climate. below the following isotherm most commonly a mean annual temperature of 18 ¡ãC (64.4 ¡ãF), or sometimes the coldest month's mean temperature of 0 or ?3 ¡ãC (32.0 or 26.5 ¡ãF)"
5,BSh,Hot semi-arid climate,"multiply by 20 the average annual temperature in degrees Celsius and then
add 280 if at least 70% of the total precipitation falls in the summer half of the year (April¨CSeptember in the northern hemisphere, October¨CMarch in the southern hemisphere)
add 140 if 30¨C70% of the total precipitation falls in the summer half of the year
add nothing if less than 30% of the total precipitation falls in the summer half of the year
If the area's annual precipitation in millimeters is less than the threshold but more than half or 50% the threshold, it is classified as a BS (steppe or semi-arid climate). above this isotherm either a mean annual temperature of 18 ¡ãC (64.4 ¡ãF), a mean temperature of 0 ¡ãC (32.0 ¡ãF) in the coldest month, or a mean temperature of ?3 ¡ãC (26.5 ¡ãF) in the coldest month."
6,BSk,Cold semi-arid climate,"multiply by 20 the average annual temperature in degrees Celsius and then
add 280 if at least 70% of the total precipitation falls in the summer half of the year (April¨CSeptember in the northern hemisphere, October¨CMarch in the southern hemisphere)
add 140 if 30¨C70% of the total precipitation falls in the summer half of the year
add nothing if less than 30% of the total precipitation falls in the summer half of the year
If the area's annual precipitation in millimeters is less than the threshold but more than half or 50% the threshold, it is classified as a BS (steppe or semi-arid climate). below this isotherm either a mean annual temperature of 18 ¡ãC (64.4 ¡ãF), a mean temperature of 0 ¡ãC (32.0 ¡ãF) in the coldest month, or a mean temperature of ?3 ¡ãC (26.5 ¡ãF) in the coldest month."
7,Cfa,Humid subtropical climate,"coldest month averaging above 0 Â°C (32 Â°F) (or âˆ? Â°C (27 Â°F)), at least one month's average temperature above 22 Â°C (71.6 Â°F), and at least four months averaging above 10 Â°C (50 Â°F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled). No dry months in the summer."
8,Cfb,Temperate oceanic climate or subtropical highland climate,"coldest month averaging above 0 Â°C (32 Â°F) (or âˆ? Â°C (27 Â°F)), all months with average temperatures below 22 Â°C (71.6 Â°F), and at least four months averaging above 10 Â°C (50 Â°F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
9,Cfc,Subpolar oceanic climate,coldest month averaging above 0 Â°C (32 Â°F) (or âˆ? Â°C (27 Â°F)) and 1â€? months averaging above 10 Â°C (50 Â°F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
