date, pm25, pm10, o3, no2
2023/4/2, 47, 20, , 4
2023/4/3, 35, 15, , 5
2023/4/4, 24, 22, , 7
2023/4/5, 53, 21, , 8
2023/4/6, 58, 13, , 16
2023/4/7, 30, 21, , 16
2023/4/8, 37, 25, , 7
2023/4/9, 53, 25, , 2
2023/4/10, 61, 19, , 5
2023/4/11, 42, 6, , 13
2023/4/12, 8, , , 
2023/1/3, 21, 10, , 7
2023/1/4, 24, 4, , 12
2023/1/5, 12, 7, , 13
2023/1/6, 17, 5, , 6
2023/1/7, 13, 11, , 5
2023/1/8, 25, 13, , 2
2023/1/9, 30, 5, , 14
2023/1/10, 15, 7, , 8
2023/1/11, 17, 3, , 4
2023/1/12, 7, 6, , 14
2023/1/13, 13, 5, , 14
2023/1/14, 16, 5, , 7
2023/1/15, 13, 4, , 7
2023/1/16, 9, 5, , 11
2023/1/17, 10, 2, , 9
2023/1/18, 5, 8, , 11
2023/1/19, 18, 5, , 9
2023/1/20, 14, 11, , 14
2023/1/21, 28, 6, , 5
2023/1/22, 16, 11, , 3
2023/1/23, 32, 8, , 7
2023/1/24, 27, 4, , 13
2023/1/25, 11, 7, , 8
2023/1/26, 14, 9, , 15
2023/1/27, 21, 6, , 13
2023/1/28, 21, 8, , 16
2023/1/29, 25, 4, , 7
2023/1/30, 11, 12, , 8
2023/1/31, 20, 4, , 7
2023/2/1, 11, 9, , 10
2023/2/2, 18, 3, , 9
2023/2/3, 6, 18, , 14
2023/2/4, 37, 6, , 7
2023/2/5, 15, 12, , 10
2023/2/6, 23, 8, , 12
2023/2/7, 24, 11, , 20
2023/2/8, 33, 7, , 4
2023/2/9, 19, 9, , 8
2023/2/10, 17, 5, , 5
2023/2/11, 8, 11, , 14
2023/2/12, 14, 6, , 4
2023/2/13, 16, 17, , 7
2023/2/14, 48, 26, , 7
2023/2/15, 74, 18, , 6
2023/2/16, 41, 9, , 13
2023/2/17, 18, 6, , 5
2023/2/18, 12, 8, , 14
2023/2/19, 16, 3, , 3
2023/2/20, 8, 9, , 11
2023/2/21, 16, 8, , 10
2023/2/22, 13, 9, , 12
2023/2/23, 17, 10, , 9
2023/2/24, 16, 18, , 14
2023/2/25, 29, 18, , 16
2023/2/26, 28, 24, , 15
2023/2/27, 34, 30, , 17
2023/2/28, 37, 6, , 17
2023/3/1, 14, 8, , 19
2023/3/2, 18, 16, , 19
2023/3/3, 32, 18, , 16
2023/3/4, 25, 8, , 17
2023/3/5, 18, 16, , 11
2023/3/6, 22, 6, , 13
2023/3/7, 12, 5, , 11
2023/3/8, 10, 17, , 15
2023/3/9, 18, 42, , 15
2023/3/10, 38, 30, , 15
2023/3/11, 30, 31, , 12
2023/3/12, 27, 12, , 11
2023/3/13, 25, 13, , 17
2023/3/14, 28, 22, , 12
2023/3/15, 25, 18, , 12
2023/3/16, 21, 7, , 6
2023/3/17, 20, 8, , 8
2023/3/18, 18, 11, , 16
2023/3/19, 33, 7, , 9
2023/3/20, 14, 8, , 9
2023/3/21, 17, 9, , 6
2023/3/22, 20, 13, , 2
2023/3/23, 28, 10, , 6
2023/3/24, 17, 11, , 16
2023/3/25, 25, 18, , 15
2023/3/26, 32, 14, , 11
2023/3/27, 21, 19, , 10
2023/3/28, 21, 14, , 10
2023/3/29, 33, 17, , 13
2023/3/30, 52, 18, , 16
2023/3/31, 34, 27, , 28
2023/4/1, 47, 31, , 28
2022/10/2, 14, 4, , 7
2022/10/3, 10, 8, , 5
2022/10/4, 16, 8, , 9
2022/10/5, 14, 4, , 8
2022/10/6, 8, 6, , 4
2022/10/7, 14, 5, , 6
2022/10/8, 11, 5, , 9
2022/10/9, 10, 11, , 2
2022/10/10, 22, 7, , 8
2022/10/11, 15, 6, , 7
2022/10/12, 12, 7, , 8
2022/10/13, 16, 9, , 8
2022/10/14, 19, 7, , 11
