date, pm25, pm10, o3, no2, so2
2023/4/2, 98, 67, 25, 3, 5
2023/4/3, 59, 61, 25, 4, 5
2023/4/4, 49, 57, 25, 8, 5
2023/4/5, 64, 62, 40, 17, 6
2023/4/6, 80, 59, 28, 17, 6
2023/4/11, 94, , , , 
2023/1/3, 85, 56, , 13, 4
2023/1/4, 63, 55, 17, 17, 4
2023/1/5, 62, 72, 16, 20, 5
2023/1/6, 80, 87, 17, 15, 4
2023/1/7, 75, 62, 12, 10, 6
2023/1/8, 46, 41, 17, 11, 6
2023/1/9, 52, 50, 17, 19, 8
2023/1/10, 81, 66, 15, 13, 6
2023/1/11, 100, 69, 17, 4, 8
2023/1/12, 71, 55, 17, 10, 9
2023/1/13, 75, 63, 16, 10, 6
2023/1/14, 61, 62, 14, 13, 7
2023/1/15, 54, 57, 15, 15, 8
2023/1/16, 60, 53, 6, 18, 7
2023/1/17, 61, 54, , 18, 9
2023/1/18, 102, 66, 19, 7, 9
2023/1/19, 95, 59, 18, 5, 10
2023/1/20, 45, 56, 20, 13, 6
2023/1/21, 19, 51, 19, 12, 7
2023/1/22, 16, 49, 23, 11, 8
2023/1/23, 14, 49, 13, 21, 6
2023/1/24, 14, 62, , 17, 6
2023/1/25, 16, 60, 17, 11, 5
2023/1/26, 12, 62, 16, 10, 6
2023/1/27, 16, 54, 16, 8, 7
2023/1/28, 19, 42, 20, 7, 8
2023/1/29, 16, 46, 19, 7, 12
2023/1/30, 15, 59, 23, 15, 9
2023/1/31, 27, 60, 17, 17, 7
2023/2/1, 72, 68, 14, 17, 8
2023/2/2, 62, 100, 17, 14, 7
2023/2/3, 64, 90, 21, 15, 5
2023/2/4, 68, 76, 20, 4, 7
2023/2/5, 50, 65, 19, 6, 8
2023/2/6, 56, 66, 13, 16, 7
2023/2/7, 72, 89, 12, 17, 6
2023/2/8, 93, 101, 19, 11, 6
2023/2/9, 91, 83, 19, 2, 6
2023/2/10, 60, 71, 21, 1, 8
2023/2/11, 49, 49, 17, 5, 6
2023/2/12, 51, 51, 25, 15, 8
2023/2/13, 81, 69, 11, 19, 10
2023/2/14, 69, 75, 13, 15, 7
2023/2/15, 72, 91, 14, 16, 5
2023/2/16, 91, 107, 17, 11, 6
2023/2/17, 70, 74, 19, 3, 5
2023/2/18, 76, 65, 20, 1, 8
2023/2/19, 61, 65, 23, 1, 11
2023/2/20, 60, 54, 24, 2, 8
2023/2/21, 64, 53, 17, 4, 11
2023/2/22, 65, 52, , 12, 14
2023/3/3, 104, 62, 26, 5, 7
2023/3/4, 111, 60, 22, 7, 8
2023/3/5, 101, 64, 20, 11, 9
2023/3/6, 141, 74, 6, 18, 14
2023/3/7, 140, 84, , 21, 13
2023/3/8, 145, 88, 33, 18, 10
2023/3/9, 154, 96, 13, 17, 6
2023/3/10, 109, 114, 12, 10, 5
2023/3/11, 87, 89, 16, 16, 6
2023/3/12, 81, 64, 18, 15, 7
2023/3/13, 83, 68, 16, 14, 6
2023/3/14, 85, 71, 19, 6, 6
2023/3/15, 79, 57, 13, 7, 5
2023/3/16, 85, 54, , 12, 9
2023/3/27, 87, 142, 13, 12, 6
2023/3/28, 117, 306, 21, 8, 6
2023/3/29, 70, 78, 26, 3, 5
2023/3/30, 67, 66, 28, 6, 6
2023/3/31, 88, 62, 27, 11, 6
2023/4/1, 101, 63, 23, 12, 7
2022/10/5, 109, 115, , 9, 3
2022/10/12, 125, 56, , 10, 3
2022/10/13, 139, 57, , 10, 3
2022/10/14, 110, 62, , 15, 3
2022/10/15, 93, 64, , 16, 3
2022/10/16, 96, 57, , 15, 4
2022/10/17, 97, 53, , 11, 4
2022/10/18, 106, 50, , 13, 2
2022/10/19, 131, 58, , 9, 4
2022/10/20, 102, 54, , 9, 4
2022/10/21, 110, 50, , 15, 4
2022/10/22, 113, 38, , 11, 3
2022/10/23, 115, 50, , 14, 1
2022/10/24, 108, 57, , 14, 
2022/10/25, 97, 47, , 13, 
2022/10/26, 98, 52, 18, 16, 3
2022/10/27, 119, 53, 24, 13, 5
2022/10/28, 122, 53, 22, 13, 6
2022/10/29, 145, 58, 22, 12, 10
2022/10/30, 141, 60, 30, 15, 5
2022/10/31, 141, 60, 23, 11, 5
2022/11/1, 148, 62, 21, 15, 7
2022/11/2, 156, 62, 16, 17, 7
2022/11/3, 134, 63, 20, 17, 6
2022/11/4, 128, 59, 13, 21, 6
2022/11/5, 93, 64, , 20, 5
2022/11/6, 98, 67, , 17, 4
2022/11/7, 77, 47, , 8, 5
2022/11/8, 99, 40, , 18, 6
2022/11/9, 90, 50, , 16, 4
2022/11/10, 114, 81, , 15, 4
2022/11/11, 90, 104, , 17, 5
2022/11/12, 89, 60, , 17, 4
2022/11/13, 95, 64, , 14, 5
2022/11/14, 102, 56, , 9, 3
2022/11/15, 68, 42, , 4, 4
2022/11/16, 57, 26, , 9, 3
2022/11/17, 70, 35, , 12, 3
2022/11/18, 103, 40, , 15, 6
2022/11/19, 105, 59, , 22, 4
2022/11/20, 103, 57, , 14, 5
2022/11/21, 76, 52, , 3, 3
2022/11/22, 68, 33, , 5, 4
2022/11/23, 98, 32, , 12, 5
2022/11/24, 79, 64, , 20, 3
2022/11/25, 82, 50, , 16, 4
2022/11/26, 88, 41, , 16, 7
2022/11/27, 79, 40, , 20, 3
2022/11/28, 81, 37, , 8, 5
2022/11/29, 91, 48, , 6, 6
2022/11/30, 109, 51, , 17, 5
