date, pm25
2023/4/2, 53
2023/4/3, 50
2023/4/4, 44
2023/4/5, 52
2023/4/6, 48
2023/4/7, 47
2023/4/8, 49
2023/4/9, 52
2023/4/10, 50
2023/4/11, 55
2023/4/12, 61
2023/1/3, 62
2023/1/4, 63
2023/1/5, 59
2023/1/6, 51
2023/1/7, 59
2023/1/8, 59
2023/1/9, 56
2023/1/10, 51
2023/1/11, 52
2023/1/12, 54
2023/1/13, 53
2023/1/14, 54
2023/1/15, 57
2023/1/16, 53
2023/1/17, 52
2023/1/18, 52
2023/1/19, 51
2023/1/20, 49
2023/1/21, 53
2023/1/22, 51
2023/1/23, 55
2023/1/24, 58
2023/1/25, 52
2023/1/26, 50
2023/1/27, 52
2023/1/28, 49
2023/1/29, 53
2023/1/30, 47
2023/1/31, 54
2023/2/1, 57
2023/2/2, 59
2023/2/3, 54
2023/2/4, 56
2023/2/5, 56
2023/2/6, 57
2023/2/7, 52
2023/2/8, 58
2023/2/9, 57
2023/2/10, 49
2023/2/11, 50
2023/2/12, 51
2023/2/13, 59
2023/2/14, 57
2023/2/15, 58
2023/2/16, 56
2023/2/17, 57
2023/2/18, 59
2023/2/19, 61
2023/2/20, 64
2023/2/21, 65
2023/2/22, 66
2023/2/23, 70
2023/2/24, 77
2023/2/25, 71
2023/2/26, 49
2023/2/27, 44
2023/2/28, 52
2023/3/1, 52
2023/3/2, 50
2023/3/3, 53
2023/3/4, 49
2023/3/5, 52
2023/3/6, 58
2023/3/7, 54
2023/3/8, 49
2023/3/9, 49
2023/3/10, 54
2023/3/11, 52
2023/3/12, 52
2023/3/13, 53
2023/3/14, 60
2023/3/15, 53
2023/3/16, 48
2023/3/17, 53
2023/3/18, 58
2023/3/19, 55
2023/3/20, 53
2023/3/21, 52
2023/3/22, 50
2023/3/23, 57
2023/3/24, 58
2023/3/25, 56
2023/3/26, 56
2023/3/27, 54
2023/3/28, 47
2023/3/29, 50
2023/3/30, 57
2023/3/31, 56
2023/4/1, 52
2022/10/11, 55
2022/11/4, 72
2022/11/5, 64
2022/11/6, 45
2022/11/7, 67
2022/11/8, 76
2022/11/9, 82
2022/11/10, 76
2022/11/11, 58
2022/11/12, 64
2022/11/13, 60
2022/11/14, 68
2022/11/15, 70
2022/11/16, 67
2022/11/17, 53
2022/11/18, 45
2022/11/19, 36
2022/11/20, 32
2022/11/29, 60
2022/11/30, 54
2022/12/1, 57
2022/12/2, 63
2022/12/3, 65
2022/12/4, 58
2022/12/5, 61
2022/12/6, 68
2022/12/7, 115
2022/12/8, 52
2022/12/9, 70
2022/12/10, 134
2022/12/11, 47
2022/12/12, 49
2022/12/13, 54
2022/12/14, 52
2022/12/15, 51
2022/12/16, 48
2022/12/17, 48
2022/12/18, 52
2022/12/19, 57
2022/12/20, 57
2022/12/21, 61
