date, pm25, pm10, o3, no2, so2
2021/10/25, 72, 21, 16, 3, 1
2021/10/26, 76, 23, 16, 5, 2
2021/10/27, 80, , 18, 5, 2
2021/10/28, 76, , 16, 5, 2
2021/10/29, 101, , 12, 13, 3
2021/10/30, 95, , 14, 8, 2
2021/10/31, 102, , 15, 5, 2
2021/11/1, 94, , 8, 8, 2
2021/11/2, 105, 35, 7, 5, 2
2021/11/3, 111, 23, 16, 3, 1
2023/4/2, , 25, 12, 5, 3
2023/4/3, , 24, 11, 6, 3
2023/4/4, , 26, 12, 5, 3
2023/4/5, , 22, 15, 4, 3
2023/4/6, , 27, 14, 4, 3
2023/4/7, , 24, 14, 5, 3
2023/4/8, , 27, 13, 5, 3
2023/4/9, , 33, 13, 5, 3
2023/4/10, , 33, 11, 5, 3
2023/4/11, , 28, 10, 5, 3
2023/4/12, , 25, , , 
2023/1/3, , 29, 10, 5, 3
2023/1/4, , 35, 8, 5, 2
2023/1/5, , 31, 11, 5, 3
2023/1/6, , 29, 10, 4, 2
2023/1/7, , 26, 10, 5, 2
2023/1/8, , 27, 7, 6, 3
2023/1/9, , 27, 7, 5, 3
2023/1/10, , 28, 9, 5, 3
2023/1/11, , 27, 9, 6, 3
2023/1/12, , 28, 11, 5, 3
2023/1/13, , 25, 12, 5, 3
2023/1/14, , 30, 9, 5, 2
2023/1/15, , 26, 11, 5, 2
2023/1/16, , 30, 10, 6, 3
2023/1/17, , 33, 10, 5, 3
2023/1/18, , 29, 8, 7, 3
2023/1/19, , 34, 9, 5, 3
2023/1/20, , 30, 11, 5, 3
2023/1/21, , 24, 7, 7, 3
2023/1/22, , 32, 7, 6, 3
2023/1/23, , 34, 9, 6, 3
2023/1/24, , 41, 10, 6, 3
2023/1/25, , 41, 12, 6, 3
2023/1/26, , 42, 13, 6, 3
2023/1/27, , 40, 10, 5, 3
2023/1/28, , 43, 12, 5, 3
2023/1/29, , 34, 11, 5, 3
2023/1/30, , 29, 13, 5, 3
2023/1/31, , 23, 13, 4, 2
2023/2/1, , 19, 12, 4, 2
2023/2/2, , 27, 11, 4, 2
2023/2/3, , 23, 10, 5, 3
2023/2/4, , 28, 12, 5, 3
2023/2/5, , 28, 13, 4, 3
2023/2/6, , 28, 11, 4, 3
2023/2/7, , 51, 10, 4, 2
2023/2/8, , 16, 10, 4, 3
2023/2/9, , 21, 10, 5, 3
2023/2/10, , 31, 10, 5, 3
2023/2/11, , 28, 10, 5, 3
2023/2/12, , 31, 11, 5, 3
2023/2/13, , 31, 11, 6, 3
2023/2/14, , 33, 9, 6, 3
2023/2/15, , 31, 13, 5, 3
2023/2/16, , 31, 10, 6, 3
2023/2/17, , 32, 12, 6, 3
2023/2/18, , 33, 12, 6, 3
2023/2/19, , 31, 10, 6, 3
2023/2/20, , 29, 10, 6, 3
2023/2/21, , 32, 12, 5, 3
2023/2/22, , 26, 12, 6, 3
2023/2/23, , 28, 12, 5, 3
2023/2/24, , 24, 12, 5, 3
2023/2/25, , 27, 13, 5, 3
2023/2/26, , 30, 10, 6, 3
2023/2/27, , 38, 13, 6, 3
2023/2/28, , 42, 13, 5, 3
2023/3/1, , 39, 13, 6, 3
2023/3/2, , 38, 13, 7, 3
2023/3/3, , 37, 19, 5, 3
2023/3/4, , 38, 13, 5, 3
2023/3/5, , 32, 9, 5, 3
2023/3/6, , 32, 14, 5, 3
2023/3/7, , 32, 13, 5, 3
2023/3/8, , 22, 15, 5, 3
2023/3/9, , 23, 15, 4, 3
2023/3/10, , 23, 14, 5, 3
2023/3/11, , 24, 13, 6, 3
2023/3/12, , 24, 17, 6, 3
2023/3/13, , 26, 13, 5, 3
2023/3/14, , 32, 10, 5, 3
2023/3/15, , 29, 12, 4, 3
2023/3/16, , 21, 14, 5, 3
2023/3/17, , 26, 13, 6, 3
2023/3/18, , 27, 14, 5, 3
2023/3/19, , 26, 13, 4, 3
2023/3/20, , 21, 13, 4, 3
2023/3/21, , 20, 10, 5, 3
2023/3/22, , 22, 11, 5, 3
2023/3/23, , 24, 6, 6, 3
2023/3/24, , 25, 11, 5, 3
2023/3/25, , 26, 9, 5, 3
2023/3/26, , 29, 12, 4, 3
2023/3/27, , 28, 13, 4, 3
2023/3/28, , 26, 15, 4, 3
2023/3/29, , 31, 15, 4, 3
2023/3/30, , 24, 15, 4, 3
2023/3/31, , 22, 15, 4, 3
2023/4/1, , 22, 15, 4, 3
2022/10/2, , 20, 18, 1, 2
2022/10/3, , 18, 16, 2, 2
2022/10/4, , 21, 17, 3, 2
2022/10/5, , 26, 18, 2, 2
2022/10/6, , 24, 17, 2, 2
2022/10/7, , 19, 16, 1, 2
2022/10/8, , 17, 17, , 2
2022/10/9, , 13, 17, 1, 2
2022/10/10, , 14, 17, 2, 2
2022/10/11, , 14, 19, 2, 2
2022/10/12, , 17, 20, 2, 2
2022/10/13, , 19, 16, 1, 2
2022/10/14, , 15, 15, , 2
2022/10/15, , 16, 16, 2, 2
2022/10/16, , 18, 16, 5, 2
2022/10/17, , 22, 21, 5, 2
2022/10/18, , 24, 17, 2, 2
2022/10/19, , 14, 19, 4, 2
2022/10/20, , 20, 18, 2, 2
2022/10/21, , 16, 12, 3, 2
2022/10/22, , 15, 14, 1, 2
2022/10/23, , 21, 15, 3, 2
2022/10/24, , 24, 16, 2, 2
2022/10/25, , 22, 15, 3, 2
2022/10/26, , 26, 13, 4, 2
2022/10/27, , 23, 16, 2, 2
2022/10/28, , 22, 16, 4, 2
2022/10/29, , 24, 12, 4, 2
2022/10/30, , 28, 16, 2, 2
2022/10/31, , 30, 16, 1, 2
2022/11/1, , 25, 16, 1, 2
2022/11/2, , 17, 15, 1, 2
2022/11/3, , 16, 16, 1, 2
2022/11/4, , 18, 16, 2, 2
2022/11/5, , 18, 13, 4, 2
2022/11/6, , 20, 12, 4, 2
2022/11/7, , 30, 16, 2, 2
2022/11/8, , 21, 12, , 2
2022/11/9, , 14, 11, , 2
2022/11/10, , 9, 10, 1, 2
2022/11/11, , 17, 11, 1, 2
2022/11/12, , 15, 11, 1, 2
2022/11/13, , 26, 9, 1, 2
2022/11/14, , 26, 6, 1, 2
2022/11/15, , 24, 15, 1, 2
2022/11/16, , 24, 13, , 2
2022/11/17, , 15, 13, , 2
2022/11/18, , 13, 12, 2, 2
2022/11/19, , 18, 9, 2, 2
2022/11/20, , 16, 10, 1, 2
2022/11/21, , 13, 11, 1, 2
2022/11/22, , 16, 13, 1, 2
2022/11/23, , 20, 8, 2, 2
2022/11/24, , 17, 10, 1, 2
2022/11/25, , 17, 13, , 2
2022/11/26, , 12, 13, , 2
2022/11/27, , 8, 7, 2, 2
2022/11/28, , 13, 9, 1, 2
2022/11/29, , 21, 8, 1, 2
2022/11/30, , 28, 13, 1, 2
2022/12/1, , 20, 11, 3, 2
2022/12/2, , 20, 11, 2, 2
2022/12/3, , 12, 9, 3, 2
2022/12/4, , 14, 9, 3, 2
2022/12/5, , 14, 11, 2, 2
2022/12/6, , 19, 12, 1, 2
2022/12/7, , 15, 6, 2, 2
2022/12/8, , 9, 8, 3, 3
2022/12/12, , 9, , 2, 3
2022/12/13, , 14, 6, 2, 2
2022/12/14, , 24, 11, 2, 3
2022/12/15, , 27, 10, 2, 2
2022/12/16, , 19, 9, 3, 3
2022/12/17, , 21, 7, 2, 3
2022/12/18, , 14, 8, 1, 3
2022/12/19, , 15, 8, 5, 3
2022/12/20, , 14, 7, 5, 3
2022/12/21, , 16, 12, 5, 3
2022/12/22, , 17, 7, 6, 2
2022/12/23, , 21, 8, 5, 2
2022/12/24, , 33, 10, 5, 2
2022/12/25, , 21, 12, 5, 2
2022/12/26, , 13, 10, 4, 2
2022/12/27, , 20, 10, 5, 2
2022/12/28, , 24, 10, 5, 2
2022/12/29, , 26, 5, 6, 3
2022/12/30, , 32, 11, 5, 2
2022/12/31, , 28, 10, 5, 3
2023/1/1, , 30, 10, 5, 3
2023/1/2, , 27, 10, 5, 2
2022/7/2, , 13, 18, , 2
2022/7/3, , 16, 20, 1, 2
2022/7/4, , 17, 20, 1, 2
2022/7/5, , 15, 21, 1, 2
2022/7/6, , 14, 21, 1, 2
2022/7/7, , 14, 21, 1, 2
2022/7/8, , 15, 23, 1, 2
2022/7/9, , 14, 22, 1, 2
2022/7/10, , 14, 19, , 2
2022/7/11, , 17, 19, , 2
2022/7/12, , 14, 20, 1, 2
2022/7/13, , 15, 19, , 2
2022/7/14, , 16, 19, 1, 2
2022/7/15, , 15, 19, , 2
2022/7/16, , 15, 19, 1, 2
2022/7/17, , 14, 21, 1, 2
2022/7/18, , 15, 20, 1, 2
2022/7/19, , 15, 20, 1, 2
2022/7/20, , 14, 20, 1, 2
2022/7/21, , 14, 21, 1, 2
2022/7/22, , 14, 20, , 2
2022/7/23, , 14, 19, 1, 2
2022/7/24, , 13, 21, 1, 2
2022/7/25, , 13, 22, 1, 2
2022/7/26, , 13, 23, 1, 2
2022/7/27, , 11, 24, 2, 2
2022/7/28, , 12, 23, 2, 2
2022/7/29, , 16, 24, 1, 2
2022/7/30, , 13, 22, 1, 2
2022/7/31, , 16, 22, 1, 2
2022/8/1, , 16, 23, 1, 2
2022/8/2, , 19, 23, 1, 2
2022/8/3, , 17, 23, 2, 2
2022/8/4, , 17, 20, 2, 2
2022/8/5, , 20, 19, 1, 2
2022/8/6, , 18, 18, 1, 2
2022/8/7, , 17, 20, 1, 2
2022/8/8, , 20, 22, 1, 2
2022/8/9, , 18, 21, 1, 1
2022/8/10, , 18, 20, 1, 2
2022/8/11, , 20, 20, 1, 2
2022/8/12, , 18, 21, 1, 2
2022/8/13, , 16, 19, 1, 2
2022/8/14, , 17, 21, 1, 2
2022/8/15, , 17, 19, 1, 2
2022/8/16, , 14, 20, 2, 2
2022/8/17, , 45, 19, 2, 2
2022/8/18, , 30, 21, 2, 2
