date, pm25, pm10, o3, no2, so2
2023/4/2, 41, 7, 34, 2, 
2023/4/3, 21, 11, 30, 6, 
2023/4/4, 22, 20, 29, 9, 
2023/4/5, 32, 19, 31, 11, 
2023/4/6, 33, 12, 28, 10, 
2023/4/7, 32, 12, 32, 7, 
2023/4/8, 33, 10, 33, 7, 
2023/4/9, 33, 18, 33, 7, 
2023/4/10, 43, 26, 36, 7, 
2023/4/11, 55, 30, 33, 7, 
2023/4/12, 55, , , , 
2023/1/3, 60, 10, 6, 14, 
2023/1/4, 38, 19, 5, 16, 
2023/1/5, 45, 20, 3, 19, 
2023/1/6, 46, 14, 4, 18, 
2023/1/7, 39, 17, 4, 20, 
2023/1/8, 37, 11, 11, 15, 
2023/1/9, 37, 13, 18, 15, 
2023/1/10, 40, 31, 16, 19, 
2023/1/11, 51, 27, 13, 17, 
2023/1/12, 46, 37, 14, 22, 1
2023/1/13, 51, 35, 4, 22, 
2023/1/14, 58, 23, 7, 21, 
2023/1/15, 43, 10, 21, 12, 
2023/1/16, 27, 15, 11, 18, 
2023/1/17, 43, 13, 21, 16, 
2023/1/18, 43, 12, 21, 11, 
2023/1/19, 33, 10, 23, 10, 
2023/1/20, 31, 10, 23, 11, 
2023/1/21, 36, 9, 24, 6, 
2023/1/22, 26, 7, 29, 3, 
2023/1/23, 20, 18, 23, 12, 
2023/1/24, 38, 27, 13, 21, 
2023/1/25, 52, 21, 19, 19, 
2023/1/26, 36, 26, 24, 21, 
2023/1/27, 38, 11, 24, 9, 
2023/1/28, 24, , , , 
2023/2/8, 43, 16, 18, 15, 
2023/2/9, 35, 16, 18, 13, 
2023/2/10, 40, 33, 14, 22, 
2023/2/11, 50, 27, 17, 22, 
2023/2/12, 44, 21, 18, 20, 
2023/2/13, 38, 35, 14, 22, 
2023/2/14, 48, 29, 21, 21, 
2023/2/15, 42, 28, 15, 21, 
2023/2/16, 42, 27, 19, 18, 
2023/2/17, 41, 31, 14, 23, 
2023/2/18, 47, 22, 17, 18, 
2023/2/19, 41, 21, 17, 17, 
2023/2/20, 39, 16, 19, 15, 
2023/2/21, 35, 41, 25, 16, 
2023/2/22, 59, 37, 13, 15, 
2023/2/23, 72, 16, 11, 17, 
2023/2/24, 45, 11, 22, 12, 
2023/2/25, 29, 10, 20, 10, 
2023/2/26, 23, , , , 
2023/3/8, 39, , , , 
2023/3/10, 39, 6, 6, 10, 
2023/3/11, 30, , , , 
2023/3/15, 38, 15, 24, 11, 
2023/3/16, 31, 24, 24, 13, 
2023/3/17, 37, 28, 30, 13, 
2023/3/18, 41, , 25, 9, 
2023/3/21, 18, 23, 20, 9, 
2023/3/22, 28, 28, 25, 13, 
2023/3/23, 45, 26, 29, 12, 
2023/3/24, 41, 27, 25, 10, 
2023/3/25, 36, 13, 30, 8, 
2023/3/26, 27, 9, 34, 6, 
2023/3/27, 20, 10, 35, 6, 
2023/3/28, 17, 22, 25, 10, 
2023/3/29, 39, 33, 24, 11, 
2023/3/30, 54, 33, 32, 11, 
2023/3/31, 55, 21, 27, 10, 
2023/4/1, 43, 13, 36, 5, 
2022/10/2, 34, 12, 17, 6, 
2022/10/3, 32, 22, 14, 9, 
2022/10/4, 41, 24, 21, 10, 
2022/10/5, 44, 24, 26, 9, 
2022/10/6, 49, 52, 24, 9, 
2022/10/7, 73, 44, 15, 10, 
2022/10/8, 82, 40, 25, 9, 
2022/10/9, 139, 31, 21, 5, 
2022/10/10, 95, 27, 17, 8, 
2022/10/11, 61, 28, 15, 10, 
2022/10/12, 58, 24, 18, 9, 
2022/10/13, 55, 20, 17, 8, 
2022/10/14, 49, 22, 14, 10, 
2022/10/15, 43, 14, 18, 7, 
2022/10/16, 37, 20, 27, 7, 
2022/10/17, 47, 35, 26, 10, 
2022/10/18, 61, 40, , , 
2022/10/19, 64, 48, , , 
2022/10/20, 77, 28, 17, , 
2022/10/21, 61, 22, 22, 12, 
2022/10/22, 49, 10, 20, 8, 
2022/10/23, 31, 35, 18, 9, 
2022/10/24, 67, 18, 13, 12, 
2022/10/25, 41, 31, 16, 12, 
2022/10/26, 51, 43, 8, 18, 
2022/10/27, 74, 40, 6, 17, 
2022/10/28, 71, 38, 5, 16, 
2022/10/29, 66, 28, 9, 15, 
2022/10/30, 59, 15, 12, 13, 
2022/10/31, 43, 40, 12, 14, 
2022/11/1, 70, 9, 6, 10, 
2022/11/2, 31, 13, 6, 13, 
2022/11/3, 36, 16, 15, 12, 
2022/11/4, 39, 8, 26, 10, 
2022/11/5, 23, 13, 24, 11, 
2022/11/6, 35, 11, 10, 13, 
2022/11/7, 35, 19, 8, 16, 
2022/11/8, 39, 22, 11, 15, 
2022/11/9, 44, 17, 12, 12, 
2022/11/10, 38, 15, 13, 13, 
2022/11/11, 34, 23, 6, 17, 
2022/11/12, 49, 22, 9, 13, 
2022/11/13, 53, 20, 9, 13, 
2022/11/14, 49, 26, 12, 13, 
2022/11/15, 50, 14, 10, 11, 
2022/11/16, 34, 15, 9, 14, 
2022/11/17, 32, 20, 16, 12, 
2022/11/18, 36, 12, 14, 13, 
2022/11/19, 27, 8, 25, 9, 
2022/11/20, 23, 9, 22, 11, 
2022/11/21, 29, 13, 20, 15, 
2022/11/22, 31, 11, 24, 13, 
2022/11/23, 32, 20, 9, 14, 
