date, pm25
2023/4/2, 55
2023/4/3, 31
2023/4/4, 39
2023/4/5, 37
2023/4/6, 42
2023/4/7, 58
2023/4/8, 70
2023/4/9, 65
2023/4/10, 98
2023/4/11, 67
2023/4/12, 89
2023/1/3, 57
2023/1/4, 43
2023/1/5, 54
2023/1/6, 62
2023/1/7, 76
2023/1/8, 47
2023/1/9, 58
2023/1/10, 34
2023/1/11, 51
2023/1/12, 51
2023/1/13, 71
2023/1/14, 88
2023/1/15, 78
2023/1/16, 112
2023/1/17, 143
2023/1/18, 158
2023/1/19, 169
2023/1/20, 171
2023/1/21, 172
2023/1/22, 156
2023/1/23, 98
2023/1/24, 94
2023/1/25, 64
2023/1/26, 64
2023/1/27, 55
2023/1/28, 62
2023/1/29, 104
2023/1/30, 167
2023/1/31, 144
2023/2/1, 115
2023/2/2, 109
2023/2/3, 81
2023/2/4, 98
2023/2/5, 74
2023/2/6, 78
2023/2/7, 72
2023/2/8, 80
2023/2/9, 84
2023/2/10, 35
2023/2/11, 58
2023/2/12, 58
2023/2/13, 91
2023/2/14, 98
2023/2/15, 80
2023/2/16, 94
2023/2/17, 103
2023/2/22, 76
2023/2/23, 123
2023/2/24, 73
2023/2/25, 62
2023/2/26, 47
2023/2/27, 91
2023/2/28, 89
2023/3/1, 76
2023/3/2, 73
2023/3/3, 72
2023/3/4, 72
2023/3/5, 97
2023/3/6, 83
2023/3/7, 85
2023/3/8, 103
2023/3/9, 48
2023/3/10, 75
2023/3/11, 87
2023/3/12, 62
2023/3/13, 72
2023/3/14, 84
2023/3/15, 68
2023/3/16, 79
2023/3/17, 91
2023/3/18, 95
2023/3/19, 52
2023/3/20, 37
2023/3/21, 48
2023/3/22, 52
2023/3/23, 59
2023/3/24, 45
2023/3/25, 41
2023/3/26, 44
2023/3/27, 56
2023/3/28, 66
2023/3/29, 52
2023/3/30, 57
2023/3/31, 48
2023/4/1, 67
2022/10/2, 55
2022/10/3, 57
2022/10/4, 73
2022/10/5, 78
2022/10/6, 72
2022/10/7, 78
2022/10/8, 80
2022/10/9, 84
2022/10/10, 84
2022/10/11, 75
2022/10/12, 86
2022/10/13, 105
2022/10/14, 78
2022/10/15, 78
2022/10/16, 96
2022/10/17, 79
2022/10/18, 69
2022/10/19, 68
2022/10/20, 45
2022/10/21, 87
2022/10/22, 85
2022/10/23, 87
2022/10/24, 44
2022/10/25, 66
2022/10/26, 73
2022/10/27, 45
2022/10/28, 71
2022/10/29, 91
2022/10/30, 61
2022/10/31, 39
2022/11/1, 73
2022/11/2, 68
2022/11/3, 41
2022/11/4, 64
2022/11/5, 46
2022/11/6, 63
2022/11/7, 44
2022/11/8, 24
2022/11/9, 31
2022/11/10, 58
2022/11/11, 83
2022/11/12, 77
2022/11/13, 83
2022/11/14, 98
2022/11/15, 42
2022/11/16, 49
2022/11/17, 48
