date, pm25, o3, no2, so2, co
2023/4/4, 72, 30, 2, , 
2023/4/5, 75, 29, 2, , 
2023/4/6, 48, 37, 1, , 
2023/4/7, 26, 23, 3, , 
2023/4/8, 27, 19, 3, , 
2023/4/9, 35, 23, 1, , 
2023/4/10, 25, 17, , , 
2023/1/3, 70, 33, 1, , 
2023/1/4, 47, 35, 4, , 
2023/1/5, 19, 27, 10, 1, 
2023/1/6, 28, 38, 8, , 
2023/1/7, 36, 27, 3, , 
2023/1/8, 33, 34, 4, , 
2023/1/9, 26, 38, 9, , 
2023/1/10, 38, 38, 3, , 
2023/1/11, 40, 27, 5, , 
2023/1/12, 51, 34, 1, , 
2023/1/13, 20, 32, 6, , 
2023/1/14, 30, 37, 6, , 
2023/1/15, 32, 37, 3, , 
2023/1/16, 28, 33, 2, , 
2023/1/17, 39, 35, 4, , 
2023/1/18, 53, 37, 1, , 
2023/1/19, 41, 30, 3, , 
2023/1/20, 19, 24, 5, , 
2023/1/21, 21, 23, 4, , 
2023/1/22, 36, 33, 3, , 
2023/1/23, 24, 34, 5, , 
2023/1/24, 33, 25, 2, , 
2023/1/25, 26, 30, 1, , 
2023/1/26, 17, 33, 5, , 
2023/1/27, 24, 32, 6, , 
2023/1/28, 27, 22, 6, , 
2023/1/29, 47, 15, 2, , 
2023/1/30, 26, 13, 2, , 
2023/1/31, 31, 16, 2, , 
2023/2/1, 27, 19, 1, , 
2023/2/2, 31, , , , 
2023/2/8, 76, 24, 3, , 
2023/2/9, 17, 35, 6, , 
2023/2/10, 32, 32, 1, , 
2023/2/11, 16, 33, 2, , 
2023/2/12, 30, , 4, , 
2023/2/13, 31, 37, 6, , 
2023/2/14, 27, 40, 1, , 
2023/2/15, 20, 28, 8, , 
2023/2/16, 58, 30, 1, , 
2023/2/17, 21, 35, 3, , 
2023/2/18, 23, 36, 6, , 
2023/2/19, 36, 41, 3, , 
2023/2/20, 38, 32, 1, , 
2023/2/21, 28, 29, 3, , 
2023/2/22, 46, 40, 3, , 
2023/2/23, 52, 36, 4, , 
2023/2/24, 51, 19, 5, , 
2023/2/25, 41, 19, 4, , 
2023/2/26, 64, 23, 4, , 
2023/2/27, 59, 56, 2, , 
2023/2/28, 58, 43, 5, , 
2023/3/1, 56, 32, 3, , 
2023/3/2, 75, 32, 2, , 
2023/3/3, 87, 42, 3, , 
2023/3/4, 37, 62, 5, , 
2023/3/5, 38, 46, 2, , 
2023/3/6, 40, 39, 4, , 
2023/3/7, 42, 24, 3, , 
2023/3/8, 42, 27, 3, , 
2023/3/9, 42, 30, 6, , 
2023/3/10, 42, 28, 4, , 
2023/3/11, 37, 32, 2, , 
2023/3/12, 59, 32, 1, , 
2023/3/13, 36, 34, 1, , 
2023/3/14, 18, 33, 3, , 
2023/3/15, 28, 39, 5, , 
2023/3/16, 44, 29, 1, , 
2023/3/17, 35, 33, 1, , 
2023/3/18, 16, 33, 3, , 
2023/3/19, 19, 38, 3, , 
2023/3/20, 34, 34, 8, , 
2023/3/21, 40, 22, 4, , 
2023/3/22, 21, 27, 2, , 
2023/3/23, 39, 21, 2, , 
2023/3/24, 42, 36, 2, , 
2023/3/25, 46, 40, , , 
2023/3/26, 28, 33, , , 
2023/3/27, 55, 36, , , 
2023/3/28, 39, 44, 3, , 
2023/3/29, 29, 40, 4, , 
2023/3/30, 39, 26, 4, , 
2023/3/31, 51, 37, 2, , 
2023/4/1, 42, 40, 3, , 
2022/10/2, 30, 50, 5, , 
2022/10/3, 35, 52, 7, , 
2022/10/4, 41, 64, 8, , 
2022/10/5, 35, 63, 6, , 
2022/10/6, 42, 58, 4, , 
2022/10/7, 39, 51, 5, , 
2022/10/8, 42, 48, 3, , 
2022/10/9, 38, 54, 3, , 
2022/10/10, 54, 49, 3, , 
2022/10/11, 42, 41, 3, , 
2022/10/12, 28, 34, 2, , 
2022/10/13, 32, 50, 3, , 
2022/10/14, 28, 48, 5, , 
2022/10/15, 20, 40, 1, , 
2022/10/19, 21, 38, 7, , 
2022/10/20, 27, , 2, , 
2022/10/21, 30, , 4, , 
2022/10/22, 29, , , , 
2022/10/23, 25, , , , 
2022/10/24, 23, , 2, , 
2022/10/25, 39, 29, 2, , 
2022/10/26, 15, 38, 7, , 
2022/10/27, 20, 42, 7, , 
2022/10/28, 27, 32, 1, , 
2022/10/29, 25, 31, , , 
2022/10/30, 18, 35, 2, , 
2022/10/31, 26, 46, 5, , 
2022/11/1, 26, 32, 5, , 
2022/11/2, 36, 37, 4, , 
2022/11/3, 44, 20, 2, , 
2022/11/4, 40, 35, 1, , 
2022/11/5, 25, 31, 3, , 
2022/11/6, 23, 24, 4, , 
2022/11/7, 34, 16, 4, , 
2022/11/8, 29, 22, 5, , 
2022/11/9, 24, 26, 3, , 
2022/11/10, 28, 28, 5, , 
2022/11/11, 41, 18, 2, , 
2022/11/12, 24, 29, 2, , 
2022/11/13, 21, 32, 5, , 
2022/11/14, 27, 23, 5, , 
2022/11/15, 33, 21, 3, , 
2022/11/16, 27, 26, 7, , 
2022/11/17, 36, 25, 8, , 
2022/11/18, 29, 26, 10, , 
