date, pm25, pm10, o3, no2, so2, co
2023/4/2, 33, 12, 28, 4, , 
2023/4/3, 27, 23, 28, 1, , 
2023/4/4, 10, 10, 28, 5, , 
2023/4/5, 11, 18, 29, 9, , 
2023/4/6, 27, 23, 32, 10, , 
2023/4/7, 36, 24, 31, 8, , 
2023/4/8, 31, 10, 25, 2, , 
2023/4/9, 19, 19, 28, 6, , 
2023/4/10, 39, 28, 5, 13, , 
2023/4/11, 57, , , , , 
2023/1/3, 48, 16, 15, 13, , 
2023/1/4, 40, 26, 28, 8, , 
2023/1/5, 31, 8, 27, 7, , 
2023/1/6, 18, 18, 23, 14, , 
2023/1/7, 36, 24, 17, 14, , 
2023/1/8, 48, , 22, 9, , 
2023/1/9, 19, 18, 18, 9, , 
2023/1/10, 22, 7, 25, 9, , 
2023/1/11, 13, 23, 20, 15, , 
2023/1/12, 32, 22, 21, 10, , 
2023/1/13, 25, 19, 21, 9, , 
2023/1/14, 22, 14, 15, 14, , 
2023/1/15, 34, 10, 21, 6, , 
2023/1/16, 18, 3, 24, 4, , 
2023/1/17, 10, 10, 19, 12, , 
2023/1/18, 26, 21, 17, 14, , 
2023/1/19, 41, 20, 17, 10, , 
2023/1/20, 35, 16, 20, 11, , 
2023/1/21, 27, 21, 19, 11, , 
2023/1/22, 54, 26, 18, 11, , 
2023/1/23, 67, 23, 21, 12, , 
2023/1/24, 46, 32, 16, 16, 22, 
2023/1/25, 57, 46, 18, 15, , 
2023/1/26, 78, 46, 20, 14, , 
2023/1/27, 80, 44, 24, 15, , 
2023/1/28, 77, 42, 23, 14, , 
2023/1/29, 86, 24, 23, 9, , 
2023/1/30, 51, 6, 14, 5, , 
2023/1/31, 20, 14, 16, 10, , 
2023/2/1, 39, 29, 17, 15, , 
2023/2/2, 57, 39, 10, 16, , 
2023/2/3, 60, 39, 18, 17, , 
2023/2/4, 62, 25, 23, 14, , 
2023/2/5, 46, 8, 23, 3, , 
2023/2/6, 19, 7, 21, 8, , 
2023/2/7, 24, 16, 19, 11, , 
2023/2/8, 37, 26, 22, 12, , 
2023/2/9, 56, 38, 23, 13, , 
2023/2/10, 74, 32, 24, 12, , 
2023/2/11, 52, 11, 23, 4, , 
2023/2/12, 21, 18, 24, 10, , 
2023/2/13, 37, 21, 25, 10, , 
2023/2/14, 31, 32, 25, 4, , 
2023/2/15, 21, 18, 22, 11, , 
2023/2/16, 21, 24, 21, 18, , 
2023/2/17, 26, 29, 24, 16, , 
2023/2/18, 30, 29, 27, 13, , 
2023/2/19, 54, 28, 27, 12, , 
2023/2/20, 58, 39, 29, 16, , 
2023/2/21, 61, 55, 27, 11, , 
2023/2/22, 59, 11, 24, 3, , 
2023/2/23, 12, 12, 23, 14, , 
2023/2/24, 23, 14, 24, 3, 35, 
2023/2/25, 7, 2, 22, 4, , 
2023/2/26, 7, 6, 23, 5, , 
2023/2/27, 19, 6, 23, 6, , 
2023/2/28, 15, 7, 24, 7, , 
2023/3/1, 12, 4, 23, 4, , 
2023/3/2, 10, 12, 25, 12, , 
2023/3/3, 21, 18, 26, 13, , 
2023/3/4, 33, 18, 25, 9, , 
2023/3/5, 36, 10, 24, 5, , 
2023/3/6, 24, 8, 27, 6, , 
2023/3/7, 10, 12, 24, 9, , 
2023/3/8, 20, 19, 24, 13, , 
2023/3/9, 37, 18, 23, 12, , 
2023/3/10, 30, 10, 11, 11, , 
2023/3/11, 24, 7, 20, 5, , 
2023/3/12, 17, 8, 24, 5, , 
2023/3/13, 19, 12, 26, 6, , 
2023/3/14, 17, 12, 15, 9, , 
2023/3/15, 18, , 22, 3, , 
2023/3/16, 14, , 24, 7, , 
2023/3/17, 36, , 24, 9, , 
2023/3/18, 47, , 31, 9, , 
2023/3/19, 36, , 29, 2, , 
2023/3/20, 17, , 24, 3, , 
2023/3/21, 9, 12, 30, 3, , 
2023/3/22, 9, 6, 29, 6, , 
2023/3/23, 15, 6, 22, 6, , 
2023/3/24, 15, 9, 29, 3, , 
2023/3/25, 17, 11, 26, 7, , 
2023/3/26, 28, 15, 29, 7, , 
2023/3/27, 40, 17, 30, 9, , 
2023/3/28, 28, 23, 33, 9, , 
2023/3/29, 24, 5, 29, 4, , 
2023/3/30, 12, 4, 27, 5, , 
2023/3/31, 11, 13, 28, 8, , 
2023/4/1, 28, 14, 28, 8, , 
2022/10/2, 43, 36, 39, 6, , 
2022/10/3, 31, 51, 43, 8, , 
2022/10/4, 39, 63, 55, 11, , 
2022/10/5, 52, 71, 63, 12, , 
2022/10/6, 57, 70, 59, 16, , 
2022/10/7, 58, 72, 56, 14, , 
2022/10/8, 59, 61, 56, 15, , 
2022/10/9, 53, 49, 54, 12, , 
2022/10/10, 47, 58, 47, 15, , 
2022/10/11, 56, 61, 46, 16, , 
2022/10/12, 46, 60, 46, 17, , 
2022/10/13, 43, 63, 46, 13, , 
2022/10/14, 48, 75, 58, 15, , 
2022/10/15, 63, 75, 49, 12, , 
2022/10/16, 54, 34, 34, 4, , 
2022/10/17, 34, 48, 37, 8, , 
2022/10/18, 49, 65, 48, 13, , 
2022/10/19, 62, 72, 54, 15, , 
2022/10/20, 66, 61, 50, 15, , 
2022/10/21, 51, 57, 44, 18, , 
2022/10/22, 50, 40, 24, 5, , 
2022/10/23, 28, 47, 26, 4, , 
2022/10/24, 23, 62, 30, 11, , 
2022/10/25, 30, 49, 33, 15, , 
2022/10/26, 31, 56, 31, 12, , 
2022/10/27, 37, 56, 34, 13, , 
2022/10/28, 38, 63, 33, 14, , 
2022/10/29, 49, 57, 34, 13, , 
2022/10/30, 49, 52, 40, 15, , 
2022/10/31, 60, 63, 29, 23, , 
2022/11/1, 61, 59, 28, 12, , 
2022/11/2, 42, 11, 26, 3, , 
2022/11/3, 11, 10, 22, 6, , 
2022/11/4, 18, 25, 24, 12, , 
2022/11/5, 43, 29, 27, 11, , 
2022/11/6, 50, 23, 23, 11, , 
2022/11/7, 44, 12, 18, 8, , 
2022/11/8, 13, 13, 22, 9, , 
2022/11/9, 17, 9, 24, 9, , 
2022/11/10, 14, 22, 19, 12, , 
2022/11/11, 45, 31, 18, 13, , 
2022/11/12, 68, 43, 22, 12, , 
2022/11/13, 99, 23, 23, 9, , 
2022/11/14, 45, 36, 20, 16, , 
2022/11/15, 57, 48, 18, 17, , 
2022/11/16, 78, 51, 24, 15, , 
2022/11/17, 84, 55, 22, 18, , 
2022/11/18, 75, 60, 21, 19, , 
2022/11/19, 100, 53, 24, 15, , 
2022/11/20, 97, 51, 25, 16, , 
2022/11/21, 94, 61, 22, 21, , 
2022/11/22, 99, 59, 29, 21, , 
2022/11/23, 98, 61, 30, 23, , 
2022/11/24, 111, 56, 28, 15, , 
2022/11/25, 91, 52, 25, 19, , 
2022/11/26, 85, 60, , 20, , 
2022/11/27, 105, 53, , 18, , 
2022/11/28, 98, 61, 30, 19, , 
2022/11/29, 88, 32, 22, 12, , 
2022/11/30, 27, 50, 20, 19, , 
2022/12/1, 60, 43, 19, 19, , 
2022/12/2, 49, 7, 19, 5, , 
2022/12/3, 15, 25, 10, 11, , 
2022/12/4, 57, 14, 18, 10, , 
2022/12/5, 30, 16, 19, 13, , 
2022/12/6, 28, 18, 21, 10, , 
2022/12/7, 30, 14, 21, 10, , 
2022/12/8, 26, 23, 17, 14, , 
2022/12/9, 36, 28, 20, 15, , 
2022/12/10, 47, 32, 23, 13, , 
2022/12/11, 29, 7, 25, 6, , 
2022/12/12, 15, 11, 17, 11, , 
2022/12/13, 23, 13, 19, 11, , 
2022/12/14, 24, 23, 19, 12, , 
2022/12/15, 47, 38, 9, 16, , 
2022/12/16, 77, 54, 12, 15, , 
2022/12/17, 108, 49, 10, 12, , 
2022/12/18, 119, 46, 12, 7, , 
2022/12/19, 120, 50, 10, 11, , 
2022/12/20, 115, 47, 7, 11, , 
2022/12/21, 102, 51, 7, 12, , 
2022/12/22, 115, 36, 2, 14, , 
2022/12/23, 75, 27, 5, 13, , 
2022/12/24, 71, 29, 4, 10, , 
2022/12/25, 84, 36, 6, 12, , 
2022/12/26, 103, 36, 6, 12, , 
2022/12/27, 97, 30, 4, 13, , 
2022/12/28, 83, 14, 20, 9, , 
2022/12/29, 28, 17, 13, 12, , 
2022/12/30, 38, 18, 12, 13, , 
2022/12/31, 34, 12, 9, 8, , 
2023/1/1, 29, 10, 22, 6, , 
2023/1/2, 25, 18, 12, 14, , 
2022/7/2, 39, 26, 35, 3, , 
2022/7/3, 32, 23, 32, 2, , 
2022/7/4, 26, 42, 27, 4, , 
2022/7/5, 61, 34, 29, 4, , 
2022/7/6, 55, 28, 33, 2, , 
2022/7/7, 28, 30, 36, 3, , 
2022/7/8, 26, 34, 43, 3, , 
2022/7/9, 38, 25, 37, 2, , 
2022/7/10, 24, 23, 37, 4, , 
2022/7/11, 30, 36, 48, 8, , 
2022/7/12, 50, 40, 48, 5, , 
2022/7/13, 44, 34, 48, 4, , 
2022/7/14, 35, 41, 52, 5, , 
2022/7/15, 48, 41, 49, 5, , 
2022/7/16, 51, 38, 51, 5, , 
2022/7/17, 48, 35, 50, 5, , 
2022/7/18, 60, 28, 38, 4, , 
2022/7/19, 27, 22, 44, 5, , 
2022/7/20, 28, 37, 43, 7, , 
2022/7/21, 39, 38, 43, 7, , 
2022/7/22, 37, 38, 42, 7, , 
2022/7/23, 37, 54, 50, 8, , 
2022/7/24, 38, 30, 51, 5, , 
2022/7/25, 39, 33, 47, 5, , 
2022/7/26, 36, 33, 49, 3, , 
2022/7/27, 34, 32, 43, 4, , 
2022/7/28, 26, 38, 44, 7, , 
2022/7/29, 39, 40, 45, 6, , 
2022/7/30, 43, 38, 44, 2, , 
2022/7/31, 34, 26, 38, 1, , 
2022/8/1, 29, 38, 45, 2, , 
2022/8/2, 39, 37, 43, 3, , 
2022/8/3, 41, 38, 41, 4, , 
2022/8/4, 36, 49, 36, 6, , 
2022/8/5, 44, 41, 38, 2, , 
2022/8/6, 33, 32, 45, 2, , 
2022/8/7, 30, 29, 44, 3, , 
2022/8/8, 34, 43, 43, 3, , 
2022/8/9, 35, 45, 43, 4, , 
2022/8/10, 34, 47, 41, 3, , 
2022/8/11, 33, 54, 45, 5, , 
2022/8/12, 40, 49, 42, 6, , 
2022/8/13, 38, 40, 44, 5, , 
2022/8/14, 30, 34, 47, 7, , 
2022/8/15, 34, 50, 54, 10, , 
2022/8/16, 47, 62, 61, 14, , 
2022/8/17, 59, 59, 59, 12, , 
2022/8/18, 58, 55, 59, 8, , 
2022/8/19, 49, 64, 49, 12, , 
2022/8/20, 57, 48, 52, 9, , 
2022/8/21, 45, 30, 43, 4, , 
2022/8/22, 30, 45, 43, 6, , 
2022/8/23, 34, 67, 43, 10, , 
2022/8/24, 50, 65, 52, 10, , 
2022/8/25, 46, 52, 46, 7, , 
2022/8/26, 31, 48, 47, 6, , 
2022/8/27, 32, 50, 42, 4, , 
2022/8/28, 29, 29, 37, 3, , 
2022/8/29, 23, 42, 43, 4, , 
2022/8/30, 37, 60, 45, 11, , 
2022/8/31, 42, 72, 53, 10, , 
2022/9/1, 57, 73, 57, 10, , 
2022/9/2, 57, 70, 58, 15, , 
2022/9/3, 56, 50, 41, 11, , 
2022/9/4, 40, 49, 47, 12, , 
2022/9/5, 39, 53, 57, 11, , 
2022/9/6, 48, 61, 58, 12, , 
2022/9/7, 48, 56, 51, 9, , 
2022/9/8, 48, 66, 50, 12, , 
2022/9/9, 55, 93, 45, 15, , 
2022/9/10, 71, 50, 26, 3, , 
2022/9/11, 28, 43, 45, 3, , 
