date, pm25, pm10, o3, no2, so2, co
2023/4/2, 76, 42, 82, 2, , 
2023/4/3, 90, 72, 31, 6, , 
2023/4/4, 112, 60, 43, 4, , 
2023/4/5, 130, 75, 36, 3, , 
2023/4/6, 139, 59, 28, 1, , 
2023/4/7, 131, 49, 14, 3, , 
2023/4/8, 95, 38, 18, 2, , 
2023/4/9, 75, 32, 67, , , 
2023/4/10, 80, 32, 19, 2, , 
2023/4/11, 71, 43, 24, 5, , 
2023/4/12, 104, , , , , 
2023/1/3, 103, 40, 24, 4, 1, 
2023/1/4, 98, 99, 24, 3, 2, 
2023/1/5, 78, 83, 23, 13, 2, 
2023/1/6, 82, 200, 19, 11, 1, 
2023/1/7, 63, 212, 20, 10, 1, 
2023/1/8, 69, 174, 18, 15, 2, 
2023/1/9, 86, 267, 32, 16, 2, 
2023/1/10, 107, 270, 17, 11, 1, 
2023/1/11, 97, 60, 10, 9, , 
2023/1/12, 64, 29, 22, 11, 1, 
2023/1/13, 75, 33, 24, 10, 1, 
2023/1/14, 71, 29, 28, 9, , 
2023/1/15, 67, 32, 39, 11, , 
2023/1/16, 74, 35, 31, 15, , 
2023/1/17, 81, 40, 27, 23, 1, 
2023/1/18, 90, 79, 22, 20, 1, 
2023/1/19, 78, 39, 26, 15, 2, 
2023/1/20, 78, 76, 28, 15, 2, 
2023/1/21, 82, 148, 80, 21, 1, 
2023/1/22, 74, 58, 32, 22, 2, 
2023/1/23, 81, 64, 39, 25, 2, 
2023/1/24, 124, 55, 22, 26, 2, 
2023/1/25, 113, 54, 25, 10, 1, 
2023/1/26, 74, 70, 42, 18, 1, 
2023/1/27, 117, 61, 21, 22, 1, 
2023/1/28, 121, 388, 16, 13, 1, 
2023/1/29, 79, 528, 18, 10, 1, 
2023/1/30, 96, 480, 21, 24, 2, 
2023/1/31, 116, 378, 63, 15, 2, 
2023/2/1, 167, 312, 55, 35, 3, 
2023/2/2, 182, 91, 58, 32, 2, 
2023/2/3, 174, 46, 23, 15, , 
2023/2/4, 121, 34, 22, 10, 1, 
2023/2/5, 87, 31, 18, 11, , 
2023/2/6, 77, 26, 13, 10, 1, 
2023/2/7, 74, 30, 9, 11, 1, 
2023/2/8, 67, 27, 11, 10, , 
2023/2/9, 67, 29, 9, 8, 1, 
2023/2/10, 75, 34, 7, 8, 1, 
2023/2/11, 73, 48, 8, 9, 1, 
2023/2/12, 109, 26, 9, 8, 1, 
2023/2/13, 90, 24, 8, 10, , 
2023/2/14, 73, 33, 16, 11, , 
2023/2/15, 79, 29, 5, 14, , 
2023/2/16, 103, 40, 16, 13, 1, 
2023/2/17, 86, 56, 23, 19, 1, 
2023/2/18, 115, 65, 23, 16, 2, 
2023/2/19, 126, 63, 45, 22, 2, 
2023/2/20, 139, 52, 21, 16, 1, 
2023/2/21, 108, 44, 28, 21, 1, 
2023/2/22, 113, 50, 31, 20, 1, 
2023/2/23, 129, 66, 37, 24, 1, 
2023/2/24, 146, 58, 33, 39, 2, 
2023/2/25, 153, 76, 19, 21, , 
2023/2/26, 135, 57, 32, 13, , 
2023/2/27, 95, 63, 24, 14, , 
2023/2/28, 116, 77, 36, 25, 1, 
2023/3/1, 149, 76, 33, 23, 1, 
2023/3/2, 156, 79, 32, 13, 1, 
2023/3/3, 145, 68, 31, 5, , 
2023/3/4, 120, 77, 28, 11, , 
2023/3/5, 160, 71, 31, 12, , 
2023/3/6, 158, 73, 31, 12, , 
2023/3/7, 163, 88, 37, 18, , 
2023/3/8, 178, 86, 41, 14, , 
2023/3/9, 179, 77, 31, 10, , 
2023/3/10, 138, 74, 33, 12, , 
2023/3/11, 136, 63, 24, 10, , 
2023/3/12, 125, 64, 20, 3, , 
2023/3/13, 112, 66, 12, 6, , 
