date, pm25, pm10, o3, no2, so2, co
2023/4/2, 50, 16, 37, 1, 1, 
2023/4/3, 25, 10, 41, 2, 1, 
2023/4/4, 7, 10, 38, 2, , 
2023/4/5, 8, 13, 38, 1, , 
2023/4/6, 17, 11, 42, , , 
2023/1/3, 66, 26, 25, 2, 1, 
2023/1/4, 67, 13, 25, 3, 1, 
2023/1/5, 56, 9, 34, 3, 1, 
2023/1/6, 47, 9, 31, 3, 1, 
2023/1/7, 34, , 30, 1, 1, 
2023/1/8, 41, , 27, 2, 1, 
2023/1/9, 40, , 30, 1, 1, 
2023/1/10, 24, 10, 33, 2, 1, 
2023/1/11, 14, 11, 28, 2, 1, 
2023/1/12, 25, 11, 26, 4, 1, 
2023/1/13, 33, 14, 26, 5, 1, 
2023/1/14, 35, 14, 26, 4, 1, 
2023/1/15, 46, 10, 28, 2, 1, 
2023/1/16, 33, 8, 28, 2, 1, 
2023/1/17, 18, 8, 35, 1, 1, 
2023/1/18, 10, 8, 31, 1, 1, 
2023/1/19, 6, 7, 27, 2, 1, 
2023/1/20, 7, 7, 26, 4, 1, 
2023/1/21, 9, 8, 31, 1, 1, 
2023/1/22, 15, 8, 29, 1, 1, 
2023/1/23, 13, 10, 26, 5, 1, 
2023/1/24, 23, 12, 28, 3, 1, 
2023/1/25, 32, 10, 28, 3, 1, 
2023/1/26, 38, 13, 23, 6, 1, 
2023/1/27, 50, 12, 30, 5, 1, 
2023/1/28, 52, 13, 23, 4, 1, 
2023/1/29, 43, 13, 23, 4, 1, 
2023/1/30, 45, 13, 26, 2, 1, 
2023/1/31, 50, 15, 31, 4, 1, 
2023/2/1, 48, 15, 30, 3, 1, 
2023/2/2, 51, 15, 29, 7, 1, 
2023/2/3, 55, 19, 29, 6, 1, 
2023/2/4, 61, 17, 33, 2, 1, 
2023/2/5, 59, 18, 29, 4, , 
2023/2/6, 57, 15, 31, 4, 1, 
2023/2/7, 47, 9, 28, 2, 1, 
2023/2/8, 25, 10, 31, 3, , 
2023/2/9, 27, 13, 33, 3, 1, 
2023/2/10, 31, 18, 32, 5, 1, 
2023/2/11, 46, 14, 37, 5, 1, 
2023/2/12, 58, 12, 41, 2, 1, 
2023/2/13, 52, 13, 41, 4, 1, 
2023/2/14, 56, 14, 40, 4, 1, 
2023/2/15, 66, 12, 39, 5, 1, 
2023/2/16, 55, 15, 41, 8, 1, 
2023/2/17, 54, 17, 40, 3, 1, 
2023/2/18, 67, 21, 43, 4, 1, 
2023/2/19, 68, 20, 46, 5, 1, 
2023/2/20, 61, 16, 43, 8, 1, 
2023/2/21, 66, 15, 40, 7, 1, 
2023/2/22, 83, 19, 32, 7, 1, 
2023/2/23, 72, 19, 34, 10, 1, 
2023/2/24, 62, 13, 32, 2, 1, 
2023/2/25, 46, 9, 30, 2, 1, 
2023/2/26, 34, 10, 33, 3, 1, 
2023/2/27, 31, 8, 31, 3, 1, 
2023/2/28, 24, 10, 30, 2, 1, 
2023/3/1, 31, 12, 35, 3, 1, 
2023/3/2, 36, 15, 34, 3, 1, 
2023/3/3, 50, 17, 34, 7, 1, 
2023/3/4, 66, , 36, 4, 1, 
2023/3/5, 70, , 42, 4, 1, 
2023/3/6, 61, , 39, 4, 1, 
2023/3/7, 59, 17, 33, 4, 1, 
2023/3/8, 60, 15, 34, 3, 1, 
2023/3/9, 44, 11, 34, 3, 1, 
2023/3/10, 27, 11, 36, 1, , 
2023/3/11, 18, 17, 33, 1, 1, 
2023/3/12, 19, 15, 29, 2, 1, 
2023/3/13, 23, 13, 34, 3, 1, 
2023/3/14, 33, 19, 39, 2, 1, 
2023/3/15, 26, 19, 35, 4, 1, 
2023/3/16, 19, 19, 38, 6, 6, 
2023/3/17, 34, 14, 41, 3, 1, 
2023/3/18, 26, 19, 41, 2, 1, 
2023/3/19, 31, 18, 38, 3, 1, 
2023/3/20, 36, 10, 35, 2, 1, 
2023/3/21, 17, 10, 35, 2, 1, 
2023/3/22, 26, 14, 39, 3, 1, 
2023/3/23, 48, 19, 47, 3, 1, 
2023/3/24, 63, 18, 45, 3, 1, 
2023/3/25, 55, 16, 39, 1, 1, 
2023/3/26, 40, 16, 39, , 1, 
2023/3/27, 27, 19, 40, 2, 1, 
2023/3/28, 17, 18, 39, 3, 1, 
2023/3/29, 21, 17, 41, 2, 1, 
2023/3/30, 24, 18, 41, 4, 1, 
2023/3/31, 30, 22, 39, 3, 1, 
2022/10/2, 16, 10, 34, 2, , 
2022/10/3, 15, , 40, 2, 1, 
2022/10/4, 22, , 34, 5, 1, 
2022/10/5, 19, 11, 32, 2, , 
2022/10/6, 23, 13, 34, 2, , 
2022/10/7, 23, 13, 32, 2, , 
2022/10/8, 31, 11, 29, 2, , 
2022/10/9, 32, 15, 35, 4, , 
2022/10/10, 43, 19, 33, 4, , 
2022/10/11, 51, 18, 35, 2, , 
2022/10/12, 46, 14, 36, 1, , 
2022/10/13, 38, 15, 39, 2, , 
2022/10/14, 42, 20, 37, 5, , 
2022/10/15, 47, 18, 44, 2, , 
2022/10/16, 56, 17, 38, 6, , 
2022/10/17, 49, 17, 30, 3, , 
2022/10/18, 45, 26, 30, 8, , 
2022/10/19, 59, 49, 31, 6, , 
2022/10/20, 76, 51, 26, 8, , 
2022/10/21, 79, 41, 33, 2, , 
2022/10/22, 70, 21, 35, 2, 1, 
2022/10/23, 45, 21, 32, 2, , 
2022/10/24, 33, 31, 28, 2, 1, 
2022/10/25, 56, 18, 31, 6, 1, 
2022/10/26, 38, 37, 43, 13, , 
2022/10/27, 60, 47, 39, 7, , 
2022/10/28, 65, 32, 45, 5, , 
2022/10/29, 73, 31, 42, 2, , 
2022/10/30, 74, 39, 36, 5, , 
2022/10/31, 71, 33, 35, 3, , 
2022/11/1, 66, 27, 31, 2, , 
2022/11/2, 58, 15, 28, 4, , 
2022/11/3, 37, 16, 31, 2, , 
2022/11/4, 33, 13, 28, 1, 1, 
2022/11/5, 27, 14, 31, 2, 1, 
2022/11/6, 15, 14, 32, 2, 1, 
2022/11/7, 23, 14, 39, 2, 1, 
2022/11/8, 23, 10, 38, 1, , 
2022/11/9, 32, 14, 37, 2, , 
2022/11/10, 40, 13, 28, 4, , 
2022/11/11, 28, 10, 31, 2, , 
2022/11/12, 19, 15, 29, 3, , 
2022/11/13, 34, 15, 29, 4, , 
2022/11/14, 52, 16, 29, 4, , 
2022/11/15, 51, 18, 24, 4, 1, 
2022/11/16, 50, 11, 29, 2, 1, 
2022/11/17, 28, 9, 29, 2, 1, 
2022/11/18, 15, 10, 27, 4, 1, 
2022/11/19, 17, 10, 27, 2, , 
2022/11/20, 17, 10, 27, 2, 1, 
2022/11/21, 13, 10, 28, 2, 1, 
2022/11/22, 21, 10, 28, 1, 1, 
2022/11/23, 14, 10, 21, 3, 1, 
2022/11/24, 15, 13, 31, 2, 1, 
2022/11/25, 28, 16, 26, 4, 1, 
2022/11/26, 32, 9, 27, 1, 1, 
