date, pm25, pm10, o3, no2, so2
2023/4/2, 26, 7, 29, 4, 
2023/4/3, 21, 12, 33, 4, 
2023/4/4, 29, 22, 30, 7, 
2023/4/5, 44, 15, 29, 8, 
2023/4/6, 31, 9, 33, 5, 
2023/4/7, 20, 10, 34, 11, 1
2023/4/8, 25, 9, 37, 4, 
2023/4/9, 19, 12, 36, 1, 
2023/4/10, 33, 10, 36, 3, 
2023/4/11, 26, 6, 35, 3, 
2023/4/12, 13, , , , 
2023/1/3, 42, 13, 24, 10, 
2023/1/4, 48, 7, 26, 2, 
2023/1/5, 19, 13, 24, 10, 
2023/1/6, 25, 19, 28, 9, 
2023/1/7, 33, 15, 30, 7, 
2023/1/8, 24, 10, 30, 6, 
2023/1/9, 26, 10, 27, 6, 
2023/1/10, 26, 10, 29, 8, 
2023/1/11, 25, 9, 30, 8, 
2023/1/12, 23, 11, 30, 8, 
2023/1/13, 31, 9, 32, 5, 
2023/1/14, 21, 7, 31, 3, 
2023/1/15, 17, 7, 31, 7, 
2023/1/16, 17, 8, 27, 11, 
2023/1/17, 17, 7, 22, 9, 
2023/1/18, 22, 6, 26, 7, 
2023/1/19, 16, 12, 17, 9, 
2023/1/20, 28, 18, 16, 21, 1
2023/1/21, 44, 17, 22, 13, 
2023/1/22, 43, 9, 23, 8, 
2023/1/23, 25, 12, 12, 14, 
2023/1/24, 28, 18, 11, 11, 
2023/1/25, 42, 12, 27, 6, 
2023/1/26, 38, 16, 29, 11, 
2023/1/27, 34, 15, 14, 15, 1
2023/1/28, 40, 14, 18, 9, 
2023/1/29, 40, 9, 30, 4, 
2023/1/30, 27, 12, 30, 8, 
2023/1/31, 27, 14, 30, 3, 
2023/2/1, 36, 12, 32, 4, 
2023/2/2, 31, 8, 26, 7, 
2023/2/3, 22, 7, 26, 11, 
2023/2/4, 16, 8, 25, 7, 
2023/2/5, 23, 14, 17, 14, 
2023/2/6, 38, 20, 21, 13, 
2023/2/7, 46, 20, 22, 12, 
2023/2/8, 45, 19, 22, 8, 
2023/2/9, 46, 12, 23, 9, 
2023/2/10, 29, 12, 25, 8, 
2023/2/11, 28, 8, 24, 10, 
2023/2/12, 23, 13, 28, 7, 
2023/2/13, 35, 30, 26, 6, 
2023/2/14, 48, 49, 28, 6, 
2023/2/15, 73, 28, 31, 9, 
2023/2/16, 57, 16, 24, 9, 
2023/2/17, 29, 8, 31, 5, 
2023/2/18, 21, 8, 32, 4, 
2023/2/19, 19, 5, 29, 4, 
2023/2/20, 13, 4, 29, 5, 
2023/2/21, 11, 10, 24, 9, 
2023/2/22, 17, 9, 29, 5, 
2023/2/23, 15, 14, 29, 11, 
2023/2/24, 23, 12, 30, 9, 
2023/2/25, 30, 11, 27, 11, 
2023/2/26, 25, 10, 31, 9, 1
2023/2/27, 25, 14, 25, 13, 1
2023/2/28, 30, 14, 22, 14, 
2023/3/1, 31, 10, 28, 8, 
2023/3/2, 19, 12, 27, 13, 
2023/3/3, 24, 9, 28, 10, 
2023/3/4, 23, 9, 30, 7, 
2023/3/5, 23, 7, 27, 6, 
2023/3/6, 23, 6, 29, 6, 
2023/3/7, 17, 9, 28, 11, 
2023/3/8, 21, 20, 26, 19, 2
2023/3/9, 43, 15, 31, 6, 
2023/3/10, 30, 9, 31, 12, 1
2023/3/11, 22, 18, 27, 17, 2
2023/3/12, 50, 16, 27, 7, 
2023/3/13, 46, 9, 30, 6, 16
2023/3/14, 26, 6, 30, 7, 
2023/3/15, 15, 11, 25, 20, 1
2023/3/16, 26, 11, 23, 13, 
2023/3/17, 22, 12, 31, 7, 
2023/3/18, 35, 11, 30, 7, 
2023/3/19, 35, 8, 30, 5, 
2023/3/20, 23, 8, 19, 8, 
2023/3/21, 21, , 30, 5, 3
2023/3/23, 21, 12, 31, 7, 
2023/3/24, 22, 11, 32, 5, 
2023/3/25, 18, 6, 33, 7, 
2023/3/26, 14, 8, 30, 5, 
2023/3/27, 19, 10, 34, 8, 
2023/3/29, 22, 12, 24, 7, 
2023/3/30, 28, 13, 28, 7, 
2023/3/31, 29, 15, 27, 11, 
2023/4/1, 39, 10, 27, 5, 
2022/10/2, 21, 11, 18, 6, 
2022/10/3, 27, 8, 12, 10, 1
2022/10/4, 19, , , , 
2022/10/6, 9, 14, , , 
2022/10/7, 18, 12, , , 
2022/10/8, 19, 10, , , 
2022/10/9, 22, , , , 
2022/10/10, 20, 17, 17, 7, 
2022/10/11, 25, 22, 15, 10, 
2022/10/12, 29, 16, 19, 9, 
2022/10/13, 22, 25, 11, 16, 
2022/10/14, 42, 16, 16, 11, 
2022/10/15, 32, 15, 20, 7, 
2022/10/18, 23, 12, 15, 14, 1
2022/10/19, 30, 13, 20, 7, 
2022/10/20, 33, 18, 20, 9, 
2022/10/21, 44, 21, , 11, 
2022/10/22, 54, 15, , 15, 
2022/10/23, 41, 10, , 11, 
2022/10/24, 32, 9, , 12, 
2022/10/25, 30, 9, , 9, 
2022/10/26, 22, 9, , 5, 
2022/10/28, 28, 11, , 5, 76
2022/10/29, 29, 13, , 9, 
2022/10/30, 34, 13, , 4, 
2022/10/31, 34, 12, , 9, 
2022/11/1, 30, 12, , 12, 
2022/11/2, 33, 10, , 5, 
2022/11/3, 24, 12, , 15, 3
2022/11/4, 27, 13, , 12, 
2022/11/5, 34, 11, , 13, 
2022/11/6, 32, 13, , 8, 
2022/11/7, 34, 11, , 4, 
2022/11/8, 27, 10, 18, 8, 
2022/11/9, 25, 9, 16, 10, 
2022/11/10, 23, 9, 22, 4, 
2022/11/11, 19, 7, 24, 6, 
2022/11/12, 21, 10, 23, 5, 
2022/11/13, 28, 16, 20, 4, 
2022/11/14, 44, 15, 22, 9, 
2022/11/15, 39, 11, 28, 16, 1
2022/11/16, 24, 15, 17, 19, 1
2022/11/17, 38, 12, 11, 27, 
2022/11/18, 39, 10, 24, 16, 
2022/11/19, 28, 10, 23, 12, 1
2022/11/20, 26, 9, 20, 10, 
2022/11/21, 31, 13, 20, 11, 
2022/11/22, 38, 10, 21, 16, 1
2022/11/23, 26, 10, 22, 9, 
2022/11/24, 27, 11, 26, 6, 
2022/11/25, 29, 13, 19, 13, 
2022/11/26, 34, 14, 27, 4, 
2022/11/27, 36, 14, 27, 6, 
2022/11/28, 36, 15, 21, 20, 1
2022/11/29, 36, 20, 6, 19, 
2022/11/30, 58, 18, 18, 15, 1
2022/12/1, 53, 11, 18, 14, 
2022/12/2, 31, 17, 6, 22, 1
2022/12/3, 47, 17, 10, 13, 
2022/12/4, 52, 10, 17, 6, 
2022/12/5, 29, 8, 17, 6, 
2022/12/6, 17, 9, 17, 17, 1
2022/12/7, 21, 10, 21, 13, 
2022/12/8, 21, 10, 23, 17, 1
2022/12/9, 27, 21, 5, 18, 1
2022/12/10, 60, 16, 11, 14, 1
2022/12/11, 53, 11, 13, 17, 1
2022/12/12, 42, 27, 2, 27, 4
2022/12/13, 76, 29, 2, 24, 3
2022/12/14, 77, 18, 16, 17, 1
2022/12/15, 53, 15, 19, 18, 1
2022/12/16, 40, 19, 12, 18, 
2022/12/17, 53, 15, 20, 15, 1
2022/12/18, 51, 28, 23, 12, 3
2022/12/19, 79, 9, 24, 7, 
2022/12/20, 26, 14, 26, 8, 
2022/12/21, 30, 14, 27, 9, 
2022/12/22, 32, 14, 17, 14, 
2022/12/23, 38, 13, 15, 16, 1
2022/12/24, 47, 14, 23, 12, 
2022/12/25, 44, 9, 29, 6, 
2022/12/26, 29, 7, 28, 3, 
2022/12/27, 17, 9, 19, 13, 
2022/12/28, 28, 12, 26, 9, 
2022/12/29, 34, 8, 28, 8, 
2022/12/30, 19, 7, 25, 9, 
2022/12/31, 21, 10, 20, 17, 1
2023/1/1, 32, 9, 21, 8, 
2023/1/2, 33, 10, 16, 16, 1
2022/7/2, 21, 7, 18, 4, 
2022/7/3, 13, 5, 20, 1, 
2022/7/4, 10, 6, 20, 2, 
2022/7/5, 12, 8, 17, 5, 
2022/7/6, 15, 9, 16, 3, 
2022/7/8, 15, 8, 14, 3, 
2022/7/9, 18, 5, 15, 5, 
2022/7/10, 11, 7, 9, 12, 1
2022/7/11, 17, 9, 30, 7, 1
2022/7/12, 27, 16, 24, 6, 1
2022/7/13, 45, 10, 17, 4, 1
2022/7/14, 25, 10, 15, 5, 10
2022/7/15, 24, 8, 18, 3, 1
2022/7/16, 19, 8, 21, 4, 
2022/7/17, 22, 11, 34, 5, 1
2022/7/18, 34, 15, 46, 6, 1
2022/7/19, 39, 17, 36, 15, 1
2022/7/20, 36, 8, 18, 2, 1
2022/7/21, 17, 9, 18, 2, 1
2022/7/22, 18, 9, 13, 10, 1
2022/7/23, 19, 10, 15, 5, 1
2022/7/24, 23, 8, 17, 3, 1
2022/7/25, 21, 7, 15, 1, 1
2022/7/26, 17, 8, 17, 6, 1
2022/7/27, 13, , , , 
2022/7/29, 19, 13, 24, 8, 1
2022/7/30, 30, 8, 14, 5, 1
2022/7/31, 18, 5, 22, 2, 1
2022/8/1, 13, 7, 18, 5, 1
2022/8/2, 15, 6, 19, 4, 1
2022/8/3, 12, 9, 20, 4, 1
2022/8/4, 18, 8, 20, 2, 1
2022/8/5, 13, 10, 17, 4, 1
2022/8/6, 20, 11, 21, 3, 1
2022/8/7, 25, 10, 16, 3, 1
2022/8/8, 24, 16, 22, 4, 1
2022/8/9, 36, 12, 24, 6, 1
2022/8/10, 23, 13, 19, 6, 1
