date, pm25, pm10, o3, no2, so2, co
2023/4/4, 96, 61, 11, 5, 2, 6
2023/4/5, 93, 76, 14, 5, 2, 8
2023/4/6, 122, 65, 13, 4, 2, 4
2023/4/7, 101, 70, 12, 3, 2, 3
2023/4/8, 111, 60, 11, 3, 2, 2
2023/4/9, 91, 56, 10, 3, 2, 2
2023/4/10, 85, 51, 11, 3, 2, 2
2023/4/11, 80, 63, 12, 4, 2, 3
2023/4/12, 97, , , , , 
2023/1/3, 111, 58, 14, 19, 2, 4
2023/1/4, 110, 62, 15, 13, 2, 3
2023/1/5, 120, 57, 15, 7, 2, 3
2023/1/6, 109, 62, 16, 8, 2, 4
2023/1/7, 121, 73, 16, 4, 2, 4
2023/1/8, 147, 83, 19, 3, 2, 5
2023/1/9, 156, 86, 16, 4, 2, 7
2023/1/10, 155, 64, 16, 5, 2, 5
2023/1/11, 126, 62, 14, 5, 2, 8
2023/1/12, 115, 72, 15, 13, 2, 6
2023/1/13, 130, 67, 16, 13, 2, 5
2023/1/14, 126, 67, 16, 15, 2, 5
2023/1/15, 128, 68, 17, 15, 2, 5
2023/1/16, 126, 62, 15, 17, 2, 5
2023/1/17, 119, 49, 13, 20, 2, 2
2023/1/18, 94, 52, 14, 20, 2, 3
2023/1/19, 99, 63, 15, 21, 2, 3
2023/1/20, 124, 65, 14, 21, 2, 2
2023/1/21, 128, 65, 13, 16, 2, 3
2023/1/22, 130, 62, 14, 13, 2, 3
2023/1/23, 122, 59, 13, 13, 2, 4
2023/1/24, 115, 48, 13, 12, 2, 2
2023/1/25, 89, 52, 14, 5, 2, 3
2023/1/26, 99, 71, 15, 5, 2, 3
2023/1/27, 141, 66, 14, 4, 2, 3
2023/1/28, 130, 61, 13, 4, 2, 4
2023/1/29, 117, 65, 14, 4, 2, 3
2023/1/30, 120, 60, 12, 4, 2, 4
2023/1/31, 115, 54, 11, 3, 2, 4
2023/2/1, 102, 71, 13, 3, 2, 5
2023/2/2, 141, 67, 14, 4, 2, 4
2023/2/3, 134, 62, 12, 4, 2, 6
2023/2/4, 121, 64, 13, 4, 2, 3
2023/2/5, 126, 61, 19, 13, 2, 4
2023/2/6, 118, 64, 17, 10, 2, 3
2023/2/7, 126, 80, 14, 12, 2, 6
2023/2/8, 151, 79, 15, 11, 2, 6
2023/2/9, 147, 89, 18, 12, 2, 5
2023/2/10, 158, 69, 14, 12, 2, 6
2023/2/11, 128, 80, 14, 12, 2, 6
2023/2/12, 136, 74, 14, 12, 2, 5
2023/2/13, 131, 80, 16, 12, 2, 5
2023/2/14, 141, 78, 15, 12, 2, 6
2023/2/15, 136, 78, 14, 12, 2, 6
2023/2/16, 141, 73, 14, 11, 2, 4
2023/2/17, 131, 68, 14, 10, 2, 4
2023/2/18, 122, , , , , 
2023/2/20, 90, 59, 15, 9, 2, 6
2023/2/21, 105, 66, 14, 10, 2, 5
2023/2/22, 120, 78, 18, 9, 2, 4
2023/2/23, 142, 77, 16, 8, 2, 5
2023/2/24, 133, 61, 13, 8, 2, 4
2023/2/25, 115, 70, 17, 9, 2, 5
2023/2/26, 131, 79, 20, 8, 2, 4
2023/2/27, 145, 53, 16, 7, 2, 4
2023/2/28, 99, 72, 19, 7, 2, 5
2023/3/1, 130, 73, 17, 5, 2, 4
2023/3/2, 133, 70, 18, 5, 2, 3
2023/3/3, 119, 85, 19, 7, 2, 4
2023/3/4, 140, 76, 17, 7, 2, 5
2023/3/5, 126, 77, 19, 6, 2, 6
2023/3/6, 128, 62, 16, 4, 2, 3
2023/3/7, 102, 69, 14, 6, 2, 4
2023/3/8, 115, 69, 17, 5, 2, 3
2023/3/9, 116, 74, 18, 5, 2, 5
2023/3/10, 128, 77, 13, 6, 2, 4
2023/3/11, 130, , , , , 
2023/3/14, 117, 77, 14, 5, 2, 5
2023/3/15, 119, 88, 18, 5, 2, 5
2023/3/16, 134, 95, 15, 5, 2, 6
2023/3/17, 143, 72, 15, 5, 2, 4
2023/3/18, 112, 60, 10, 6, 2, 4
2023/3/19, 90, 63, 9, 7, 2, 6
2023/3/20, 94, 64, 8, 7, 2, 6
2023/3/21, 95, 71, 8, 8, 2, 11
2023/3/22, 107, 76, 30, 6, 2, 4
2023/3/23, 118, 63, 16, 6, 2, 5
2023/3/24, 96, 61, 21, 5, 2, 5
2023/3/25, 93, 59, 21, 4, 2, 4
2023/3/26, 89, 62, 21, 5, 2, 5
2023/3/27, 96, 67, 21, 6, 2, 8
2023/3/28, 98, 82, 17, 6, 2, 7
2023/3/29, 126, 78, 9, 4, 2, 6
2023/3/30, 126, 65, 15, 5, 2, 6
2023/3/31, 100, 60, 14, 5, 2, 5
2023/4/1, 92, , , , , 
2022/10/6, 96, 75, 10, 9, 2, 8
2022/10/7, 86, 86, 10, 7, 2, 7
2022/10/8, 87, 77, 11, 12, 2, 8
2022/10/9, 87, 60, 9, 18, 2, 11
2022/10/10, 74, 35, 10, 17, 2, 7
2022/10/11, 53, 41, 12, 12, 2, 4
2022/10/12, 61, 72, 10, 10, 2, 7
2022/10/13, 74, 49, 12, 12, 2, 5
2022/10/14, 62, 72, 15, 12, 2, 13
2022/10/15, 103, 32, 11, 14, 2, 7
2022/10/16, 51, 30, 13, 15, 2, 4
2022/10/17, 51, , , , , 
2022/10/25, 128, 154, 18, 12, 4, 10
2022/10/26, 157, 170, 24, 14, 4, 12
2022/10/27, 178, 106, 17, 15, 3, 8
2022/10/28, 117, 78, 15, 8, 2, 5
2022/10/29, 108, 56, 14, 11, 2, 4
2022/10/30, 96, 56, 15, 11, 2, 4
2022/10/31, 98, 91, 18, 9, 2, 6
2022/11/1, 141, 64, 14, 10, 2, 5
2022/11/2, 101, 45, 9, 9, 2, 5
2022/11/3, 44, 49, 10, 10, 2, 3
2022/11/4, 45, 40, 10, 10, 2, 3
2022/11/5, 46, 40, 11, 11, 2, 3
2022/11/6, 63, 60, 13, 11, 2, 4
2022/11/7, 92, 89, 17, 8, 2, 8
2022/11/8, 141, 80, 15, 9, 2, 7
2022/11/9, 125, 89, 15, 11, 2, 9
2022/11/10, 136, 77, 13, 10, 2, 4
2022/11/11, 118, 91, 16, 9, 2, 5
2022/11/12, 140, 46, 15, 8, 2, 5
2022/11/13, 75, 14, 9, 8, 2, 3
2022/11/14, 27, 25, 11, 8, 2, 4
2022/11/15, 45, 65, 16, 9, 2, 5
2022/11/16, 103, 94, 16, 8, 2, 7
2022/11/17, 146, 105, 17, 7, 2, 9
2022/11/18, 150, 97, 20, 7, 2, 10
2022/11/19, 144, 93, 20, 7, 2, 7
2022/11/20, 144, 96, 16, 6, 2, 8
2022/11/21, 147, 99, 17, 8, 2, 7
2022/11/22, 148, 57, 10, 7, 2, 7
2022/11/23, 86, 48, 10, 5, 2, 9
2022/11/24, 76, 37, 11, 9, 2, 6
2022/11/25, 62, 66, 12, 10, 2, 6
2022/11/26, 105, 51, 13, 10, 2, 4
2022/11/27, 80, 73, 15, 11, 2, 3
2022/11/28, 116, 100, 20, 11, 2, 6
2022/11/29, 153, 122, 20, 11, 2, 6
2022/11/30, 164, 106, 21, 11, 2, 6
2022/12/1, 152, 91, 16, 10, 2, 6
2022/12/2, 141, 65, 11, 10, 2, 6
2022/12/3, 102, 38, 9, 10, 2, 3
2022/12/4, 62, 38, 11, 11, 2, 3
2022/12/5, 63, 88, 16, 11, 2, 5
2022/12/6, 137, 108, 15, 10, 2, 6
2022/12/7, 156, 102, 14, 9, 2, 10
2022/12/8, 145, 103, 14, 6, 2, 8
2022/12/9, 155, 98, 15, 8, 2, 8
2022/12/10, 151, 59, 9, 5, 2, 9
2022/12/11, 91, 43, 7, 1, 2, 6
2022/12/12, 67, , , , , 
2022/12/14, 43, 31, 11, 6, 2, 5
2022/12/15, 54, 50, 12, 10, 2, 6
2022/12/16, 78, 80, 12, 19, 2, 9
2022/12/17, 121, 83, 12, 15, 2, 6
2022/12/18, 123, 93, 15, 20, 2, 4
2022/12/19, 150, 90, 16, 17, 2, 5
2022/12/20, 150, 71, 12, 9, 2, 4
2022/12/21, 118, 71, 12, 10, 2, 4
2022/12/22, 122, 73, 12, 5, 2, 6
2022/12/23, 125, 86, 13, 7, 2, 6
2022/12/24, 140, 73, 13, 8, 2, 5
2022/12/25, 134, 45, 10, 10, 2, 4
2022/12/26, 91, 10, 9, 13, 2, 3
2022/12/27, 25, 20, 9, 12, 2, 4
2022/12/28, 47, 25, 12, 13, 2, 3
2022/12/29, 56, 34, 14, 13, 2, 3
2022/12/30, 69, 53, 14, 9, 2, 5
2022/12/31, 103, 60, 15, 8, 2, 6
2023/1/1, 118, 63, 16, 10, 2, 5
2023/1/2, 120, 57, 15, 14, 2, 2
2022/7/2, 65, 90, 12, 4, 2, 8
2022/7/3, 75, 67, 9, 5, 2, 5
2022/7/4, 53, 56, 9, 6, 2, 6
2022/7/5, 49, 52, 9, 6, 2, 6
2022/7/6, 50, 71, 9, 5, 3, 7
2022/7/7, 65, 57, 9, 5, 2, 7
2022/7/8, 52, 64, 9, 5, 2, 8
2022/7/9, 59, 40, 9, 6, 2, 8
2022/7/10, 58, 39, 9, 10, 2, 5
2022/7/11, 41, 41, 9, 10, 2, 6
2022/7/12, 45, 70, 9, 9, 2, 5
2022/7/13, 59, 58, 9, 8, 2, 6
2022/7/14, 51, 40, 9, 8, 2, 6
2022/7/15, 51, 65, 9, 8, 2, 6
2022/7/16, 56, 63, 9, 10, 2, 7
2022/7/17, 51, 65, 9, 11, 2, 5
2022/7/18, 52, 56, 9, 11, 2, 7
2022/7/19, 57, 88, 9, 10, 2, 8
2022/7/20, 70, 93, 9, 10, 2, 9
2022/7/21, 81, 88, 9, 10, 2, 10
2022/7/22, 75, 96, 8, 10, 2, 9
2022/7/23, 78, 79, 8, 11, 2, 8
2022/7/24, 69, 70, 8, 12, 2, 6
2022/7/25, 59, 77, 10, 12, 2, 8
2022/7/26, 68, 74, 11, 12, 2, 8
2022/7/27, 68, 54, 12, 13, 2, 6
2022/7/28, 71, 54, 17, 14, 2, 7
2022/7/29, 76, 67, 17, 15, 2, 4
2022/7/30, 99, 69, 19, 14, 2, 7
2022/7/31, 65, 43, 15, 15, 2, 9
2022/8/1, 61, 52, 17, 7, 2, 7
2022/8/2, 64, 40, 16, 7, 2, 9
2022/8/3, 59, 46, 10, 8, 2, 14
2022/8/4, 78, 40, 9, 6, 2, 10
2022/8/5, 75, 20, 9, 11, 2, 4
2022/8/6, 39, 46, 10, 8, 2, 7
2022/8/7, 53, 38, 9, 10, 2, 5
2022/8/8, 41, 53, 9, 10, 2, 6
2022/8/9, 49, 50, 9, 9, 2, 6
2022/8/10, 62, 97, 9, 8, 2, 6
2022/8/11, 69, 98, 12, 6, 2, 6
2022/8/12, 65, 86, 12, 6, 2, 7
2022/8/13, 62, 88, 12, 7, 2, 6
2022/8/14, 66, 72, 12, 8, 2, 5
2022/8/15, 61, 57, 11, 11, 2, 5
2022/8/16, 61, 74, 12, 9, 2, 8
2022/8/17, 79, 80, 14, 8, 2, 7
2022/8/18, 80, 78, 13, 7, 2, 8
2022/8/19, 71, 77, 13, 6, 2, 7
2022/8/20, 70, 78, 13, 7, 2, 6
2022/8/21, 70, 59, 13, 9, 2, 6
2022/8/22, 55, 68, 14, 7, 2, 7
2022/8/23, 64, 75, 14, 11, 2, 7
2022/8/24, 65, 71, 14, 9, 2, 8
