date, pm25, pm10, o3, no2
2023/4/2, 15, 7, 34, 6
2023/4/3, 19, 5, 32, 3
2023/4/4, 13, 6, 35, 6
2023/4/5, 13, , , 
2023/4/12, 8, , , 
2023/1/3, 79, 13, 32, 12
2023/1/4, 41, 2, 32, 3
2023/1/5, 6, 3, 26, 5
2023/1/6, 8, 2, 27, 2
2023/1/7, 7, 6, 29, 2
2023/1/8, 17, 4, 30, 1
2023/1/9, 13, 3, 30, 2
2023/1/10, 8, 7, 29, 2
2023/1/11, 18, 11, 34, 2
2023/1/12, 28, 8, 30, 4
2023/1/13, 22, 5, 25, 7
2023/1/14, 18, 8, 31, 8
2023/1/15, 28, 3, 23, 3
2023/1/16, 11, 7, 29, 5
2023/1/17, 18, 7, 20, 14
2023/1/18, 25, 12, 16, 13
2023/1/19, 37, 17, 13, 17
2023/1/20, 46, 31, 2, 24
2023/1/21, 85, 11, 26, 5
2023/1/22, 35, 4, 24, 1
2023/1/23, 13, 3, 25, 2
2023/1/24, 10, 2, 23, 3
2023/1/25, 5, 9, 33, 2
2023/1/26, 21, 8, 28, 4
2023/1/27, 21, 6, 28, 6
2023/1/28, 18, 11, 29, 5
2023/1/29, 30, 10, 31, 1
2023/1/30, 24, 12, 29, 4
2023/1/31, 29, 10, 30, 3
2023/2/1, 24, 8, 27, 5
2023/2/2, 20, 8, 31, 12
2023/2/3, 25, 5, 31, 8
2023/2/4, 17, 5, 28, 3
2023/2/5, 16, 15, 26, 6
2023/2/6, 38, 13, 28, 2
2023/2/7, 34, 6, 28, 3
2023/2/8, 20, 7, 33, 1
2023/2/9, 22, 11, 32, 2
2023/2/10, 27, 13, 32, 3
2023/2/11, 31, 29, 33, 4
2023/2/12, 65, 12, 31, 4
2023/2/13, 33, 11, 27, 5
2023/2/14, 31, 12, 27, 2
2023/2/15, 42, 16, 30, 2
2023/2/16, 49, 12, 28, 4
2023/2/17, 30, 4, 33, 1
2023/2/18, 11, 7, 27, 6
2023/2/19, 20, 6, 33, 3
2023/2/20, 19, 21, 33, 
2023/2/21, 45, 9, 29, 5
2023/2/22, 22, 2, 33, 2
2023/2/23, 7, 9, 29, 5
2023/2/24, 21, 5, 31, 3
2023/2/25, 13, 4, 28, 5
2023/2/26, 12, 6, 29, 2
2023/2/27, 17, 4, 26, 4
2023/2/28, 14, 3, 31, 3
2023/3/1, 10, 4, 29, 2
2023/3/2, 10, 8, 28, 9
2023/3/3, 24, 13, 34, 8
2023/3/4, 34, 7, 33, 2
2023/3/5, 17, 7, 30, 7
2023/3/6, 20, 10, 25, 10
2023/3/7, 26, 9, 24, 10
2023/3/8, 16, 13, 31, 7
2023/3/9, 31, 5, 27, 8
2023/3/10, 14, 13, 29, 9
2023/3/11, 30, 5, 31, 3
2023/3/12, 16, 5, 34, 1
2023/3/13, 16, 3, 31, 7
2023/3/14, 9, 6, 28, 8
2023/3/15, 16, 8, 30, 8
2023/3/16, 22, 7, 32, 4
2023/3/17, 16, 4, 27, 4
2023/3/18, 10, 6, 28, 4
2023/3/19, 18, 5, 28, 4
2023/3/20, 17, 6, 34, 7
2023/3/21, 15, 7, 31, 10
2023/3/22, 17, 8, 36, 1
2023/3/23, 18, 15, 35, 2
2023/3/24, 38, 7, 32, 6
2023/3/25, 20, 2, 29, 5
2023/3/26, 6, 3, 33, 8
2023/3/27, 8, 3, 30, 5
2023/3/28, 8, 5, 31, 3
2023/3/29, 14, 4, 33, 6
2023/3/30, 12, 4, 28, 7
2023/3/31, 11, 4, 36, 5
2023/4/1, 11, 6, 37, 5
2022/10/2, 13, 6, 20, 2
2022/10/3, 18, 12, 17, 5
2022/10/4, 31, 7, 23, 2
2022/10/5, 17, 7, 27, 5
2022/10/6, 18, 15, 22, 4
2022/10/7, 33, 17, 22, 3
2022/10/8, 39, 7, 20, 6
2022/10/9, 16, 7, 27, 
2022/10/10, 20, 10, 26, 2
2022/10/11, 25, 9, 24, 5
2022/10/12, 20, 5, 26, 1
2022/10/13, 15, 7, 25, 4
2022/10/14, 18, 6, 25, 2
2022/10/15, 18, 5, 27, 4
2022/10/16, 12, 5, 28, 1
2022/10/17, 13, 7, 26, 4
2022/10/18, 16, 68, 21, 4
2022/10/19, 40, 8, 19, 7
2022/10/20, 20, 12, 10, 12
2022/10/21, 35, 30, 3, 22
2022/10/22, 64, 10, 12, 11
2022/10/23, 33, 11, 17, 8
2022/10/24, 38, 6, 12, 14
2022/10/25, 17, 7, 15, 13
2022/10/26, 22, 4, 26, 2
2022/10/27, 10, 16, 25, 1
2022/10/28, 44, 5, 22, 2
2022/10/29, 14, 14, 26, 5
2022/10/30, 35, 8, 21, 5
2022/10/31, 23, 9, 27, 1
2022/11/1, 27, 6, 26, 3
2022/11/2, 14, 5, 25, 3
2022/11/3, 15, 8, 28, 1
2022/11/4, 23, 4, 23, 7
2022/11/5, 13, 5, 25, 4
2022/11/6, 16, 5, 25, 3
2022/11/7, 16, 6, 22, 9
2022/11/8, 17, 4, 30, 2
2022/11/9, 13, 8, 33, 4
2022/11/10, 20, 10, 24, 2
2022/11/11, 30, 20, 24, 2
2022/11/12, 52, 15, 27, 4
2022/11/13, 39, 7, 25, 5
2022/11/14, 24, 10, 8, 10
2022/11/15, 35, 9, 24, 13
2022/11/16, 27, 3, 30, 
2022/11/17, 5, 3, 27, 4
2022/11/18, 7, 25, 8, 24
2022/11/19, 56, 30, 4, 19
2022/11/20, 82, 32, 11, 16
2022/11/21, 86, 14, 20, 10
2022/11/22, 39, 5, 20, 3
2022/11/23, 13, 6, 21, 5
2022/11/24, 16, 3, 21, 2
2022/11/25, 7, 2, 25, 2
2022/11/26, 5, 5, , 1
2022/11/27, 15, 3, , 1
2022/11/28, 8, 3, , 6
2022/11/29, 10, 9, , 10
2022/11/30, 20, 24, , 15
2022/12/1, 51, 15, , 10
2022/12/2, 38, 31, , 20
2022/12/3, 77, 38, , 22
2022/12/4, 98, 36, , 19
2022/12/5, 100, 18, , 15
2022/12/6, 57, 6, , 9
2022/12/7, 18, 24, , 21
2022/12/8, 63, 22, , 18
2022/12/9, 58, 20, , 18
2022/12/10, 52, 27, , 15
2022/12/11, 76, 19, , 12
2022/12/12, 63, 37, , 17
2022/12/13, 85, 13, , 11
2022/12/14, 41, 20, , 16
2022/12/15, 59, 35, , 25
2022/12/16, 94, 14, , 16
2022/12/17, 48, 7, , 6
2022/12/18, 24, 17, , 7
2022/12/19, 43, 3, , 2
2022/12/20, 8, 10, , 2
2022/12/21, 29, 7, , 3
2022/12/22, 20, 4, , 9
2022/12/23, 14, 10, , 13
2022/12/24, 32, 31, , 19
2022/12/25, 93, 5, , 5
2022/12/26, 18, 6, , 3
2022/12/27, 17, 11, , 5
2022/12/28, 30, 7, 28, 11
2022/12/29, 22, 3, 33, 3
2022/12/30, 10, 8, 28, 2
2022/12/31, 20, 12, 29, 4
2023/1/1, 32, 31, 23, 15
2023/1/2, 85, 27, 10, 23
2022/7/2, 23, 4, , 2
2022/7/3, 13, 4, , 4
2022/7/4, 11, 3, , 1
2022/7/5, 9, 7, , 1
2022/7/6, 13, 9, , 1
2022/7/7, 17, 5, , 
2022/7/8, 11, 7, , 4
2022/7/9, 16, 10, , 
2022/7/10, 21, 2, , 1
2022/7/11, 5, 4, , 2
2022/7/12, 11, 6, , 2
2022/7/13, 15, 8, , 2
2022/7/14, 18, 8, , 
2022/7/15, 17, 4, , 2
2022/7/16, 7, 3, , 2
2022/7/17, 6, 2, , 1
2022/7/18, 7, 5, , 3
2022/7/19, 16, 10, , 5
2022/7/20, 25, 19, , 4
2022/7/21, 44, 4, , 2
2022/7/22, 13, 5, , 1
2022/7/23, 12, 9, , 
2022/7/24, 20, 4, , 1
2022/7/25, 15, 6, , 1
2022/7/26, 17, 4, , 
2022/7/27, 9, 3, , 2
2022/7/28, 6, 4, , 3
2022/7/29, 9, 5, , 6
2022/7/30, 17, 5, , 3
2022/7/31, 15, 6, , 1
2022/8/1, 15, 9, , 2
2022/8/2, 18, 4, , 1
2022/8/3, 9, 11, , 1
2022/8/4, 32, 5, , 3
2022/8/5, 14, 4, , 2
2022/8/6, 9, 5, , 1
2022/8/7, 11, 3, , 
2022/8/8, 8, 3, , 3
2022/8/9, 7, 5, , 2
2022/8/10, 14, 5, , 
2022/8/11, 13, 13, , 6
2022/8/12, 36, 5, , 6
2022/8/13, 15, 4, , 3
2022/8/14, 13, 8, , 6
2022/8/15, 21, 19, 27, 11
2022/8/16, 38, 12, 22, 10
2022/8/17, 41, 8, 21, 1
2022/8/18, 17, 8, 23, 5
2022/8/19, 18, 7, 32, 3
2022/8/20, 17, 7, 23, 
2022/8/21, 20, 6, 23, 2
2022/8/22, 15, 6, 19, 4
2022/8/23, 14, 7, 25, 6
2022/8/24, 16, 9, 37, 5
2022/8/25, 23, 8, 33, 5
2022/8/26, 24, 4, 27, 3
2022/8/27, 12, 5, 23, 3
2022/8/28, 14, 3, 20, 
2022/8/29, 7, 8, 19, 7
2022/8/30, 16, 7, 25, 5
2022/8/31, 20, 7, 26, 4
2022/9/1, 20, 7, 27, 7
2022/9/2, 22, 5, 28, 5
2022/9/3, 12, 5, 26, 6
2022/9/4, 12, 5, 24, 8
2022/9/5, 13, 7, 23, 8
2022/9/6, 13, 5, 19, 12
2022/9/7, 12, 6, 22, 11
2022/9/8, 14, 7, 24, 10
2022/9/9, 15, 4, 23, 8
2022/9/10, 8, 5, 23, 9
2022/9/11, 12, 5, 27, 9
2022/9/12, 15, 3, 28, 2
2022/9/13, 9, 6, 27, 3
2022/9/14, 12, 3, 27, 6
2022/9/15, 8, 5, 24, 2
2022/9/16, 11, 7, 23, 1
2022/9/17, 14, 7, 23, 1
2022/9/18, 15, 4, 23, 4
2022/9/19, 9, 3, 22, 5
2022/9/20, 6, 5, 21, 7
2022/9/21, 10, 7, 26, 3
2022/9/22, 11, 6, 30, 1
2022/9/23, 19, 7, 18, 7
2022/9/24, 17, 5, 20, 5
2022/9/25, 15, 3, 25, 2
2022/9/26, 8, 5, 26, 4
2022/9/27, 12, 6, 9, 11
2022/9/28, 13, 6, 28, 10
2022/9/29, 14, 10, 20, 14
2022/9/30, 25, 4, 28, 1
2022/10/1, 10, 5, 31, 2
2022/4/2, 15, 6, , 5
2022/4/3, 16, 4, , 3
2022/4/4, 13, 3, , 3
2022/4/5, 6, 4, , 6
2022/4/6, 9, 6, , 9
2022/4/7, 12, 6, , 8
2022/4/8, 11, 3, , 5
2022/4/9, 6, 8, , 2
2022/4/10, 20, 12, , 1
2022/4/11, 27, 9, , 8
2022/4/12, 21, 8, , 8
2022/4/13, 16, 8, , 12
2022/4/14, 18, 3, , 5
2022/4/15, 11, 4, , 3
2022/4/16, 12, 5, , 5
2022/4/17, 18, 6, , 2
2022/4/18, 20, 8, , 6
2022/4/19, 21, 13, , 12
2022/4/20, 36, 13, , 9
2022/4/21, 38, 7, , 8
2022/4/22, 17, 8, , 5
2022/4/23, 15, 8, , 9
2022/4/24, 18, 5, , 2
2022/4/25, 12, 9, , 4
2022/4/26, 21, 7, , 2
2022/4/27, 14, 6, , 2
2022/4/28, 11, 6, , 1
2022/4/29, 12, 3, , 2
2022/4/30, 8, 3, , 3
2022/5/1, 7, 3, , 4
2022/5/2, 8, 6, , 2
2022/5/3, 14, 7, , 5
2022/5/4, 15, 7, , 2
2022/5/5, 16, 9, , 5
2022/5/6, 21, 4, , 1
2022/5/7, 11, , , 
2022/5/9, 18, 8, , 2
2022/5/10, 15, 8, , 2
2022/5/11, 24, 10, , 4
2022/5/12, 27, 8, , 1
2022/5/13, 18, 7, , 4
2022/5/14, 19, 7, , 3
2022/5/15, 15, 12, , 3
2022/5/16, 34, 5, , 5
2022/5/17, 14, 4, , 10
2022/5/18, 11, 7, , 3
2022/5/19, 17, 10, , 6
2022/5/20, 30, 8, , 8
2022/5/21, 25, 6, , 4
2022/5/22, 18, 5, , 3
2022/5/23, 17, 6, , 2
2022/5/24, 17, 3, , 4
2022/5/25, 8, 4, , 1
2022/5/26, 9, 10, , 1
2022/5/27, 21, 5, , 4
2022/5/28, 11, 6, , 1
2022/5/29, 14, 3, , 3
2022/5/30, 8, 4, , 6
2022/5/31, 12, 5, , 6
2022/6/1, 12, 10, , 4
2022/6/2, 31, 4, , 1
