date, pm25, pm10, o3, no2, so2
2021/10/2, 13, , , , 
2021/7/2, 63, 23, 34, 6, 
2021/7/3, 66, 12, 22, 2, 
2021/7/4, 41, 7, 19, 1, 
2021/7/5, 18, 9, 26, 1, 
2021/7/6, 21, 9, 23, 1, 
2021/7/7, 20, 7, 23, 2, 
2021/7/8, 19, 10, 29, 4, 
2021/7/9, 27, 13, 29, 6, 
2021/7/10, 39, 8, 26, 2, 
2021/7/11, 24, 6, 26, 1, 
2021/7/12, 18, 7, 22, 4, 
2021/7/13, 20, 11, 33, 5, 
2021/7/14, 35, 10, 29, 3, 
2021/7/15, 29, 10, 32, 4, 
2021/7/16, 25, 15, 36, 7, 
2021/7/17, 44, 12, 37, 6, 
2021/7/18, 30, 13, 38, 5, 
2021/7/19, 33, 18, 44, 8, 
2021/7/20, 40, 23, 48, 7, 
2021/7/21, 48, 28, 49, 6, 
2021/7/22, 62, 22, 49, 6, 
2021/7/23, 54, 22, 31, 4, 
2021/7/24, 53, 16, 31, 1, 
2021/7/25, 39, 15, 40, 3, 
2021/7/26, 44, 19, 42, 6, 
2021/7/27, 53, 20, 30, 6, 
2021/7/28, 54, 12, 22, 2, 
2021/7/29, 33, 8, 24, 1, 
2021/7/30, 18, 8, 24, 3, 
2021/7/31, 23, 6, 22, 2, 
2021/8/1, 19, 8, 29, 3, 
2021/8/2, 23, 8, 27, 5, 
2021/8/3, 21, 12, 32, 7, 
2021/8/4, 34, 12, 40, 4, 
2021/8/5, 38, 10, 26, 3, 
2021/8/6, 31, 7, 25, 1, 
2021/8/7, 16, 10, 25, 1, 
2021/8/8, 28, 7, 28, 1, 
2021/8/9, 19, 7, 24, 2, 
2021/8/10, 21, 9, 28, 2, 
2021/8/11, 26, 9, 23, 2, 
2021/8/12, 25, 17, 24, 4, 
2021/8/13, 56, 18, 22, 2, 
2021/8/14, 52, 11, 20, 1, 
2021/8/15, 30, 7, 28, 1, 
2021/8/16, 22, 15, 30, 2, 
2021/8/17, 42, 8, 26, 1, 
2021/8/18, 22, , , , 
2021/8/20, 21, 7, 22, 3, 
2021/8/21, 17, 7, 16, 3, 
2021/8/22, 20, 9, 28, 3, 
2021/8/23, 24, 11, 35, 5, 
2021/8/24, 32, 8, 28, 4, 
2021/8/25, 20, 9, 24, 6, 
2021/8/26, 23, 15, 32, 4, 
2021/8/27, 40, 10, 29, 4, 
2021/8/28, 24, 14, 32, 6, 
2021/8/29, 38, 15, 31, 5, 
2021/8/30, 47, 10, 29, 3, 
2021/8/31, 27, 10, 25, 6, 
2021/9/1, 26, 16, 28, 5, 
2021/9/2, 42, 16, 30, 3, 
2021/9/3, 43, 17, 29, 4, 
2021/9/4, 45, 18, 37, 5, 
2021/9/5, 52, 26, 45, 7, 
2021/9/6, 68, 27, 49, 11, 
2021/9/7, 71, 23, 52, 9, 
2021/9/8, 59, 26, 61, 9, 
2021/9/9, 65, 22, 27, 5, 
2021/9/10, 60, 10, 29, 3, 
2021/9/11, 31, 7, 32, 3, 
2021/9/12, 21, 9, 25, 7, 
2021/9/13, 25, 9, 27, 6, 
2021/9/14, 22, 11, 23, 8, 
2021/9/15, 36, 17, 29, 10, 
2021/9/16, 56, 14, 29, 6, 
2021/9/17, 48, 9, 27, 6, 
2021/9/18, 25, 11, 33, 6, 
2021/9/19, 35, 10, 31, 4, 
2021/9/20, 33, 9, 28, 8, 
2021/9/21, 24, 11, 26, 9, 
2021/9/22, 28, 11, 28, 4, 
2021/9/23, 30, 7, 29, 5, 
2021/9/24, 15, 10, 23, 6, 
2021/9/25, 27, 8, 22, 4, 
2021/9/26, 26, 11, 31, 2, 
2021/9/27, 39, 7, 32, 2, 
2021/9/28, 18, 7, 28, 3, 
2021/9/29, 15, 6, 27, 3, 
2021/9/30, 13, 6, 25, 2, 
2021/10/1, 13, 6, 27, 2, 
2021/4/2, 60, 12, 36, 2, 
2021/4/3, 32, 22, 36, 6, 
2021/4/4, 50, 33, 40, 7, 
2021/4/5, 80, 13, 35, 2, 
2021/4/6, 38, 10, 32, 5, 
2021/4/7, 17, 9, 32, 6, 
2021/4/8, 19, 8, 33, 3, 
2021/4/9, 19, 8, 31, 6, 
2021/4/10, 20, 12, 30, 11, 
2021/4/11, 40, 11, 35, 7, 
2021/4/12, 39, 8, 37, 9, 
2021/4/13, 22, 13, 34, 15, 
2021/4/14, 35, 22, 35, 12, 
2021/4/15, 55, 16, 36, 11, 
2021/4/16, 46, 22, 34, 13, 
2021/4/17, 59, 24, 40, 13, 
2021/4/18, 65, 19, 43, 10, 
2021/4/19, 55, 22, 45, 12, 
2021/4/20, 52, 34, 45, 12, 
2021/4/21, 74, 33, 37, 7, 
2021/4/22, 75, 19, 36, 7, 
2021/4/23, 43, 15, 39, 4, 
2021/4/24, 32, 15, 42, 4, 
2021/4/25, 34, 12, 39, , 
2021/4/26, 33, 15, 39, 3, 
2021/4/27, 35, 19, 29, 8, 
2021/4/28, 45, 18, 40, 3, 
2021/4/29, 53, 14, 36, 9, 
2021/4/30, 40, 14, 32, 10, 
2021/5/1, 48, 16, 37, 7, 
2021/5/2, 56, 15, 38, 6, 
2021/5/3, 50, 8, 35, 1, 
2021/5/4, 25, 5, 35, 1, 
2021/5/5, 12, 4, 30, 2, 
2021/5/6, 10, 6, 34, 3, 
2021/5/7, 17, 9, 37, 2, 
2021/5/8, 21, 6, 28, 1, 
2021/5/9, 16, 6, 35, 1, 
2021/5/10, 14, 8, 33, 2, 
2021/5/11, 20, 9, 37, 3, 
2021/5/12, 25, 7, 36, 3, 
2021/5/13, 19, 12, 35, 9, 
2021/5/14, 37, 15, 32, 6, 
2021/5/15, 48, 13, 30, 4, 
2021/5/16, 46, 9, 28, 3, 
2021/5/17, 23, 10, 32, 7, 
2021/5/18, 30, 6, 32, 4, 
2021/5/19, 17, 7, 35, 5, 
2021/5/20, 21, 7, 29, 3, 
2021/5/21, 20, 6, 29, 1, 
2021/5/22, 14, 5, 33, 3, 
2021/5/23, 12, 6, 35, 1, 
2021/5/24, 16, 6, 30, 4, 
2021/5/25, 15, 7, 34, 2, 
2021/5/26, 15, 8, 34, 4, 
2021/5/27, 21, 12, 37, 8, 
2021/5/28, 39, 11, 35, 6, 
2021/5/29, 37, 13, 42, 7, 
2021/5/30, 40, 14, 38, 3, 
2021/5/31, 46, 18, 43, 2, 
2021/6/1, 57, 17, 53, 4, 
2021/6/2, 47, 17, 54, 6, 
2021/6/3, 46, 15, 34, 2, 
2021/6/4, 46, 14, 31, 6, 
2021/6/5, 29, 11, 36, 4, 
2021/6/6, 26, 9, 28, 4, 
2021/6/7, 30, 9, 31, 2, 
2021/6/8, 30, 9, 38, 3, 
2021/6/9, 23, 8, 31, 2, 
2021/6/10, 23, 5, 20, 1, 
2021/6/11, 13, 5, 25, 1, 
2021/6/12, 11, 10, 32, 2, 
2021/6/13, 28, 8, 30, 3, 
2021/6/14, 23, 11, 27, 2, 
2021/6/15, 27, 12, 41, 4, 
2021/6/16, 28, 10, 38, 2, 
2021/6/17, 26, 12, 27, 7, 
2021/6/18, 27, 9, 24, 5, 
2021/6/19, 22, 9, 28, 2, 
2021/6/20, 28, 10, 24, 1, 
2021/6/21, 31, 10, 29, 3, 
2021/6/22, 28, 12, 30, 3, 
2021/6/23, 32, 18, 36, 8, 
2021/6/24, 51, 14, 20, 5, 
2021/6/25, 45, 8, 19, 5, 
2021/6/26, 21, 9, 27, 1, 
2021/6/27, 25, 9, 28, 1, 
2021/6/28, 26, 10, 26, 4, 
2021/6/29, 31, 14, 19, 7, 
2021/6/30, 44, 19, 23, 7, 
2021/7/1, 56, 23, 25, 10, 
2021/1/5, 23, 8, 17, 7, 
2021/1/6, 21, 14, 8, 13, 
2021/1/7, 40, 24, 3, 17, 
2021/1/8, 73, 20, 9, 15, 
2021/1/9, 67, 23, 12, 11, 
2021/1/10, 71, 18, 14, 7, 
2021/1/11, 61, 8, 24, 3, 
2021/1/12, 29, 9, 25, 12, 
2021/1/13, 25, 15, 16, 11, 
2021/1/14, 53, 8, 11, 13, 
2021/1/15, 31, 15, 15, 8, 
2021/1/16, 51, 15, 22, 5, 
2021/1/17, 51, 12, 25, 3, 
2021/1/18, 31, 9, 21, 5, 
2021/1/19, 25, 4, 25, 2, 
2021/1/20, 13, 2, 26, 2, 
2021/1/21, 8, 4, 28, 3, 
2021/1/22, 10, 8, 19, 8, 
2021/1/23, 22, 10, 20, 11, 
2021/1/24, 33, 10, 19, 7, 
2021/1/25, 36, 10, 23, 10, 
2021/1/26, 36, 9, 20, 8, 
2021/1/27, 33, 10, 16, 12, 
2021/1/28, 35, 9, 21, 4, 
2021/1/29, 29, 8, 24, 5, 
2021/1/30, 22, 7, 20, 3, 
2021/1/31, 22, 9, 19, 5, 
2021/2/1, 27, 18, 14, 11, 
2021/2/2, 57, 16, 24, 10, 
2021/2/3, 53, 10, 27, 6, 
2021/2/4, 27, 10, 17, 8, 
2021/2/5, 31, 9, 19, 6, 
2021/2/6, 33, 10, 12, 8, 
2021/2/7, 35, 16, 30, 1, 
