date, pm25, pm10, o3, no2
2023/4/2, 38, 12, 29, 1
2023/4/3, 24, 12, 32, 4
2023/4/4, 25, 15, 35, 3
2023/4/5, 24, 20, 39, 8
2023/4/6, 35, 19, 39, 6
2023/4/7, 34, 15, 37, 7
2023/4/8, 29, 10, 42, 5
2023/4/9, 14, 8, 42, 4
2023/4/10, 24, 13, 34, 3
2023/4/11, 27, 17, 39, 4
2023/4/12, 25, , , 
2023/1/3, 41, 17, 13, 14
2023/1/4, 58, 15, 15, 10
2023/1/5, 43, 22, 15, 14
2023/1/6, 46, 23, 20, 12
2023/1/7, 52, 10, 24, 6
2023/1/8, 45, 7, 29, 3
2023/1/9, 24, 14, 29, 5
2023/1/10, 35, 19, 21, 10
2023/1/11, 41, 18, 25, 10
2023/1/12, 42, 21, 24, 9
2023/1/13, 39, 19, 26, 12
2023/1/14, 49, 14, 18, 8
2023/1/15, 43, 9, 30, 3
2023/1/16, 25, 11, 31, 4
2023/1/17, 36, 6, 30, 6
2023/1/18, 25, 11, 25, 11
2023/1/19, 39, 6, 23, 9
2023/1/20, 27, 22, 16, 13
2023/1/21, 68, 27, 20, 9
2023/1/22, 96, 19, 15, 5
2023/1/23, 72, 20, 14, 6
2023/1/24, 62, 20, 11, 5
2023/1/25, 56, 23, 11, 7
2023/1/26, 80, 13, 19, 6
2023/1/27, 50, 14, 26, 7
2023/1/28, 35, 10, 21, 5
2023/1/29, 44, 12, 21, 5
2023/1/30, 56, 37, 23, 15
2023/1/31, 88, 20, 27, 10
2023/2/1, 46, 24, 26, 13
2023/2/2, 50, 33, 30, 12
2023/2/3, 59, 36, 26, 14
2023/2/4, 64, 18, 22, 10
2023/2/5, 53, 10, 28, 5
2023/2/6, 38, 16, 22, 7
2023/2/7, 38, 17, 20, 9
2023/2/8, 42, 32, 26, 14
2023/2/9, 66, 50, 23, 20
2023/2/10, 110, 50, 28, 19
2023/2/11, 120, 44, 26, 21
2023/2/12, 125, 46, 32, 19
2023/2/13, 125, 43, 31, 20
2023/2/14, 107, 34, 31, 14
2023/2/15, 94, 26, 30, 13
2023/2/16, 68, 40, 17, 19
2023/2/17, 80, 37, 30, 14
2023/2/18, 71, 22, 32, 12
2023/2/19, 67, 14, 18, 7
2023/2/20, 49, 32, 11, 13
2023/2/21, 66, 29, 25, 9
2023/2/22, 75, 20, 26, 8
2023/2/23, 49, 4, 28, 5
2023/2/24, 22, 7, 28, 8
2023/2/25, 32, 9, 25, 5
2023/2/26, 47, 11, 32, 3
2023/2/27, 31, 11, 25, 5
2023/2/28, 38, 19, 27, 7
2023/3/1, 49, 24, 27, 9
2023/3/2, 67, 41, 29, 13
2023/3/3, 98, 49, 29, 16
2023/3/4, 119, 51, 27, 15
2023/3/5, 136, 34, 33, 9
2023/3/6, 100, 38, 28, 16
2023/3/7, 80, 25, 16, 16
2023/3/8, 93, 12, 30, 8
2023/3/9, 37, 19, 36, 7
2023/3/10, 42, 24, 36, 5
2023/3/11, 43, 10, 21, 2
2023/3/12, 28, 8, 24, 6
2023/3/13, 23, 10, 38, 4
2023/3/14, 32, 20, 36, 2
2023/3/15, 31, 7, 31, 5
2023/3/16, 17, 10, 35, 3
2023/3/17, 16, 16, 32, 5
2023/3/18, 33, 10, 32, 2
2023/3/19, 22, 5, 32, 1
2023/3/20, 12, 10, 36, 9
2023/3/21, 22, 19, 32, 8
2023/3/22, 37, 21, 22, 12
2023/3/23, 51, 22, 29, 11
2023/3/24, 55, 20, 36, 3
2023/3/25, 25, 20, 34, 4
2023/3/26, 30, 17, 37, 1
2023/3/27, 27, 16, 36, 5
2023/3/28, 23, 10, 33, 6
2023/3/29, 20, 19, 30, 8
2023/3/30, 34, 31, 36, 7
2023/3/31, 42, 49, 35, 1
2023/4/1, 53, 20, 36, 
2022/10/2, 18, 10, 23, 2
2022/10/3, 21, 19, 29, 9
2022/10/4, 33, 23, 30, 10
