date, pm25, pm10, o3, no2, so2, co
2023/4/2, 21, 10, 25, 5, , 
2023/4/3, 38, 21, 30, 14, , 
2023/4/4, 48, 23, 33, 13, , 
2023/4/5, 45, 38, 35, 24, , 
2023/4/6, 70, 21, 24, 18, , 
2023/4/7, 58, 11, 31, 8, , 
2023/4/8, 34, 18, 29, 7, , 
2023/4/9, 54, 28, 32, 13, , 
2023/4/10, 79, 13, 29, 8, , 
2023/4/11, 42, 16, 32, 8, , 
2023/4/12, 29, , , , , 
2023/2/27, 26, 22, 24, 12, 1, 
2023/2/28, 36, 22, 24, 15, 1, 
2023/3/1, 53, 29, 24, 18, 2, 
2023/3/2, 64, 32, 18, 18, 1, 
2023/3/3, 70, 23, 20, 10, , 
2023/3/4, 64, 13, 28, 6, , 
2023/3/5, 37, 10, 25, 8, , 
2023/3/6, 35, 24, 23, 10, , 
2023/3/7, 67, 10, 22, 10, , 
2023/3/8, 37, 12, 20, 14, , 
2023/3/9, 41, 19, 25, 17, , 
2023/3/10, 54, 8, 27, 9, , 
2023/3/11, 26, 17, 27, 15, , 
2023/3/12, 41, 18, 29, 7, , 
2023/3/13, 46, 13, 23, 5, , 
2023/3/14, 33, 10, 27, 10, , 
2023/3/15, 28, 13, 27, 13, , 
2023/3/16, 36, 17, 30, 11, , 
2023/3/17, 29, 23, 27, 16, , 
2023/3/18, 44, 15, 30, 10, , 
2023/3/19, 42, 10, 24, 6, , 
2023/3/20, 33, 21, 24, 14, , 
2023/3/21, 49, 18, 25, 15, , 
2023/3/22, 43, 16, 25, 10, , 
2023/3/23, 34, 11, 31, 7, , 
2023/3/24, 28, 12, 28, 5, , 
2023/3/25, 24, 11, 31, 4, , 
2023/3/26, 30, 10, 29, 4, , 
2023/3/27, 28, 10, 32, 7, , 
2023/3/28, 23, 24, 30, 19, , 
2023/3/29, 39, 18, 24, 13, , 
2023/3/30, 43, 13, 30, 7, , 
2023/3/31, 29, 9, 28, 6, , 
2023/4/1, 25, 6, 27, 5, , 
2022/10/2, 34, 13, , , , 
2022/10/3, 33, 22, , , , 
2022/10/4, 48, 28, , , , 
