date, pm10, no2, co
2023/4/2, 23, 10, 2
2023/4/3, 17, 11, 3
2023/4/4, 22, , 
2023/1/3, 23, 5, 1
2023/1/4, 31, , 
2023/1/6, 24, , 1
2023/1/7, 28, , 1
2023/1/8, 28, , 1
2023/1/9, 28, , 2
2023/1/10, 24, , 
2023/1/11, 29, , 2
2023/1/12, 28, , 
2023/1/14, 35, , 3
2023/1/15, 25, , 2
2023/1/16, 27, , 
2023/1/18, 29, , 2
2023/1/19, 22, , 2
2023/1/20, 24, , 2
2023/1/21, 24, , 2
2023/1/22, 18, , 1
2023/1/23, 19, , 2
2023/1/24, 20, , 2
2023/1/25, 31, , 2
2023/1/26, 31, , 3
2023/1/27, 17, , 4
2023/1/28, 22, , 1
2023/1/29, 17, , 1
2023/1/30, 24, , 2
2023/1/31, 26, , 2
2023/2/1, 38, , 1
2023/2/2, 47, , 
2023/2/5, 20, , 2
2023/2/6, 33, , 3
2023/2/7, 32, , 6
2023/2/8, 31, , 5
2023/2/9, 47, , 2
2023/2/10, 49, , 2
2023/2/11, 49, , 1
2023/2/12, 32, , 1
2023/2/13, 32, , 3
2023/2/14, 33, , 1
2023/2/15, 38, , 2
2023/2/16, 34, , 
2023/2/18, 18, , 
2023/2/19, 14, , 
2023/2/20, 16, , 
2023/2/21, 17, , 1
2023/2/22, 18, , 3
2023/2/23, 27, , 2
2023/2/24, 37, , 2
2023/2/25, 45, , 3
2023/2/26, 41, , 
2023/2/27, 34, , 1
2023/2/28, 32, , 
2023/3/4, 34, , 
2023/3/5, 33, , 
2023/3/6, 22, , 
2023/3/7, 30, , 
2023/3/8, 24, , 
2023/3/9, 41, , 
2023/3/11, 43, , 1
2023/3/12, 33, , 1
2023/3/13, 26, , 1
2023/3/14, 41, , 2
2023/3/15, 43, , 2
2023/3/17, 45, , 1
2023/3/18, 31, , 1
2023/3/19, 24, , 1
2023/3/20, 23, , 
2023/3/21, 18, , 
2023/3/22, 16, , 
2023/3/24, 35, , 1
2023/3/25, 19, , 1
2023/3/26, 16, , 
2023/3/27, 24, 14, 3
2023/3/28, 27, 15, 2
2023/3/29, 25, 7, 
2023/3/30, 38, 9, 1
2023/3/31, 48, , 
2023/4/1, 47, 11, 
2022/10/8, 37, , 2
2022/10/11, 29, 9, 2
2022/10/12, 20, , 2
2022/10/13, 38, 6, 3
2022/10/15, 41, 6, 1
2022/10/16, 33, 4, 1
2022/10/17, 16, , 2
2022/10/18, 30, , 2
2022/10/19, 29, , 2
2022/10/20, 23, 8, 2
2022/10/21, 28, 8, 2
2022/10/22, 27, , 2
2022/10/23, 26, , 2
2022/10/24, 16, , 2
2022/10/25, 17, 7, 2
2022/10/26, 19, , 2
2022/10/29, 47, , 3
2022/10/30, 31, , 2
2022/10/31, 17, , 1
2022/11/1, 27, 11, 4
2022/11/2, 29, 12, 6
2022/11/3, 29, 6, 3
2022/11/4, 36, 4, 2
2022/11/5, 32, 3, 2
2022/11/6, 28, 3, 1
2022/11/7, 20, , 1
2022/11/8, 20, , 1
2022/11/9, 24, , 1
2022/11/10, 32, , 1
2022/11/11, 29, , 2
2022/11/12, 33, , 2
2022/11/13, 45, , 2
2022/11/14, 38, , 1
2022/11/15, 15, , 1
2022/11/16, 27, , 3
2022/11/19, 26, 9, 2
2022/11/20, 29, 2, 3
2022/11/21, 30, 2, 1
2022/11/22, 12, 6, 1
2022/11/23, 20, 9, 1
2022/11/24, 29, , 2
2022/11/27, 23, 3, 2
2022/11/28, 30, 4, 2
2022/11/29, 32, 5, 2
2022/11/30, 25, 3, 2
2022/12/1, 13, 5, 2
2022/12/2, 14, 6, 1
2022/12/3, 15, 7, 1
2022/12/4, 17, 7, 3
2022/12/5, 23, 7, 2
2022/12/6, 24, , 2
2022/12/9, 32, , 4
2022/12/10, 32, 5, 2
2022/12/11, 31, 5, 2
