date, pm25, o3, no2, so2, co
2023/4/2, 16, , 3, , 2
2023/4/3, 10, , 11, , 2
2023/4/4, 42, , 6, , 2
2023/4/5, 46, , 10, 1, 2
2023/4/6, 44, , 16, , 2
2023/4/7, 44, , 12, , 1
2023/4/8, 26, , 4, 1, 1
2023/4/9, 12, , 5, , 1
2023/4/10, 12, , 6, 1, 1
2023/4/11, 20, , 8, , 1
2023/4/12, 14, , , , 
2023/1/3, 26, , 32, 1, 5
2023/1/4, 52, , 34, 1, 6
2023/1/5, 36, , 29, , 4
2023/1/6, 31, , 26, , 4
2023/1/7, 19, , 34, , 6
2023/1/8, 35, , 34, , 6
2023/1/9, 28, , 38, 1, 6
2023/1/10, 29, , 39, 1, 8
2023/1/11, 39, , 30, , 5
2023/1/12, 41, , 39, 1, 6
2023/1/13, 39, , 28, 1, 5
2023/1/14, 24, , 24, 1, 4
2023/1/15, 28, , 14, , 3
2023/1/16, 68, , 10, , 2
2023/1/17, 61, , 25, 1, 5
2023/1/18, 40, , 31, 1, 5
2023/1/19, 34, , 19, , 3
2023/1/20, 24, , 26, 1, 3
2023/1/21, 28, , 19, 1, 3
2023/1/22, 26, , 11, 1, 2
2023/1/23, 12, , 17, , 3
2023/1/24, 13, , 19, 1, 3
2023/1/25, 17, , 17, 1, 2
2023/1/26, 12, , 16, 1, 2
2023/1/27, 11, , 13, , 2
2023/1/28, 16, , 14, , 2
2023/1/29, 20, , 14, 1, 2
2023/1/30, 19, , 23, 1, 2
2023/1/31, 15, , 29, 1, 3
2023/2/1, 26, , 24, 1, 3
2023/2/2, 44, , 17, 1, 3
2023/2/3, 36, , 30, 1, 4
2023/2/4, 28, , 18, , 2
2023/2/5, 13, , 19, 1, 3
2023/2/6, 20, , 17, 1, 3
2023/2/7, 12, , 14, , 2
2023/2/8, 11, , 13, , 3
2023/2/9, 23, , 28, 1, 4
2023/2/10, 36, , 18, 1, 3
2023/2/11, 16, , 10, , 3
2023/2/12, 12, , 14, 1, 3
2023/2/13, 18, , 8, , 2
2023/2/14, 12, , 15, , 3
2023/2/15, 27, , 22, , 4
2023/2/16, 43, , 18, , 3
2023/2/17, 41, , 16, 1, 1
2023/2/18, 22, , 15, 1, 1
2023/2/19, 20, , 11, , 1
2023/2/20, 15, , 6, , 1
2023/2/21, 42, , 10, , 1
2023/2/22, 17, , 13, 1, 2
2023/2/23, 25, , 16, , 2
2023/2/24, 22, , 16, , 2
2023/2/25, 30, , 41, 1, 4
2023/2/26, 55, , 29, 1, 2
2023/2/27, 32, , 30, , 2
2023/2/28, 45, , 21, , 2
2023/3/1, 63, , 18, , 2
2023/3/2, 61, , 15, 1, 1
2023/3/3, 14, , 12, 1, 2
2023/3/4, 12, , 13, 1, 2
2023/3/5, 27, , 8, , 1
2023/3/6, 31, , 13, , 2
2023/3/7, 31, , 11, , 1
2023/3/8, 51, , 12, , 1
2023/3/9, 40, , 9, , 1
2023/3/10, 32, , 21, , 2
2023/3/11, 54, , 14, 1, 1
2023/3/12, 47, , 11, , 1
2023/3/13, 60, , 41, 1, 3
2023/3/14, 87, , 19, , 1
2023/3/15, 36, , 29, 2, 2
2023/3/16, 36, , 17, 2, 2
2023/3/17, 20, , 21, 1, 2
2023/3/18, 37, , 19, 1, 2
2023/3/19, 52, , 28, 1, 3
2023/3/20, 54, , 28, 1, 3
2023/3/21, 72, , 17, 1, 2
2023/3/22, 60, , 23, 1, 2
2023/3/23, 68, , 22, 1, 3
2023/3/24, 49, , 15, 1, 2
2023/3/25, 55, , 8, 1, 2
2023/3/26, 69, , 8, 1, 2
2023/3/27, 34, , 9, , 2
2023/3/28, 36, , 14, 1, 2
2023/3/29, 43, , 15, , 2
2023/3/30, 45, , 15, , 2
2023/3/31, 58, , 13, , 2
2023/4/1, 47, , 7, , 2
2022/10/2, 50, , 9, 1, 
2022/10/3, 46, , 12, 2, 
2022/10/4, 59, , 15, 3, 
2022/10/5, 63, , 16, 1, 1
2022/10/6, 96, , 5, , 1
2022/10/7, 52, , 15, 2, 2
2022/10/8, 64, , 13, 1, 2
2022/10/9, 56, , 10, 2, 1
2022/10/10, 54, , 7, , 1
2022/10/11, 42, , 9, 1, 1
2022/10/12, 15, , 12, , 1
2022/10/13, 21, , 15, 2, 1
2022/10/14, 25, , 14, 1, 1
2022/10/15, 30, , 7, 1, 1
2022/10/16, 52, , 9, 1, 1
2022/10/17, 47, , 18, 1, 1
2022/10/18, 39, , 21, 1, 2
2022/10/19, 55, , 21, 1, 2
2022/10/20, 71, , 16, 1, 1
2022/10/21, 54, , 11, , 1
2022/10/22, 33, , 9, , 
2022/10/23, 33, , 7, , 1
2022/10/24, 36, , 21, 1, 2
2022/10/25, 36, , 14, , 1
2022/10/26, 24, , 15, , 1
2022/10/27, 21, , 11, , 1
2022/10/28, 15, , 12, , 1
2022/10/29, 13, , 16, 1, 1
2022/10/30, 27, , 7, 1, 
2022/10/31, 10, , 13, , 
2022/11/1, 16, , 12, , 1
2022/11/2, 21, , 7, , 1
2022/11/3, 17, , 22, , 2
2022/11/4, 30, , 29, 1, 2
2022/11/5, 35, , 11, 1, 1
2022/11/6, 37, , 6, , 
2022/11/7, 20, , 14, , 
2022/11/8, 18, , 24, 1, 1
2022/11/9, 23, , 28, , 1
2022/11/10, 41, , 34, 1, 3
2022/11/11, 37, , 26, 3, 2
2022/11/12, 51, , 18, 1, 1
2022/11/13, 35, , 18, 1, 1
2022/11/14, 31, , 16, 1, 1
2022/11/15, 17, , 18, 1, 1
2022/11/16, 19, , 13, 1, 1
2022/11/17, 18, , 16, 1, 1
2022/11/18, 20, , 26, 1, 2
2022/11/19, 27, , 25, 1, 2
2022/11/20, 30, , 16, 1, 1
2022/11/21, 25, , 30, 1, 3
2022/11/22, 30, , 32, 1, 3
2022/11/23, 20, , 19, , 2
2022/11/24, 17, , 28, 1, 3
2022/11/25, 19, , 8, , 1
2022/11/26, 10, , 14, , 1
2022/11/27, 15, , 6, , 1
2022/11/28, 9, , 6, 1, 1
2022/11/29, 17, , 10, 1, 1
2022/11/30, 24, , 10, , 1
2022/12/1, 31, , 17, , 1
2022/12/2, 18, , 22, 41, 2
2022/12/3, 46, , 24, 1, 3
2022/12/4, 37, , 16, 1, 2
2022/12/5, 15, , 10, , 1
2022/12/6, 20, , 6, , 1
2022/12/7, 16, , 30, , 3
2022/12/8, 19, , 41, 1, 4
2022/12/9, 24, , 31, , 4
2022/12/10, 20, , 32, 1, 4
2022/12/11, 25, , 14, , 2
2022/12/12, 63, , 20, , 3
2022/12/13, 93, , 30, , 4
2022/12/14, 48, , 19, , 3
2022/12/15, 24, , 26, 1, 3
2022/12/16, 25, , 27, 4, 3
2022/12/17, 26, , 8, , 2
2022/12/18, 27, , 9, 1, 2
2022/12/19, 23, , 16, 1, 2
2022/12/20, 23, , 22, 1, 2
2022/12/21, 33, , 15, 1, 2
2022/12/22, 33, , 22, 1, 3
2022/12/23, 19, , 17, , 2
2022/12/24, 16, , 34, 1, 4
2022/12/25, 47, , 23, 1, 4
2022/12/26, 43, , 35, 1, 4
2022/12/27, 23, , 19, , 2
2022/12/28, 21, , 19, , 3
2022/12/29, 64, , 25, , 6
2022/12/30, 71, , 36, , 5
2022/12/31, 31, , 36, 1, 6
2023/1/1, 30, , 28, , 4
2023/1/2, 36, , 24, 1, 3
2022/7/2, 39, , 3, , 
2022/7/3, 32, , 3, , 
2022/7/4, 16, , 10, , 
2022/7/5, 28, , 4, , 
2022/7/6, 6, , 7, , 
2022/7/7, 42, , 6, , 1
2022/7/8, 26, , 6, , 1
2022/7/9, 14, , 3, 1, 
2022/7/10, 14, , 3, 1, 
2022/7/11, 14, , 4, 1, 
2022/7/12, 22, , 4, 1, 
2022/7/13, 26, , 4, , 
2022/7/14, 37, , 8, , 
2022/7/15, 36, , 6, 4, 
2022/7/16, 42, , 5, 1, 
2022/7/17, 50, , 2, , 
2022/7/18, 31, , 5, , 
2022/7/19, 29, , 4, 1, 
2022/7/20, 24, , 5, 1, 
2022/7/21, 23, , 6, 1, 
2022/7/22, 47, , 5, , 
2022/7/23, 33, , 3, , 
2022/7/24, 33, , 2, 1, 
2022/7/25, 42, , 4, , 
2022/7/26, 32, , 5, , 
2022/7/27, 30, , 5, 1, 
2022/7/28, 54, , 3, , 
2022/7/29, 48, , 6, 1, 1
2022/7/30, 70, , 3, 1, 
2022/7/31, 37, , 4, , 
2022/8/1, 50, , 2, , 
2022/8/2, 56, , 5, 1, 
2022/8/3, 21, , 5, , 
2022/8/4, 43, , 7, , 1
2022/8/5, 40, , 5, , 1
2022/8/6, 7, , 4, , 1
2022/8/7, 19, , 4, 1, 
2022/8/8, 15, , 5, , 
2022/8/9, 36, , 4, , 
2022/8/10, 24, , 9, 1, 1
2022/8/11, 46, , 8, , 
2022/8/12, 55, , 7, 1, 
2022/8/13, 40, , 3, 1, 
2022/8/14, 30, , 4, 3, 
2022/8/15, 27, , 9, 1, 
2022/8/16, 37, , 6, 2, 
2022/8/17, 49, , 6, 1, 
2022/8/18, 25, , 7, , 
2022/8/19, 41, , 6, , 
2022/8/20, 41, , 7, 1, 
2022/8/21, 55, , 3, , 
2022/8/22, 35, , 8, , 
2022/8/23, 55, , 10, , 
2022/8/24, 26, , 7, , 
2022/8/25, 40, , 6, 1, 
2022/8/26, 44, , 4, 2, 1
2022/8/27, 27, , 4, 2, 
2022/8/28, 19, , 2, 1, 
2022/8/29, 8, , 5, , 
2022/8/30, 13, , 6, , 1
2022/8/31, 23, , 7, 1, 1
2022/9/1, 37, , 8, 1, 1
2022/9/2, 52, , 6, 2, 2
2022/9/3, 52, , 7, 2, 2
2022/9/4, 105, , 4, , 
2022/9/5, 103, , 4, , 
2022/9/6, 48, , 9, , 
2022/9/7, 53, , 8, , 
2022/9/8, 86, , 8, , 
2022/9/9, 35, , 4, , 
2022/9/10, 21, , 5, , 
2022/9/11, 68, , 6, 1, 
2022/9/12, 118, , 8, 1, 1
2022/9/13, 68, , 10, , 2
2022/9/14, 66, , 13, 1, 2
2022/9/15, 91, , 11, , 2
2022/9/16, 77, , 7, 1, 2
2022/9/17, 53, , 7, , 1
2022/9/18, 33, , 9, 1, 1
2022/9/19, 45, , 9, , 1
2022/9/20, 41, , 7, , 
2022/9/21, 21, , 6, , 
2022/9/22, 29, , 7, , 1
2022/9/23, 35, , 8, , 
2022/9/24, 43, , 6, , 
2022/9/25, 21, , 8, 1, 
2022/9/26, 30, , 10, 1, 
2022/9/27, 47, , 12, , 
2022/9/28, 53, , 16, 1, 
2022/9/29, 70, , 13, 1, 
2022/9/30, 85, , 7, 1, 
2022/10/1, 65, , 6, 1, 
2022/4/2, 19, , 9, , 2
2022/4/3, 19, , 11, , 3
2022/4/4, 19, , 2, , 1
2022/4/5, 12, , 2, , 1
2022/4/6, 14, , 9, 1, 2
2022/4/7, 18, , 10, , 1
2022/4/8, 27, , 3, , 1
2022/4/9, 26, , 2, , 1
2022/4/10, 9, , 2, , 1
2022/4/11, 8, , 6, , 1
2022/4/12, 19, , 7, 3, 1
2022/4/13, 22, , 7, 1, 1
2022/4/14, 20, , 9, 1, 1
2022/4/15, 33, , 9, , 1
2022/4/16, 27, , 4, , 1
2022/4/17, 23, , 7, , 1
2022/4/18, 29, , 7, , 1
2022/4/19, 19, , 9, , 1
2022/4/20, 25, , 6, , 2
2022/4/21, 19, , 1, , 2
2022/4/22, 18, , 9, 5, 2
2022/4/23, 32, , 8, 1, 2
2022/4/24, 21, , 7, 2, 2
2022/4/25, 24, , 9, , 2
2022/4/26, 30, , 10, , 2
2022/4/27, 35, , 7, , 2
2022/4/28, 14, , 9, 1, 2
2022/4/29, 25, , 7, 1, 2
2022/4/30, 31, , 9, , 2
2022/5/1, 39, , 5, 1, 2
2022/5/2, 25, , 10, 1, 2
2022/5/3, 26, , 10, 1, 2
2022/5/4, 34, , 10, , 2
2022/5/5, 22, , 19, , 2
2022/5/6, 21, , 1, 1, 1
2022/5/7, 12, , 3, 2, 1
2022/5/8, 17, , 3, , 1
2022/5/9, 13, , 4, , 1
2022/5/10, 15, , 6, , 1
2022/5/11, 32, , 7, , 1
2022/5/12, 21, , 8, , 1
2022/5/13, 16, , 6, 1, 1
2022/5/14, 26, , 3, 1, 1
2022/5/15, 13, , 3, , 1
2022/5/16, 15, , 4, 1, 1
2022/5/17, 10, , 5, , 1
2022/5/18, 25, , 5, , 1
2022/5/19, 15, , 4, , 1
2022/5/20, 8, , 4, , 1
2022/5/21, 18, , 4, 1, 1
2022/5/22, 18, , 4, 1, 1
2022/5/23, 24, , 3, , 1
2022/5/24, 26, , 5, 1, 1
2022/5/25, 20, , 4, , 1
2022/5/26, 16, , 5, 1, 1
2022/5/27, 24, , 5, 1, 1
2022/5/28, 19, , 2, 1, 1
2022/5/29, 9, , 2, 1, 1
2022/5/30, 28, , 4, , 1
2022/5/31, 36, , 7, 1, 1
2022/6/1, 55, , 19, , 1
2022/6/2, 58, , 10, 1, 1
2022/6/3, 44, , 17, , 1
2022/6/4, 47, , 5, , 1
2022/6/5, 19, , 3, , 1
2022/6/6, 14, , 5, 1, 1
2022/6/7, 15, , 4, , 1
2022/6/8, 15, , 7, , 1
2022/6/9, 21, , 1, , 
2022/6/10, 12, , 4, , 
2022/6/11, 12, , 3, , 
2022/6/12, 18, , 4, 1, 
2022/6/13, 26, , 9, , 1
2022/6/14, 24, , 4, , 1
2022/6/15, 3, , 2, , 1
2022/6/16, 22, , 5, , 1
2022/6/17, 33, , 9, , 1
2022/6/18, 21, , 5, , 
2022/6/19, 35, , 8, , 1
2022/6/20, 23, , 5, , 
2022/6/21, 15, , 4, , 
2022/6/22, 20, , 5, , 
2022/6/23, 12, , 7, , 
2022/6/24, 15, , 3, , 
2022/6/25, 22, , 2, , 
2022/6/26, 24, , 4, 2, 
2022/6/27, 56, , 14, , 
2022/6/28, 61, , 5, , 
2022/6/30, 12, , 6, , 
2022/7/1, 33, , 4, , 
2022/1/4, 42, , 16, 1, 2
2022/1/5, 19, , 24, 1, 2
2022/1/6, 23, , 11, , 1
2022/1/7, 53, , 19, , 2
2022/1/8, 74, , 21, , 3
2022/1/9, 71, , 25, , 3
2022/1/10, 70, , 43, 1, 6
2022/1/11, 37, , 21, , 2
2022/1/12, 12, , 32, , 5
2022/1/13, 25, , 24, , 4
2022/1/14, 50, , 12, , 3
2022/1/15, 26, , 6, , 2
2022/1/16, 3, , 17, , 3
2022/1/17, 12, , 14, , 3
2022/1/18, 13, , 6, , 2
2022/1/19, 22, , 14, , 3
2022/1/20, 38, , 21, , 3
2022/1/21, 17, , 16, , 4
2022/1/22, 9, , 11, , 3
2022/1/23, 11, , 9, , 3
2022/1/24, 14, , 10, , 3
2022/1/25, 14, , 17, , 4
2022/1/26, 20, , 14, , 3
2022/1/27, 15, , 20, , 4
2022/1/28, 19, , 17, , 3
2022/1/29, 18, , 24, 1, 4
2022/1/30, 33, , 15, 1, 4
2022/1/31, 18, , 9, , 3
2022/2/1, 24, , 12, , 3
2022/2/2, 21, , 12, , 3
2022/2/3, 37, , 12, , 2
2022/2/4, 27, , 16, 1, 2
2022/2/5, 33, , 8, , 2
2022/2/6, 6, , 11, , 2
2022/2/7, 15, , 8, , 2
2022/2/8, 16, , 11, , 2
2022/2/9, 13, , 9, , 2
2022/2/10, 8, , 11, , 2
2022/2/11, 22, , 7, 1, 2
2022/2/12, 23, , 14, 1, 2
2022/2/13, 24, , 9, , 2
2022/2/14, 18, , 12, , 2
2022/2/15, 21, , 10, , 2
2022/2/16, 29, , 18, , 3
2022/2/17, 17, , 13, , 2
2022/2/18, 16, , 5, , 2
2022/2/19, 20, , 14, , 3
2022/2/20, 7, , 5, , 3
2022/2/21, 20, , 14, 1, 3
2022/2/22, 36, , 21, 1, 3
2022/2/23, 47, , 26, , 4
2022/2/24, 37, , 16, 1, 3
2022/2/25, 16, , 21, 1, 3
2022/2/26, 27, , 13, 1, 2
2022/2/27, 20, , 5, , 2
2022/2/28, 4, , 22, , 3
2022/3/1, 53, , 10, , 2
2022/3/2, 71, , 7, , 1
2022/3/3, 49, , 11, 1, 1
2022/3/4, 27, , 13, 1, 2
2022/3/5, 42, , 11, 1, 1
2022/3/6, 48, , 8, 1, 1
2022/3/7, 17, , 12, , 1
2022/3/8, 11, , 8, , 1
2022/3/9, 19, , 10, , 2
2022/3/10, 21, , 14, 1, 1
2022/3/11, 16, , 8, , 1
2022/3/12, 25, , 7, , 1
2022/3/13, 10, , 10, , 1
2022/3/14, 17, , 6, , 2
2022/3/15, 23, , 10, , 2
2022/3/16, 7, , 5, , 2
2022/3/17, 7, , 14, , 2
2022/3/18, 9, , 11, 1, 2
2022/3/19, 19, , 13, , 2
2022/3/20, 26, , 2, , 2
2022/3/21, 8, , 12, , 2
2022/3/22, 11, , 12, 1, 2
2022/3/23, 16, , 16, , 3
2022/3/24, 23, , 6, , 2
2022/3/25, 9, , 7, , 2
2022/3/26, 13, , 7, , 2
2022/3/27, 15, , 11, 1, 2
2022/3/28, 24, , 8, , 2
2022/3/29, 46, , 8, 1, 2
2022/3/30, 13, , 8, , 2
2022/3/31, 22, , 3, , 2
2022/4/1, 7, , 11, 1, 2
2021/10/2, 23, , 8, , 2
2021/10/3, 17, , 5, , 
2021/10/4, 22, , 12, , 
2021/10/5, 33, , 8, , 1
2021/10/6, 40, , 11, , 4
2021/10/7, 127, , 9, 1, 2
2021/10/8, 47, , 14, , 2
2021/10/9, 15, , 10, , 1
2021/10/10, 36, , 5, , 1
2021/10/11, 25, , 7, , 1
2021/10/12, 13, , 8, , 1
