date, pm25, pm10, o3, no2, so2, co
2023/4/2, 16, 5, 38, 1, , 2
2023/4/3, 17, 6, 31, 1, , 1
2023/4/4, 14, 4, 36, 1, , 1
2023/4/5, 19, 6, 38, 2, , 2
2023/4/6, 21, 6, 40, 3, , 1
2023/4/7, 17, 6, 38, 5, , 
2023/4/8, 19, 8, 38, 3, , 3
2023/4/9, 17, 5, 40, 1, , 
2023/4/10, 19, 10, 40, 4, , 
2023/4/11, 19, 10, 30, 8, , 3
2023/4/12, 17, , , , , 
2023/1/3, 15, 5, 32, 7, , 1
2023/1/4, 22, 5, 33, 1, , 1
2023/1/5, 17, 6, 33, 5, , 2
2023/1/6, 19, 4, 31, 5, , 1
2023/1/7, 17, 8, 30, 5, , 1
2023/1/8, 20, 4, 36, 5, , 1
2023/1/9, 13, 5, 34, 8, , 1
2023/1/10, 15, 4, 30, 2, , 1
2023/1/11, 16, 2, 29, 2, 1, 1
2023/1/12, 17, 5, 33, 6, , 2
2023/1/13, 14, 7, 30, 7, 1, 1
2023/1/14, 13, 6, 29, 5, , 1
2023/1/15, 13, 4, 31, 6, , 1
2023/1/16, 15, 4, 32, 3, , 1
2023/1/17, 16, 5, 30, 6, 1, 2
2023/1/18, 22, 2, 32, 1, , 1
2023/1/19, 14, 5, 34, 7, , 2
2023/1/20, 15, 5, 30, 6, 1, 2
2023/1/21, 19, 4, 34, 3, , 1
2023/1/22, 20, 3, 35, 1, , 1
2023/1/23, 18, 3, 28, 3, 1, 2
2023/1/24, 22, 5, 33, 1, , 1
2023/1/25, 18, 4, 32, 1, , 1
2023/1/26, 19, 4, 33, 1, , 3
2023/1/27, 21, 4, 32, 2, , 1
2023/1/28, 17, 2, 29, 1, , 1
2023/1/29, 20, 3, 27, 2, , 3
2023/1/30, 22, 4, 32, 3, , 1
2023/1/31, 27, 5, 36, 2, , 1
2023/2/1, 16, 5, 36, 1, , 2
2023/2/2, 16, 4, 36, 2, , 1
2023/2/3, 19, 3, 36, 1, , 1
2023/2/4, 15, 4, 37, 1, , 3
2023/2/5, 19, 3, 35, 5, , 1
2023/2/6, 20, 2, 35, 1, , 1
2023/2/7, 16, 9, 33, 3, , 2
2023/2/8, 18, 6, 36, 1, , 1
2023/2/9, 17, 4, 34, 1, , 1
2023/2/10, 17, 10, 31, 8, 1, 3
2023/2/11, 20, 6, 28, 5, , 1
2023/2/12, 15, 6, 34, 5, , 1
2023/2/13, 19, 7, 35, 6, , 2
2023/2/14, 16, 4, 38, 1, 1, 1
2023/2/15, 27, 1, 33, 1, , 2
2023/2/16, 20, 4, 36, 6, , 1
2023/2/17, 18, 4, 35, 6, , 1
2023/2/18, 16, 2, 36, 1, , 3
2023/2/19, 18, 4, 39, 1, , 1
2023/2/20, 30, 4, 36, 1, , 1
2023/2/21, 22, 5, 30, 2, , 2
2023/2/22, 15, 3, 30, 1, , 1
2023/2/23, 23, 3, 29, 7, 1, 2
2023/2/24, 33, 4, 39, 8, , 2
2023/2/25, 36, 6, 37, 9, , 1
2023/2/26, 21, 2, 36, 4, , 1
2023/2/27, 17, 3, 40, 1, , 3
2023/2/28, 15, 2, 36, 5, , 1
2023/3/1, 15, 3, 33, 2, , 1
2023/3/2, 19, 2, 36, 4, , 2
2023/3/3, 16, 4, 35, 1, , 1
2023/3/4, 14, 6, 36, 2, , 1
2023/3/5, 30, 5, 40, 3, , 2
2023/3/6, 18, 4, 35, 1, , 1
2023/3/7, 19, 3, 30, 1, , 1
2023/3/8, 16, 4, 28, 1, 1, 2
2023/3/9, 24, 5, 39, 1, , 1
2023/3/10, 17, 4, 25, 5, , 1
2023/3/11, 27, 3, 42, 4, , 2
2023/3/12, 15, 4, 39, 1, , 1
2023/3/13, 22, 12, 33, 6, , 1
2023/3/14, 27, 6, 36, 5, , 3
