date, pm25, pm10, o3, no2, so2, co
2023/4/2, 6, 3, 20, 7, , 2
2023/4/3, 7, 12, 16, 7, , 2
2023/4/4, 16, 5, 16, 6, , 2
2023/4/5, 13, 10, 17, 9, , 2
2023/4/6, 19, 5, 21, 6, , 2
2023/4/7, 12, 10, 18, 11, , 4
2023/4/8, 18, 9, 20, 7, , 2
2023/4/9, 14, 4, 23, 5, , 2
2023/4/10, 10, 8, 22, 7, , 2
2023/4/11, 13, 10, 17, 13, , 3
2023/4/12, 15, , , , , 
2023/1/3, 30, 5, 10, 13, , 4
2023/1/4, 19, 13, 12, 16, , 5
2023/1/5, 22, 15, 7, 23, , 9
2023/1/6, 39, 21, 3, 24, , 11
2023/1/7, 47, 10, 8, 17, , 6
2023/1/8, 27, 12, 10, 17, , 7
2023/1/9, 25, 14, 9, 17, , 7
2023/1/10, 24, 8, 12, 14, , 6
2023/1/11, 18, 7, 7, 10, , 3
2023/1/12, 27, 11, 12, 14, , 4
2023/1/13, 29, 20, 4, 20, , 10
2023/1/14, 43, 9, 8, 14, , 7
2023/1/15, 22, 7, 10, 13, , 6
2023/1/16, 21, 14, 10, 13, , 5
2023/1/17, 26, 14, 8, 15, , 5
2023/1/18, 43, 4, 8, 8, , 2
2023/1/19, 17, 7, 8, 18, , 5
2023/1/20, 21, 8, 9, 19, , 6
2023/1/21, 26, 10, 11, 12, , 4
2023/1/22, 32, 5, 15, 11, , 3
2023/1/23, 15, 10, 13, 14, , 3
2023/1/24, 38, 16, 13, 11, 1, 3
2023/1/25, 49, 8, 12, 13, , 3
2023/1/26, 19, 7, 15, 10, , 3
2023/1/27, 13, 8, 13, 11, , 3
2023/1/28, 12, 4, 12, 10, , 3
2023/1/29, 14, 4, 11, 5, , 1
2023/1/30, 16, 18, 12, 9, , 2
2023/1/31, 28, 10, 9, 17, , 5
2023/2/1, 26, 15, 11, 18, , 5
2023/2/2, 23, 12, 14, 16, , 6
2023/2/3, 22, 18, 13, 17, , 6
2023/2/4, 25, 9, 17, 12, , 4
2023/2/5, 14, 8, 11, 16, , 5
2023/2/6, 21, 11, 15, 14, , 5
2023/2/7, 22, 12, 14, 10, , 3
2023/2/8, 15, 11, 16, 11, , 3
2023/2/9, 16, 7, 15, 6, , 2
2023/2/10, 10, 9, 15, 11, , 3
2023/2/11, 15, 14, 8, 16, , 8
2023/2/12, 31, 6, 17, 10, , 4
2023/2/13, 19, 11, 14, 12, , 5
2023/2/14, 16, 9, 17, 9, , 3
2023/2/15, 14, 2, 13, 7, , 1
2023/2/16, 7, 8, 14, 12, , 3
2023/2/17, 16, 13, 13, 14, , 5
2023/2/18, 21, 8, 14, 13, , 6
2023/2/19, 18, 5, 19, 7, , 3
2023/2/20, 12, 7, 13, 8, , 2
2023/2/21, 11, 7, 14, 9, , 3
2023/2/22, 12, 23, 12, 5, , 1
2023/2/23, 22, 6, 12, 10, , 2
2023/2/24, 11, 11, 7, 20, , 7
2023/2/25, 26, 13, 16, 16, 1, 7
2023/2/26, 24, 6, 17, 10, 1, 5
2023/2/27, 15, 8, 20, 9, , 2
2023/2/28, 12, 10, 17, 11, , 3
2023/3/1, 13, 11, 13, 14, 1, 5
2023/3/2, 16, 9, 14, 9, , 2
2023/3/3, 21, 9, 13, 12, , 3
2023/3/4, 17, 9, 3, 12, , 3
2023/3/5, 25, 9, , 8, , 3
2023/3/6, 21, 6, 17, 8, , 2
2023/3/7, 13, 7, 7, 7, , 3
2023/3/8, 21, 10, 9, 9, , 3
2023/3/9, 30, 10, 18, 5, , 2
2023/3/10, 21, 13, 10, 10, , 3
2023/3/11, 28, 5, 19, 5, , 1
2023/3/12, 7, 2, 16, 4, , 1
2023/3/13, 9, 9, 15, 10, , 3
2023/3/14, 20, 7, 19, 12, , 3
2023/3/15, 13, 12, 14, 11, , 4
2023/3/16, 19, 4, 16, 5, , 2
2023/3/17, 9, 4, 18, 5, , 1
2023/3/18, 9, , 19, 7, , 2
2023/3/21, 20, 9, 18, 9, , 3
2023/3/22, 13, 15, 13, 8, , 3
2023/3/23, 31, 15, 19, 10, , 3
2023/3/24, 30, 7, 19, 7, , 2
2023/3/25, 12, 5, 20, 3, , 2
2023/3/26, 8, 3, 21, 4, , 1
2023/3/27, 11, 5, 18, 5, , 2
2023/3/28, 12, 9, 17, 10, , 3
2023/3/29, 18, 17, 13, 13, , 4
2023/3/30, 40, 17, 24, 9, , 3
2023/3/31, 37, 13, 20, 6, , 3
2023/4/1, 15, 2, 20, 7, , 2
2022/10/5, 29, 9, 14, 6, , 3
2022/10/6, 23, 11, 17, 6, , 3
2022/10/7, 21, 22, 19, 5, , 3
2022/10/8, 52, 14, 5, 6, , 3
2022/10/9, 39, 10, 14, 5, , 4
2022/10/10, 29, 11, 18, 9, , 4
2022/10/11, 23, 20, 19, 8, , 4
2022/10/12, 26, 17, 15, 5, , 2
2022/10/13, 31, 15, 14, 7, , 3
2022/10/14, 27, 13, 15, 8, , 3
2022/10/15, 21, 8, 14, 5, , 3
2022/10/16, 16, 8, 13, 4, , 2
2022/10/17, 25, 13, 13, 7, , 4
2022/10/18, 32, 15, 14, 9, , 5
2022/10/19, 23, 17, 13, 7, , 5
2022/10/20, 24, 15, 13, 8, , 5
2022/10/21, 19, 12, 13, 9, , 5
2022/10/22, 21, 8, 16, 7, , 3
2022/10/23, 16, 10, 18, 2, , 1
2022/10/24, 15, 4, 19, 5, , 2
2022/10/25, 8, 10, 14, 7, , 2
2022/10/26, 13, 8, 13, 8, , 3
2022/10/27, 14, 5, 10, 8, , 4
2022/10/28, 13, 6, 10, 10, , 4
2022/10/29, 11, 6, 14, 9, , 5
2022/10/30, 13, 8, 15, 9, , 4
2022/10/31, 25, 11, 17, 10, , 4
2022/11/1, 23, 16, 16, 11, , 5
2022/11/2, 24, 11, 11, 11, , 4
2022/11/3, 16, 16, 16, 8, , 2
2022/11/4, 22, 8, 10, 6, , 3
2022/11/5, 23, 5, 13, 7, , 3
2022/11/6, 9, 5, 14, 5, , 2
2022/11/7, 12, 16, 15, 9, , 4
2022/11/8, 27, 14, 9, 11, , 5
2022/11/9, 21, 20, 12, 8, , 3
2022/11/10, 36, 12, 3, 6, , 2
2022/11/11, 20, 11, 13, 5, , 1
2022/11/12, 25, , 8, , , 
2022/11/15, 28, 10, 12, 8, , 2
2022/11/16, 26, 8, 12, 12, , 3
2022/11/17, 16, 10, 6, 9, , 2
2022/11/18, 24, 8, 11, 9, , 3
2022/11/19, 26, 11, 9, 12, , 4
2022/11/20, 25, 13, 13, 15, , 6
2022/11/21, 32, 17, 11, 18, , 8
2022/11/22, 41, 14, 8, 13, , 6
2022/11/23, 31, 11, 12, 13, , 5
2022/11/24, 26, 3, 12, 7, , 3
2022/11/25, 12, 7, 13, 11, , 4
2022/11/26, 18, 6, 11, 9, , 5
2022/11/27, 17, 4, 15, 5, , 2
2022/11/28, 10, 10, 13, 10, , 3
2022/11/29, 16, 5, 11, 8, , 3
2022/11/30, 16, 16, 11, 16, , 5
2022/12/1, 40, 22, 6, 18, 1, 8
