date, pm25, o3, no2, co
2023/4/2, 23, 40, , 
2023/4/3, 25, 30, , 
2023/4/4, 18, 25, , 
2023/4/5, 38, 31, , 
2023/4/6, 17, 38, , 
2023/4/7, 23, 40, , 
2023/4/8, 34, 41, , 
2023/4/9, 26, 40, , 
2023/4/10, 29, 40, , 
2023/4/11, 34, 29, , 
2023/4/12, 46, , , 
2023/1/3, 57, , 5, 
2023/1/4, 40, , 4, 
2023/1/5, 37, , 3, 
2023/1/6, 32, , 6, 
2023/1/7, 52, , 6, 
2023/1/8, 84, , 8, 
2023/1/9, 83, , 10, 
2023/1/10, 64, , 10, 
2023/1/11, 51, , 9, 
2023/1/12, 65, , 3, 
2023/1/13, 63, , 4, 
2023/1/14, 36, , 6, 
2023/1/15, 38, , 4, 
2023/1/16, 37, , 5, 
2023/1/17, 41, , 3, 
2023/1/18, 42, , 4, 
2023/1/19, 34, , 4, 
2023/1/20, 25, , 3, 
2023/1/21, 26, , 4, 
2023/1/22, 67, , 4, 
2023/1/23, 65, , 5, 
2023/1/24, 57, , 9, 
2023/1/25, 72, , 5, 
2023/1/26, 57, , 3, 
2023/1/27, 25, , 3, 
2023/1/28, 27, , 3, 
2023/1/29, 20, , 2, 
2023/1/30, 15, , 2, 
2023/1/31, 15, , , 
2023/2/1, 28, , , 
2023/2/2, 29, , , 
2023/2/3, 28, , , 
2023/2/4, 16, , , 
2023/2/5, 38, , , 
2023/2/6, 27, , , 
2023/2/7, 38, , , 
2023/2/8, 24, , , 
2023/2/9, 23, , , 
2023/2/10, 36, , , 
2023/2/11, 24, , , 
2023/2/12, 14, , , 
2023/2/13, 28, , , 
2023/2/14, 31, , , 
2023/2/15, 30, , , 
2023/2/16, 17, , , 
2023/2/17, 15, , , 
2023/2/18, 26, , , 
2023/2/19, 22, , , 
2023/2/20, 27, , , 
2023/2/21, 39, , , 
2023/2/22, 21, , , 
2023/2/23, 28, , , 
2023/2/24, 14, , , 
2023/2/25, 22, , , 
2023/2/26, 40, , , 
2023/2/27, 41, , , 
2023/2/28, 27, 28, , 
2023/3/1, 36, 32, , 
2023/3/2, 29, 28, , 
2023/3/3, 26, 25, , 
2023/3/4, 48, 25, , 
2023/3/5, 63, 26, , 
2023/3/6, 35, 31, , 
2023/3/7, 34, 30, , 
2023/3/8, 23, 23, , 
2023/3/9, 18, 24, , 
2023/3/10, 26, 35, , 
2023/3/11, 22, 30, , 
2023/3/12, 29, 33, , 
2023/3/13, 19, 33, , 
2023/3/14, 8, 33, , 
2023/3/15, 17, 36, , 
2023/3/16, 31, 33, , 
2023/3/17, 49, 33, , 
2023/3/18, 14, 31, , 
2023/3/19, 8, 33, , 
2023/3/20, 14, 35, , 
2023/3/21, 24, 31, , 
2023/3/22, 41, 31, , 
2023/3/23, 26, 34, , 
2023/3/24, 25, 36, , 
2023/3/25, 42, 38, , 
2023/3/26, 29, 37, , 
2023/3/27, 37, 38, , 
2023/3/28, 25, 38, , 
2023/3/29, 37, 35, , 
2023/3/30, 31, 37, , 
2023/3/31, 42, 36, , 
2023/4/1, 35, 37, , 
2022/10/2, 37, 37, 8, 
2022/10/3, 40, 32, 4, 
2022/10/4, 36, 36, 4, 
2022/10/5, 30, 30, 7, 
2022/10/6, 31, 22, 4, 
2022/10/7, 43, 21, 2, 
2022/10/8, 37, 28, 7, 
2022/10/9, 26, 32, 4, 
2022/10/10, 29, 33, 13, 
2022/10/11, 47, 39, 5, 
2022/10/12, 47, 36, 2, 
2022/10/13, 35, 29, 3, 
2022/10/14, 24, 23, 4, 
2022/10/15, 24, 26, 4, 
2022/10/16, 26, 23, 3, 
2022/10/17, 28, 26, 2, 
2022/10/18, 21, 22, 3, 
2022/10/19, 19, 29, , 
2022/10/20, 30, 28, , 
2022/10/21, 60, 33, , 
2022/10/22, 66, 40, , 
2022/10/23, 60, 32, , 
2022/10/24, 50, 24, , 
2022/10/25, 41, 18, 9, 
2022/10/26, 30, 24, 8, 
2022/10/27, 34, 25, 5, 
2022/10/28, 33, 28, 10, 
2022/10/29, 35, 32, 11, 
2022/10/30, 45, 32, 15, 
2022/10/31, 62, 31, 14, 
2022/11/1, 64, 39, 9, 
2022/11/2, 45, 34, 5, 
2022/11/3, 33, , 4, 
2022/11/4, 40, , 3, 
2022/11/5, 44, , 3, 
2022/11/6, 31, , 2, 
2022/11/7, 15, , 4, 
2022/11/8, 19, , 4, 
2022/11/9, 29, , 4, 
2022/11/10, 43, , 2, 
2022/11/11, 40, , 1, 
2022/11/12, 16, , 1, 
2022/11/13, 6, , 2, 
2022/11/14, 15, , 3, 
2022/11/15, 28, , 5, 
2022/11/16, 43, , 3, 
2022/11/17, 29, , 4, 
2022/11/18, 19, , 3, 
2022/11/19, 16, , 2, 
2022/11/20, 14, , 5, 
2022/11/21, 17, , 7, 
2022/11/22, 27, , 16, 
2022/11/23, 50, , 10, 
2022/11/24, 48, , 7, 
2022/11/25, 46, , 5, 
2022/11/26, 33, , 5, 
2022/11/27, 27, , 4, 
2022/11/28, 26, , 12, 
2022/11/29, 27, , 8, 
2022/11/30, 29, , , 
2022/12/1, 15, , , 
2022/12/2, 23, , , 
2022/12/3, 30, , , 
2022/12/4, 21, , , 
2022/12/5, 26, , , 
2022/12/6, 32, , 10, 
2022/12/7, 49, , 16, 
2022/12/8, 67, , 8, 
2022/12/9, 90, , 7, 
2022/12/10, 74, , 6, 
2022/12/11, 43, , 6, 
2022/12/12, 50, , 4, 
2022/12/13, 58, , 5, 
2022/12/14, 56, , 5, 
2022/12/15, 30, , 4, 
2022/12/16, 22, , 2, 
2022/12/17, 21, , 2, 
2022/12/18, 14, , 5, 
2022/12/19, 22, , 10, 
2022/12/20, 25, , 5, 
2022/12/21, 31, , 8, 
2022/12/22, 45, , 5, 
2022/12/23, 39, , 2, 
2022/12/24, 21, , 2, 
2022/12/25, 16, , 3, 
2022/12/26, 8, , 4, 
2022/12/27, 15, , 5, 
2022/12/28, 21, , 6, 
2022/12/29, 31, , 12, 
2022/12/30, 44, , 6, 
2022/12/31, 39, , 8, 
2023/1/1, 44, , 11, 
2023/1/2, 58, , 8, 
2022/7/2, 44, 40, 6, 
2022/7/3, 40, 40, 2, 
2022/7/4, 51, 34, 2, 
2022/7/5, 59, 35, 2, 
2022/7/6, 54, 28, 4, 
2022/7/7, 26, 30, 4, 
2022/7/8, 28, 33, 3, 
2022/7/9, 24, 34, 3, 
2022/7/10, 35, 32, 2, 
2022/7/11, 38, 37, 2, 
2022/7/12, 30, 34, 2, 
2022/7/13, 28, 45, 4, 
2022/7/14, 35, 40, 4, 
2022/7/15, 33, 43, 3, 
2022/7/16, 43, 33, 2, 
2022/7/17, 52, 33, 3, 
2022/7/18, 48, 41, 5, 
2022/7/19, 32, 42, 2, 
2022/7/20, 32, 39, 2, 
2022/7/21, 62, 35, 3, 
2022/7/22, 62, 43, 6, 
2022/7/23, 36, 41, 2, 
