date, pm25
2023/4/2, 64
2023/4/3, 55
2023/4/4, 50
2023/4/5, 56
2023/4/6, 54
2023/4/7, 31
2023/4/8, 36
2023/4/9, 47
2023/4/10, 54
2023/4/11, 75
2023/4/12, 129
2023/1/3, 155
2023/1/4, 240
2023/1/5, 89
2023/1/6, 85
2023/1/7, 88
2023/1/8, 77
2023/1/9, 94
2023/1/10, 80
2023/1/11, 104
2023/1/12, 110
2023/1/13, 184
2023/1/14, 225
2023/1/15, 311
2023/1/16, 328
2023/1/17, 218
2023/1/18, 197
2023/1/19, 138
2023/1/20, 258
2023/1/21, 311
2023/1/22, 336
2023/1/23, 332
2023/1/24, 306
2023/1/25, 277
2023/1/26, 227
2023/1/27, 263
2023/1/28, 227
2023/1/29, 193
2023/1/30, 239
2023/1/31, 196
2023/2/1, 133
2023/2/2, 72
2023/2/3, 127
2023/2/4, 136
2023/2/5, 107
2023/2/6, 80
2023/2/7, 99
2023/2/8, 66
2023/2/9, 75
2023/2/10, 98
2023/2/11, 82
2023/2/12, 134
2023/2/13, 170
2023/2/14, 100
2023/2/15, 196
2023/2/16, 143
2023/2/17, 120
2023/2/18, 133
2023/2/19, 140
2023/2/20, 91
2023/2/21, 69
2023/2/22, 62
2023/2/23, 72
2023/2/24, 77
2023/2/25, 69
2023/2/26, 71
2023/2/27, 127
2023/2/28, 110
2023/3/1, 85
2023/3/2, 66
2023/3/3, 55
2023/3/4, 56
2023/3/5, 51
2023/3/6, 51
2023/3/7, 67
2023/3/8, 59
2023/3/9, 96
2023/3/10, 111
2023/3/11, 66
2023/3/12, 74
2023/3/13, 89
2023/3/14, 49
2023/3/15, 45
2023/3/16, 62
2023/3/17, 51
2023/3/18, 23
2023/3/21, 57
2023/3/22, 30
2023/3/23, 38
2023/3/24, 78
2023/3/25, 68
2023/3/26, 183
2023/3/27, 125
2023/3/28, 81
2023/3/29, 51
2023/3/30, 55
2023/3/31, 51
2023/4/1, 53
2022/10/2, 88
2022/10/3, 121
2022/10/4, 126
2022/10/5, 97
2022/10/6, 91
2022/10/7, 77
2022/10/8, 83
2022/10/9, 94
2022/10/10, 145
2022/10/11, 139
2022/10/12, 141
2022/10/13, 129
2022/10/14, 107
2022/10/15, 108
2022/10/16, 103
2022/10/17, 107
2022/10/18, 112
2022/10/19, 109
2022/10/20, 70
2022/10/21, 58
2022/10/22, 57
2022/10/23, 48
2022/10/24, 130
2022/10/25, 124
2022/10/26, 79
2022/10/27, 82
2022/10/28, 86
2022/10/29, 80
2022/10/30, 62
2022/10/31, 66
2022/11/1, 65
2022/11/2, 86
2022/11/3, 90
2022/11/4, 78
2022/11/5, 80
2022/11/6, 74
2022/11/7, 72
2022/11/8, 60
2022/11/9, 66
2022/11/10, 79
2022/11/11, 74
2022/11/12, 77
2022/11/13, 120
2022/11/14, 113
2022/11/15, 158
2022/11/16, 103
2022/11/17, 137
2022/11/18, 97
2022/11/19, 66
2022/11/20, 86
2022/11/21, 94
2022/11/22, 81
2022/11/23, 79
2022/11/24, 74
2022/11/25, 76
2022/11/26, 124
2022/11/27, 143
2022/11/29, 120
2022/11/30, 167
2022/12/1, 171
2022/12/2, 177
2022/12/3, 122
2022/12/4, 143
2022/12/5, 236
2022/12/6, 125
2022/12/7, 203
2022/12/8, 252
2022/12/9, 155
2022/12/10, 142
2022/12/11, 199
2022/12/12, 207
2022/12/13, 175
2022/12/14, 209
2022/12/15, 163
2022/12/16, 134
2022/12/17, 135
2022/12/18, 137
2022/12/19, 177
2022/12/20, 218
2022/12/21, 226
2022/12/22, 270
2022/12/23, 192
2022/12/24, 180
2022/12/25, 186
2022/12/26, 113
2022/12/27, 114
2022/12/28, 96
2022/12/29, 163
2022/12/30, 138
2022/12/31, 146
2023/1/1, 142
2023/1/2, 169
2022/7/2, 121
2022/7/3, 162
2022/7/4, 151
2022/7/5, 343
2022/7/6, 231
2022/7/7, 176
2022/7/8, 148
2022/7/9, 126
2022/7/10, 116
2022/7/11, 98
2022/7/12, 100
2022/7/13, 89
2022/7/14, 94
2022/7/15, 85
2022/7/16, 102
2022/7/17, 98
2022/7/18, 91
2022/7/19, 102
2022/7/21, 7
2022/7/22, 16
2022/7/23, 13
2022/7/27, 88
2022/7/28, 121
2022/7/29, 129
2022/7/30, 140
2022/7/31, 112
2022/8/1, 88
2022/8/2, 76
2022/8/3, 85
2022/8/4, 73
2022/8/5, 74
2022/8/6, 72
2022/8/7, 78
2022/8/8, 70
2022/8/9, 90
