date, pm25, pm10, o3, no2, so2, co
2023/4/2, 32, 22, 30, 3, , 8
2023/4/3, 42, 10, 26, 7, , 9
2023/4/4, 24, 15, 32, 4, , 10
2023/4/5, 45, 4, 28, 4, , 11
2023/4/6, 12, 5, 29, 6, , 6
2023/4/7, 12, 7, 32, 4, , 1
2023/4/8, 16, 12, 28, 4, , 2
2023/4/9, 36, 16, 29, 3, , 5
2023/4/10, 53, 6, 31, 2, , 7
2023/4/11, 17, 6, 34, 2, , 9
2023/4/12, 12, , , , , 
2023/1/3, 9, 3, 26, 3, , 
2023/1/4, 8, 4, 30, 3, , 
2023/1/5, 11, 3, 30, 5, , 
2023/1/6, 9, 9, 30, 2, , 
2023/1/7, 22, 4, 32, 3, , 
2023/1/8, 10, 10, 32, 1, , 
2023/1/9, 25, 5, 29, 4, , 
2023/1/10, 12, 6, 33, 2, , 
2023/1/11, 15, 8, 34, 1, , 
2023/1/12, 20, 6, 32, 2, , 
2023/1/13, 16, 6, 29, 5, , 
2023/1/14, 11, 3, 32, 2, , 
2023/1/15, 8, 5, 28, 8, , 
2023/1/16, 13, 4, 22, 11, , 1
2023/1/17, 11, 3, 19, 8, , 1
2023/1/18, 7, 7, 22, 11, , 1
2023/1/19, 16, 5, 22, 8, , 1
2023/1/20, 11, 9, 17, 17, , 2
2023/1/21, 24, 6, 22, 8, , 1
2023/1/22, 15, 5, 21, 3, , 1
2023/1/23, 18, 2, 20, 4, , 1
2023/1/24, 8, 4, 19, 6, , 1
2023/1/25, 12, 7, 22, 5, , 1
2023/1/26, 17, 9, 20, 12, , 2
2023/1/27, 16, 6, 25, 10, , 2
2023/1/28, 16, 6, 23, 6, , 1
2023/1/29, 15, 5, 28, 1, , 1
2023/1/30, 14, 9, 27, 5, , 1
2023/1/31, 21, 8, 30, 3, , 1
2023/2/1, 19, 7, 30, 6, , 2
2023/2/2, 16, 5, 29, 2, , 1
2023/2/3, 11, 15, 29, 4, , 1
2023/2/4, 32, 5, 29, 3, , 1
2023/2/5, 14, 13, 25, 8, , 3
