date, pm25, o3, no2, so2, co
2023/4/2, 88, , 16, 5, 4
2023/4/3, 71, , 10, 4, 4
2023/4/4, 26, , 9, , 3
2023/4/5, 48, , 12, 1, 4
2023/4/6, 43, , 4, , 
2023/4/7, 41, , 2, , 
2023/4/8, 26, , 9, 2, 4
2023/4/9, 32, , 8, 1, 5
2023/4/10, 11, , 5, 1, 4
2023/4/11, 16, , 7, , 5
2023/4/12, 12, , , , 
2023/1/3, 5, , 27, 1, 4
2023/1/4, 74, , 36, 1, 6
2023/1/5, 66, , 21, 2, 4
2023/1/6, 34, , 27, 1, 5
2023/1/7, 54, , 28, , 5
2023/1/8, 42, , 38, 1, 7
2023/1/9, 106, , 41, 1, 9
2023/1/10, 134, , 36, 1, 7
2023/1/11, 161, , 23, 1, 6
2023/1/12, 124, , 16, 1, 4
2023/1/13, 62, , 28, 1, 5
2023/1/14, 85, , 23, 1, 5
2023/1/15, 97, , 24, 1, 5
2023/1/16, 119, , 11, , 4
2023/1/17, 27, , 14, 1, 4
2023/1/18, 53, , 21, 1, 5
2023/1/19, 36, , 29, 1, 6
2023/1/20, 41, , 30, 1, 6
2023/1/21, 35, , 24, 1, 5
2023/1/22, 16, , 6, 1, 4
2023/1/23, 8, , 17, 1, 5
2023/1/24, 23, , 13, 1, 5
2023/1/25, 4, , 19, 2, 5
2023/1/26, 19, , 6, 2, 2
2023/1/27, 11, , 11, 2, 1
2023/1/28, 24, , 2, 1, 1
2023/1/29, 9, , 7, 2, 1
2023/1/30, 11, , 16, 1, 2
2023/1/31, 13, , 18, 3, 2
2023/2/1, 32, , 9, 2, 1
2023/2/2, 24, , 7, , 1
2023/2/3, 16, , 33, 1, 3
2023/2/4, 47, , 29, 1, 4
2023/2/5, 38, , 20, 1, 3
2023/2/6, 20, , 22, 1, 3
2023/2/7, 29, , 17, 1, 2
2023/2/8, 13, , 17, 2, 3
2023/2/9, 25, , 24, 1, 3
2023/2/10, 29, , 20, 6, 3
2023/2/11, 36, , 16, 1, 3
2023/2/12, 11, , 14, 1, 3
2023/2/13, 14, , 8, 3, 2
2023/2/14, 8, , 16, , 3
2023/2/15, 22, , 11, 1, 2
2023/2/16, 41, , 18, 1, 3
2023/2/17, 35, , 10, 2, 3
2023/2/18, 12, , 16, 1, 3
2023/2/19, 26, , 14, 1, 3
2023/2/20, 33, , 10, 1, 3
2023/2/21, 13, , 15, 2, 3
2023/2/22, 14, , 19, 6, 3
2023/2/23, 25, , 16, 1, 3
2023/2/24, 27, , 12, 1, 3
2023/2/25, 23, , 15, 1, 4
2023/2/26, 38, , 14, 5, 4
2023/2/27, 42, , 15, 1, 3
