date, pm25, pm10, o3, no2, so2, co
2023/4/2, 21, 10, 30, 2, , 2
2023/4/3, 15, 11, 31, 1, , 1
2023/4/4, 6, 9, 32, 2, , 2
2023/4/5, 10, 14, 33, 8, , 3
2023/4/6, 21, 22, 38, 11, , 4
2023/4/7, 32, 22, 34, 6, , 2
2023/4/8, 34, 9, 30, 1, , 2
2023/4/9, 14, 11, 31, 3, , 2
2023/4/10, 21, 24, 29, 8, , 3
2023/4/11, 45, , , , , 
2023/1/3, 36, 9, 24, 9, , 3
2023/1/4, 23, 7, 28, 7, , 2
2023/1/5, 20, 6, 28, 4, , 2
2023/1/6, 11, 12, 24, 12, , 4
2023/1/7, 27, 12, 29, 8, , 2
2023/1/8, 25, 4, 26, 3, , 2
2023/1/9, 13, 3, 22, 2, , 1
2023/1/10, 12, 7, 29, 49, , 2
2023/1/11, 14, 10, 19, 7, , 2
2023/1/12, 17, 17, 17, 15, , 4
2023/1/13, 29, 13, 23, 9, , 3
2023/1/14, 19, 5, 26, 3, , 2
2023/1/15, 12, 5, 27, 4, , 2
2023/1/16, 11, 4, 28, 3, , 2
2023/1/17, 9, 15, 19, 14, , 5
2023/1/18, 46, 21, 20, 14, , 6
2023/1/19, 44, 12, 22, 7, , 2
2023/1/20, 37, 15, 20, 12, , 3
2023/1/21, 36, 30, 16, 14, , 8
2023/1/22, 76, 27, 22, 9, , 7
2023/1/23, 72, 34, 20, 13, , 5
2023/1/24, 76, 33, 21, 16, 1, 7
2023/1/25, 73, 40, 21, 15, , 8
2023/1/26, 84, 37, 26, 15, , 6
2023/1/27, 77, 42, , 20, , 7
2023/1/28, 80, 40, 29, , , 7
2023/1/29, 91, 23, 18, 8, , 3
2023/1/30, 63, 12, 19, 7, , 3
2023/1/31, 27, 27, 4, 18, 6, 7
2023/2/1, 59, 32, 18, 17, , 7
2023/2/2, 61, 29, 18, 17, , 6
2023/2/3, 55, 25, 24, 15, , 4
2023/2/4, 35, 27, 27, 10, , 5
2023/2/5, 54, 6, 29, 3, , 2
2023/2/6, 17, 14, 13, 12, , 4
2023/2/7, 39, 22, 21, 16, , 7
2023/2/8, 52, 33, 22, 14, , 7
2023/2/9, 71, 34, 30, 15, , 6
2023/2/10, 71, 31, 29, 8, , 4
2023/2/11, 66, 7, 30, 3, , 2
2023/2/12, 13, 16, 23, 7, , 2
2023/2/13, 38, 21, 31, 11, , 4
2023/2/14, 47, 21, 28, 2, , 1
2023/2/15, 22, 19, 12, 16, , 5
2023/2/16, 32, 22, 23, 16, , 5
2023/2/17, 35, 28, 19, 18, , 5
2023/2/18, 40, 30, 28, 15, , 5
2023/2/19, 59, 37, 32, 17, , 6
2023/2/20, 73, 30, 34, 14, , 4
2023/2/21, 56, 49, 33, 10, , 3
2023/2/22, 43, 8, 28, 4, , 1
2023/2/23, 5, 7, 27, 5, , 2
2023/2/24, 16, 4, 27, 3, , 1
2023/2/25, 7, 8, 30, 6, , 2
2023/2/26, 26, 17, 26, 8, , 5
2023/2/27, 45, 6, 26, 6, , 2
2023/2/28, 14, 7, 25, 7, , 2
2023/3/1, 17, 5, 28, 4, , 1
2023/3/2, 9, 14, 28, 12, , 4
2023/3/3, 27, 25, 32, 15, , 5
2023/3/4, 47, 19, 28, 6, , 2
2023/3/5, 47, 8, 27, 4, , 2
2023/3/6, 18, 10, 33, 8, , 3
2023/3/7, 19, 8, 31, 7, , 3
2023/3/8, 15, 11, 31, 7, , 2
2023/3/9, 14, 13, 28, 9, , 3
2023/3/10, 32, 4, 21, 2, , 1
2023/3/11, 8, 6, 22, 3, , 2
2023/3/12, 11, 5, 26, 3, , 2
2023/3/13, 7, 6, 28, 5, , 2
2023/3/14, 10, 6, 20, 2, , 1
2023/3/15, 12, 8, 27, 3, , 1
2023/3/16, 13, 14, 31, 8, , 3
2023/3/17, 27, 20, 32, 7, , 3
2023/3/18, 30, 21, 35, 6, , 3
2023/3/19, 40, 8, 29, 2, , 1
2023/3/20, 16, 5, 31, 3, , 2
2023/3/21, 8, 5, 34, 1, , 1
2023/3/22, 10, 5, 32, 2, , 1
