date, pm25, pm10, no2, so2
2023/4/2, 28, 6, 5, 2
2023/4/3, 21, 6, 3, 2
2023/4/4, 20, 8, 3, 1
2023/4/5, 24, 12, 7, 2
2023/4/6, 33, 20, 10, 2
2023/4/7, 46, 14, 8, 2
2023/4/8, 56, 28, 11, 2
2023/4/9, 78, 14, 7, 2
2023/4/10, 49, 16, 12, 2
2023/4/11, 50, 39, 11, 2
2023/4/12, 88, , , 
2023/1/3, 64, 8, 10, 1
2023/1/4, 22, 15, 9, 1
2023/1/5, 54, 5, 8, 1
2023/1/6, 17, , , 
2023/1/9, 89, 35, 7, 1
2023/1/10, 107, 28, 19, 2
2023/1/11, 81, 25, 9, 1
2023/1/12, 67, 12, 7, 1
2023/1/13, 48, 8, 6, 1
2023/1/14, 37, 7, 1, 1
2023/1/15, 32, 7, 1, 1
2023/1/16, 31, 12, 6, 1
2023/1/17, 45, 17, 5, 2
2023/1/18, 62, 20, 11, 2
2023/1/19, 67, 29, 12, 2
2023/1/20, 88, 25, 9, 2
2023/1/21, 78, 7, 4, 2
2023/1/22, 26, 7, 1, 2
2023/1/23, 34, 8, , 2
2023/1/24, 38, 23, , 3
2023/1/25, 68, 27, , 3
2023/1/26, 85, 31, , 2
2023/1/27, 92, 14, , 2
2023/1/28, 43, 20, , 2
2023/1/29, 63, 10, , 2
2023/1/30, 43, 8, , 2
2023/1/31, 33, 8, , 5
2023/2/1, 27, 7, , 3
2023/2/2, 24, 5, , 2
2023/2/3, 22, 19, 3, 3
2023/2/4, 57, 19, 2, 2
2023/2/5, 19, 20, 8, 3
2023/2/6, 52, 14, 1, 5
2023/2/7, 51, 21, 7, 5
2023/2/8, 64, 27, , 3
2023/2/9, 87, 35, , 4
2023/2/10, 102, 15, , 4
2023/2/11, 54, 10, , 4
2023/2/12, 39, 11, , 3
2023/2/13, 40, 13, , 6
2023/2/14, 35, 17, , 8
2023/2/15, 53, 27, , 4
2023/2/16, 83, 42, 16, 4
2023/2/17, 115, 23, 7, 2
2023/2/18, 72, 7, 5, 3
2023/2/19, 22, 7, 8, 3
2023/2/20, 22, 6, 7, 4
2023/2/21, 22, 9, 7, 6
2023/2/22, 32, 8, 5, 1
2023/2/23, 30, 21, 6, 2
2023/2/24, 69, 13, 5, 1
2023/2/25, 47, 9, 4, 1
2023/2/26, 32, 3, 3, 1
2023/2/27, 13, 9, 9, 1
2023/2/28, 19, 39, 17, 3
2023/3/1, 93, 17, 12, 4
2023/3/2, 50, 28, 19, 2
2023/3/3, 66, 17, 9, 3
2023/3/4, 46, 20, 6, 3
2023/3/5, 39, 11, 5, 2
2023/3/6, 25, 16, 8, 1
2023/3/7, 45, 22, 8, 1
2023/3/8, 71, 15, 8, 1
2023/3/9, 29, 16, 12, 1
2023/3/10, 50, 11, 1, 1
2023/3/11, 43, 7, 4, 1
2023/3/12, 30, 14, 7, 3
2023/3/13, 37, 19, 8, 2
2023/3/14, 67, 12, 8, 2
2023/3/15, 45, 15, 9, 1
2023/3/16, 39, 12, 10, 1
2023/3/17, 43, 26, 9, 1
2023/3/18, 83, 24, 4, 2
2023/3/19, 74, 37, 11, 2
2023/3/20, 105, 31, 15, 2
2023/3/21, 89, 12, 8, 3
2023/3/22, 39, 24, 9, 2
2023/3/23, 75, 16, 8, 1
2023/3/24, 52, 15, 8, 1
2023/3/25, 54, 13, 5, 1
2023/3/26, 47, 7, 4, 2
2023/3/27, 27, 12, 9, 2
2023/3/28, 30, 13, 10, 3
2023/3/29, 35, 15, 12, 2
2023/3/30, 43, 28, 12, 2
2023/3/31, 82, 21, 15, 2
2023/4/1, 45, 8, 4, 1
2022/10/2, 76, 7, 2, 1
2022/10/3, 29, 10, 7, 1
2022/10/4, 39, 13, 11, 1
2022/10/5, 36, 19, 10, 1
2022/10/6, 58, 27, 9, 1
2022/10/7, 50, 19, 11, 1
2022/10/8, 52, 20, 8, 1
2022/10/9, 61, 13, 6, 2
2022/10/10, 35, 25, 7, 1
2022/10/11, 66, 23, 9, 2
2022/10/12, 43, 20, 11, 2
2022/10/13, 42, 30, 9, 1
2022/10/14, 70, 51, 11, 1
2022/10/15, 113, 51, 8, 1
2022/10/16, 116, 26, 6, 1
2022/10/17, 81, 51, 9, 1
2022/10/18, 67, 16, 12, 1
2022/10/19, 46, 6, 8, 1
2022/10/20, 20, 16, 14, 1
2022/10/21, 43, 24, 10, 1
2022/10/22, 75, 30, 9, 1
2022/10/23, 88, 22, 8, 1
2022/10/24, 66, 30, 8, 
2022/10/25, 84, 20, 11, 
2022/10/26, 61, 21, 13, 
2022/10/27, 60, 39, 12, 
2022/10/28, 92, 33, 9, 
2022/10/29, 94, 18, 7, 
2022/10/30, 52, 25, 9, 
2022/10/31, 73, 68, 10, 
2022/11/1, 110, 9, 8, 
2022/11/2, 40, 19, 11, 
2022/11/3, 61, 14, 10, 
2022/11/4, 45, 15, 6, 
2022/11/5, 54, 20, 9, 
2022/11/6, 65, 14, 5, 
2022/11/7, 52, 22, 8, 
2022/11/8, 69, 20, 11, 1
2022/11/9, 61, 23, 9, 
2022/11/10, 71, 19, 12, 1
2022/11/11, 57, 15, 5, 1
2022/11/12, 50, 9, 6, 2
2022/11/13, 38, 11, 7, 1
2022/11/14, 44, 15, 5, 1
2022/11/15, 56, 25, 10, 
2022/11/16, 79, 6, 2, 
2022/11/17, 25, 11, 2, 
2022/11/18, 42, 7, 1, 
2022/11/19, 29, 20, 4, 
2022/11/20, 66, 31, 6, 1
2022/11/21, 94, 37, 9, 1
2022/11/22, 111, 39, 9, 1
2022/11/23, 117, 23, 4, 1
2022/11/24, 77, 26, 7, 
2022/11/25, 83, 33, 10, 1
2022/11/26, 95, 45, 7, 1
2022/11/27, 131, 30, 10, 2
2022/11/28, 89, 45, 8, 
2022/11/29, 79, 22, 4, 1
2022/11/30, 74, 23, 5, 1
2022/12/1, 78, 17, 9, 1
2022/12/2, 58, 20, 4, 1
2022/12/3, 68, 30, 4, 1
2022/12/4, 90, 27, 4, 1
2022/12/5, 86, 19, 4, 1
2022/12/6, 68, 36, 7, 1
2022/12/7, 100, 12, 9, 1
2022/12/8, 43, 16, 12, 1
2022/12/9, 51, 42, 21, 1
2022/12/10, 118, 44, 22, 2
2022/12/11, 120, 20, 8, 1
2022/12/12, 61, 7, 8, 1
2022/12/13, 24, 9, 11, 2
2022/12/14, 35, 27, 12, 1
2022/12/15, 87, 53, 16, 2
2022/12/16, 150, 35, 8, 2
2022/12/17, 104, 27, 16, 2
2022/12/18, 77, 24, 9, 1
2022/12/19, 78, 31, 9, 2
2022/12/20, 91, 26, 12, 2
2022/12/21, 83, 28, 12, 2
2022/12/22, 90, 24, 11, 2
2022/12/23, 80, 16, 13, 1
2022/12/24, 57, 50, 9, 1
2022/12/25, 65, 28, 4, 1
2022/12/26, 82, 16, 5, 2
2022/12/27, 59, 6, 6, 1
2022/12/28, 24, 13, 8, 1
2022/12/29, 54, 13, 9, 1
2022/12/30, 53, 12, 8, 1
2022/12/31, 42, 12, 4, 2
2023/1/1, 50, 14, 3, 2
2023/1/2, 43, 20, 10, 1
2022/7/2, 55, 11, 5, 
2022/7/3, 34, 11, 2, 
2022/7/4, 37, 21, 8, 
2022/7/5, 50, 17, 8, 
2022/7/6, 39, 16, 8, 
2022/7/7, 34, 11, 3, 
2022/7/8, 27, 20, 5, 
2022/7/9, 40, 24, 3, 
2022/7/10, 37, 9, 3, 
2022/7/11, 25, 10, 5, 
2022/7/12, 26, 22, 4, 
2022/7/13, 30, 38, 4, 1
2022/7/14, 43, 41, 5, 3
2022/7/15, 44, 31, 4, 1
2022/7/16, 34, 7, 5, 1
2022/7/17, 25, 11, 5, 2
2022/7/18, 30, 14, 7, 2
2022/7/19, 40, 21, 10, 1
2022/7/20, 50, 25, 8, 
2022/7/21, 57, 32, 8, 
2022/7/22, 58, 32, 11, 
2022/7/23, 72, 16, 5, 
2022/7/24, 47, 11, 4, 
2022/7/25, 35, 21, 6, 
2022/7/26, 45, 14, 7, 1
2022/7/27, 39, 21, 4, 
2022/7/28, 29, 15, 4, 
2022/7/29, 32, 11, 6, 
2022/7/30, 28, 9, 2, 
2022/7/31, 22, 11, 4, 
2022/8/1, 25, 17, 8, 
2022/8/2, 33, 25, 6, 1
2022/8/3, 42, 33, 10, 
2022/8/4, 54, 46, 7, 
2022/8/5, 60, 44, 5, 
2022/8/6, 60, 14, 4, 2
2022/8/7, 29, 11, 4, 
2022/8/8, 31, 22, 8, 
2022/8/9, 40, 23, 6, 
2022/8/10, 42, 18, 7, 
2022/8/11, 36, 20, 7, 
2022/8/12, 37, 27, 8, 
2022/8/13, 43, 21, 7, 
2022/8/14, 47, 26, 5, 
2022/8/15, 54, 22, 7, 
2022/8/16, 59, 24, 11, 
2022/8/17, 60, 20, 11, 
2022/8/18, 59, 29, 6, 
2022/8/19, 69, 39, 9, 
2022/8/20, 66, 24, 4, 
2022/8/21, 64, 11, 5, 
2022/8/22, 38, 9, 9, 
2022/8/23, 32, 15, 5, 1
2022/8/24, 48, 17, 6, 1
2022/8/25, 52, 22, 5, 1
2022/8/26, 61, 26, 4, 
2022/8/27, 59, 23, 4, 1
2022/8/28, 59, 26, 8, 1
2022/8/29, 63, 35, 7, 1
2022/8/30, 47, 7, 5, 1
2022/8/31, 23, 10, 7, 1
2022/9/1, 22, 6, 9, 
2022/9/2, 20, 10, 9, 
2022/9/3, 25, 4, 2, 
2022/9/4, 18, 5, 1, 
2022/9/5, 18, 8, 9, 
2022/9/6, 24, 9, , 
2022/9/7, 26, 13, 1, 
2022/9/8, 33, 14, 3, 
2022/9/9, 30, 14, 3, 
2022/9/10, 47, 18, 2, 
2022/9/11, 62, 19, 5, 
2022/9/12, 45, 13, 10, 
2022/9/13, 34, 22, 11, 
2022/9/14, 63, 16, 7, 
2022/9/15, 35, 21, 5, 
2022/9/16, 34, 21, 3, 
2022/9/17, 27, 8, 5, 
2022/9/18, 28, 8, 4, 
2022/9/19, 29, 11, 9, 1
2022/9/20, 28, 9, 10, 
2022/9/21, 28, 6, 8, 
2022/9/22, 22, 8, 12, 
2022/9/23, 28, 17, 11, 1
2022/9/24, 42, 24, 7, 
2022/9/25, 68, 31, 7, 1
2022/9/26, 87, 33, 10, 
2022/9/27, 85, 26, 6, 
2022/9/28, 79, 17, 11, 
2022/9/29, 53, 23, 11, 
2022/9/30, 63, 26, 14, 1
2022/10/1, 70, 26, 6, 1
2022/4/2, 43, 32, 3, 
2022/4/3, 36, 21, 6, 
2022/4/4, 42, 48, 4, 
2022/4/5, 54, 11, 8, 1
2022/4/6, 33, 17, 9, 
2022/4/7, 56, 20, 5, 
2022/4/8, 49, 20, 4, 
2022/4/9, 32, 13, 4, 
2022/4/10, 38, 41, 2, 
2022/4/11, 42, 25, 8, 
2022/4/12, 47, 28, 14, 
2022/4/13, 59, 42, 14, 
2022/4/14, 85, 54, 17, 1
2022/4/15, 115, 19, 9, 
2022/4/16, 58, 7, 3, 
2022/4/17, 27, 8, 8, 
2022/4/18, 31, 10, 7, 
2022/4/19, 39, 12, 7, 
2022/4/20, 39, 18, 7, 
2022/4/21, 45, 22, 8, 
2022/4/22, 49, 18, 5, 
2022/4/23, 46, 19, 5, 
2022/4/24, 47, 16, 4, 
2022/4/25, 47, 10, 5, 
2022/4/26, 42, 14, 11, 
2022/4/27, 41, 19, 6, 
2022/4/28, 40, 16, 6, 
2022/4/29, 35, 45, 15, 
2022/4/30, 78, 30, 9, 
2022/5/1, 60, 28, 6, 
2022/5/2, 53, 23, 7, 
2022/5/3, 50, 15, 6, 
2022/5/4, 44, 16, 4, 
2022/5/5, 32, 34, 14, 1
2022/5/6, 64, 31, 9, 1
2022/5/7, 72, 37, 9, 
2022/5/8, 63, 15, 4, 
2022/5/9, 44, 27, 5, 
2022/5/10, 31, 39, 11, 1
2022/5/11, 59, 36, 12, 1
2022/5/12, 62, 107, 12, 1
2022/5/13, 74, 39, 8, 1
2022/5/14, 46, 27, 4, 1
2022/5/15, 47, 13, 5, 1
2022/5/16, 34, 26, 10, 1
2022/5/17, 49, 19, 3, 1
2022/5/18, 26, 20, 6, 1
2022/5/19, 31, 39, 12, 1
2022/5/20, 49, 69, 9, 1
2022/5/21, 74, 17, 7, 1
2022/5/22, 48, 10, 3, 1
2022/5/23, 34, 14, 6, 1
2022/5/24, 41, 24, 6, 1
2022/5/25, 58, 18, 9, 1
2022/5/26, 56, 33, 6, 
2022/5/27, 45, 29, 4, 
2022/5/28, 33, 6, 2, 
2022/5/29, 23, 10, 5, 1
2022/5/30, 39, 16, 7, 
2022/5/31, 53, 16, 5, 
2022/6/1, 39, 14, 8, 
2022/6/2, 48, 17, 8, 
2022/6/3, 44, 16, 5, 
2022/6/4, 48, 18, 7, 
2022/6/5, 55, 13, 6, 
2022/6/6, 42, 28, 9, 
2022/6/7, 59, 29, 9, 
2022/6/8, 73, 28, 8, 
2022/6/9, 67, 28, 11, 
2022/6/10, 73, 20, 9, 
2022/6/11, 52, 18, 8, 
2022/6/12, 46, 16, 5, 
2022/6/13, 47, 17, 9, 
2022/6/14, 45, 27, 4, 
2022/6/15, 38, 19, 5, 
2022/6/16, 40, 14, 5, 
2022/6/17, 37, 22, 7, 
2022/6/18, 40, 23, 5, 
2022/6/19, 46, 18, 3, 
2022/6/20, 42, 10, 7, 
2022/6/21, 33, 12, 6, 
2022/6/22, 34, 15, 5, 
2022/6/23, 45, 19, 7, 
2022/6/24, 52, 24, 7, 
2022/6/25, 48, 22, 4, 
2022/6/26, 51, 29, 4, 
2022/6/27, 60, 36, 7, 
2022/6/28, 62, 27, 10, 
2022/6/29, 61, 16, 6, 
2022/6/30, 47, 16, 6, 
2022/7/1, 49, 27, 5, 
2022/1/4, 26, 19, 10, 
2022/1/5, 66, 12, 8, 
2022/1/6, 44, 7, 4, 2
2022/1/7, 28, 19, 9, 1
2022/1/8, 64, 22, 6, 
2022/1/9, 76, 41, 7, 1
2022/1/10, 122, 39, 13, 1
2022/1/11, 115, 46, 21, 3
2022/1/12, 123, 40, 14, 2
2022/1/13, 115, 7, 11, 4
2022/1/14, 29, 5, 6, 2
2022/1/15, 18, 11, 11, 6
2022/1/16, 34, 18, 4, 
2022/1/17, 64, 5, 4, 
2022/1/18, 19, 13, 16, 4
2022/1/19, 40, 17, 8, 
2022/1/20, 60, 9, 8, 2
2022/1/21, 26, 5, 5, 1
2022/1/22, 18, 7, 3, 1
2022/1/23, 22, 28, 12, 2
2022/1/24, 82, 12, 9, 1
2022/1/25, 48, 10, 16, 5
2022/1/26, 41, 10, 13, 3
2022/1/27, 38, 8, 6, 1
2022/1/28, 35, 5, 5, 2
2022/1/29, 19, 10, 6, 2
2022/1/30, 38, 4, 2, 1
2022/1/31, 15, 17, 11, 7
2022/2/1, 29, 19, 11, 3
2022/2/2, 53, 9, 7, 1
2022/2/3, 38, 18, 12, 1
2022/2/4, 63, 24, 5, 1
2022/2/5, 78, 7, , 2
2022/2/6, 30, 7, , 1
2022/2/7, 30, 12, , 8
2022/2/8, 31, 10, 6, 5
2022/2/9, 33, 10, 14, 3
2022/2/10, 36, 11, 12, 1
2022/2/11, 41, 10, 13, 1
2022/2/12, 37, 10, 6, 1
2022/2/13, 40, 21, 4, 2
2022/2/14, 72, 25, 6, 2
2022/2/15, 78, 34, 9, 2
2022/2/16, 95, 18, 6, 1
2022/2/17, 63, 4, 5, 1
2022/2/18, 19, 8, 6, 1
2022/2/19, 30, 4, 2, 1
2022/2/20, 16, 9, 1, 1
2022/2/21, 37, 5, 2, 1
2022/2/22, 20, 9, 7, 3
2022/2/23, 27, 12, 9, 2
2022/2/24, 42, 21, 10, 1
2022/2/25, 64, 19, 6, 1
2022/2/26, 39, 15, 8, 1
2022/2/27, 48, 3, 2, 
2022/2/28, 14, 30, 16, 2
2022/3/1, 78, 46, 17, 3
2022/3/2, 108, 55, 19, 3
2022/3/3, 124, 14, 6, 1
2022/3/4, 46, 3, 7, 
2022/3/5, 15, 5, 3, 
2022/3/6, 20, 22, 12, 2
2022/3/7, 63, 13, 10, 1
2022/3/8, 38, 23, 16, 1
2022/3/9, 55, 19, 12, 1
2022/3/10, 55, 16, 3, 1
2022/3/11, 53, 36, 13, 2
2022/3/12, 83, 47, 10, 3
2022/3/13, 113, 54, 15, 3
2022/3/14, 131, 50, 12, 3
2022/3/15, 115, 58, 17, 3
2022/3/16, 143, 28, 7, 
2022/3/17, 85, 43, 8, 1
2022/3/18, 106, 41, 10, 1
2022/3/19, 95, 9, 3, 
2022/3/20, 35, 31, 9, 8
2022/3/21, 86, 62, 16, 1
2022/3/22, 126, 68, 19, 2
2022/3/23, 136, 61, 19, 2
2022/3/24, 124, 58, 18, 2
