date, pm25, o3, so2
2023/4/2, 15, 33, 
2023/4/3, 28, 40, 
2023/4/4, 18, 32, 
2023/4/5, 18, 35, 
2023/4/6, 21, 39, 
2023/4/7, 19, 38, 
2023/4/8, 16, 37, 
2023/4/9, 31, 45, 
2023/4/10, 50, 48, 
2023/4/11, 45, 37, 
2023/4/12, 57, , 
2023/1/3, 54, , 
2023/1/4, 35, , 
2023/1/5, 30, , 
2023/1/6, 24, , 
2023/1/7, 17, , 
2023/1/8, 29, , 
2023/1/9, 54, , 
2023/1/10, 74, , 
2023/1/11, 83, , 
2023/1/12, 81, , 
2023/1/13, 30, , 
2023/1/14, 11, , 
2023/1/15, 38, , 
2023/1/16, 49, , 
2023/1/17, 29, , 
2023/1/18, 21, , 
2023/1/19, 16, , 
2023/1/20, 13, , 
2023/1/21, 14, , 
2023/1/22, 35, , 
2023/1/23, 43, , 
2023/1/24, 43, , 
2023/1/25, 54, , 
2023/1/26, 58, , 
2023/1/27, 23, , 
2023/1/28, 27, , 
2023/1/29, 20, , 
2023/1/30, 15, , 
2023/1/31, 24, , 
2023/2/1, 34, , 
2023/2/2, 50, , 
2023/2/3, 40, , 
2023/2/4, 16, , 
2023/2/5, 34, , 
2023/2/6, 57, , 
2023/2/7, 39, , 
2023/2/8, 48, , 
2023/2/9, 36, , 
2023/2/10, 62, , 
2023/2/11, 14, , 
2023/2/12, 21, , 
2023/2/13, 36, , 
2023/2/14, 44, , 
2023/2/15, 36, , 
2023/2/16, 18, , 
2023/2/17, 10, , 
2023/2/18, 14, , 
2023/2/19, 45, , 
2023/2/20, 35, , 
2023/2/21, 36, , 
2023/2/22, 24, , 
2023/2/23, 11, , 
2023/2/24, 10, , 
2023/2/25, 15, , 
2023/2/26, 38, , 
2023/2/27, 49, , 
2023/2/28, 21, , 
2023/3/1, 35, , 
2023/3/2, 47, , 
2023/3/3, 17, , 
2023/3/4, 40, , 
2023/3/5, 68, , 
2023/3/6, 40, , 
2023/3/7, 19, , 
2023/3/8, 15, , 
2023/3/9, 17, , 
2023/3/10, 14, , 
2023/3/11, 9, , 
2023/3/12, 14, , 
2023/3/13, 20, , 
2023/3/14, 11, , 
2023/3/15, 23, , 
2023/3/16, 47, , 
2023/3/17, 63, , 
2023/3/18, 18, , 
2023/3/19, 15, , 
2023/3/20, 20, , 
2023/3/21, 30, , 
2023/3/22, 20, , 
2023/3/23, 53, 40, 
2023/3/24, 35, 39, 
2023/3/25, 26, 39, 
2023/3/26, 22, 45, 
2023/3/27, 36, 44, 
2023/3/28, 29, 42, 
2023/3/29, 35, 39, 
2023/3/30, 29, 39, 
2023/3/31, 34, 33, 
2023/4/1, 33, 37, 
2022/10/2, 53, 20, 4
2022/10/3, 17, 27, 4
2022/10/4, 17, 35, 3
2022/10/5, 27, 36, 
2022/10/6, 37, 25, 
2022/10/7, 26, 23, 
2022/10/8, 11, 28, 
2022/10/9, 18, 27, 
2022/10/10, 31, 26, 
2022/10/11, 18, 41, 
2022/10/12, 39, 24, 
2022/10/13, 44, 14, 
2022/10/14, 33, 18, 
2022/10/15, 31, 15, 
2022/10/16, 27, 12, 
2022/10/17, 12, 18, 
2022/10/18, 7, , 
2022/10/19, 13, , 
2022/10/20, 16, , 
2022/10/21, 33, , 
2022/10/22, 69, , 
2022/10/23, 73, , 
2022/10/24, 50, , 
2022/10/25, 49, , 
2022/10/26, 22, , 
2022/10/27, 20, , 
2022/10/28, 34, , 
2022/10/29, 40, , 
2022/10/30, 59, , 
2022/10/31, 70, , 
2022/11/1, 77, , 
2022/11/2, 63, , 
2022/11/3, 60, , 
2022/11/4, 51, , 
2022/11/5, 36, , 
2022/11/6, 7, , 
2022/11/7, 18, , 
2022/11/8, 25, , 
2022/11/9, 14, , 
2022/11/10, 39, , 
2022/11/11, 50, , 
2022/11/12, 17, , 
2022/11/13, 11, , 
2022/11/14, 9, , 
2022/11/15, 26, , 
2022/11/16, 21, , 
2022/11/17, 14, , 
2022/11/18, 38, , 
2022/11/19, 26, , 
2022/11/20, 17, , 
2022/11/21, 20, , 
2022/11/22, 38, , 
2022/11/23, 63, , 
2022/11/24, 85, , 
2022/11/25, 73, , 
2022/11/26, 40, , 
2022/11/27, 30, , 
2022/11/28, 24, , 
2022/11/29, 35, , 
2022/11/30, 55, , 
2022/12/1, 20, , 
2022/12/2, 20, , 
2022/12/3, 28, , 
2022/12/4, 23, , 
2022/12/5, 30, , 
2022/12/6, 43, , 
2022/12/7, 22, , 
2022/12/8, 44, , 
2022/12/9, 28, , 
2022/12/10, 31, , 
2022/12/11, 43, , 
2022/12/12, 45, , 
2022/12/13, 34, , 
2022/12/14, 33, , 
2022/12/15, 31, , 
2022/12/16, 24, , 
2022/12/17, 39, , 
