date, pm25, o3, no2, so2, co, aqi
2023/4/2, 125, 3, 11, 9, , 
2023/4/3, 94, 4, 11, 9, , 
2023/4/4, 94, 4, 13, 9, , 
2023/4/5, 126, 4, 13, 9, , 
2023/4/6, 139, 5, 12, 9, , 
2023/4/7, 135, 4, 14, 8, , 
2023/4/8, 128, 6, 10, 8, , 
2023/4/9, 132, 3, 12, 9, , 
2023/4/10, 144, 2, 14, 9, , 
2023/4/11, 153, 2, 14, 9, , 
2023/4/12, 143, , , , , 
2023/1/3, 167, 1, 13, , , 
2023/1/4, 150, 1, 16, 9, , 
2023/1/5, 172, 1, 13, 9, , 
2023/1/6, 157, 3, 9, , , 
2023/1/7, 133, 3, 16, 9, , 
2023/1/8, 156, 4, 19, 9, , 
2023/1/9, 182, 4, 17, 9, , 
2023/1/10, 184, , 13, 9, , 
2023/1/11, 185, , 9, 9, , 
2023/1/12, 152, , 9, 9, , 
2023/1/13, 105, , 10, 9, , 
2023/1/14, 118, 4, 10, 9, , 
2023/1/15, 154, 1, 7, 9, , 
2023/1/16, 125, 2, 6, 8, , 
2023/1/17, 96, 2, 3, 9, , 
2023/1/18, 137, 3, 3, 9, , 
2023/1/19, 141, 2, 4, 9, , 
2023/1/20, 168, 2, 4, 9, , 
2023/1/21, 179, 6, 6, 9, , 
2023/1/22, 193, 3, 6, 9, , 
2023/1/23, 189, 1, 7, 9, , 
2023/1/24, 158, 4, 4, 8, , 
2023/1/25, 105, 4, 6, , , 
2023/1/26, 150, 2, 3, 9, , 
2023/1/27, 160, 3, 4, 9, , 
2023/1/28, 148, 5, 5, 9, , 
2023/1/29, 143, 6, 7, 9, , 
2023/1/30, 163, 5, 12, 9, , 
2023/1/31, 181, 2, 16, 9, , 
2023/2/1, 156, 2, 15, 9, , 
2023/2/2, 148, , 12, 9, , 
2023/2/3, 151, , , , , 
2023/2/4, 106, , , , , 
2023/2/5, 99, , , , , 
2023/2/6, 78, , , , , 
2023/2/7, 87, , , , , 
2023/2/8, 81, , , , , 
2023/2/9, 72, , , , , 
2023/2/10, 78, 2, 10, 10, , 
2023/2/11, 86, 2, 7, 10, , 
2023/2/12, 99, 2, 9, 9, , 
2023/2/13, 116, 2, 13, 9, , 
2023/2/14, 114, 2, 10, 9, , 
2023/2/15, 108, 4, 10, 10, , 
2023/2/16, 120, 4, 12, 10, , 
2023/2/17, 152, 3, 18, 10, , 
2023/2/18, 170, 2, 19, 10, , 
2023/2/19, 135, 2, 11, 10, , 
2023/2/20, 153, 7, 13, 10, , 
2023/2/21, 139, 4, 21, 10, , 
2023/2/22, 154, 5, 17, 10, , 
2023/2/23, 115, 3, 18, 10, , 
2023/2/24, 118, , , , , 
2023/2/25, 112, 8, 14, 10, , 
2023/2/26, 99, 10, 14, 10, , 
2023/2/27, 145, 8, 19, 10, , 
2023/2/28, 160, 5, 20, 10, , 
2023/3/1, 151, 2, 17, 10, , 
2023/3/2, 153, 10, 17, 11, , 
2023/3/3, 180, 6, 20, 9, , 
2023/3/4, 172, , 11, 8, , 
2023/3/5, 150, , 14, 8, , 
2023/3/6, 169, 7, 17, 8, , 
2023/3/7, 158, 7, 14, 8, , 
2023/3/8, 121, 5, 17, 8, , 
