date, pm25
2023/4/2, 63
2023/4/3, 58
2023/4/4, 50
2023/4/5, 64
2023/4/6, 27
2023/4/7, 39
2023/4/8, 32
2023/4/9, 51
2023/4/10, 87
2023/4/11, 93
2023/4/12, 83
2023/1/3, 87
2023/1/4, 87
2023/1/5, 52
2023/1/6, 50
2023/1/7, 53
2023/1/8, 53
2023/1/9, 82
2023/1/10, 91
2023/1/11, 53
2023/1/12, 57
2023/1/13, 48
2023/1/14, 65
2023/1/15, 89
2023/1/16, 98
2023/1/17, 88
2023/1/18, 102
2023/1/19, 95
2023/1/20, 77
2023/1/21, 84
2023/1/22, 71
2023/1/23, 87
2023/1/24, 52
2023/1/25, 50
2023/1/26, 53
2023/1/27, 61
2023/1/28, 79
2023/1/29, 41
2023/1/30, 66
2023/1/31, 81
2023/2/1, 101
2023/2/2, 125
2023/2/3, 88
2023/2/4, 58
2023/2/5, 62
2023/2/6, 61
2023/2/7, 58
2023/2/8, 55
2023/2/9, 70
2023/2/10, 61
2023/2/11, 59
2023/2/12, 67
2023/2/13, 62
2023/2/14, 55
2023/2/15, 70
2023/2/16, 77
2023/2/17, 93
2023/2/18, 88
2023/2/19, 106
2023/2/20, 83
2023/2/21, 80
2023/2/22, 92
2023/2/23, 112
2023/2/24, 115
2023/2/25, 103
2023/2/26, 122
2023/2/27, 95
2023/2/28, 86
2023/3/1, 78
2023/3/2, 95
2023/3/3, 96
2023/3/4, 109
2023/3/5, 129
2023/3/6, 115
2023/3/7, 122
2023/3/8, 112
2023/3/9, 101
2023/3/10, 86
2023/3/11, 113
2023/3/12, 104
2023/3/13, 87
2023/3/14, 94
2023/3/15, 101
2023/3/16, 76
2023/3/17, 71
2023/3/18, 76
2023/3/19, 61
2023/3/20, 60
2023/3/21, 57
2023/3/22, 62
2023/3/23, 58
2023/3/24, 51
2023/3/25, 55
2023/3/26, 46
2023/3/27, 55
2023/3/28, 41
2023/3/29, 57
2023/3/30, 63
2023/3/31, 60
2023/4/1, 58
2022/10/2, 51
2022/10/3, 70
2022/10/4, 57
2022/10/5, 72
2022/10/6, 54
2022/10/7, 62
2022/10/13, 70
2022/10/14, 83
2022/10/15, 81
2022/10/16, 90
2022/10/27, 62
2022/10/28, 78
2022/10/29, 88
2022/10/30, 73
2022/10/31, 63
2022/11/1, 187
2022/11/4, 95
2022/11/5, 84
2022/11/6, 87
2022/11/7, 78
2022/11/8, 93
2022/11/9, 92
2022/11/15, 85
2022/11/17, 94
2022/11/18, 78
2022/11/19, 99
2022/11/20, 72
2022/11/21, 69
2022/12/2, 80
2022/12/3, 68
2022/12/9, 70
2022/12/10, 83
2022/12/11, 107
2022/12/12, 80
2022/12/13, 79
2022/12/14, 93
2022/12/15, 129
2022/12/16, 109
2022/12/17, 90
2022/12/18, 84
2022/12/19, 35
2022/12/20, 50
2022/12/21, 91
2022/12/22, 119
2022/12/23, 91
2022/12/24, 82
2022/12/25, 102
2022/12/26, 95
2022/12/27, 94
2022/12/28, 136
2022/12/29, 136
2022/12/30, 114
2022/12/31, 111
2023/1/1, 97
2023/1/2, 73
2022/7/13, 51
2022/7/14, 60
2022/7/15, 70
2022/7/16, 62
2022/7/17, 60
2022/7/18, 57
2022/7/19, 60
2022/7/20, 60
2022/7/21, 64
2022/7/22, 76
2022/7/23, 95
2022/7/24, 77
2022/7/25, 67
2022/7/26, 60
2022/7/27, 71
2022/7/28, 83
2022/7/29, 79
2022/7/30, 67
2022/7/31, 68
2022/8/1, 58
2022/8/2, 62
2022/8/3, 66
2022/8/4, 58
2022/8/5, 73
2022/8/6, 57
2022/8/7, 65
2022/8/8, 50
2022/8/9, 65
2022/8/10, 73
2022/8/11, 56
2022/8/12, 55
2022/8/13, 87
2022/8/14, 80
2022/8/15, 84
2022/8/16, 68
2022/8/17, 84
2022/8/18, 61
2022/8/19, 63
2022/8/20, 63
2022/8/21, 69
2022/8/22, 60
2022/8/23, 55
2022/8/24, 67
2022/8/25, 76
2022/8/26, 49
2022/8/27, 64
2022/8/28, 80
2022/8/29, 98
2022/8/30, 53
2022/8/31, 56
2022/9/1, 74
2022/9/2, 87
2022/9/3, 57
2022/9/4, 49
2022/9/5, 42
2022/9/6, 42
2022/9/7, 49
2022/9/8, 62
2022/9/9, 39
2022/9/10, 57
2022/9/11, 60
2022/9/12, 42
2022/9/13, 46
2022/9/14, 67
2022/9/15, 49
2022/9/16, 49
2022/9/17, 61
2022/9/18, 85
2022/9/22, 52
2022/9/23, 50
2022/9/24, 59
2022/9/25, 70
2022/9/26, 51
2022/9/27, 59
2022/9/28, 62
2022/9/29, 50
2022/9/30, 39
2022/10/1, 46
2022/4/2, 62
2022/4/3, 55
2022/4/4, 52
2022/4/5, 65
2022/4/6, 65
2022/4/7, 108
2022/4/8, 108
2022/4/9, 107
2022/4/10, 99
2022/4/11, 75
2022/4/12, 72
2022/4/13, 91
2022/4/14, 100
2022/4/15, 94
2022/4/16, 91
2022/4/17, 98
2022/4/18, 93
2022/4/19, 80
2022/4/20, 91
2022/4/21, 88
2022/4/22, 67
2022/4/23, 65
2022/4/24, 64
2022/4/25, 67
2022/4/26, 50
2022/4/27, 48
2022/4/28, 91
2022/4/29, 50
2022/4/30, 72
2022/5/1, 59
2022/5/2, 56
2022/5/3, 48
2022/5/4, 46
2022/5/5, 67
2022/5/6, 65
2022/5/7, 76
2022/5/8, 62
2022/5/9, 56
2022/5/10, 56
2022/5/11, 67
2022/5/12, 64
2022/5/13, 59
2022/5/14, 54
2022/5/15, 65
2022/5/16, 62
2022/5/17, 73
2022/5/18, 79
2022/5/19, 60
2022/5/20, 74
2022/5/21, 108
2022/5/22, 58
2022/5/23, 49
2022/5/24, 54
2022/5/25, 59
2022/5/26, 68
2022/5/27, 55
2022/5/28, 60
2022/5/29, 52
2022/5/30, 56
2022/5/31, 63
2022/6/1, 74
2022/6/2, 65
2022/6/3, 65
2022/6/4, 67
2022/6/5, 67
2022/6/6, 62
2022/6/7, 55
2022/6/8, 64
2022/6/9, 71
2022/6/10, 66
2022/6/11, 76
2022/6/12, 96
2022/6/13, 75
2022/6/14, 88
2022/6/15, 49
2022/6/16, 53
2022/6/17, 81
2022/6/18, 88
2022/6/19, 67
2022/6/20, 59
2022/6/21, 65
2022/6/22, 51
2022/6/23, 67
2022/6/24, 75
2022/6/25, 77
2022/6/26, 53
2022/6/27, 44
2022/6/28, 62
2022/6/29, 65
2022/1/4, 90
2022/1/5, 121
2022/1/6, 96
2022/1/7, 121
2022/1/8, 108
2022/1/9, 108
2022/1/10, 76
2022/1/11, 82
2022/1/12, 78
2022/1/13, 87
2022/1/14, 113
2022/1/15, 107
2022/1/16, 118
2022/1/17, 87
2022/1/18, 100
2022/1/19, 109
2022/1/20, 106
2022/1/21, 125
2022/1/22, 88
2022/1/23, 70
2022/1/24, 53
2022/1/25, 85
2022/1/26, 81
2022/1/27, 102
2022/1/28, 101
2022/1/29, 102
2022/1/30, 93
2022/1/31, 71
2022/2/1, 53
2022/2/2, 62
2022/2/3, 52
2022/2/4, 58
2022/2/5, 63
2022/2/6, 57
2022/2/7, 55
2022/2/8, 62
2022/2/9, 72
2022/2/10, 72
2022/2/11, 71
2022/2/12, 73
2022/2/13, 78
2022/2/14, 68
2022/2/15, 74
2022/2/16, 74
2022/2/25, 66
2022/2/26, 69
2022/2/27, 63
2022/2/28, 74
2022/3/1, 67
2022/3/2, 76
2022/3/3, 98
2022/3/4, 123
2022/3/5, 98
2022/3/6, 64
2022/3/7, 65
2022/3/8, 84
2022/3/9, 74
2022/3/10, 99
2022/3/11, 95
2022/3/12, 96
2022/3/13, 112
2022/3/14, 98
2022/3/15, 59
2022/3/16, 57
2022/3/17, 66
2022/3/18, 77
2022/3/19, 71
2022/3/20, 101
2022/3/21, 74
2022/3/22, 38
2022/3/23, 53
2022/3/24, 50
2022/3/25, 46
2022/3/26, 37
2022/3/27, 49
2022/3/28, 47
2022/3/29, 63
2022/3/30, 96
2022/3/31, 83
2022/4/1, 89
2021/10/2, 67
2021/10/3, 56
2021/10/4, 61
2021/10/5, 81
2021/10/6, 74
2021/10/7, 64
2021/10/8, 67
2021/10/9, 47
2021/10/13, 32
2021/10/14, 35
2021/10/21, 72
2021/10/22, 70
2021/10/23, 69
2021/10/24, 78
2021/10/25, 75
2021/10/26, 72
2021/10/27, 71
2021/10/28, 82
2021/10/29, 59
2021/10/30, 53
2021/10/31, 76
2021/11/1, 64
2021/11/2, 85
2021/11/3, 52
2021/11/4, 11
2021/11/5, 14
2021/11/6, 50
2021/11/7, 64
2021/11/8, 74
2021/11/9, 55
2021/11/10, 108
2021/11/11, 71
2021/11/12, 79
2021/11/13, 59
2021/11/14, 76
2021/11/15, 77
2021/11/16, 77
2021/11/17, 81
2021/11/18, 99
2021/11/19, 96
2021/11/20, 100
2021/11/21, 103
2021/11/22, 99
2021/11/23, 66
2021/11/24, 105
2021/11/25, 97
2021/11/26, 89
2021/11/27, 85
2021/11/28, 71
2021/11/29, 72
2021/11/30, 75
2021/12/1, 57
2021/12/2, 86
2021/12/3, 109
2021/12/4, 90
2021/12/5, 106
2021/12/6, 100
2021/12/7, 95
2021/12/8, 103
2021/12/9, 123
2021/12/10, 113
2021/12/11, 86
2021/12/12, 117
2021/12/13, 126
2021/12/14, 80
2021/12/15, 80
2021/12/16, 101
2021/12/17, 85
2021/12/18, 98
2021/12/19, 89
2021/12/20, 74
2021/12/21, 100
2021/12/22, 82
2021/12/23, 85
2021/12/24, 77
2021/12/25, 95
2021/12/26, 98
2021/12/27, 101
2021/12/28, 103
2021/12/29, 84
2021/12/30, 94
2021/12/31, 53
2022/1/1, 65
2022/1/2, 70
2022/1/3, 77
2021/7/2, 52
2021/7/3, 51
2021/7/4, 67
2021/7/5, 61
2021/7/6, 53
2021/7/7, 57
2021/7/8, 36
2021/7/9, 48
2021/7/10, 39
2021/7/11, 31
2021/7/12, 38
2021/7/13, 54
2021/7/14, 82
2021/7/15, 64
2021/7/16, 56
2021/7/17, 40
2021/7/18, 49
2021/7/19, 43
2021/7/20, 48
2021/7/21, 48
2021/7/22, 43
2021/7/23, 44
2021/7/24, 52
2021/7/25, 49
2021/7/26, 36
2021/7/27, 38
2021/7/28, 34
2021/7/29, 43
2021/7/30, 36
2021/7/31, 31
2021/8/1, 41
2021/8/2, 40
2021/8/3, 42
2021/8/4, 45
2021/8/5, 42
2021/8/6, 36
2021/8/7, 47
2021/8/8, 49
2021/8/9, 35
2021/8/10, 42
2021/8/11, 45
2021/8/12, 42
2021/8/13, 50
2021/8/14, 49
2021/8/15, 46
2021/8/16, 60
2021/8/17, 82
2021/8/18, 71
2021/8/19, 47
2021/8/20, 54
2021/8/21, 69
2021/8/22, 73
2021/8/23, 38
2021/8/24, 53
2021/8/25, 42
2021/8/26, 27
2021/8/27, 34
2021/8/28, 49
2021/8/29, 59
2021/8/30, 56
2021/8/31, 47
2021/9/1, 48
2021/9/2, 39
2021/9/3, 39
2021/9/4, 31
2021/9/5, 36
2021/9/6, 38
2021/9/7, 44
2021/9/8, 41
2021/9/9, 33
2021/9/10, 30
2021/9/11, 33
2021/9/12, 34
2021/9/13, 33
2021/9/14, 38
2021/9/15, 40
2021/9/16, 31
2021/9/17, 44
2021/9/18, 59
2021/9/19, 59
2021/9/20, 48
2021/9/21, 39
2021/9/22, 38
2021/9/23, 44
2021/9/24, 50
2021/9/25, 42
2021/9/26, 42
2021/9/27, 58
2021/9/28, 56
2021/9/29, 68
2021/9/30, 61
2021/10/1, 47
2021/4/2, 73
2021/4/3, 73
2021/4/4, 67
2021/4/5, 56
2021/4/6, 86
2021/4/7, 80
2021/4/8, 96
2021/4/9, 105
2021/4/10, 96
2021/4/11, 101
2021/4/12, 70
2021/4/13, 71
2021/4/14, 65
2021/4/15, 56
2021/4/16, 85
2021/4/17, 66
2021/4/18, 81
2021/4/19, 69
2021/4/20, 67
2021/4/21, 68
2021/4/22, 66
2021/4/23, 68
2021/4/24, 79
2021/4/25, 56
2021/4/26, 51
2021/4/27, 53
2021/4/28, 58
2021/4/29, 63
2021/4/30, 72
2021/5/1, 63
2021/5/2, 54
2021/5/3, 58
2021/5/4, 61
2021/5/5, 85
2021/5/6, 65
2021/5/7, 61
2021/5/8, 84
2021/5/9, 104
2021/5/10, 58
2021/5/11, 55
2021/5/12, 46
2021/5/13, 55
2021/5/14, 53
2021/5/15, 42
2021/5/16, 70
2021/5/17, 84
2021/5/18, 43
2021/5/19, 46
2021/5/20, 78
2021/5/21, 56
2021/5/22, 68
2021/5/23, 60
2021/5/24, 57
2021/5/25, 59
2021/5/26, 75
2021/5/27, 56
2021/5/28, 75
2021/5/29, 47
2021/5/30, 48
2021/5/31, 53
2021/6/1, 60
2021/6/2, 68
2021/6/3, 75
2021/6/4, 67
2021/6/5, 67
2021/6/6, 61
2021/6/7, 56
2021/6/8, 43
2021/6/9, 53
2021/6/10, 85
2021/6/11, 54
2021/6/12, 43
2021/6/13, 42
2021/6/14, 51
2021/6/15, 50
2021/6/16, 55
2021/6/17, 62
2021/6/18, 84
2021/6/19, 77
2021/6/20, 72
2021/6/21, 54
2021/6/22, 55
2021/6/23, 56
2021/6/24, 57
2021/6/25, 73
2021/6/26, 59
2021/6/27, 54
2021/6/28, 50
2021/6/29, 54
2021/6/30, 62
2021/7/1, 63
2021/1/5, 86
2021/1/6, 78
2021/1/7, 69
2021/1/8, 81
2021/1/9, 117
2021/1/10, 96
2021/1/11, 97
2021/1/12, 98
2021/1/13, 70
2021/1/14, 109
2021/1/15, 121
2021/1/16, 112
2021/1/17, 119
2021/1/18, 85
2021/1/19, 81
2021/1/20, 153
2021/1/21, 158
2021/1/22, 125
2021/1/23, 98
2021/1/24, 94
2021/1/25, 85
2021/1/26, 101
2021/1/27, 109
2021/1/28, 114
2021/1/29, 107
2021/1/30, 108
2021/1/31, 135
2021/2/1, 120
2021/2/2, 107
2021/2/3, 98
2021/2/4, 108
2021/2/5, 115
2021/2/6, 116
2021/2/7, 115
2021/2/8, 114
2021/2/9, 96
2021/2/10, 91
2021/2/11, 64
2021/2/12, 62
2021/2/13, 66
2021/2/14, 68
2021/2/15, 63
2021/2/16, 68
2021/2/17, 67
2021/2/18, 59
2021/2/19, 94
2021/2/20, 84
2021/2/21, 88
2021/2/22, 100
2021/2/23, 73
2021/2/24, 85
2021/2/25, 73
2021/2/26, 76
2021/2/27, 80
2021/2/28, 102
2021/3/1, 59
2021/3/2, 51
2021/3/3, 60
2021/3/4, 66
2021/3/5, 68
2021/3/6, 56
2021/3/7, 64
2021/3/8, 63
2021/3/9, 87
2021/3/10, 84
2021/3/11, 86
2021/3/12, 82
2021/3/13, 74
2021/3/14, 91
2021/3/15, 99
2021/3/16, 95
2021/3/17, 79
2021/3/18, 70
2021/3/19, 60
2021/3/20, 58
2021/3/21, 48
2021/3/22, 59
2021/3/23, 78
2021/3/24, 98
2021/3/25, 77
2021/3/26, 57
2021/3/27, 61
2021/3/28, 63
2021/3/29, 57
2021/3/30, 57
2021/3/31, 74
2021/4/1, 76
2020/10/2, 60
2020/10/3, 76
2020/10/4, 75
2020/10/5, 45
2020/10/6, 50
2020/10/7, 67
2020/10/8, 63
2020/10/9, 48
2020/10/10, 58
2020/10/11, 83
2020/10/12, 50
