date, pm25, o3, no2, co
2023/4/4, 77, , , 
2023/4/5, 80, , , 
2023/4/6, 101, , , 
2023/4/7, 121, , , 
2023/4/8, 97, , , 
2023/4/9, 84, , , 
2023/4/10, 111, , , 
2023/4/11, 143, , , 
2023/4/12, 153, , , 
2023/1/3, 146, , , 
2023/1/4, 155, , , 
2023/1/5, 159, , , 
2023/1/12, 59, , , 
2023/1/13, 62, , , 
2023/1/17, 131, , , 
2023/1/18, 123, , , 
2023/1/19, 106, , , 
2023/1/20, 143, , , 
2023/1/21, 143, , , 
2023/1/22, 150, , , 
2023/1/23, 155, , , 
2023/1/24, 153, , , 
2023/1/25, 119, , , 
2023/1/26, 102, , , 
2023/1/27, 109, , , 
2023/1/28, 105, , , 
2023/1/29, 101, , , 
2023/1/30, 138, , , 
2023/1/31, 107, , , 
2023/2/1, 85, , , 
2023/2/2, 72, , , 
2023/2/8, 99, , , 
2023/2/9, 102, , , 
2023/2/10, 86, , , 
2023/2/11, 70, , , 
2023/2/12, 80, , , 
2023/2/13, 130, , , 
2023/2/14, 113, , , 
2023/2/15, 93, , , 
2023/2/16, 115, , , 
2023/2/17, 61, , , 
2023/2/18, 88, , , 
2023/2/20, 90, , , 
2023/2/21, 90, , , 
2023/2/22, 110, , , 
2023/2/23, 152, , , 
2023/2/24, 126, , , 
2023/2/25, 104, , , 
2023/2/26, 158, , , 
2023/2/27, 157, , , 
2023/2/28, 120, , , 
2023/3/1, 119, , , 
2023/3/2, 137, , , 
2023/3/3, 135, , , 
2023/3/4, 100, , , 
2023/3/5, 99, , , 
2023/3/6, 136, , , 
2023/3/7, 121, , , 
2023/3/8, 112, , , 
2023/3/10, 142, , , 
2023/3/11, 101, , , 
2023/3/12, 73, , , 
2023/3/13, 86, , , 
2023/3/14, 151, , , 
2023/3/15, 140, , , 
2023/3/16, 144, , , 
2023/3/17, 89, , , 
2023/3/18, 77, , , 
2023/3/19, 86, , , 
2023/3/26, 87, , , 
2023/3/27, 94, , , 
2023/3/29, 71, , , 
2023/3/30, 75, , , 
2023/3/31, 75, , , 
2023/4/1, 60, , , 
2022/10/12, 141, , , 
2022/10/13, 105, , , 
2022/11/10, 100, , , 
2022/11/11, 112, , , 
2022/11/12, 94, , , 
2022/11/13, 79, , , 
2022/11/14, 69, , , 
2022/11/15, 107, , , 
2022/11/16, 104, , , 
2022/11/17, 159, , , 
2022/11/18, 119, , , 
2022/11/20, 105, , , 
2022/11/21, 124, , , 
2022/11/22, 93, , , 
2022/11/23, 112, , , 
2022/11/24, 127, , , 
2022/11/26, 143, , , 
2022/11/27, 123, , , 
2022/11/28, 118, , , 
2022/11/29, 101, , , 
2022/11/30, 126, , , 
2022/12/1, 144, , , 
2022/12/2, 123, , , 
2022/12/3, 104, , , 
2022/12/4, 100, , , 
2022/12/5, 121, , , 
2022/12/6, 97, , , 
2022/12/7, 96, , , 
2022/12/8, 103, , , 
2022/12/9, 127, , , 
2022/12/10, 134, , , 
2022/12/13, 160, , , 
2022/12/14, 157, , , 
2022/12/15, 146, , , 
2022/12/16, 130, , , 
2022/12/17, 137, , , 
2022/12/18, 96, , , 
2022/12/19, 99, , , 
2022/12/20, 93, , , 
2022/12/21, 131, , , 
2022/12/22, 118, , , 
2022/12/23, 100, , , 
2022/12/24, 98, , , 
2022/12/25, 84, , , 
2022/12/26, 75, , , 
2022/12/27, 78, , , 
2022/12/28, 86, , , 
2022/12/29, 85, , , 
2022/12/30, 105, , , 
2022/12/31, 156, , , 
2023/1/1, 148, , , 
2023/1/2, 138, , , 
2022/7/2, 116, , , 
2022/7/3, 118, , , 
2022/7/6, 196, , , 
2022/7/7, 153, , , 
2022/7/8, 144, , , 
2022/7/9, 131, , , 
2022/7/10, 127, , , 
2022/7/11, 143, , , 
2022/7/12, 130, , , 
2022/7/13, 101, , , 
