date, pm25
2023/4/2, 58
2023/4/3, 79
2023/4/4, 68
2023/4/5, 84
2023/4/6, 86
2023/4/7, 72
2023/4/8, 96
2023/4/9, 98
2023/4/10, 94
2023/4/11, 92
2023/1/3, 183
2023/1/4, 185
2023/1/5, 185
2023/1/6, 199
2023/1/7, 231
2023/1/8, 270
2023/1/9, 173
2023/1/10, 170
2023/1/11, 166
2023/1/12, 121
2023/1/13, 122
2023/1/14, 157
2023/1/15, 170
2023/1/16, 134
2023/1/17, 152
2023/1/18, 159
2023/1/19, 163
2023/1/20, 183
2023/1/21, 140
2023/1/22, 115
2023/1/23, 136
2023/1/24, 170
2023/1/25, 174
2023/1/26, 180
2023/1/27, 175
2023/1/28, 158
2023/1/29, 180
2023/1/30, 137
2023/1/31, 80
2023/2/1, 134
2023/2/2, 135
2023/2/3, 158
2023/2/4, 142
2023/2/5, 140
2023/2/6, 141
2023/2/7, 91
2023/2/8, 119
2023/2/9, 142
2023/2/10, 103
2023/2/11, 120
2023/2/12, 87
2023/2/13, 99
2023/2/14, 108
2023/2/15, 145
2023/2/16, 151
2023/2/17, 156
2023/2/18, 171
2023/2/19, 164
2023/2/20, 155
2023/2/21, 151
2023/2/22, 117
2023/2/23, 119
2023/2/24, 124
2023/2/25, 126
2023/2/26, 126
2023/2/27, 101
2023/2/28, 120
2023/3/1, 114
2023/3/2, 108
2023/3/3, 112
2023/3/4, 107
2023/3/5, 110
2023/3/6, 96
2023/3/7, 102
2023/3/8, 104
2023/3/9, 107
2023/3/10, 129
2023/3/11, 129
2023/3/12, 129
2023/3/13, 138
2023/3/14, 112
2023/3/15, 102
2023/3/16, 124
2023/3/17, 91
2023/3/18, 97
2023/3/19, 89
2023/3/20, 87
2023/3/21, 92
2023/3/22, 99
2023/3/23, 106
2023/3/24, 80
2023/3/25, 87
2023/3/26, 55
2023/3/27, 89
2023/3/28, 106
2023/3/29, 94
2023/3/30, 104
2023/3/31, 85
2023/4/1, 52
2022/10/2, 122
2022/10/3, 75
2022/10/4, 104
2022/10/5, 107
2022/10/6, 111
2022/10/7, 89
2022/10/8, 97
2022/10/9, 102
2022/10/10, 125
2022/10/11, 141
2022/10/12, 134
2022/10/13, 85
2022/10/14, 107
2022/10/15, 111
2022/10/16, 104
2022/10/17, 123
2022/10/18, 132
2022/10/19, 134
2022/10/20, 126
2022/10/21, 81
2022/10/22, 104
2022/10/23, 104
2022/10/24, 103
2022/10/25, 116
2022/10/26, 124
2022/10/27, 138
2022/10/28, 154
2022/10/29, 133
2022/10/30, 148
2022/10/31, 159
2022/11/1, 167
2022/11/2, 150
2022/11/3, 121
2022/11/4, 133
2022/11/5, 150
2022/11/6, 121
2022/11/7, 78
2022/11/8, 88
2022/11/9, 163
2022/11/10, 113
2022/11/11, 120
2022/11/12, 122
2022/11/13, 132
2022/11/14, 129
2022/11/15, 100
2022/11/16, 139
2022/11/17, 124
2022/11/18, 114
2022/11/19, 138
2022/11/20, 154
2022/11/21, 135
2022/11/22, 140
2022/11/23, 153
2022/11/24, 151
2022/11/25, 162
2022/11/26, 179
2022/11/27, 198
2022/11/28, 189
2022/11/29, 185
2022/11/30, 196
2022/12/1, 176
2022/12/3, 206
2022/12/4, 169
2022/12/5, 183
2022/12/6, 178
2022/12/7, 183
2022/12/8, 171
2022/12/9, 163
2022/12/10, 156
2022/12/11, 133
2022/12/12, 138
2022/12/13, 146
2022/12/14, 142
2022/12/15, 155
2022/12/16, 184
2022/12/17, 185
2022/12/18, 178
2022/12/19, 182
2022/12/20, 196
2022/12/21, 218
2022/12/22, 208
2022/12/23, 204
2022/12/24, 205
2022/12/25, 212
2022/12/26, 250
2022/12/27, 192
2022/12/28, 189
2022/12/29, 180
2022/12/30, 157
2022/12/31, 139
2023/1/1, 138
2023/1/2, 147
2022/7/2, 51
2022/7/7, 111
2022/7/8, 96
2022/7/9, 125
2022/7/10, 81
2022/7/11, 57
2022/7/12, 92
2022/7/13, 78
2022/7/14, 65
2022/7/15, 64
2022/7/16, 58
2022/7/17, 44
2022/7/18, 77
2022/7/19, 95
2022/7/20, 78
2022/7/21, 69
2022/7/22, 38
2022/7/23, 62
2022/7/24, 79
2022/7/25, 74
2022/7/26, 68
2022/7/27, 69
2022/7/28, 59
2022/7/29, 67
2022/7/30, 43
2022/7/31, 68
2022/8/1, 52
2022/8/2, 46
2022/8/3, 85
2022/8/4, 89
2022/8/5, 85
2022/8/6, 78
2022/8/7, 92
2022/8/8, 108
2022/8/9, 106
2022/8/10, 98
2022/8/11, 102
2022/8/12, 67
2022/8/13, 52
2022/8/14, 73
2022/8/15, 91
2022/8/16, 37
2022/8/17, 59
2022/8/18, 57
2022/8/19, 71
2022/8/20, 75
2022/8/21, 70
2022/8/22, 73
2022/8/23, 87
2022/8/24, 80
2022/8/25, 55
2022/8/26, 57
2022/8/27, 77
2022/8/28, 87
2022/8/29, 93
2022/8/30, 73
2022/8/31, 83
2022/9/1, 87
2022/9/2, 92
2022/9/3, 100
2022/9/4, 98
2022/9/5, 86
2022/9/6, 57
2022/9/7, 76
2022/9/8, 95
2022/9/9, 107
2022/9/10, 104
2022/9/11, 91
2022/9/12, 61
2022/9/13, 79
2022/9/14, 103
2022/9/15, 117
2022/9/16, 102
2022/9/17, 125
2022/9/18, 92
2022/9/19, 94
2022/9/20, 103
2022/9/21, 126
2022/9/22, 129
2022/9/23, 126
2022/9/24, 124
2022/9/25, 95
2022/9/26, 60
2022/9/27, 85
2022/9/28, 102
2022/9/29, 114
2022/9/30, 109
2022/10/1, 111
2022/4/2, 121
2022/4/3, 109
2022/4/4, 118
2022/4/5, 121
2022/4/6, 116
2022/4/7, 115
2022/4/8, 120
2022/4/9, 129
2022/4/10, 122
2022/4/11, 122
2022/4/12, 134
2022/4/13, 142
2022/4/14, 111
2022/4/15, 101
2022/4/16, 97
2022/4/17, 110
2022/4/18, 131
2022/4/19, 136
2022/4/20, 117
2022/4/21, 108
2022/4/22, 77
2022/4/23, 72
2022/4/24, 95
2022/4/25, 84
2022/4/26, 84
2022/4/27, 101
2022/4/28, 109
2022/4/29, 131
2022/4/30, 97
2022/5/1, 97
2022/5/2, 127
2022/5/3, 162
2022/5/4, 77
2022/5/12, 148
2022/5/13, 65
2022/5/14, 59
2022/5/15, 30
2022/5/16, 23
2022/5/17, 15
2022/5/18, 77
2022/5/19, 76
2022/5/20, 139
2022/5/21, 54
2022/5/22, 43
2022/5/23, 37
2022/5/24, 82
2022/5/25, 70
2022/5/26, 92
2022/5/27, 129
2022/5/28, 102
2022/6/1, 65
2022/6/2, 69
2022/6/3, 20
2022/6/4, 10
2022/6/5, 11
2022/6/6, 11
2022/6/7, 63
2022/6/8, 149
2022/6/9, 163
2022/6/10, 146
2022/6/11, 117
2022/6/12, 113
2022/6/13, 110
2022/6/14, 85
2022/6/15, 115
2022/6/16, 150
2022/6/17, 100
2022/6/18, 69
2022/6/19, 63
2022/6/20, 54
2022/6/21, 41
2022/6/22, 43
2022/6/23, 59
2022/6/24, 77
2022/6/25, 91
2022/6/26, 97
2022/6/27, 111
2022/6/28, 146
2022/6/29, 148
2022/6/30, 152
2022/7/1, 155
2022/1/5, 98
2022/1/6, 68
2022/1/14, 145
2022/1/15, 176
2022/1/16, 183
2022/1/17, 186
2022/1/18, 186
2022/1/19, 26
2022/1/20, 157
2022/1/21, 195
2022/1/22, 160
2022/1/23, 81
2022/1/24, 93
2022/1/25, 117
2022/1/26, 135
2022/1/27, 130
2022/1/28, 135
2022/1/29, 163
2022/1/30, 160
2022/1/31, 170
2022/2/1, 170
2022/2/2, 147
2022/2/3, 146
2022/2/4, 90
2022/2/5, 139
2022/2/6, 164
