date, pm25, pm10, o3, no2, so2, co
2023/4/2, 88, 44, 32, 4, 3, 19
2023/4/4, 72, 43, 24, 10, 3, 20
2023/4/5, 69, 37, 15, 5, 2, 18
2023/4/6, 73, 27, 16, 8, 3, 21
2023/4/7, 61, 29, 23, 7, 2, 21
2023/4/8, 69, 39, 28, 5, 2, 24
2023/4/9, 64, 29, 30, 2, 2, 22
2023/4/10, 54, 26, 32, 6, 2, 22
2023/4/11, 54, , , , , 
2023/1/3, 164, 70, 9, 11, 9, 8
2023/1/4, 155, 56, 8, 7, 4, 4
2023/1/5, 134, 40, 7, 9, 3, 2
2023/1/6, 83, 46, 8, 10, 5, 2
2023/1/7, 86, 61, 4, 12, 4, 5
2023/1/8, 99, 53, 12, 8, 3, 3
2023/1/9, 83, 39, 9, 11, 3, 4
2023/1/10, 69, 38, 14, 11, 4, 1
2023/1/11, 71, 34, 17, 11, 3, 1
2023/1/12, 64, 37, 10, 6, 4, 1
2023/1/13, 68, 29, 11, 4, 3, 
2023/1/14, 43, 19, 11, 6, 2, 
2023/1/15, 31, 29, 18, 4, 3, 
2023/1/16, 43, 38, 15, 10, 4, 1
2023/1/17, 61, 47, 27, 5, 3, 1
2023/1/18, 97, 27, 34, 3, 3, 10
2023/1/19, 43, 26, 31, 7, 4, 19
2023/1/20, 34, 28, 21, 12, 6, 27
2023/1/21, 52, 25, 24, 10, 4, 3
2023/1/22, 51, 60, 9, 17, 5, 10
2023/1/23, 90, 58, 27, 5, 3, 2
2023/1/24, 86, 49, 27, 5, 2, 1
2023/1/25, 54, 33, 19, 4, 2, 1
2023/1/26, 39, 30, 14, 7, 2, 2
2023/1/27, 45, 43, 14, 11, 3, 15
2023/1/28, 64, 39, 21, 4, 5, 29
2023/1/29, 67, 29, 19, 4, 4, 31
2023/1/30, 68, 25, 22, 8, 3, 31
2023/1/31, 62, 31, 13, 11, 4, 34
2023/2/1, 76, 37, 16, 9, 4, 31
2023/2/2, 80, 44, 14, 11, 5, 33
2023/2/3, 91, 40, 19, 12, 3, 33
2023/2/4, 73, 49, 17, 8, 4, 34
2023/2/5, 81, 23, 25, 2, 3, 32
2023/2/6, 67, 15, 26, 2, 2, 30
2023/2/7, 46, 16, 28, 2, 2, 30
2023/2/8, 50, 18, 26, 4, 3, 31
2023/2/9, 58, 20, 34, 4, 2, 31
2023/2/10, 60, 25, 33, 6, 2, 32
2023/2/11, 62, 27, 26, 7, 3, 31
2023/2/12, 56, 35, 27, 12, 4, 35
2023/2/13, 80, 33, 22, 7, 3, 31
2023/2/14, 85, 42, 19, 15, 5, 34
2023/2/15, 64, 52, 24, 7, 4, 31
2023/2/16, 84, 44, 17, 14, 4, 35
2023/2/17, 82, 32, 26, 10, 6, 31
2023/2/18, 91, 35, 32, 7, 4, 26
2023/2/19, 83, 32, 33, 5, 4, 24
2023/2/20, 74, 34, 20, 8, 4, 25
