date, pm25, pm10, o3, so2, co
2023/4/2, 53, 16, 37, , 2
2023/4/3, 34, 20, 23, , 2
2023/4/4, 48, 20, 28, , 1
2023/4/5, 51, 19, 33, , 1
2023/4/6, 44, 17, 23, , 2
2023/4/7, 30, 6, 21, , 
2023/4/8, 16, 6, 20, , 
2023/4/9, 18, 6, 28, , 3
2023/4/10, 17, 12, 37, , 4
2023/4/11, 31, 13, 31, , 
2023/4/12, 39, , , , 
2023/1/3, 31, 15, 23, , 
2023/1/4, 39, 19, 31, , 2
2023/1/5, 34, 14, 33, , 1
2023/1/6, 30, 23, 30, , 3
2023/1/7, 49, 14, 37, , 1
2023/1/8, 31, 12, 28, , 1
2023/1/9, 33, 16, 25, , 2
2023/1/10, 47, 17, 24, , 1
2023/1/11, 48, 16, 25, , 1
2023/1/12, 43, 24, 29, , 
2023/1/13, 36, 10, 28, , 1
2023/1/14, 34, 14, 27, , 2
2023/1/15, 41, 15, 30, , 3
2023/1/16, 44, 9, 29, , 
2023/1/17, 22, 21, 27, , 1
2023/1/18, 48, 15, 30, , 
2023/1/19, 37, 25, 31, , 1
2023/1/20, 28, 7, 25, , 1
2023/1/21, 17, 7, 22, , 
2023/1/22, 20, 9, 25, , 1
2023/1/23, 24, 10, 24, , 2
2023/1/24, 32, 9, 24, , 1
2023/1/25, 30, 3, 27, , 1
2023/1/26, 9, 11, 30, , 2
2023/1/27, 36, 13, 32, , 3
2023/1/28, 34, 9, 33, , 1
2023/1/29, 23, 11, 31, , 1
2023/1/30, 30, 7, 20, , 1
2023/1/31, 19, 5, 16, , 1
2023/2/1, 18, 6, 15, , 1
2023/2/2, 23, 2, 18, , 2
2023/2/3, 6, 12, 29, , 1
2023/2/27, 56, 36, 28, , 2
2023/2/28, 62, 72, 42, , 3
2023/3/1, 103, 30, 25, , 2
2023/3/2, 65, 20, 20, , 2
2023/3/3, 45, 16, 34, , 1
2023/3/4, 32, 13, 34, , 2
2023/3/5, 37, 17, 38, , 3
2023/3/6, 47, 38, 24, , 3
2023/3/7, 85, 39, 36, , 3
2023/3/8, 82, 38, 31, , 2
2023/3/9, 83, 34, 28, , 3
2023/3/10, 81, 15, 25, , 2
2023/3/11, 35, 17, 23, , 2
2023/3/12, 47, 10, 27, , 1
2023/3/13, 24, 7, 35, , 2
2023/3/14, 22, 8, 36, , 2
2023/3/15, 26, 15, 42, , 2
2023/3/16, 46, 19, 39, , 2
2023/3/17, 42, 9, 33, , 1
2023/3/18, 21, 6, 39, , 1
2023/3/19, 17, 8, 38, , 2
2023/3/20, 21, 12, 38, , 3
2023/3/21, 33, 16, 40, , 2
2023/3/22, 46, 17, 40, , 2
2023/3/23, 45, 16, 32, , 2
2023/3/24, 40, 18, 29, , 2
2023/3/25, 39, 43, 42, , 3
2023/3/26, 54, 25, 37, , 2
2023/3/27, 46, 18, 39, , 2
2023/3/28, 36, 18, 43, , 1
2023/3/29, 37, 13, 42, , 2
2023/3/30, 33, 20, 45, , 3
2023/3/31, 46, 21, 38, , 2
2023/4/1, 49, 46, 42, , 3
2022/10/2, 36, 14, 33, 1, 
2022/10/3, 28, 16, 32, 1, 
2022/10/4, 31, 19, 34, 1, 1
2022/10/5, 45, 28, 36, 1, 1
2022/10/6, 56, 38, 46, 1, 2
2022/10/7, 66, 42, 47, 1, 3
2022/10/8, 72, 21, 34, 1, 
2022/10/9, 47, 19, 36, 1, 
2022/10/10, 38, 33, 41, 1, 1
2022/10/11, 61, 35, 42, 1, 1
2022/10/12, 68, 22, 24, 1, 
2022/10/13, 49, 19, 40, 1, 2
2022/10/14, 36, 33, 36, 1, 3
2022/10/15, 50, 25, 47, 1, 
2022/10/16, 53, 22, 38, 1, 
2022/10/17, 53, 27, 31, , 
2022/10/18, 41, 23, 33, , 
2022/10/19, 21, 20, 23, , 2
2022/10/20, 33, 25, 37, , 2
2022/10/21, 43, 21, 45, , 1
2022/10/22, 44, 20, 45, , 1
2022/10/23, 44, 13, 33, , 
2022/10/24, 35, 17, 33, , 
2022/10/25, 39, 10, 32, , 
2022/10/26, 20, 11, 32, , 1
2022/10/27, 23, 11, 27, , 1
2022/10/28, 34, 18, 29, , 1
2022/10/29, 54, 16, 23, , 
2022/10/30, 44, 20, 21, , 1
2022/10/31, 55, 18, 30, , 2
2022/11/1, 54, 31, 30, , 3
2022/11/2, 73, 29, 36, , 2
2022/11/3, 73, 27, 34, , 3
2022/11/4, 68, 21, 31, , 
2022/11/5, 59, 10, 31, , 
2022/11/6, 24, 11, 20, , 
2022/11/7, 28, 17, 25, , 1
2022/11/8, 42, 16, 25, , 1
2022/11/9, 45, 17, 35, , 1
2022/11/10, 42, 20, 32, , 1
2022/11/11, 42, 20, 34, , 2
2022/11/12, 40, 9, 22, , 1
2022/11/13, 26, 12, 21, , 1
2022/11/14, 39, 13, 21, , 1
2022/11/15, 40, 10, 24, , 1
2022/11/16, 33, 12, 25, , 2
2022/11/17, 38, 12, 29, , 2
2022/11/18, 39, 16, 31, , 3
2022/11/19, 46, 14, 22, , 1
2022/11/20, 39, 13, 28, , 1
2022/11/21, 34, 15, 25, , 2
2022/11/22, 39, 21, 30, , 3
2022/11/23, 54, 24, 35, , 2
2022/11/24, 63, 17, 28, , 1
2022/11/25, 50, 13, 17, , 2
2022/11/26, 36, 13, 21, , 3
2022/11/27, 36, 8, 32, , 2
2022/11/28, 18, 13, 21, , 2
2022/11/29, 33, 11, 19, , 1
2022/11/30, 30, 10, 26, , 1
2022/12/1, 23, 8, 24, , 1
2022/12/2, 19, 13, 27, , 1
2022/12/3, 30, 18, 21, , 1
2022/12/4, 40, 23, 15, , 1
2022/12/5, 41, 26, 16, , 1
2022/12/6, 58, 15, 23, , 1
2022/12/7, 35, 21, 23, , 2
2022/12/8, 49, 20, 20, , 1
2022/12/9, 49, 26, 18, , 3
2022/12/10, 63, 21, 17, , 1
2022/12/11, 62, 15, 18, , 1
2022/12/12, 41, 10, 7, , 
2022/12/13, 25, 15, 17, , 
2022/12/14, 42, 8, 23, , 
2022/12/15, 21, 18, 23, , 1
2022/12/16, 24, 12, 29, , 1
2022/12/17, 23, 16, 27, , 2
2022/12/18, 25, 13, 30, , 2
2022/12/19, 31, 9, 22, , 1
2022/12/20, 25, 7, 25, , 1
2022/12/21, 25, 11, 17, , 1
2022/12/22, 37, 7, 21, , 1
2022/12/23, 23, 9, 27, , 1
2022/12/24, 19, 9, 28, , 1
2022/12/25, 17, 9, 29, , 3
2022/12/26, 24, 20, 27, , 4
2022/12/27, 48, 32, 23, , 6
2022/12/28, 73, 15, 32, , 2
2022/12/29, 39, 9, 27, , 
2022/12/30, 23, 11, 28, , 1
2022/12/31, 23, 14, 23, , 1
2023/1/1, 35, 15, 26, , 1
2023/1/2, 48, 11, 19, , 
2022/7/2, 24, 13, 21, , 
2022/7/3, 25, 12, 22, 1, 
2022/7/4, 29, 13, 23, 1, 
2022/7/5, 31, 14, 22, 1, 
2022/7/6, 30, 17, 27, , 
2022/7/7, 35, 15, 29, 1, 
2022/7/8, 35, 14, 29, 1, 
2022/7/9, 33, 17, 44, 1, 
2022/7/10, 34, 14, 35, , 
2022/7/11, 29, 12, 31, 1, 
2022/7/12, 31, 15, 35, 1, 
2022/7/13, 38, 21, 37, 1, 
2022/7/14, 44, 16, 51, , 
2022/7/15, 31, 17, 36, 1, 
2022/7/16, 34, 13, 30, , 
2022/7/17, 28, 21, 30, 1, 
2022/7/18, 42, 31, 27, , 
2022/7/19, 50, 19, 25, 1, 
2022/7/20, 34, 25, 24, 1, 
2022/7/21, 41, 28, 37, 1, 
2022/7/22, 46, 13, 36, , 
2022/7/23, 29, 12, 36, , 
2022/7/24, 29, 13, 21, 1, 
2022/7/25, 29, 14, 25, 1, 
2022/7/26, 31, 13, 24, 1, 
2022/7/27, 26, 14, 26, 1, 
2022/7/28, 27, 14, 25, 1, 
2022/7/29, 23, 15, 26, 1, 
2022/7/30, 26, 14, 17, 1, 
2022/7/31, 28, 26, 22, 1, 
2022/8/1, 41, 14, 28, 1, 
2022/8/2, 25, 14, 20, 1, 
2022/8/3, 27, 13, 24, 1, 
2022/8/4, 26, 14, 27, 1, 
2022/8/5, 30, 12, 26, 1, 
2022/8/6, 23, 11, 23, 1, 
2022/8/7, 24, 14, 25, , 
2022/8/8, 28, 14, 36, 1, 
2022/8/9, 27, 14, 23, 1, 
2022/8/10, 30, 14, 26, 1, 
2022/8/11, 25, 11, 31, 1, 
2022/8/12, 25, 11, 26, , 
2022/8/13, 26, 14, 33, 1, 
2022/8/14, 34, 14, 26, 1, 
2022/8/15, 28, 33, 29, 1, 
2022/8/16, 56, 27, 32, 1, 
2022/8/17, 50, 19, 29, 1, 
2022/8/18, 44, 13, 27, , 
2022/8/19, 37, 13, 29, 1, 
2022/8/20, 26, 13, 21, 1, 
2022/8/21, 27, 13, 19, 1, 
2022/8/22, 26, 11, 17, 1, 
2022/8/23, 20, 7, 18, , 
2022/8/24, 15, 6, 24, , 
2022/8/25, 11, 8, 20, , 
2022/8/26, 18, 10, 20, 1, 
2022/8/27, 23, 11, 27, 1, 
2022/8/28, 26, 9, 27, 1, 
2022/8/29, 23, 12, 28, 1, 
2022/8/30, 26, 13, 22, 1, 
2022/8/31, 23, 14, 35, 1, 
2022/9/1, 27, 18, 40, 1, 
2022/9/2, 41, 21, 40, 1, 
2022/9/3, 50, 18, 38, 1, 
2022/9/4, 49, 14, 24, 1, 
2022/9/5, 40, 17, 22, 1, 
2022/9/6, 46, 19, 26, 1, 
2022/9/7, 46, 18, 33, 1, 
2022/9/8, 39, 16, 34, 1, 
2022/9/9, 40, 15, 26, 1, 
2022/9/10, 38, 10, 31, 1, 
2022/9/11, 26, 12, 27, 1, 
2022/9/12, 30, 18, 27, 1, 1
2022/9/13, 41, 19, 36, 1, 1
2022/9/14, 43, 28, 39, 1, 2
2022/9/15, 58, 23, 45, 1, 1
2022/9/16, 57, 27, 40, 1, 1
2022/9/17, 60, 24, 36, 1, 
2022/9/18, 60, 16, 36, 1, 
2022/9/19, 44, 19, 31, 1, 
2022/9/20, 47, 33, 36, 1, 1
2022/9/21, 70, 32, 38, 1, 2
2022/9/22, 66, 37, 44, 1, 3
2022/9/23, 61, 18, 38, 1, 
2022/9/24, 31, 22, 45, 1, 
2022/9/25, 47, 22, 43, 1, 
2022/9/26, 56, 22, 37, 1, 
2022/9/27, 39, 20, 34, 1, 
2022/9/28, 31, 19, 36, 1, 
2022/9/29, 24, 12, 33, , 
2022/9/30, 22, 13, 34, 1, 
2022/10/1, 25, 17, 35, 1, 
2022/4/2, 22, 14, 35, , 2
2022/4/3, 37, 14, 40, , 2
2022/4/4, 37, 23, 41, , 2
2022/4/5, 52, 13, 34, , 1
2022/4/6, 34, 20, 38, , 1
2022/4/7, 45, 20, 34, , 1
2022/4/8, 22, 18, 34, , 1
2022/4/9, 23, 14, 40, , 2
2022/4/10, 32, 25, 47, 1, 1
2022/4/11, 33, 13, 31, , 1
2022/4/12, 29, 18, 28, , 1
2022/4/13, 40, 16, 29, , 1
2022/4/14, 32, 14, 37, , 2
2022/4/15, 23, 14, 32, , 1
2022/4/16, 29, 13, 24, , 
2022/4/17, 31, 12, 17, , 
2022/4/18, 29, 9, 30, , 
2022/4/19, 21, 9, 35, , 
2022/4/20, 23, 17, 36, , 
2022/4/21, 39, 19, 34, , 
2022/4/22, 42, 21, 36, , 
2022/4/23, 46, 19, 32, , 
2022/4/24, 41, 19, 31, , 
2022/4/25, 39, 15, 28, , 
2022/4/26, 28, 10, 35, , 
2022/4/27, 19, 16, 40, , 1
2022/4/28, 31, 24, 46, 1, 2
2022/4/29, 52, 25, 40, 1, 1
2022/4/30, 58, 21, 37, , 
2022/5/1, 44, 14, 38, , 
2022/5/2, 35, 18, 27, , 
2022/5/3, 43, 20, 25, , 
2022/5/4, 41, 24, 28, 1, 
2022/5/5, 49, 20, 25, , 
2022/5/6, 44, 14, 38, , 
2022/5/7, 28, 12, 40, , 
2022/5/8, 27, 14, 33, , 
2022/5/9, 38, 24, 28, , 
2022/5/10, 58, 22, 33, , 
2022/5/11, 54, 29, 40, 1, 1
2022/5/12, 65, 34, 40, 1, 2
2022/5/13, 68, 20, 33, 1, 12
2022/5/14, 49, 15, 38, , 
2022/5/15, 37, 20, 39, , 1
2022/5/16, 47, 15, 42, , 
2022/5/17, 31, 18, 43, , 
2022/5/18, 42, 22, 33, 1, 
2022/5/19, 51, 19, 37, 1, 
2022/5/20, 42, 19, 35, , 
2022/5/21, 46, 21, 27, , 
2022/5/22, 45, 13, 28, , 
2022/5/23, 30, 11, 24, , 
2022/5/24, 29, 33, 22, 1, 
2022/5/25, 51, 15, 20, , 
2022/5/26, 25, 15, 43, , 
2022/5/27, 27, 12, 36, , 
2022/5/28, 26, 12, 38, , 
2022/5/29, 32, 14, 43, 1, 
2022/5/30, 42, 15, 37, , 
2022/5/31, 35, 14, 23, , 
2022/6/1, 28, 19, 31, 1, 
2022/6/2, 36, 15, 28, 1, 
2022/6/3, 29, 9, 30, , 
2022/6/4, 23, 14, 41, , 
2022/6/5, 33, 17, 46, , 
2022/6/6, 42, 17, 32, 1, 
2022/6/7, 38, 22, 29, 1, 
2022/6/8, 41, 19, 25, , 
2022/6/9, 30, 12, 37, , 
2022/6/10, 23, 13, 27, , 
2022/6/11, 25, 12, 35, , 
2022/6/12, 25, 25, 23, 1, 
2022/6/13, 48, 78, 17, 1, 
2022/6/14, 99, 73, 19, 1, 
2022/6/15, 92, 73, 35, 1, 
2022/6/16, 94, 43, 29, , 
2022/6/17, 63, 27, 46, 1, 1
2022/6/18, 51, 29, 40, , 
2022/6/19, 55, 16, 43, , 
2022/6/20, 34, 21, 42, 2, 
2022/6/21, 51, 22, 43, 1, 
2022/6/22, 49, 27, 41, 1, 
2022/6/23, 53, 32, 46, 1, 
2022/6/24, 60, 28, 51, , 
2022/6/25, 48, 23, 50, , 
2022/6/26, 49, 23, 44, , 
2022/6/27, 53, 18, 37, , 
2022/6/28, 47, 16, 41, , 
2022/6/29, 35, 16, 34, , 
2022/6/30, 34, 12, 30, , 
2022/7/1, 24, 12, 26, , 
2022/1/4, 23, 11, 19, , 1
2022/1/5, 42, 16, 25, , 1
2022/1/6, 46, 10, 20, , 1
2022/1/7, 32, 9, 21, , 1
2022/1/8, 29, 11, 28, , 1
2022/1/9, 36, 13, 25, , 1
2022/1/10, 35, 6, 26, , 1
2022/1/11, 15, 12, 27, 1, 3
