date, pm25
2023/4/2, 59
2023/4/3, 34
2023/4/4, 42
2023/4/5, 54
2023/4/6, 59
2023/4/7, 71
2023/4/8, 94
2023/4/9, 102
2023/4/10, 136
2023/4/11, 82
2023/4/12, 88
2023/1/3, 86
2023/1/4, 82
2023/1/5, 51
2023/1/6, 49
2023/1/7, 36
2023/1/8, 41
2023/1/9, 48
2023/1/10, 32
2023/1/11, 31
2023/1/12, 38
2023/1/13, 37
2023/1/14, 35
2023/1/15, 28
2023/1/16, 30
2023/1/17, 40
2023/1/18, 31
2023/1/19, 43
2023/1/20, 78
2023/1/21, 110
2023/1/24, 58
2023/1/25, 59
2023/1/26, 44
2023/1/27, 67
2023/1/28, 67
2023/1/29, 78
2023/1/30, 94
2023/1/31, 99
2023/2/1, 70
2023/2/2, 38
2023/2/3, 33
2023/2/4, 64
2023/2/5, 47
2023/2/6, 42
2023/2/7, 28
2023/2/8, 39
2023/2/9, 46
2023/2/10, 58
2023/2/11, 46
2023/2/12, 49
2023/2/13, 36
2023/2/14, 42
2023/2/15, 33
2023/2/16, 34
2023/2/17, 36
2023/2/18, 92
2023/2/19, 98
2023/2/21, 151
2023/2/22, 132
2023/2/23, 77
2023/2/24, 56
2023/2/25, 46
2023/2/26, 37
2023/2/27, 32
2023/2/28, 31
2023/3/1, 60
2023/3/2, 90
2023/3/3, 122
2023/3/4, 112
2023/3/5, 80
2023/3/6, 87
2023/3/7, 96
2023/3/8, 95
2023/3/9, 64
2023/3/10, 30
2023/3/11, 36
2023/3/12, 52
2023/3/13, 43
2023/3/14, 46
2023/3/15, 73
2023/3/16, 52
2023/3/17, 31
2023/3/18, 50
2023/3/19, 27
2023/3/20, 36
2023/3/21, 29
2023/3/22, 25
2023/3/23, 40
2023/3/24, 70
2023/3/25, 74
2023/3/26, 56
2023/3/27, 121
2023/3/28, 67
2023/3/29, 60
2023/3/30, 50
2023/3/31, 45
2023/4/1, 59
2022/10/11, 64
2022/10/12, 55
2022/10/13, 54
2022/10/14, 62
2022/10/15, 64
2022/10/16, 72
2022/10/17, 69
2022/10/18, 95
2022/10/19, 119
2022/10/20, 101
2022/10/21, 93
2022/10/22, 97
2022/10/23, 100
2022/10/24, 69
2022/10/25, 52
2022/10/26, 58
2022/10/27, 75
2022/10/28, 52
2022/10/29, 49
2022/10/30, 50
2022/10/31, 80
2022/11/1, 109
2022/11/2, 72
2022/11/3, 52
2022/11/4, 45
2022/11/5, 48
2022/11/6, 53
2022/11/7, 60
2022/11/8, 41
2022/11/9, 42
2022/11/10, 60
2022/11/11, 60
2022/11/12, 76
2022/11/13, 70
2022/11/14, 85
2022/11/15, 66
2022/11/16, 72
2022/11/17, 106
2022/11/18, 113
2022/11/19, 74
2022/11/20, 61
2022/11/21, 116
2022/11/22, 168
2022/11/23, 133
2022/11/24, 115
2022/11/25, 80
2022/11/26, 66
2022/11/27, 79
2022/11/28, 50
2022/11/29, 88
2022/11/30, 80
2022/12/1, 67
2022/12/2, 68
2022/12/3, 70
2022/12/4, 47
2022/12/5, 61
2022/12/6, 57
2022/12/7, 54
2022/12/8, 54
2022/12/9, 56
2022/12/10, 37
2022/12/11, 72
2022/12/12, 96
2022/12/13, 64
2022/12/14, 88
2022/12/15, 62
2022/12/16, 56
2022/12/17, 52
2022/12/18, 93
2022/12/19, 126
2022/12/20, 119
2022/12/21, 103
2022/12/22, 101
2022/12/23, 81
2022/12/24, 61
2022/12/25, 39
2022/12/26, 51
2022/12/27, 34
2022/12/28, 40
2022/12/29, 44
2022/12/30, 53
2022/12/31, 115
2023/1/1, 81
2023/1/2, 98
2022/6/5, 84
2022/6/6, 15
2022/6/7, 13
2022/1/4, 66
2022/1/5, 63
2022/1/6, 79
2022/1/7, 87
2022/1/8, 101
2022/1/9, 77
2022/1/10, 85
2022/1/11, 113
2022/1/12, 125
2022/1/13, 134
2022/1/14, 123
2022/1/15, 77
2022/1/16, 67
2022/1/17, 58
2022/1/18, 58
2022/1/19, 65
2022/1/20, 73
2022/1/21, 64
2022/1/22, 114
2022/1/23, 188
2022/1/24, 120
2022/1/25, 66
2022/1/26, 71
2022/1/27, 61
2022/1/28, 69
2022/1/29, 74
2022/1/30, 74
2022/1/31, 64
2022/2/1, 65
2022/2/2, 62
2022/2/3, 83
2022/2/4, 79
2022/2/5, 81
2022/2/6, 90
2022/2/7, 103
2022/2/8, 127
2022/2/9, 127
2022/2/10, 133
2022/2/11, 100
2022/2/12, 68
2022/2/13, 80
2022/2/14, 123
2022/2/15, 90
2022/2/16, 71
2022/2/17, 80
2022/2/18, 78
2022/2/19, 72
2022/2/20, 78
2022/2/21, 69
2022/2/22, 108
2022/2/23, 124
2022/2/24, 111
2022/2/25, 124
2022/2/26, 113
2022/2/27, 90
2022/2/28, 77
2022/3/1, 83
2022/3/2, 81
2022/3/3, 118
2022/3/4, 117
2022/3/5, 106
2022/3/6, 92
2022/3/7, 107
2022/3/8, 110
2022/3/9, 114
2022/3/10, 118
2022/3/11, 107
2022/3/12, 128
2022/3/13, 127
2022/3/14, 89
2022/3/15, 94
2022/3/18, 124
2022/3/19, 113
2022/3/20, 70
2022/3/21, 78
2022/3/22, 73
2022/3/23, 95
2022/3/24, 81
2022/3/25, 75
2022/3/26, 87
2021/10/2, 81
2021/10/6, 79
2021/10/7, 78
2021/10/8, 77
2021/10/9, 78
2021/10/10, 91
2021/10/11, 109
2021/10/12, 134
2021/10/13, 146
2021/10/14, 158
2021/10/15, 159
2021/10/16, 135
2021/10/17, 119
2021/10/18, 107
2021/10/19, 94
2021/10/20, 84
2021/10/21, 75
2021/10/22, 80
2021/10/23, 87
2021/10/24, 74
2021/10/25, 78
2021/10/26, 82
2021/10/27, 91
2021/10/28, 103
2021/10/29, 108
2021/11/2, 142
2021/11/3, 133
2021/11/4, 133
2021/11/5, 104
2021/11/6, 107
2021/11/7, 106
2021/11/8, 99
2021/11/9, 119
2021/11/10, 103
2021/11/11, 131
2021/11/12, 122
2021/11/13, 130
2021/11/14, 137
2021/11/15, 113
2021/11/16, 117
2021/11/17, 96
2021/11/18, 99
2021/11/19, 121
2021/11/20, 81
2021/11/21, 78
2021/11/22, 72
2021/11/23, 69
2021/11/24, 75
2021/11/25, 74
2021/11/26, 93
2021/11/27, 91
2021/11/28, 93
2021/11/29, 92
2021/11/30, 132
2021/12/1, 148
2021/12/2, 140
2021/12/3, 115
2021/12/4, 109
2021/12/5, 120
2021/12/6, 141
2021/12/7, 132
2021/12/8, 146
2021/12/9, 132
2021/12/10, 113
2021/12/11, 111
2021/12/12, 129
2021/12/13, 126
2021/12/14, 114
2021/12/15, 120
2021/12/16, 107
2021/12/17, 125
2021/12/18, 94
2021/12/19, 74
2021/12/20, 72
2021/12/21, 72
2021/12/22, 70
2021/12/23, 72
2021/12/24, 64
2021/12/27, 59
2021/12/28, 74
2021/12/29, 77
2021/12/30, 57
2021/12/31, 67
2022/1/1, 76
2022/1/2, 83
2022/1/3, 71
2021/7/2, 77
2021/7/3, 76
2021/7/4, 84
2021/7/5, 96
2021/7/6, 92
2021/7/7, 86
2021/7/8, 86
2021/7/9, 73
2021/7/10, 75
2021/7/11, 78
2021/7/12, 81
2021/7/13, 80
2021/7/14, 73
2021/7/15, 75
2021/7/16, 79
2021/7/17, 72
2021/7/18, 82
2021/7/21, 112
2021/7/22, 100
2021/7/23, 147
2021/7/24, 121
2021/7/25, 75
2021/7/26, 70
2021/7/27, 69
2021/7/28, 78
2021/7/29, 85
2021/7/30, 80
2021/7/31, 70
2021/8/1, 87
2021/8/2, 130
2021/8/3, 130
2021/8/4, 117
2021/8/5, 123
2021/8/6, 122
2021/8/7, 109
2021/8/8, 143
2021/8/9, 166
2021/8/10, 150
2021/8/11, 94
2021/8/12, 89
2021/8/13, 78
2021/8/14, 73
2021/8/15, 72
2021/8/16, 81
2021/8/17, 74
2021/8/18, 71
2021/8/19, 71
2021/8/20, 76
2021/8/21, 76
2021/8/22, 71
2021/8/23, 72
2021/8/24, 87
2021/8/25, 86
2021/8/26, 80
2021/8/27, 94
2021/8/28, 110
2021/8/29, 120
2021/8/30, 107
2021/8/31, 111
2021/9/1, 124
2021/9/2, 127
2021/9/3, 132
2021/9/4, 105
2021/9/5, 110
2021/9/6, 89
2021/9/7, 96
2021/9/8, 88
2021/9/9, 80
2021/9/10, 123
2021/9/11, 114
2021/9/12, 89
2021/9/13, 74
2021/9/14, 66
2021/9/15, 74
2021/9/16, 80
2021/9/17, 78
2021/9/18, 91
2021/9/19, 74
2021/9/20, 77
2021/9/21, 79
2021/9/22, 90
2021/9/23, 100
2021/9/24, 91
2021/9/25, 82
2021/9/26, 83
2021/9/27, 81
2021/9/28, 76
2021/9/29, 74
2021/9/30, 75
2021/10/1, 80
2021/4/2, 68
2021/4/3, 67
2021/4/4, 71
2021/4/5, 98
2021/4/6, 110
2021/4/7, 155
2021/4/8, 134
2021/4/9, 134
2021/4/10, 130
2021/4/11, 86
2021/4/12, 75
2021/4/13, 72
2021/4/14, 69
2021/4/15, 68
2021/4/16, 71
2021/4/17, 82
2021/4/18, 157
2021/4/19, 117
2021/4/20, 82
2021/4/21, 108
2021/4/22, 117
2021/4/23, 126
2021/4/24, 109
2021/4/25, 108
2021/5/5, 76
2021/5/6, 104
2021/5/7, 96
2021/5/8, 93
2021/5/9, 97
2021/5/10, 93
2021/5/11, 68
2021/5/12, 131
2021/5/13, 101
2021/5/14, 93
2021/5/15, 78
2021/5/16, 77
2021/5/17, 80
2021/5/18, 73
2021/5/19, 70
2021/5/20, 79
2021/5/21, 69
2021/5/22, 72
2021/5/23, 74
2021/5/24, 74
2021/5/25, 72
2021/5/26, 76
2021/5/27, 73
2021/5/28, 71
2021/5/29, 101
2021/5/30, 95
2021/5/31, 86
2021/6/1, 92
2021/6/2, 93
2021/6/3, 129
2021/6/4, 93
2021/6/5, 83
2021/6/6, 85
2021/6/7, 86
2021/6/8, 81
2021/6/9, 80
2021/6/10, 81
2021/6/11, 82
2021/6/12, 93
2021/6/13, 120
2021/6/14, 157
2021/6/15, 160
2021/6/16, 84
2021/6/17, 76
2021/6/18, 77
2021/6/19, 81
2021/6/20, 76
2021/6/21, 76
2021/6/22, 74
2021/6/23, 76
2021/6/24, 87
2021/6/25, 77
2021/6/26, 75
2021/6/27, 83
2021/6/28, 82
2021/6/29, 87
2021/6/30, 73
2021/7/1, 76
2021/1/5, 85
2021/1/6, 89
2021/1/7, 84
2021/1/8, 75
2021/1/9, 111
2021/1/10, 145
2021/1/11, 132
2021/1/12, 116
2021/1/13, 88
2021/1/14, 101
2021/1/15, 87
2021/1/16, 87
2021/1/19, 59
2021/1/20, 67
2021/1/21, 61
2021/1/22, 159
2021/1/23, 259
2021/1/24, 260
2021/1/25, 195
2021/1/26, 162
2021/1/27, 142
2021/1/28, 143
2021/1/29, 136
2021/1/30, 92
2021/1/31, 70
2021/2/1, 75
2021/2/2, 102
2021/2/3, 118
2021/2/4, 107
2021/2/5, 95
2021/2/6, 93
2021/2/7, 71
2021/2/8, 70
2021/2/9, 87
2021/2/10, 93
2021/2/11, 111
2021/2/12, 91
2021/2/13, 86
2021/2/14, 89
2021/2/15, 92
2021/2/16, 117
2021/2/17, 127
2021/2/18, 120
2021/2/19, 82
2021/2/20, 81
2021/2/21, 65
2021/2/22, 63
2021/2/23, 70
2021/2/24, 63
2021/2/25, 66
2021/2/26, 69
2021/2/27, 84
2021/2/28, 76
2021/3/1, 64
2021/3/2, 83
2021/3/3, 103
2021/3/4, 75
2021/3/5, 73
2021/3/6, 80
2021/3/7, 105
2021/3/8, 94
2021/3/9, 101
2021/3/10, 118
2021/3/11, 138
2021/3/12, 155
2021/3/13, 138
2021/3/14, 104
2021/3/15, 113
2021/3/16, 126
2021/3/17, 102
2021/3/18, 107
2021/3/19, 91
2021/3/20, 74
2021/3/21, 70
2021/3/22, 94
2021/3/23, 103
2021/3/24, 143
2021/3/25, 188
2021/3/26, 149
2021/3/27, 130
2021/3/28, 72
2021/3/29, 89
2021/3/30, 93
2021/3/31, 90
2021/4/1, 80
2020/10/2, 166
2020/10/3, 164
2020/10/4, 96
2020/10/5, 128
2020/10/6, 78
2020/10/7, 89
2020/10/8, 92
2020/10/9, 138
2020/10/10, 140
2020/10/11, 142
2020/10/12, 102
2020/10/13, 87
2020/10/14, 75
2020/10/15, 79
2020/10/16, 80
2020/10/17, 91
2020/10/18, 106
2020/10/19, 95
2020/10/20, 100
2020/10/21, 98
2020/10/22, 111
2020/10/23, 118
2020/10/24, 100
2020/10/25, 98
2020/10/26, 99
2020/10/27, 105
2020/10/28, 120
2020/10/29, 125
2020/10/30, 141
2020/10/31, 142
2020/11/1, 139
2020/11/2, 130
2020/11/3, 115
2020/11/4, 86
2020/11/5, 76
2020/11/6, 66
2020/11/7, 61
2020/11/8, 82
2020/11/9, 96
2020/11/10, 96
2020/11/11, 97
2020/11/12, 66
2020/11/13, 61
2020/11/14, 62
2020/11/15, 86
2020/11/16, 76
2020/11/17, 76
2020/11/18, 70
2020/11/19, 67
2020/11/20, 102
2020/11/21, 100
2020/11/22, 77
2020/11/23, 65
2020/11/24, 73
2020/11/25, 87
2020/11/26, 78
2020/11/27, 78
2020/11/28, 66
2020/11/29, 62
2020/11/30, 63
2020/12/1, 59
2020/12/2, 62
2020/12/3, 71
2020/12/4, 66
2020/12/5, 60
2020/12/6, 61
2020/12/7, 63
2020/12/8, 65
2020/12/9, 72
2020/12/10, 92
2020/12/11, 91
2020/12/12, 75
2020/12/13, 81
2020/12/14, 108
2020/12/15, 122
2020/12/16, 90
2020/12/17, 87
2020/12/18, 79
2020/12/19, 70
2020/12/20, 69
2020/12/21, 96
2020/12/22, 119
2020/12/23, 129
2020/12/24, 90
2020/12/25, 77
2020/12/26, 108
2020/12/27, 102
2020/12/28, 95
2020/12/29, 107
2020/12/30, 127
2020/12/31, 125
2021/1/1, 137
2021/1/2, 94
2021/1/3, 109
2021/1/4, 93
2020/7/2, 72
2020/7/3, 67
2020/7/4, 62
2020/7/5, 63
2020/7/6, 69
2020/7/7, 74
2020/7/8, 68
2020/7/9, 66
2020/7/10, 59
2020/7/11, 62
2020/7/12, 64
2020/7/13, 71
2020/7/14, 68
2020/7/15, 76
2020/7/16, 71
2020/7/17, 63
2020/7/18, 68
2020/7/19, 66
2020/7/20, 70
2020/7/21, 68
2020/7/22, 74
2020/7/23, 87
2020/7/24, 101
2020/7/25, 79
2020/7/26, 72
2020/7/27, 68
2020/7/28, 119
2020/7/29, 100
2020/7/30, 90
2020/7/31, 91
2020/8/1, 88
2020/8/2, 80
2020/8/3, 78
2020/8/4, 94
2020/8/5, 113
2020/8/6, 125
2020/8/7, 105
2020/8/8, 114
2020/8/9, 103
2020/8/10, 94
2020/8/11, 71
2020/8/12, 64
2020/8/13, 62
2020/8/14, 63
2020/8/15, 62
2020/8/16, 65
2020/8/17, 88
2020/8/18, 61
2020/8/19, 62
2020/8/20, 64
2020/8/21, 80
2020/8/22, 66
2020/8/23, 79
2020/8/24, 62
2020/8/25, 72
2020/8/26, 61
2020/8/27, 63
2020/8/28, 74
2020/8/29, 66
2020/8/30, 61
2020/8/31, 64
2020/9/1, 64
2020/9/2, 69
2020/9/3, 76
2020/9/4, 85
2020/9/5, 82
2020/9/6, 89
2020/9/7, 102
2020/9/8, 124
2020/9/9, 116
2020/9/10, 142
2020/9/11, 100
2020/9/13, 120
2020/9/14, 96
2020/9/15, 98
2020/9/16, 113
2020/9/17, 131
2020/9/18, 127
2020/9/19, 113
2020/9/20, 129
2020/9/21, 156
2020/9/22, 154
2020/9/23, 125
2020/9/24, 109
2020/9/25, 103
2020/9/26, 96
2020/9/27, 78
2020/9/28, 74
2020/9/29, 78
2020/9/30, 124
2020/10/1, 149
2020/6/15, 73
2020/6/16, 70
2020/6/17, 75
2020/6/18, 66
2020/6/19, 80
2020/6/20, 88
2020/6/21, 71
2020/6/22, 64
2020/6/23, 76
2020/6/24, 78
2020/6/25, 102
2020/6/26, 86
2020/6/29, 67
2020/6/30, 79
2020/7/1, 77
