date, pm25, pm10, o3, no2, so2, co
2023/4/2, 33, 22, 33, 31, , 6
2023/4/3, 50, 38, 36, 26, , 5
2023/4/4, 64, 29, 46, 18, , 4
2023/4/5, 55, 54, 41, 8, , 4
2023/4/6, 61, 53, 35, 20, , 5
2023/4/7, 58, 30, 43, 15, , 4
2023/4/8, 48, 63, 42, 23, , 5
2023/4/9, 75, 77, 40, 22, , 6
2023/4/10, 87, 67, 36, 15, , 5
2023/4/11, 76, 45, 33, 7, , 5
2023/4/12, 58, , , , , 
2023/1/3, 53, 22, 29, 17, , 4
2023/1/4, 64, 22, 21, 22, , 5
2023/1/5, 64, 21, 30, 17, , 5
2023/1/6, 56, 15, 29, 9, , 4
2023/1/7, 45, 13, 29, 11, , 5
2023/1/8, 46, 27, 29, 25, , 7
2023/1/9, 52, 50, 18, 24, , 7
2023/1/10, 67, 29, 20, 25, , 8
2023/1/11, 72, 35, 29, 28, , 8
2023/1/12, 76, 30, 27, 19, , 5
2023/1/13, 51, 32, 27, 18, , 6
2023/1/14, 50, 26, 30, 11, , 5
2023/1/15, 41, 25, 24, 22, , 7
2023/1/16, 44, 30, 29, 28, , 8
2023/1/17, 50, 27, 27, 31, , 9
2023/1/18, 57, 36, 32, 30, , 9
2023/1/19, 75, 27, 32, 25, , 7
2023/1/20, 53, 36, 31, 22, , 7
2023/1/21, 45, 30, 31, 21, , 8
2023/1/22, 54, 39, 30, 30, , 8
2023/1/23, 64, 46, 35, 28, , 5
2023/1/24, 68, 55, 35, 24, , 5
2023/1/25, 97, 50, 35, 28, , 6
2023/1/26, 90, 50, 36, 35, , 7
2023/1/27, 85, 49, 33, 22, , 6
2023/1/28, 87, 39, 37, 13, , 5
2023/1/29, 64, 73, 31, 18, , 6
2023/1/30, 76, 32, 33, 13, , 6
2023/1/31, 38, 15, 33, 9, , 5
2023/2/1, 19, , , , , 
2023/2/3, 33, 13, 27, 14, , 7
2023/2/4, 25, 10, 30, 7, , 6
2023/2/5, 25, 12, 32, 13, , 7
2023/2/6, 24, 42, 32, 8, , 6
2023/2/7, 41, 33, 28, 8, , 4
2023/2/8, 23, 6, 27, 13, , 2
2023/2/9, 17, 9, , 24, , 3
2023/2/10, 30, 20, , 15, , 2
2023/2/11, 53, 36, , 11, , 2
2023/2/12, 46, 42, 30, 19, , 3
2023/2/13, 54, 22, 35, 29, , 4
2023/2/14, 54, 35, 33, 30, , 5
2023/2/15, 75, 33, 33, 21, , 4
2023/2/16, 67, 16, 28, 31, , 6
2023/2/17, 52, 27, 34, 23, , 6
2023/2/18, 51, 22, 36, 15, , 4
2023/2/19, 50, 32, 35, 24, , 5
2023/2/20, 67, 43, 35, 19, , 5
2023/2/21, 65, 33, 33, 19, , 6
2023/2/22, 57, 30, 31, 25, , 7
2023/2/23, 58, 24, 27, 17, , 6
2023/2/24, 42, 20, 34, 12, , 6
2023/2/25, 50, 19, 34, 9, , 6
2023/2/26, 54, 28, 35, 35, , 8
2023/2/27, 65, 58, 40, 31, , 8
2023/2/28, 86, 68, 38, 21, , 7
2023/3/1, 89, 63, 39, 33, , 9
2023/3/2, 82, 63, 41, 38, , 11
2023/3/3, 87, 67, 47, 13, , 8
2023/3/4, 86, 59, 42, 16, , 9
2023/3/5, 87, 61, 33, 22, , 7
2023/3/6, 80, 82, 46, 11, , 4
2023/3/7, 92, 26, 41, 13, , 4
2023/3/8, 32, 19, 39, 14, , 4
2023/3/9, 32, 14, 37, 22, , 5
2023/3/10, 25, 23, 36, 22, , 5
2023/3/11, 46, 27, 41, 15, , 3
2023/3/12, 45, 32, 46, 36, , 6
2023/3/13, 45, 56, 28, 15, , 5
2023/3/14, 49, 117, 27, 16, , 7
2023/3/15, 74, 16, 34, 11, , 6
2023/3/16, 24, 18, 38, 19, , 7
2023/3/17, 31, 31, 41, 21, , 8
2023/3/18, 57, 25, 37, 9, , 6
2023/3/19, 45, 18, 35, 8, , 6
2023/3/20, 29, 9, 34, 13, , 7
2023/3/21, 21, 10, 30, 12, , 7
2023/3/22, 26, 13, 28, 22, , 9
2023/3/23, 32, 24, 31, 30, , 9
2023/3/24, 51, 31, 33, 21, , 10
2023/3/25, 56, 38, 30, 11, , 8
2023/3/26, 59, 30, 32, 12, , 5
2023/3/27, 57, 23, 35, 13, , 2
2023/3/28, 53, 26, 42, 17, , 2
2023/3/29, 56, 24, 41, 11, , 2
2023/3/30, 48, 19, 37, 10, , 2
2023/3/31, 31, 15, 37, 8, , 2
2023/4/1, 25, 14, 41, 6, , 3
2022/10/2, 61, 50, 29, 26, , 8
2022/10/3, 64, 49, 25, 21, , 6
2022/10/4, 68, 52, 36, 15, , 7
2022/10/5, 70, 39, 34, 7, , 6
2022/10/6, 63, 34, 26, 19, , 7
2022/10/7, 57, 26, 22, 11, , 6
2022/10/8, 50, 17, 25, 7, , 6
2022/10/9, 38, 18, 25, 11, , 7
2022/10/10, 43, 19, 25, 5, , 6
2022/10/11, 41, 21, 35, 15, , 8
2022/10/12, 52, 26, 31, 16, , 7
2022/10/13, 60, 21, 22, 11, , 7
2022/10/14, 52, 18, 21, 10, , 7
2022/10/15, 49, 21, 22, 10, , 8
2022/10/16, 53, 34, 32, 20, , 10
2022/10/17, 67, 51, 34, 8, , 5
2022/10/18, 64, 27, 23, 14, , 6
2022/10/19, 42, 25, 32, 19, , 6
2022/10/20, 52, 25, 27, 19, , 7
2022/10/21, 53, 33, 21, 12, , 6
2022/10/22, 61, 45, 22, 8, , 5
2022/10/23, 60, 52, 21, 20, , 7
2022/10/24, 64, 42, 24, 21, , 7
2022/10/25, 64, 69, 20, 19, , 6
2022/10/26, 83, 102, 22, 21, , 6
2022/10/27, 95, 57, 28, 25, , 7
2022/10/28, 77, 49, 33, 16, , 7
2022/10/29, 69, 52, 28, 17, , 7
2022/10/30, 73, 57, 27, 14, , 9
2022/10/31, 85, 43, 28, 14, , 
2022/11/1, 65, 27, 28, 11, , 
2022/11/2, 50, 23, 24, 13, , 
2022/11/3, 55, 26, 25, 16, , 
