date, pm25
2023/4/2, 62
2023/4/3, 68
2023/4/4, 69
2023/4/5, 48
2023/4/6, 60
2023/4/7, 68
2023/4/8, 98
2023/4/9, 92
2023/4/10, 69
2023/4/11, 68
2023/1/3, 176
2023/1/4, 147
2023/1/5, 134
2023/1/6, 141
2023/1/7, 139
2023/1/8, 149
2023/1/9, 153
2023/1/10, 195
2023/1/11, 172
2023/1/12, 130
2023/1/13, 233
2023/1/14, 179
2023/1/15, 155
2023/1/16, 152
2023/1/17, 172
2023/1/18, 201
2023/1/19, 248
2023/1/20, 163
2023/1/21, 135
2023/1/22, 132
2023/1/23, 141
2023/1/24, 130
2023/1/27, 120
2023/1/28, 129
2023/1/29, 130
2023/1/30, 158
2023/1/31, 119
2023/2/2, 169
2023/2/3, 204
2023/2/4, 231
2023/2/5, 171
2023/2/6, 112
2023/2/7, 118
2023/2/8, 146
2023/2/9, 111
2023/2/10, 95
2023/2/11, 76
2023/2/12, 136
2023/2/13, 120
2023/2/14, 124
2023/2/15, 124
2023/2/16, 142
2023/2/17, 100
2023/2/18, 110
2023/2/19, 147
2023/2/20, 73
2023/2/21, 98
2023/2/22, 111
2023/2/23, 79
2023/2/24, 100
2023/2/25, 101
2023/2/26, 104
2023/2/27, 79
2023/2/28, 83
2023/3/1, 86
2023/3/2, 137
2023/3/3, 139
2023/3/4, 127
2023/3/5, 123
2023/3/6, 144
2023/3/7, 134
2023/3/8, 149
2023/3/9, 139
2023/3/10, 150
2023/3/11, 183
2023/3/12, 96
2023/3/13, 86
2023/3/14, 98
2023/3/15, 82
2023/3/16, 76
2023/3/17, 74
2023/3/18, 90
2023/3/19, 106
2023/3/20, 108
2023/3/21, 89
2023/3/22, 99
2023/3/23, 54
2023/3/24, 52
2023/3/25, 109
2023/3/26, 90
2023/3/27, 106
2023/3/28, 82
2023/3/29, 69
2023/3/30, 63
2023/3/31, 63
2023/4/1, 78
2022/10/2, 55
2022/10/3, 34
2022/10/4, 45
2022/10/5, 53
2022/10/6, 68
2022/10/7, 64
2022/10/8, 82
2022/10/9, 130
2022/10/10, 142
2022/10/11, 124
2022/10/12, 123
2022/10/13, 85
2022/10/14, 91
2022/10/19, 66
2022/10/20, 80
2022/10/21, 84
2022/10/22, 142
2022/10/23, 183
2022/10/24, 142
2022/10/25, 109
2022/10/26, 85
2022/10/27, 89
2022/10/28, 88
2022/10/29, 104
