date, pm25, pm10
2023/4/2, 84, 
2023/4/3, 70, 
2023/4/4, 68, 
2023/4/5, 96, 
2023/4/6, 83, 
2023/4/7, 134, 
2023/4/8, 166, 
2023/4/9, 171, 
2023/4/10, 165, 
2023/4/11, 149, 
2023/4/12, 179, 
2023/1/4, 159, 
2023/1/5, 159, 
2023/1/6, 149, 
2023/1/7, 171, 
2023/1/8, 170, 
2023/1/9, 160, 
2023/1/10, 170, 
2023/1/11, 175, 
2023/1/13, 128, 
2023/1/14, 134, 
2023/1/15, 132, 
2023/1/16, 151, 
2023/1/17, 163, 
2023/1/18, 160, 
2023/1/19, 160, 
2023/1/20, 170, 
2023/1/21, 187, 
2023/1/22, 155, 
2023/1/23, 141, 
2023/1/24, 142, 
2023/1/25, 159, 
2023/1/26, 171, 
2023/1/27, 152, 
2023/1/28, 143, 
2023/1/29, 146, 
2023/1/30, 161, 
2023/1/31, 187, 
2023/2/1, 164, 
2023/2/2, 152, 
2023/2/3, 153, 
2023/2/4, 150, 
2023/2/5, 157, 
2023/2/6, 161, 
2023/2/7, 166, 
2023/2/8, 153, 
2023/2/9, 156, 
2023/2/10, 163, 
2023/2/11, 159, 
2023/3/4, 181, 87
2023/3/5, 174, 79
2023/3/6, 161, 74
2023/3/7, 165, 78
2023/3/8, 159, 84
2023/3/9, 177, 76
2023/3/10, 154, 76
2023/3/11, 177, 75
2023/3/12, 193, 80
2023/3/13, 168, 89
2023/3/14, 186, 99
2023/3/15, 164, 
2023/3/16, 102, 
2023/3/17, 162, 
2023/3/18, 173, 
2023/3/19, 148, 
2023/3/20, 108, 
2023/3/21, 59, 
2023/3/22, 56, 
2023/3/23, 51, 
2023/3/24, 95, 
2023/3/25, 121, 
2023/3/26, 118, 
2023/3/27, 124, 
2023/3/28, 124, 
2023/3/29, 134, 
2023/3/30, 162, 
2023/3/31, 168, 
2023/4/1, 154, 
2022/10/2, 68, 
2022/10/3, 62, 
2022/10/4, 50, 
2022/10/5, 30, 
2022/10/6, 24, 
2022/10/7, 18, 
2022/10/8, 31, 
2022/10/9, 26, 
2022/10/10, 26, 
2022/10/11, 34, 
2022/10/12, 44, 
2022/10/13, 36, 
2022/10/14, 36, 
2022/10/15, 34, 
2022/10/16, 45, 
2022/10/17, 55, 
2022/10/18, 49, 
2022/10/19, 63, 
2022/10/20, 75, 
2022/10/21, 86, 
2022/10/22, 95, 
2022/10/23, 80, 
2022/10/24, 83, 
2022/10/25, 84, 
2022/10/26, 64, 
2022/10/27, 67, 
2022/10/28, 102, 
2022/10/29, 99, 
2022/10/30, 104, 
2022/10/31, 97, 
2022/11/1, 88, 
2022/11/2, 82, 
2022/11/3, 77, 
2022/11/4, 74, 
2022/11/5, 103, 
2022/11/6, 105, 
2022/11/7, 104, 
2022/11/8, 87, 
2022/11/9, 101, 
2022/11/10, 104, 
2022/11/11, 94, 
2022/11/12, 105, 
2022/11/13, 107, 
2022/11/14, 101, 
2022/11/15, 134, 
2022/11/16, 133, 
2022/11/17, 132, 
2022/11/18, 120, 
2022/11/19, 139, 
2022/11/20, 138, 
2022/11/21, 123, 
2022/11/22, 103, 
2022/11/23, 106, 
2022/11/24, 119, 
2022/11/25, 112, 
2022/11/26, 125, 
2022/11/27, 117, 
2022/11/28, 106, 
2022/11/29, 109, 
2022/11/30, 114, 
2022/12/1, 125, 
2022/12/2, 117, 
2022/12/3, 116, 
2022/12/4, 120, 
2022/12/5, 126, 
2022/12/6, 112, 
2022/12/7, 109, 
2022/12/8, 108, 
2022/12/9, 121, 
2022/12/10, 117, 
2022/12/11, 125, 
2022/12/12, 134, 
2022/12/13, 138, 
2022/12/14, 147, 
2022/12/15, 144, 
2022/12/16, 144, 
2022/12/17, 149, 
2022/12/18, 158, 
2022/12/19, 153, 
2022/12/20, 137, 
2022/12/21, 125, 
2022/12/22, 130, 
2022/12/23, 140, 
2022/12/24, 137, 
2022/12/25, 156, 
2022/12/26, 148, 
2022/12/27, 132, 
2022/12/28, 141, 
2022/12/29, 144, 
2022/12/30, 169, 
2022/7/2, 62, 
2022/7/3, 65, 
2022/7/4, 54, 
2022/7/5, 49, 
2022/7/6, 53, 
2022/7/7, 65, 
2022/7/8, 49, 
2022/7/9, 47, 
2022/7/10, 37, 
2022/7/11, 33, 
2022/7/12, 53, 
2022/7/13, 38, 
2022/7/14, 40, 
2022/7/15, 51, 
2022/7/16, 38, 
2022/7/17, 40, 
2022/7/18, 42, 
2022/7/19, 45, 
2022/7/20, 33, 
2022/7/21, 43, 
2022/7/22, 43, 
2022/7/23, 30, 
2022/7/27, 27, 
2022/7/28, 37, 
2022/7/29, 26, 
2022/7/30, 38, 
2022/7/31, 34, 
2022/8/1, 28, 
2022/8/2, 22, 
2022/8/3, 26, 
2022/8/4, 40, 
2022/8/5, 42, 
2022/8/6, 51, 
2022/8/7, 39, 
2022/8/8, 36, 
2022/8/9, 38, 
2022/8/10, 26, 
2022/8/11, 28, 
2022/8/12, 30, 
2022/8/13, 29, 
2022/8/14, 42, 
2022/8/15, 26, 
2022/8/16, 21, 
2022/8/17, 43, 
2022/8/18, 42, 
2022/8/19, 47, 
2022/8/20, 25, 
2022/8/21, 25, 
2022/8/22, 23, 
2022/8/23, 38, 
2022/8/24, 48, 
2022/8/25, 27, 
2022/8/26, 27, 
2022/8/27, 37, 
2022/8/28, 48, 
2022/8/29, 27, 
2022/8/30, 31, 
2022/8/31, 37, 
2022/9/1, 44, 
2022/9/2, 60, 
2022/9/3, 43, 
2022/9/4, 52, 
2022/9/5, 44, 
2022/9/6, 63, 
2022/9/7, 57, 
2022/9/8, 41, 
2022/9/9, 61, 
2022/9/10, 56, 
2022/9/11, 46, 
2022/9/12, 45, 
2022/9/13, 22, 
2022/9/14, 28, 
2022/9/15, 25, 
2022/9/16, 36, 
2022/9/17, 34, 
2022/9/18, 53, 
2022/9/19, 50, 
2022/9/20, 44, 
2022/9/21, 51, 
2022/9/22, 47, 
2022/9/23, 49, 
2022/9/24, 43, 
2022/9/25, 44, 
2022/9/26, 52, 
2022/9/27, 54, 
2022/9/28, 42, 
2022/9/29, 55, 
2022/9/30, 54, 
2022/10/1, 61, 
2022/4/2, 161, 
2022/4/3, 161, 
2022/4/4, 132, 
2022/4/5, 151, 
2022/4/6, 146, 
2022/4/7, 150, 
2022/4/8, 156, 
2022/4/9, 156, 
2022/4/10, 158, 
2022/4/11, 148, 
2022/4/12, 133, 
2022/4/13, 135, 
2022/4/14, 142, 
2022/4/15, 107, 
2022/4/16, 103, 
2022/4/17, 124, 
2022/4/18, 134, 
2022/4/19, 168, 
2022/4/20, 176, 
2022/4/21, 133, 
2022/4/22, 109, 
2022/4/23, 103, 
2022/4/24, 111, 
2022/4/25, 149, 
2022/4/26, 173, 
2022/4/27, 172, 
2022/4/28, 158, 
2022/4/29, 164, 
2022/4/30, 149, 
2022/5/1, 105, 
2022/5/2, 88, 
2022/5/3, 112, 
2022/5/4, 87, 
2022/5/7, 62, 
2022/5/8, 66, 
2022/5/9, 73, 
2022/5/10, 81, 
2022/5/11, 95, 
2022/5/12, 68, 
2022/5/13, 80, 
2022/5/14, 86, 
2022/5/15, 104, 
2022/5/16, 131, 
2022/5/17, 112, 
2022/5/18, 99, 
2022/5/19, 97, 
2022/5/20, 101, 
2022/5/21, 88, 
2022/5/22, 83, 
2022/5/23, 65, 
2022/5/24, 65, 
2022/5/25, 85, 
2022/5/26, 96, 
2022/5/27, 63, 
2022/5/28, 72, 
2022/5/29, 84, 
2022/5/30, 104, 
2022/5/31, 110, 
2022/6/1, 94, 
2022/6/2, 105, 
2022/6/3, 106, 
2022/6/4, 103, 
2022/6/5, 113, 
2022/6/6, 119, 
2022/6/7, 140, 
2022/6/8, 124, 
2022/6/9, 102, 
2022/6/10, 106, 
2022/6/11, 122, 
2022/6/12, 119, 
2022/6/13, 102, 
2022/6/14, 111, 
2022/6/15, 107, 
2022/6/16, 104, 
2022/6/17, 103, 
2022/6/18, 59, 
2022/6/19, 65, 
2022/6/20, 56, 
2022/6/21, 77, 
2022/6/22, 69, 
2022/6/23, 67, 
2022/6/24, 48, 
2022/6/25, 63, 
2022/6/26, 58, 
2022/6/27, 45, 
2022/6/28, 48, 
2022/6/29, 46, 
2022/6/30, 34, 
2022/7/1, 39, 
2022/1/4, 153, 56
2022/1/5, 149, 53
2022/1/6, 156, 61
2022/1/7, 128, 
2022/1/8, 121, 
2022/1/9, 135, 
2022/1/10, 134, 
2022/1/11, 127, 33
2022/1/12, 132, 39
2022/1/13, 138, 
2022/1/14, 97, 
2022/1/15, 143, 42
2022/1/16, 146, 44
2022/1/17, 139, 
2022/1/18, 149, 
2022/1/19, 143, 
2022/1/20, 122, 
2022/1/21, 140, 
2022/1/22, 129, 
2022/1/23, 150, 
2022/1/24, 153, 
2022/1/25, 154, 
2022/1/26, 131, 
2022/1/27, 142, 30
2022/1/28, 145, 36
2022/1/29, 138, 40
2022/1/30, 149, 38
2022/1/31, 148, 40
2022/2/1, 153, 41
2022/2/2, 155, 44
2022/2/3, 164, 45
2022/2/4, 178, 17
2022/2/5, 73, 21
2022/2/6, 94, 24
2022/2/7, 110, 26
2022/2/8, 114, 16
2022/2/9, 117, 23
2022/2/10, 120, 26
2022/2/11, 101, 20
2022/2/12, 102, 21
2022/2/13, 99, 26
2022/2/14, 139, 
2022/2/15, 143, 
2022/2/16, 136, 
2022/2/17, 129, 
2022/2/18, 132, 
2022/2/19, 140, 
2022/2/20, 135, 
2022/2/21, 119, 
2022/2/22, 96, 
2022/2/23, 143, 
2022/2/24, 149, 
2022/2/25, 144, 
2022/2/26, 128, 
2022/2/27, 90, 
2022/2/28, 105, 
2022/3/1, 122, 
2022/3/2, 139, 
2022/3/3, 143, 
2022/3/4, 130, 
2022/3/5, 119, 
2022/3/6, 124, 
2022/3/7, 133, 
2022/3/8, 141, 
2022/3/9, 123, 
2022/3/10, 122, 
2022/3/11, 122, 
2022/3/12, 128, 
