date, pm25, pm10, o3, no2, so2, co
2023/4/2, 86, 48, 11, 5, 8, 5
2023/4/3, 55, 27, 11, 8, 3, 6
2023/4/4, 55, 37, 11, 10, 4, 6
2023/4/5, 69, 43, 12, 12, 5, 5
2023/4/6, 80, 51, 14, 16, 4, 5
2023/4/7, 90, 51, 12, 11, 4, 5
2023/4/8, 75, 48, 10, 12, 7, 5
2023/4/9, 73, 81, 12, 15, 3, 9
2023/4/10, 95, 89, 12, 18, 4, 10
2023/4/11, 114, 66, 20, 11, 4, 8
2023/4/12, 137, , , , , 
2023/1/3, 144, 57, 5, 16, 17, 10
2023/1/4, 152, 44, 7, 16, 7, 10
2023/1/5, 131, 30, 8, 7, 2, 7
2023/1/6, 55, 34, 7, 13, 1, 12
2023/1/7, 63, 49, 7, 17, 12, 11
2023/1/8, 126, 42, 4, 16, 7, 9
2023/1/9, 103, 34, 7, 15, 2, 10
2023/1/10, 79, 37, 8, 5, 1, 7
2023/1/11, 77, 24, 9, 6, 2, 6
2023/1/12, 68, 23, 9, 9, 2, 8
2023/1/13, 65, 42, 9, 12, 6, 12
2023/1/14, 104, 38, 7, 11, 2, 10
2023/1/15, 100, 44, 5, 7, , 8
2023/1/16, 95, 41, 4, 11, 15, 9
2023/1/17, 135, 28, 7, 7, 1, 8
2023/1/18, 119, 73, 8, 8, 3, 7
2023/1/19, 118, 39, 7, 9, 3, 6
2023/1/20, 78, 32, 10, 11, 2, 8
2023/1/21, 95, 56, 6, 17, 5, 13
2023/1/22, 158, 62, 9, 13, 4, 10
2023/1/23, 160, 67, 8, 13, 16, 9
2023/1/24, 168, 76, 3, 16, 21, 10
2023/1/25, 175, 69, 7, 12, 6, 9
2023/1/26, 174, 70, 12, 14, 10, 9
2023/1/27, 174, 63, 14, 16, 5, 13
2023/1/28, 148, 60, 8, 17, 5, 12
2023/1/29, 110, 45, 9, 15, 4, 6
2023/1/30, 82, 59, 8, 12, 2, 9
2023/1/31, 97, 314, 10, 8, 2, 7
2023/2/1, 174, 326, 8, 8, 7, 8
2023/2/2, 144, 413, 7, 12, 9, 10
2023/2/3, 158, 74, 10, 8, 4, 7
2023/2/4, 75, 72, 6, 14, 5, 10
2023/2/5, 74, 63, 12, 14, 4, 10
2023/2/6, 82, 55, 11, 11, 2, 9
2023/2/7, 73, 102, 7, 13, 1, 7
2023/2/8, 100, 113, 7, 11, 7, 5
2023/2/9, 104, 71, 10, 5, , 3
2023/2/10, 63, 23, 10, 7, 8, 5
2023/2/11, 64, 30, 11, 9, 8, 6
2023/2/12, 64, 88, 10, 7, 1, 6
2023/2/13, 111, 46, 7, 8, 9, 6
2023/2/14, 85, 34, 6, 8, 3, 7
2023/2/15, 71, 32, 5, 9, 9, 6
2023/2/16, 71, 40, 10, 8, 9, 5
2023/2/17, 72, 73, 9, 6, 5, 4
2023/2/18, 89, 60, 9, 5, 4, 4
2023/2/19, 66, 34, 9, 8, 5, 5
2023/2/20, 66, 40, 12, 12, 5, 7
2023/2/21, 73, 54, 13, 14, 2, 9
2023/2/22, 92, 45, 13, 18, 4, 10
2023/2/23, 115, 56, 13, 15, 2, 8
2023/2/24, 91, 60, 13, 13, 4, 5
2023/2/25, 107, 64, 15, 14, 4, 5
2023/2/26, 112, 60, 12, 11, 3, 3
2023/2/27, 122, 33, 5, 13, 1, 1
2023/2/28, 52, 45, 11, 12, 1, 9
2023/3/1, 74, 61, 12, 16, 2, 10
2023/3/2, 96, 69, 8, 18, 2, 10
2023/3/3, 95, 54, 14, 13, 4, 6
2023/3/4, 97, 60, 17, 12, 7, 6
2023/3/5, 118, 74, 16, 19, 7, 7
2023/3/6, 139, 79, 13, 24, 5, 7
2023/3/7, 144, 67, 14, 15, 5, 4
2023/3/8, 130, 61, 8, 13, 3, 3
2023/3/9, 129, 86, 8, 10, 8, 4
2023/3/18, 51, 32, 13, 14, 3, 5
2023/3/20, 103, 38, 13, 8, 2, 6
2023/3/21, 53, 28, 10, 6, 2, 6
2023/3/22, 33, 37, 10, 10, 3, 8
2023/3/23, 45, 40, 13, 12, 2, 9
2023/3/24, 72, 44, 13, 16, 4, 10
2023/3/25, 85, 50, 17, 11, 6, 9
2023/3/26, 104, 40, 11, 8, 1, 9
2023/3/27, 92, 47, 10, 8, , 8
2023/3/28, 85, 39, 10, 10, 1, 9
2023/3/29, 63, 36, 13, 11, 8, 7
2023/3/30, 85, 48, 13, 16, 2, 8
2023/3/31, 78, 95, 14, 7, 6, 6
2023/4/1, 113, 83, 11, 4, 4, 4
2022/10/2, 77, 68, 11, 9, 4, 8
2022/10/3, 69, , , , , 
2022/10/4, 91, , , , , 
2022/10/5, 112, 79, 15, 16, 7, 10
2022/10/6, 111, 75, 12, 14, 5, 9
2022/10/10, 156, 67, 19, 11, 6, 10
2022/10/11, 138, 72, 14, 13, 10, 8
2022/10/12, 116, 63, 11, 10, 6, 5
2022/10/13, 69, 61, 10, 12, 5, 7
2022/10/17, 124, 57, 3, 14, 2, 9
2022/10/18, 134, 57, 14, 13, 10, 8
2022/10/19, 125, 68, 15, 16, 8, 7
2022/10/20, 146, 72, 18, 12, 7, 4
2022/10/21, 143, 61, 17, 5, 5, 5
2022/10/22, 145, 55, 16, 6, 2, 7
2022/10/23, 122, 63, 15, 16, 5, 5
2022/10/24, 106, 67, 9, 15, 4, 5
2022/10/25, 109, 61, 7, 17, 6, 6
2022/10/26, 105, 76, 10, 21, 6, 9
2022/10/27, 120, 94, 11, 24, 10, 6
2022/10/28, 147, 71, 18, 13, 5, 4
2022/10/29, 154, 76, 16, 16, 4, 5
2022/10/30, 155, 81, 10, 21, 7, 5
2022/10/31, 148, 92, 11, 17, 8, 6
2022/11/1, 137, 76, 7, 11, 3, 2
2022/11/2, 101, 320, 11, 9, 2, 3
2022/11/3, 137, 270, 9, 8, 2, 1
2022/11/4, 130, 49, 12, 10, 6, 1
2022/11/5, 83, 59, 10, 17, 4, 7
2022/11/6, 81, 48, 8, 15, 3, 6
2022/11/7, 79, 48, 9, 16, 3, 7
2022/11/8, 73, 55, 13, 14, 2, 7
2022/11/9, 89, 54, 6, 14, 5, 6
2022/11/10, 88, 67, 7, 13, 2, 6
2022/11/11, 96, 44, 7, 5, , 4
2022/11/12, 70, 18, 8, 8, , 2
2022/11/16, 96, 36, 13, 8, 1, 2
2022/11/18, 84, 47, 5, 7, 2, 
2022/11/19, 105, 51, 7, 8, 2, 
2022/11/21, 94, 43, 9, 12, 2, 5
2022/11/22, 69, 53, 10, 20, 7, 7
2022/11/23, 111, 67, 8, 28, 7, 11
2022/11/24, 135, 64, 11, 23, 6, 9
