date, pm25, pm10, o3, no2, so2, co
2023/4/2, 67, , , , 10, 
2023/4/3, 67, , , , 12, 
2023/4/4, 71, , , , 13, 
2023/4/5, 65, , , , 12, 
2023/4/6, 68, , , , 12, 
2023/4/7, 74, , , , 11, 
2023/4/8, 62, , , , 11, 
2023/4/9, 63, , , , 11, 
2023/4/10, 69, , , , 11, 
2023/4/11, 71, , , , 11, 
2023/4/12, 71, , , , , 
2023/1/3, 66, , , , 15, 
2023/1/4, 86, , , 1, 18, 
2023/1/5, 80, , , 2, 17, 
2023/1/6, 82, , , 2, 19, 
2023/1/7, 78, , , 1, 15, 
2023/1/8, 83, , , , 10, 
2023/1/9, 88, , , 1, 21, 
2023/1/10, 73, , , , 21, 
2023/1/11, 72, , , 1, 20, 
2023/1/12, 83, , , 1, 5, 
2023/1/13, 95, , , 1, 5, 
2023/1/14, 69, , , , 5, 
2023/1/15, 68, , , , 5, 
2023/1/16, 64, , , , 5, 
2023/1/17, 70, , , 1, 5, 
2023/1/18, 71, , , , 5, 
2023/1/19, 79, , , 1, 5, 
2023/1/20, 77, , , , 4, 
2023/1/21, 65, , , , 4, 
2023/1/22, 76, , , , 4, 
2023/1/23, 73, , , , 5, 
2023/1/24, 77, , , , 5, 
2023/1/25, 69, , , , 4, 
2023/1/26, 67, , , , 5, 
2023/1/27, 74, , , 5, 7, 
2023/1/28, 87, , , 7, 10, 
2023/1/29, 78, , , 5, 10, 
2023/1/30, 74, , , 7, 11, 
2023/1/31, 81, , , 8, 11, 
2023/2/1, 76, , , 7, 12, 
2023/2/2, 76, , , 3, 11, 
2023/2/3, 55, , , 7, 11, 
2023/2/4, 61, , , 6, 10, 
2023/2/5, 68, , , 6, 11, 
2023/2/6, 68, , , 8, 10, 
2023/2/7, 59, , , 5, 11, 
2023/2/8, 61, , , 4, 11, 
2023/2/9, 69, , , 6, 9, 
2023/2/10, 70, , , 5, 12, 
2023/2/11, 78, , , 5, 12, 
2023/2/12, 70, , , 4, 10, 
2023/2/13, 73, , , 5, 10, 
2023/2/14, 74, , , 12, 10, 
2023/2/15, 86, , , 3, 11, 
2023/2/16, 85, , , 1, 10, 
2023/2/17, 72, , , 4, 13, 
2023/2/18, 82, , , 3, 11, 
2023/2/19, 82, , , , 12, 
2023/2/20, 70, , , 3, 11, 
2023/2/21, 66, , , , , 
2023/2/23, 62, , , 3, 10, 
2023/2/24, 64, , , 2, 11, 
2023/2/25, 78, , , 4, 11, 
2023/2/26, 77, , , , 9, 
2023/2/27, 75, , , 3, 12, 
2023/2/28, 76, , , 4, 12, 
2023/3/1, 90, , , 4, 13, 
2023/3/2, 86, , , 2, 10, 
2023/3/3, 72, , , 1, 12, 
2023/3/4, 71, , , 3, 12, 
2023/3/5, 96, , , 1, 12, 
2023/3/6, 83, , , 2, 12, 
2023/3/7, 75, , , 3, 12, 
2023/3/8, 66, , , , 11, 
2023/3/9, 74, , , , 12, 
2023/3/10, 71, , , , 12, 
2023/3/11, 94, , , , , 
2023/3/21, 61, , , , 13, 
2023/3/22, 68, , , , 12, 
2023/3/23, 69, , , , 13, 
2023/3/24, 62, , , , 12, 
2023/3/25, 74, , , , 12, 
2023/3/26, 74, , , , 12, 
2023/3/27, 69, , , , 11, 
2023/3/28, 60, , , , 11, 
2023/3/29, 63, , , , 13, 
2023/3/30, 73, , , , 12, 
2023/3/31, 73, , , , 12, 
2023/4/1, 72, , , , 12, 
2022/10/2, 115, , , 3, 10, 
2022/10/3, 99, , , 3, 10, 
2022/10/4, 83, , , 4, 10, 
2022/10/5, 86, , , 4, 11, 
2022/10/6, 95, , , 3, 11, 
2022/10/7, 92, , , 4, 11, 
2022/10/8, 99, , , 3, 11, 
2022/10/9, 97, , , 2, 12, 
2022/10/10, 81, , , 3, 11, 
2022/10/11, 77, , , 5, 11, 
2022/10/12, 84, , , 3, 11, 
2022/10/13, 75, , , 2, 11, 
2022/10/14, 65, , , 5, 13, 83
2022/10/15, 103, , , 4, 13, 80
2022/10/16, 13, , , 4, 14, 82
2022/10/17, 13, , , 3, 15, 79
2022/10/18, 65, , , 3, 16, 80
2022/10/19, 88, , , 3, 14, 82
2022/10/20, 93, , , 3, 15, 81
2022/10/21, 111, , , 2, 16, 81
2022/10/22, 99, , , 2, 18, 80
2022/10/23, 108, , , 3, 19, 85
2022/10/24, 90, , , 2, 20, 82
2022/10/25, 76, , , 3, 12, 83
2022/10/26, 62, , , 2, 5, 82
2022/10/27, 70, , , 1, 5, 81
2022/10/28, 81, , , 2, 5, 82
2022/10/29, 81, , , 2, 5, 83
2022/10/30, 83, , , 2, 5, 84
2022/10/31, 107, , , 2, 5, 84
2022/11/1, 89, , , 2, 5, 87
2022/11/2, 99, , , 2, 5, 85
2022/11/3, 88, , , 2, 5, 84
2022/11/4, 74, , , 2, 7, 84
2022/11/5, 84, , , 3, 9, 78
2022/11/6, 97, , , 2, 9, 75
2022/11/7, 75, , , 2, 10, 70
2022/11/8, 84, , , 2, 9, 
2022/11/9, 86, , , 3, 9, 
2022/11/10, 79, , , 4, 9, 
2022/11/11, 75, , , 3, 9, 
2022/11/12, 99, , , 2, 9, 
2022/11/13, 94, , , 1, 11, 
2022/11/14, 70, , , 2, 11, 
2022/11/15, 76, , , 3, 10, 
2022/11/16, 96, , , 3, 11, 
2022/11/17, 78, , , 2, 9, 
2022/11/18, 82, , , 1, 8, 
2022/11/19, 82, , , 1, 8, 
