date, pm25, pm10, o3, no2, so2
2023/4/2, 17, 14, 31, 4, 
2023/4/3, 26, 16, 30, 3, 
2023/4/4, 37, 18, 31, 6, 
2023/4/5, 48, 17, 25, 4, 2
2023/4/6, 48, 12, 35, 5, 
2023/4/7, 21, 13, 34, 7, 
2023/4/8, 15, 17, 37, 9, 
2023/4/9, 42, 20, 32, 3, 
2023/4/10, 60, 13, 34, 3, 6
2023/4/11, 39, 11, 34, 1, 4
2023/4/12, 16, , , , 
2023/1/3, 22, 8, 26, 4, 3
2023/1/4, 26, 10, 30, 1, 
2023/1/5, 29, 11, 27, 4, 8
2023/1/6, 30, 9, 29, 4, 2
2023/1/7, 23, 6, 28, 3, 10
2023/1/8, 20, 7, 29, 4, 7
2023/1/9, 18, 12, 27, 3, 
2023/1/10, 25, 13, 30, 3, 7
2023/1/11, 28, 12, 38, 2, 
2023/1/12, 24, 12, 30, 2, 1
2023/1/13, 27, 15, 30, 2, 
2023/1/14, 28, 10, 31, 2, 
2023/1/15, 20, 9, 31, 4, 
2023/1/16, 17, 11, 24, 13, 
2023/1/17, 31, 8, 21, 12, 
2023/1/18, 27, 11, 22, 10, 
2023/1/19, 17, 11, 25, 12, 
2023/1/20, 20, 19, 24, 8, 
2023/1/21, 34, 27, 13, 1, 1
2023/1/22, 72, 21, 11, , 1
2023/1/23, 70, 25, 10, 1, 
2023/1/24, 77, 28, 5, , 1
2023/1/25, 84, 17, 26, 8, 3
2023/1/26, 52, 14, 25, 12, 
2023/1/27, 19, 12, 17, 21, 
2023/1/28, 26, 12, 23, 12, 
2023/1/29, 37, 7, 27, 5, 
2023/1/30, 18, 18, 29, 7, 
2023/1/31, 27, 20, 29, 4, 2
2023/2/1, 29, 18, 30, 3, 2
2023/2/2, 28, 12, 29, 4, 
2023/2/3, 19, , 28, 5, 
2023/2/7, 42, 29, 15, 17, 3
2023/2/8, 61, 27, 21, 9, 4
2023/2/9, 60, 17, 27, 9, 
2023/2/10, 30, 14, 22, 9, 
2023/2/11, 16, 11, 26, 8, 
2023/2/12, 16, 14, 26, 5, 1
2023/2/13, 31, 19, 21, 6, 
2023/2/14, 58, 30, 16, 11, 
2023/2/15, 82, 32, 16, 10, 
2023/2/16, 84, 8, 24, 7, 1
2023/2/17, 19, 9, 28, 6, 
2023/2/18, 17, 8, 30, 3, 
2023/2/19, 15, 8, 31, 4, 
2023/2/20, 11, 4, 28, 3, 
2023/2/21, 6, 6, 22, 8, 1
2023/2/22, 12, 9, 26, 8, 
2023/2/23, 14, 17, 26, 9, 
2023/2/24, 15, 16, 26, 8, 
2023/2/25, 16, 13, 27, 7, 
2023/2/26, 13, 13, 26, 7, 
2023/2/27, 14, 12, 22, 12, 
2023/2/28, 17, 9, 25, 10, 
2023/3/1, 10, 7, 26, 10, 
2023/3/2, 5, 20, 18, 14, 
2023/3/3, 35, 16, 24, 11, 
2023/3/4, 29, 14, 28, 5, 
2023/3/5, 19, 8, 30, 5, 
2023/3/6, 13, 8, 29, 5, 
2023/3/7, 12, 12, 29, 12, 
2023/3/8, 9, 21, 22, 18, 
2023/3/9, 38, 13, 25, 12, 
2023/3/10, 34, 12, 29, 11, 
2023/3/11, 17, 20, 26, 9, 
2023/3/12, 47, 15, 31, 3, 1
2023/3/13, 32, 9, 33, 2, 1
2023/3/14, 15, 12, 29, 6, 
2023/3/15, 13, 12, 22, 10, 4
2023/3/16, 31, 7, 25, 4, 4
2023/3/17, 16, 9, 28, 4, 3
2023/3/18, 21, 12, 29, 4, 
2023/3/19, 29, 12, 30, 2, 
