date, pm25, pm10, o3, so2
2023/4/2, 21, 13, 22, 
2023/4/3, 34, , , 
2023/4/7, 18, 16, 42, 
2023/4/8, 28, 15, 42, 
2023/4/9, 38, 21, 45, 
2023/4/10, 49, 20, 45, 
2023/4/11, 46, 28, 33, 
2023/4/12, 54, , , 
2023/1/3, 57, 15, , 
2023/1/4, 44, 11, , 
2023/1/5, 36, 11, , 
2023/1/6, 42, 11, , 
2023/1/7, 40, 12, , 
2023/1/8, 45, 15, , 
2023/1/9, 50, 27, , 
2023/1/10, 68, 25, , 
2023/1/11, 70, 33, , 
2023/1/12, 82, 17, , 
2023/1/13, 49, 11, , 
2023/1/14, 19, 10, , 
2023/1/15, 34, 15, , 
2023/1/16, 43, 12, , 
2023/1/17, 31, 10, , 
2023/1/18, 29, 12, , 
2023/1/19, 33, 5, , 
2023/1/20, 17, 7, , 
2023/1/21, 18, 8, , 
2023/1/22, 31, 11, , 
2023/1/23, 41, 12, , 
2023/1/24, 42, 13, , 
2023/1/25, 51, 19, , 
2023/1/26, 65, 8, , 
2023/1/27, 30, 9, , 
2023/1/28, 30, 10, , 
2023/1/29, 26, 6, , 
2023/1/30, 18, 9, , 
2023/1/31, 24, 11, , 
2023/2/1, 34, 16, , 
2023/2/2, 45, 23, , 
2023/2/3, 41, 16, , 
2023/2/4, 19, 15, , 
2023/2/5, 40, 24, , 
2023/2/6, 60, 25, , 
2023/2/7, 69, 13, , 
2023/2/8, 39, 11, , 
2023/2/9, 26, 21, , 
2023/2/10, 60, 6, , 
2023/2/11, 15, 9, , 
2023/2/12, 19, 12, , 
2023/2/13, 31, 16, , 
2023/2/14, 33, 12, , 
2023/2/15, 31, 9, , 
2023/2/16, 21, 5, , 
2023/2/17, 14, 5, , 
2023/2/18, 16, 12, , 
2023/2/19, 34, 12, , 
2023/2/20, 27, 17, , 
2023/2/21, 49, 15, , 
2023/2/22, 23, 8, , 
2023/2/23, 19, 5, , 
2023/2/24, 13, 11, , 
2023/2/25, 17, 12, , 
2023/2/26, 33, 20, , 
2023/2/27, 36, 7, , 
2023/2/28, 18, 17, , 
2023/3/1, 32, 13, , 
2023/3/2, 33, 11, , 
2023/3/3, 23, 17, , 
2023/3/4, 46, 16, , 
2023/3/5, 48, 12, , 
2023/3/6, 26, 12, , 
2023/3/7, 33, 12, , 
2023/3/8, 13, 14, , 
2023/3/9, 17, 12, , 
2023/3/10, 17, 5, , 
2023/3/11, 15, 10, , 
2023/3/12, 20, 10, , 
2023/3/13, 27, 7, , 
2023/3/14, 16, 10, , 
2023/3/15, 22, 15, , 
2023/3/16, 41, 16, , 
2023/3/17, 47, 8, , 
2023/3/18, 14, 9, , 
2023/3/19, 16, 8, , 
2023/3/20, 17, 17, , 
2023/3/21, 37, 28, , 
2023/3/22, 63, 14, , 
2023/3/23, 49, 15, , 
2023/3/24, 44, 14, 32, 
2023/3/25, 31, 9, 40, 
2023/3/26, 24, 14, 44, 
2023/3/27, 38, 13, 44, 
2023/3/28, 39, 13, 43, 
2023/3/29, 37, 11, 39, 
2023/3/30, 32, 21, 27, 
2023/3/31, 50, 18, 27, 
2023/4/1, 48, 8, 36, 
2022/10/2, 54, 14, 21, 
2022/10/3, 29, 12, 32, 
2022/10/4, 18, 15, 35, 
2022/10/5, 29, 20, 39, 
2022/10/6, 30, 20, 25, 
2022/10/7, 32, 11, 21, 
2022/10/8, 11, 16, 29, 
2022/10/9, 16, 25, 28, 
2022/10/10, 32, 17, 30, 
