date, pm25, pm10, o3, no2, so2, co
2023/4/4, 54, 46, 4, 1, 6, 
2023/4/5, 55, 54, 4, 1, 7, 
2023/4/6, 74, 74, 4, 1, 6, 
2023/4/7, 108, 93, 5, 1, 6, 
2023/4/8, 122, 88, 4, 1, 6, 
2023/4/9, 145, 92, 4, 1, 6, 
2023/4/10, 169, , , , , 
2023/1/20, 176, 127, 4, 9, 9, 14
2023/1/21, 156, 104, 4, , 8, 11
2023/1/22, 157, 96, 4, , 9, 11
2023/1/23, 139, 82, 4, 1, 9, 8
2023/1/24, 149, 93, 4, 1, 8, 9
2023/1/25, 150, 89, 4, 1, 8, 9
2023/1/26, 160, 101, 4, 1, 8, 9
2023/1/27, 169, 112, 4, 1, 8, 11
2023/1/28, 172, 115, 4, , 9, 13
2023/1/29, 156, 102, 4, , 11, 13
2023/1/30, 149, 88, 4, 1, 10, 11
2023/1/31, 150, 85, 4, 1, 9, 10
2023/2/1, 168, 104, 4, 1, 9, 11
2023/2/2, 162, 96, 4, 1, 9, 10
2023/2/3, 154, 89, 4, 1, 9, 10
2023/2/4, 156, 99, 4, 1, 9, 11
2023/2/5, 161, 106, 4, 1, 10, 13
2023/2/6, 169, 113, 4, 1, 10, 14
2023/2/7, 157, 90, 4, 1, 9, 11
2023/2/8, 140, 84, 4, 2, 9, 8
2023/2/9, 170, 115, 4, , 8, 12
2023/2/10, 177, 124, 4, , 10, 14
2023/2/11, 163, 98, 4, , 9, 10
2023/2/12, 139, 82, 4, , 11, 9
2023/2/13, 155, 94, 4, , 11, 13
2023/2/14, 138, 84, 4, , 10, 8
2023/2/15, 162, 111, 4, 1, 10, 13
2023/2/16, 172, 128, 4, 1, 11, 15
2023/2/17, 161, 124, 4, , 11, 12
2023/2/18, 171, 133, 4, , 11, 13
2023/2/19, 165, 115, 4, , 15, 12
2023/2/20, 166, 123, 4, , 14, 13
2023/2/21, 155, 85, 4, , 12, 11
2023/2/22, 152, 108, 4, , 12, 12
2023/2/23, 117, 74, 4, , 12, 9
2023/2/24, 160, 94, 4, 2, 13, 12
2023/2/25, 158, 96, 4, , 12, 13
2023/2/26, 157, 97, 4, , 13, 12
2023/2/27, 164, 107, 4, , 14, 13
2023/2/28, 159, 100, 4, , 13, 13
2023/3/1, 144, 93, 4, , 11, 11
