date, pm25, pm10, o3, no2, so2, co
2023/4/2, 39, 34, 44, , , 
2023/4/3, 44, 19, 23, , , 
2023/4/4, 38, 21, 26, , , 
2023/4/5, 35, 21, 26, , , 
2023/4/6, 34, 20, 23, , , 
2023/4/7, 29, 14, 17, , , 
2023/4/8, 18, 6, 22, , , 
2023/4/9, 11, 7, 25, , , 
2023/4/10, 6, 13, 35, , , 
2023/4/11, 16, 15, 33, , , 
2023/4/12, 14, , , , , 
2023/1/3, 18, , 17, , , 
2023/1/4, 21, , 35, , , 
2023/1/5, 13, , 35, , , 
2023/1/6, 24, 17, 32, , , 
2023/1/7, 20, 14, 38, , , 
2023/1/8, 20, 10, 22, , , 
2023/1/9, 14, 11, 30, , , 
2023/1/10, 16, 20, 27, , , 
2023/1/11, 40, 13, 22, , , 
2023/1/12, 21, 20, 32, , , 
2023/1/13, 16, 6, 31, , , 
2023/1/14, 13, 8, 26, , , 
2023/1/15, 25, , 29, , , 
2023/1/16, 42, , 30, , , 
2023/1/17, 18, , 30, , , 
2023/1/18, 22, , 28, , , 
2023/1/19, 16, , 35, , , 
2023/1/20, 22, , 2, , , 
2023/1/21, 12, , , , , 
2023/1/22, 14, 13, , , , 
2023/1/23, 14, 9, , , , 
2023/1/24, 15, 17, 27, , , 
2023/1/25, 29, 4, 30, , , 
2023/1/26, 4, 6, 31, , , 
2023/1/27, 12, 9, 32, , , 
2023/1/28, 14, 11, 35, , , 
2023/1/29, 19, 15, 23, , , 
2023/1/30, 30, 15, 22, , , 
2023/1/31, 32, 12, 17, , , 
2023/2/1, 23, 9, 7, , , 
2023/2/2, 11, 12, 10, , , 
2023/2/3, 20, 6, 33, , , 
2023/2/4, 7, 10, 34, , , 
2023/2/5, 17, 13, 36, , , 
2023/2/6, 25, 20, 36, , , 
2023/2/7, 38, 15, 28, , , 
2023/2/8, 29, 18, 23, , , 
2023/2/9, 30, 5, 28, , , 
2023/2/10, 6, 6, 28, , , 
2023/2/11, 8, 7, 24, , , 
2023/2/12, 9, 9, 31, , , 
2023/2/13, 15, 15, 41, , , 
2023/2/14, 31, 15, 35, , , 
2023/2/15, 23, 18, 32, , , 
2023/2/16, 27, 18, 24, , , 
2023/2/17, 47, 5, 29, , , 
2023/2/18, 3, 12, 33, , , 
2023/2/19, 12, 15, 37, , , 
2023/2/20, 27, 12, 26, , , 
2023/2/21, 24, 9, 20, , , 
2023/2/22, 19, 23, 28, , , 
2023/2/23, 35, 27, 22, , , 
2023/2/24, 33, 17, 22, , , 
2023/2/25, 27, 15, 28, , , 
2023/2/26, 36, 13, 25, , , 
2023/2/27, 23, 19, 23, , , 
2023/2/28, 33, 23, 22, , , 
2023/3/1, 47, 17, 23, , , 
2023/3/2, 28, 20, 24, , , 
2023/3/3, 27, 22, 43, , , 
2023/3/4, 24, 15, 37, , , 
2023/3/5, 28, 21, 40, , , 
2023/3/6, 54, 17, 19, , , 
2023/3/7, 31, 20, 26, , , 
2023/3/8, 30, 24, 32, , , 
2023/3/9, 44, 19, 30, , , 
2023/3/10, 42, 13, 24, , , 
2023/3/11, 31, 13, 23, , , 
2023/3/12, 28, 16, 25, , , 
2023/3/13, 48, 7, 35, , , 
2023/3/14, 10, 8, 35, , , 
2023/3/15, 17, 47, 42, , , 
2023/3/16, 25, 15, 39, , , 
2023/3/17, 12, 74, 32, , , 
2023/3/18, 14, 5, 36, , , 
2023/3/19, 7, 5, 38, , , 
2023/3/20, 9, 8, 40, , , 
2023/3/21, 18, 15, 43, , , 
2023/3/22, 31, 51, 42, , , 
2023/3/23, 30, 19, 28, , , 
2023/3/24, 29, 22, 27, , , 
2023/3/25, 25, 18, 32, , , 
2023/3/26, 33, 24, 21, , , 
2023/3/27, 34, 20, 26, , , 
2023/3/28, 32, 15, 40, , , 
2023/3/29, 23, 13, 38, , , 
2023/3/30, 16, 20, 43, , , 
2023/3/31, 34, 24, 34, , , 
2023/4/1, 36, 28, 42, , , 
2022/10/2, 26, 12, 40, , , 
2022/10/3, 27, 14, 34, , , 
2022/10/4, 25, 17, 29, , , 
2022/10/5, 26, 11, 31, , , 
2022/10/6, 18, 23, 13, , , 
2022/10/7, 39, 27, 52, , , 
2022/10/8, 44, 24, 42, , , 
2022/10/9, 45, 13, 37, , , 
2022/10/10, 23, 24, 45, , , 
2022/10/11, 35, 35, 47, , , 
2022/10/12, 55, 13, 23, , , 
2022/10/13, 32, 14, 36, , , 
2022/10/14, 38, 20, 40, , , 
2022/10/15, 35, 20, 37, , , 
2022/10/16, 34, 18, 36, , , 
2022/10/17, 40, 22, 31, , , 
2022/10/18, 32, 24, 34, , , 
2022/10/19, 9, 21, 26, , , 
2022/10/20, 19, 26, 42, , , 
2022/10/21, 42, 33, 47, , , 
2022/10/22, 34, 18, 46, , , 
2022/10/23, 36, 15, 38, , , 
2022/10/24, 26, 17, 34, , , 
2022/10/25, 25, 21, 35, , , 
2022/10/26, 17, 13, 32, , , 
2022/10/27, 16, 14, 34, , , 
2022/10/28, 28, 17, 34, , , 
2022/10/29, 41, 11, 27, , , 
2022/10/30, 24, 12, 35, , , 
2022/10/31, 35, 17, 44, , , 
2022/11/1, 47, 19, 39, , , 
2022/11/2, 52, 20, 37, , , 
2022/11/3, 56, 22, 39, , , 
2022/11/4, 79, 16, 28, , , 
2022/11/5, 44, 9, 28, , , 
2022/11/6, 41, 10, 29, , , 
2022/11/7, 45, 11, 28, , , 
2022/11/8, 41, 19, 29, , , 
2022/11/9, 63, 18, 40, , , 
2022/11/10, 34, 16, 33, , , 
2022/11/11, 31, 20, 43, , , 
2022/11/12, 38, 11, 24, , , 
2022/11/13, 40, 8, 26, , , 
2022/11/14, 13, 14, 30, , , 
2022/11/15, 26, 7, 24, , , 
2022/11/16, 11, 9, 24, , , 
2022/11/17, 13, 9, 29, , , 
2022/11/18, 13, 11, 31, , , 
2022/11/19, 18, 9, 28, , , 
2022/11/20, 22, 8, 27, , , 
2022/11/21, 12, 9, 28, , , 
2022/11/22, 19, 15, 21, , , 
2022/11/23, 37, 19, 28, , , 
2022/11/24, 40, 13, 22, , , 
2022/11/25, 30, 4, 14, , , 
2022/11/26, 8, 6, 12, , , 
2022/11/27, 10, 12, 30, , , 
2022/11/28, 20, 12, 35, , , 
2022/11/29, 26, 10, 22, , , 
2022/11/30, 23, 8, 28, , , 
2022/12/1, 11, 12, 28, , , 
2022/12/2, 11, 20, 31, , , 
2022/12/3, 34, 7, 19, , , 
2022/12/4, 17, 11, 13, , , 
2022/12/5, 25, 12, 24, , , 
2022/12/6, 24, 13, 27, , , 
2022/12/7, 15, , 12, , , 
2022/12/8, 17, 11, 13, , , 
2022/12/9, 19, 11, 26, , , 
2022/12/10, 24, 10, 28, , , 
2022/12/11, 21, 8, 19, , , 
2022/12/12, 24, 10, 20, , , 
2022/12/13, 22, 13, 21, , , 
2022/12/14, 34, 17, 24, , , 
2022/12/15, 34, 21, 29, , , 
2022/12/16, 15, 15, 32, , , 
2022/12/17, 24, 17, 29, , , 
2022/12/18, 14, , 29, , , 
2022/12/19, 9, , 27, , , 
2022/12/20, 14, , 27, , , 
2022/12/21, 18, , 20, , , 
2022/12/22, 7, , 20, , , 
2022/12/23, 16, , 27, , , 
2022/12/24, 6, 9, 28, , , 
2022/12/25, 7, 8, 29, , , 
2022/12/26, 16, 15, 29, , , 
2022/12/27, 30, 20, 37, , , 
2022/12/28, 35, 10, 32, , , 
2022/12/29, 18, 8, 32, , , 
2022/12/30, 10, 7, 27, , , 
2022/12/31, 9, 13, 24, , , 
2023/1/1, 30, , 14, , , 
2023/1/2, 78, , 19, , , 
2022/7/2, 19, 9, 19, , , 
2022/7/3, 17, 10, 23, , , 
2022/7/4, 22, 13, 23, , , 
2022/7/5, 27, 19, 13, , , 
2022/7/6, 50, 10, 27, , , 
2022/7/7, 21, 9, 24, , , 
2022/7/8, 29, 8, 23, , , 
2022/7/9, 17, 8, 500, , , 
2022/7/10, 22, 7, 13, , , 
2022/7/11, 19, 12, 42, , , 
2022/7/12, 32, 11, 38, , , 
2022/7/13, 29, 7, 36, , , 
2022/7/14, 18, 57, 26, , , 
2022/7/15, 13, 11, 23, , , 
2022/7/16, 25, 13, 27, , , 
2022/7/17, 27, 12, 36, , , 
2022/7/18, 31, 23, 29, , , 
2022/7/19, 47, 12, 23, , , 
2022/7/20, 23, 16, 18, , , 
2022/7/21, 38, 19, 20, , , 
2022/7/22, 41, 16, 31, , , 
2022/7/23, 41, 18, 26, , , 
2022/7/24, 37, 10, 27, , , 
2022/7/25, 26, 7, 23, , , 
2022/7/26, 22, 11, 24, , , 
2022/7/27, 25, 9, 29, , , 
2022/7/28, 24, 9, 21, , , 
2022/7/29, 22, 11, 23, , , 
2022/7/30, 23, 14, 23, , , 
2022/7/31, 35, 16, 26, , , 
2022/8/1, 30, 11, 19, , , 
2022/8/2, 18, 10, 22, , , 
2022/8/3, 19, 9, 7, , , 
2022/8/4, 24, 12, 29, , , 
2022/8/5, 25, 8, 25, , , 
2022/8/6, 19, 13, 20, , , 
2022/8/7, 27, 15, 3, , , 
2022/8/8, 26, 15, 22, , , 
2022/8/9, 29, 11, 31, , , 
2022/8/10, 20, 9, 26, , , 
2022/8/11, 17, 9, 25, , , 
2022/8/12, 22, 7, 27, , , 
2022/8/13, 17, 14, 21, , , 
2022/8/14, 37, 23, 29, , , 
2022/8/15, 52, 26, 35, , , 
2022/8/16, 54, 19, 43, , , 
2022/8/17, 44, 17, 33, , , 
2022/8/18, 34, 11, 37, , , 
2022/8/19, 22, 9, 29, , , 
2022/8/20, 21, 9, 19, , , 
2022/8/21, 20, 12, 14, , , 
2022/8/22, 23, 9, 17, , , 
2022/8/23, 21, 7, 18, , , 
2022/8/24, 16, 5, 19, , , 
2022/8/25, 14, 7, 19, , , 
2022/8/26, 15, 5, 18, , , 
2022/8/27, 11, 7, 26, , , 
2022/8/28, 13, 6, 23, , , 
2022/8/29, 20, 10, 18, , , 
2022/8/30, 22, 11, 30, , , 
2022/8/31, 25, 9, 31, , , 
2022/9/1, 26, 16, 40, , , 
2022/9/2, 34, 21, 54, , , 
2022/9/3, 43, 10, 20, , , 
2022/9/4, 19, 10, 19, , , 
2022/9/5, 15, 8, 34, , , 
2022/9/6, 18, 13, 34, , , 
2022/9/7, 27, 16, 35, , , 
2022/9/8, 37, 8, 29, , , 
2022/9/9, 26, 10, 31, , , 
2022/9/10, 27, 10, 38, , , 
2022/9/11, 27, 15, 43, , , 
2022/9/12, 38, 11, 33, , , 
2022/9/13, 34, 13, 35, , , 
2022/9/14, 31, 93, 42, , , 
2022/9/15, 31, 21, 44, , , 
2022/9/16, 44, 57, 37, , , 
2022/9/17, 43, 14, 34, , , 
2022/9/18, 37, 7, 28, , , 
2022/9/19, 16, 13, 31, , , 
2022/9/20, 31, 24, 42, , , 
2022/9/21, 56, 23, 41, , , 
2022/9/22, 73, 64, 43, , , 
2022/9/23, 62, 25, 44, , , 
2022/9/24, 54, 23, 44, , , 
2022/9/25, 42, 23, 52, , , 
2022/9/26, 43, 23, 36, , , 
2022/9/27, 46, 18, 37, , , 
2022/9/28, 13, 20, 37, , , 
2022/9/29, 15, 14, 34, , , 
2022/9/30, 15, 15, 36, , , 
2022/10/1, 23, 14, 38, , , 
2022/4/2, 11, 17, 13, , , 
2022/4/3, 35, 19, , , , 
2022/4/4, 35, 18, 38, , , 
