date, pm25, pm10, o3, no2, so2, co
2023/4/2, 18, 23, , 8, , 
2023/4/3, 19, 51, , 13, , 
2023/4/4, 38, 70, , 19, , 
2023/4/5, 59, 62, , 13, , 
2023/4/6, 53, 10, , 4, , 
2023/4/7, 26, 12, , 6, , 
2023/4/8, 25, 30, , 7, , 
2023/4/9, 44, 29, , 6, , 
2023/4/10, 51, 24, , 6, , 
2023/4/11, 48, 14, , 12, , 
2023/4/12, 40, , , , , 
2023/1/3, 21, 22, , 29, , 
2023/1/4, 64, 8, , 11, , 
2023/1/5, 29, 4, , 11, , 
2023/1/6, 11, 5, , 11, , 
2023/1/7, 17, 7, , 11, , 
2023/1/8, 27, 6, , 5, , 
2023/1/9, 20, 6, , 13, , 
2023/1/10, 16, 7, , 12, , 
2023/1/11, 24, 10, , 10, , 
2023/1/12, 24, 14, , 18, , 
2023/1/13, 35, 8, , 19, , 
2023/1/14, 24, 6, , 12, , 
2023/1/15, 22, 6, , 11, , 
2023/1/16, 22, 14, , 25, , 
2023/1/17, 45, 7, , 14, , 
2023/1/18, 20, 10, , 10, , 
2023/1/19, 30, 8, , , , 
2023/1/20, 30, 9, , 1, , 
2023/1/21, 30, 16, , 1, , 
2023/1/22, 56, 22, , 1, , 
2023/1/23, 74, 20, , 1, , 
2023/1/24, 63, 27, , 10, , 
2023/1/25, 72, 17, , 17, , 
2023/1/26, 48, 15, , 33, , 
2023/1/27, 42, 22, , 24, , 
2023/1/28, 65, 27, , 23, , 
2023/1/29, 81, 10, , 12, , 
2023/1/30, 32, 19, , 11, , 
2023/1/31, 29, 25, , 30, , 
2023/2/1, 37, 12, , 18, , 
2023/2/2, 37, 31, , 33, , 
2023/2/3, 59, 10, , 16, , 
2023/2/4, 30, 12, , 14, , 
2023/2/5, 42, 10, , 11, , 
2023/2/6, 36, 19, , 19, , 
2023/2/7, 58, 18, , 17, , 
2023/2/8, 55, 18, , 12, , 
2023/2/9, 56, 15, , 7, , 
2023/2/10, 36, 36, , 9, , 
2023/2/11, 40, 12, , 19, , 
2023/2/12, 35, 26, , 24, , 
2023/2/13, 71, 25, , 40, , 
2023/2/14, 46, 18, , 25, , 
2023/2/15, 52, 22, , 14, , 
2023/2/16, 62, 30, , 15, , 
2023/2/17, 78, 10, , 17, , 
2023/2/18, 31, 10, , 7, , 
2023/2/19, 17, 35, , 14, , 
