date, pm25, pm10, o3, no2, so2, co
2023/4/2, 33, 17, 24, 5, , 3
2023/4/3, 19, 66, 21, 2, , 1
2023/4/4, 39, 56, 20, 2, , 1
2023/4/5, 44, 15, 21, 4, , 1
2023/4/6, 17, 20, 13, 4, , 2
2023/4/7, 19, 28, 24, 8, , 3
2023/4/8, 27, 27, 24, 7, , 4
2023/4/9, 31, 25, 26, 7, , 4
2023/4/10, 37, 39, 8, 12, , 5
2023/4/11, 52, , , , , 
2023/1/3, 25, 11, 12, 3, , 1
2023/1/4, 18, 26, 13, 8, , 4
2023/1/5, 44, 25, 8, 8, , 5
2023/1/6, 37, 32, 1, 8, , 7
2023/1/7, 47, , , , , 
2023/1/31, 23, 21, 7, 4, , 2
2023/2/1, 36, 20, 14, 6, , 4
2023/2/2, 37, 28, 13, 11, , 4
2023/2/3, 47, 30, 16, 9, , 5
2023/2/4, 43, 32, 16, 10, , 6
2023/2/5, 46, 33, 18, 7, , 4
2023/2/6, 49, 23, 17, 6, , 2
2023/2/7, 26, 14, 17, 5, , 1
2023/2/8, 17, 27, 15, 10, , 4
2023/2/9, 34, 23, 19, 5, , 4
2023/2/10, 29, 14, 18, 2, , 1
2023/2/11, 14, 26, 18, 3, , 2
2023/2/12, 20, 27, 18, 4, , 2
2023/2/13, 33, 16, 16, 4, , 1
2023/2/14, 24, 18, 15, 3, , 1
2023/2/15, 23, 22, 16, 4, , 1
2023/2/16, 28, 15, 17, 4, , 2
2023/2/17, 24, 13, 18, 2, , 1
2023/2/18, 16, 22, 19, 7, , 3
2023/2/19, 33, 26, 17, 7, , 3
2023/2/20, 48, 25, 16, 8, , 3
2023/2/21, 35, 24, 15, 6, , 2
2023/2/22, 30, 58, 17, 1, , 1
2023/2/23, 37, 20, 17, 2, , 1
2023/2/24, 26, 16, 17, 4, , 2
2023/2/25, 28, 20, 17, 5, , 2
2023/2/26, 26, 11, 18, 3, , 1
2023/2/27, 18, 15, 18, 7, , 2
2023/2/28, 29, 14, 17, 5, , 2
2023/3/1, 26, 16, 17, 4, , 1
2023/3/2, 22, 12, 18, 4, , 2
2023/3/3, 21, 26, 18, 9, , 3
2023/3/4, 39, 21, 20, 5, , 3
2023/3/5, 34, 19, 17, 6, , 2
2023/3/6, 35, 25, 16, 7, , 4
2023/3/7, 34, 29, 17, 9, , 3
2023/3/8, 37, 25, 20, 8, , 3
2023/3/9, 31, 33, 16, 12, , 4
2023/3/10, 38, 22, 18, 7, , 3
2023/3/11, 23, 19, 11, 4, , 1
2023/3/12, 19, 19, 18, 4, , 2
2023/3/13, 22, 20, 17, 5, , 2
2023/3/14, 21, 21, 18, 4, , 2
2023/3/15, 24, 15, 14, 5, , 1
2023/3/16, 24, 12, 16, 4, , 2
2023/3/17, 21, 16, 20, 5, , 3
2023/3/18, 26, 12, 21, 3, , 2
2023/3/19, 24, 23, 19, 2, , 3
2023/3/20, 22, 18, 17, 4, , 1
2023/3/21, 20, 13, 9, 3, , 1
2023/3/22, 17, 12, 21, 3, , 1
2023/3/23, 19, 17, 20, 5, , 3
2023/3/24, 26, 19, 19, 3, , 1
2023/3/25, 17, 25, 20, 5, , 2
2023/3/26, 35, 17, 21, 3, , 2
2023/3/27, 33, 13, 22, 3, , 2
