date, pm25, pm10, o3, no2, so2, co
2023/4/2, 29, 7, 17, , , 
2023/4/3, 12, 13, 20, 1, , 
2023/4/4, 23, 17, 20, 2, , 
2023/4/5, 33, 25, 16, 2, , 
2023/4/6, 52, 23, 14, 1, , 
2023/4/7, 50, 9, 13, 1, , 
2023/4/8, 19, 9, 18, , , 
2023/4/9, 20, 9, 19, , , 
2023/4/10, 19, 10, 21, 2, , 
2023/4/11, 22, 13, 17, 5, , 
2023/4/12, 26, , , , , 
2023/1/3, 36, 18, 13, 2, , 
2023/1/4, 46, 11, 10, 3, , 
2023/1/5, 26, 11, 12, 5, , 
2023/1/6, 19, 9, 13, 5, , 
2023/1/7, 18, 10, 13, 5, , 
2023/1/8, 29, 10, 8, 4, , 
2023/1/9, 36, 10, 13, 4, , 
2023/1/10, 32, 14, 12, 7, , 
2023/1/11, 43, 19, 12, 5, , 
2023/1/12, 59, 16, 15, 4, , 
2023/1/13, 48, 5, 15, 1, , 
2023/1/14, 10, 6, 13, , , 
2023/1/15, 19, 6, 14, 1, , 
2023/1/16, 19, 9, 16, 7, , 
2023/1/17, 21, 14, 9, 5, , 
2023/1/18, 43, 13, 12, 3, , 
2023/1/19, 36, 14, 10, 4, , 
2023/1/20, 40, 9, 14, 1, , 
2023/1/21, 16, 6, 10, 3, , 
2023/1/22, 18, 7, 9, 3, , 
2023/1/23, 22, 6, 13, 2, , 
2023/1/24, 19, 10, 13, 5, , 
2023/1/25, 26, 12, 12, 7, , 
2023/1/26, 38, 7, 14, 3, , 
2023/1/27, 16, 8, 14, 6, , 
2023/1/28, 21, 8, 16, 6, , 
2023/1/29, 22, 11, 16, 3, , 
2023/1/30, 36, 16, 12, 5, , 
2023/1/31, 53, 11, 10, 3, , 
2023/2/1, 37, 10, 12, 2, , 
2023/2/2, 34, 15, 12, 6, , 
2023/2/3, 52, 10, 15, 2, , 
2023/2/4, 24, 7, 15, 1, , 
2023/2/5, 17, 9, 15, 2, , 
2023/2/6, 21, 12, 15, 3, , 
2023/2/7, 33, 19, 15, 6, , 
2023/2/8, 52, 20, 19, 4, , 
2023/2/9, 46, 20, 18, 2, , 
2023/2/10, 46, 13, 17, 1, , 
2023/2/11, 28, 9, 16, , , 
2023/2/12, 25, 7, 15, , , 
2023/2/13, 24, 7, 17, 2, , 
2023/2/14, 20, 11, 17, 3, , 
2023/2/15, 22, 13, 19, 2, , 
2023/2/16, 26, 19, 18, 2, , 
2023/2/17, 48, 11, 13, 1, , 
2023/2/18, 30, 7, 14, 2, , 
2023/2/19, 22, 9, 17, 1, , 
2023/2/20, 25, 13, 14, 3, , 
2023/2/21, 33, 15, 19, 4, , 
2023/2/22, 36, 13, 16, 4, , 
2023/2/23, 27, 16, 16, 2, , 
2023/2/24, 39, 17, 18, 1, , 
2023/2/25, 22, 7, 12, 1, , 
2023/2/26, 20, 10, 11, 1, , 
2023/2/27, 34, 13, 16, 2, , 
2023/2/28, 38, 14, 13, 2, , 
2023/3/1, 39, 14, 15, 4, , 
2023/3/2, 36, 18, 14, 4, , 
2023/3/3, 45, 14, 15, 1, , 
2023/3/4, 37, 6, 18, , , 
2023/3/5, 15, 10, 19, 3, , 
2023/3/6, 27, 11, 19, 2, , 
2023/3/7, 30, 12, 18, 1, , 
2023/3/8, 29, 8, 16, 1, , 
2023/3/9, 13, 9, 17, 2, , 
2023/3/10, 15, 11, 14, 2, , 
2023/3/11, 29, , 16, , , 
2023/3/14, 18, 6, 16, 1, , 
2023/3/15, 16, 7, 19, 1, , 
2023/3/16, 15, 16, 22, 5, , 
2023/3/17, 34, 21, 18, 2, , 
2023/3/18, 50, 8, 17, , , 
2023/3/19, 20, 7, 16, 1, , 
2023/3/20, 18, 12, 18, 4, , 
2023/3/21, 24, 18, 19, 5, , 
2023/3/22, 31, 18, 20, 2, , 
2023/3/23, 37, 23, 18, 1, , 
2023/3/24, 54, 18, 14, 1, , 
2023/3/25, 44, 15, 15, 1, , 
2023/3/26, 35, 12, 21, 1, , 
2023/3/27, 18, 18, 11, 2, , 
2023/3/28, 47, 16, 20, 2, , 
2023/3/29, 39, 10, 20, 1, , 
2023/3/30, 22, 12, 20, 1, , 
2023/3/31, 28, 16, 20, 1, , 
2023/4/1, 31, 20, 17, , , 
2022/10/2, 17, 8, 7, , , 
2022/10/3, 21, 6, 9, , , 
2022/10/4, 12, 6, 11, , , 
2022/10/5, 11, 6, 10, 2, , 
2022/10/6, 11, 11, 16, 4, , 
2022/10/7, 21, 16, 21, 4, , 
2022/10/8, 33, 7, 11, 1, , 
2022/10/9, 17, 10, 13, 3, , 
2022/10/10, 30, 13, 15, 4, , 
2022/10/11, 31, 14, 18, 3, , 
2022/10/12, 33, 17, 17, 3, , 
2022/10/13, 43, 11, 11, 2, , 
2022/10/14, 33, 14, 15, 1, , 
2022/10/15, 28, 19, 17, 3, , 
2022/10/16, 39, 19, 15, 2, , 
2022/10/17, 44, 12, 13, 2, , 
2022/10/18, 30, 12, 11, 1, , 
2022/10/19, 20, 7, 9, 2, , 
2022/10/20, 14, 11, 13, 3, , 
2022/10/21, 22, 15, 16, 4, , 
2022/10/22, 34, 16, 18, 3, , 
2022/10/23, 42, 13, 11, 2, , 
2022/10/24, 38, 8, 12, 1, , 
2022/10/25, 21, 13, 10, 2, , 
2022/10/26, 43, 19, 9, 3, , 
2022/10/27, 54, 9, 10, 2, , 
2022/10/28, 20, 13, 11, 1, , 
2022/10/29, 24, 13, 13, 1, , 
2022/10/30, 26, 13, 13, 3, , 
2022/10/31, 34, 18, 10, 3, , 
2022/11/1, 41, 15, 12, 3, , 
2022/11/2, 43, 13, 14, 3, , 
2022/11/3, 38, 22, 13, 2, , 
2022/11/4, 53, 16, 11, 3, , 
2022/11/5, 39, 18, 12, 2, , 
2022/11/6, 36, 18, 12, 1, , 
2022/11/7, 35, 21, 15, 4, , 
2022/11/8, 39, 18, 13, 1, , 
2022/11/9, 32, 14, 14, 2, , 
2022/11/10, 26, 17, 14, 1, , 
2022/11/11, 35, 12, 11, 1, , 
2022/11/12, 24, 9, 12, 1, , 
2022/11/13, 20, 4, 10, , , 
2022/11/14, 11, 7, 13, 4, , 
2022/11/15, 21, 10, 9, 5, , 
2022/11/16, 32, 6, 10, 2, , 
2022/11/17, 17, 9, 13, 4, , 
2022/11/18, 30, 11, 13, 6, , 
2022/11/19, 34, 12, 14, 5, , 
2022/11/20, 39, 10, 14, 2, , 
2022/11/21, 27, 12, 14, 7, , 
2022/11/22, 29, 15, 15, 8, , 
2022/11/23, 35, 16, 17, 8, , 
2022/11/24, 39, 19, 18, 8, , 
2022/11/25, 49, 15, 13, 5, , 
2022/11/26, 43, 11, 13, 5, , 
2022/11/27, 36, 11, 11, 2, , 
2022/11/28, 34, 6, 12, 2, , 
2022/11/29, 15, 10, 12, 4, , 
2022/11/30, 33, 9, 13, 3, , 
2022/12/1, 26, 7, 11, 4, , 
2022/12/2, 17, 13, 11, 5, , 
2022/12/3, 33, 12, 10, 2, , 
2022/12/4, 32, 12, 10, 3, , 
2022/12/5, 33, 16, 11, 7, , 
2022/12/6, 47, 19, 6, 9, , 
2022/12/7, 55, 16, 3, 4, , 
2022/12/8, 50, 12, 9, 2, , 
2022/12/9, 33, 9, 11, 1, , 
2022/12/10, 24, 11, 8, 2, , 
2022/12/11, 31, 17, 9, 4, , 
2022/12/12, 42, 9, 11, 1, , 
2022/12/13, 28, 10, 10, 4, , 
2022/12/14, 33, 19, 10, 7, , 
2022/12/15, 56, 8, 12, 3, , 
2022/12/16, 25, 8, 11, 5, , 
2022/12/17, 19, 10, 13, 5, , 
2022/12/18, 24, 10, 12, 4, , 
2022/12/19, 30, 10, 10, 6, , 
2022/12/20, 29, 15, 8, 5, , 
2022/12/21, 49, 16, 10, 5, , 
2022/12/22, 47, 8, 13, 2, , 
2022/12/23, 24, 7, 13, 1, , 
2022/12/24, 15, 10, 12, 1, , 
2022/12/25, 26, 8, 14, 2, , 
2022/12/26, 22, 12, 13, 7, , 
2022/12/27, 35, 15, 13, 9, , 
2022/12/28, 41, 21, 14, 9, , 
2022/12/29, 58, 22, 16, 9, , 
2022/12/30, 60, 18, 16, 7, , 
2022/12/31, 46, 11, 8, 4, , 
2023/1/1, 39, 10, 12, 4, , 
2023/1/2, 26, 11, 11, 4, , 
2022/7/2, 35, 10, 12, , , 
2022/7/3, 22, 14, 16, 1, , 
2022/7/4, 36, 20, 18, 1, , 
2022/7/5, 56, 16, 17, 1, , 
2022/7/6, 42, 14, 18, 2, , 
2022/7/7, 28, 12, 17, 1, , 
2022/7/8, 32, 12, 17, 1, , 
2022/7/9, 31, 9, 13, , , 
2022/7/10, 23, 12, 11, , , 
2022/7/11, 32, 13, 14, 1, , 
2022/7/12, 29, 14, 17, 1, , 
2022/7/13, 32, 15, 22, 2, , 
2022/7/14, 30, 16, 22, 2, , 
2022/7/15, 42, 14, 18, 2, , 
2022/7/16, 44, 15, 18, 2, , 
2022/7/17, 42, 15, 18, 1, , 
2022/7/18, 40, 14, 13, 1, , 
2022/7/19, 28, 12, 17, 1, , 
2022/7/20, 29, 14, 20, 2, , 
2022/7/21, 32, 18, 19, 1, , 
2022/7/22, 41, 20, 23, 1, , 
2022/7/23, 49, 24, 24, 2, , 
2022/7/24, 61, 18, 21, 1, , 
2022/7/25, 49, 17, 14, 1, , 
2022/7/26, 35, 13, 12, 1, , 
2022/7/27, 27, 13, 14, 1, , 
2022/7/28, 27, 13, 17, 1, , 
2022/7/29, 28, 12, 15, 2, , 
2022/7/30, 25, 13, 17, 1, , 
2022/7/31, 29, 13, 13, 2, , 
2022/8/1, 33, 10, 13, 1, , 
2022/8/2, 21, 16, 16, 2, , 
2022/8/3, 33, 17, 18, 2, , 
2022/8/4, 40, 22, 21, 3, , 
