date, pm25, pm10, o3, no2, so2, co
2023/4/2, 15, , 25, 1, , 
2023/4/3, 11, , 27, 1, , 
2023/4/4, 6, , 28, 1, , 
2023/4/5, 8, , 22, 2, , 
2023/4/6, 10, , 25, 1, , 
2023/4/7, 16, , 19, 1, , 
2023/4/8, 13, , 26, 1, , 
2023/4/9, 12, , 25, 2, , 
2023/4/10, 19, , 5, 4, , 
2023/4/11, 22, , , , , 
2023/1/3, 13, , 15, 3, , 
2023/1/4, 15, , 23, 2, , 
2023/1/5, 22, , 24, 1, , 
2023/1/6, 10, , 20, 1, , 
2023/1/7, 13, , 25, 1, , 
2023/1/8, 14, , 24, 1, , 
2023/1/9, 13, , 21, 2, , 
2023/1/10, 19, , 29, 1, , 
2023/1/11, 14, , 22, 1, , 
2023/1/12, 10, , 18, 1, , 
2023/1/13, 11, , 17, 1, , 
2023/1/14, 16, , 23, 1, , 
2023/1/15, 15, , 21, 1, , 
2023/1/16, 11, , 22, 1, , 
2023/1/17, 8, , 16, 3, , 
2023/1/18, 12, , 16, 2, , 
2023/1/19, 21, , 19, 2, , 
2023/1/20, 13, , 20, 2, , 
2023/1/21, 15, , 15, 4, , 
2023/1/22, 21, , 22, 4, , 
2023/1/23, 34, , 20, 1, , 
2023/1/24, 18, , 16, 4, 5, 
2023/1/25, 55, , 17, 4, , 
2023/1/26, 39, , 19, 4, , 
2023/1/27, 54, , 19, 5, , 
2023/1/28, 55, , 19, 2, , 
2023/1/29, 37, , 14, 1, , 
2023/1/30, 13, , 23, 1, , 
2023/1/31, 6, , 20, 3, , 
2023/2/1, 17, , 17, 5, , 
2023/2/2, 39, , 13, 8, , 
2023/2/3, 57, , 13, 3, , 
2023/2/4, 43, , 20, 4, , 
2023/2/5, 33, , 20, 1, , 
2023/2/6, 9, , 19, 2, , 
2023/2/7, 9, , 16, 4, , 
2023/2/8, 34, , 18, 5, , 
2023/2/9, 37, , 21, 4, , 
2023/2/10, 59, , 23, 3, , 
2023/2/11, 43, , 22, 1, , 
2023/2/12, 8, , 20, 3, , 
2023/2/13, 22, , 27, 1, , 
2023/2/14, 36, , 24, 1, , 
2023/2/15, 8, , 21, 2, , 
2023/2/16, 12, , 21, 2, , 
2023/2/17, 30, , 21, 7, , 
2023/2/18, 39, , 17, 3, , 
2023/2/19, 34, , 19, 3, , 
2023/2/20, 32, , 22, 2, , 
2023/2/21, 43, , 21, 3, , 
2023/2/22, 35, , 22, 2, , 
2023/2/23, 11, , 21, 1, , 
2023/2/24, 11, 1, 21, 2, 38, 
2023/2/25, 11, , 17, 1, , 
2023/2/26, 9, , 16, 1, , 
2023/2/27, 16, , 21, 1, , 
2023/2/28, 17, , 20, 1, , 
2023/3/1, 14, , 22, 1, , 
2023/3/2, 16, , 20, 2, , 
2023/3/3, 12, , 18, 2, , 
2023/3/4, 26, , 22, 1, , 
2023/3/5, 17, , 23, 1, , 
2023/3/6, 10, , 21, 1, , 
2023/3/7, 14, , 23, 1, , 
2023/3/8, 10, , 24, 2, , 
2023/3/9, 9, , 22, 1, , 
2023/3/10, 15, , 23, 1, , 
2023/3/11, 13, , 16, 1, , 
2023/3/12, 14, , 19, 1, , 
2023/3/13, 17, , 18, 1, , 
2023/3/14, 10, , 27, 1, , 
2023/3/15, 14, , 24, 3, , 
2023/3/16, 12, , 23, 3, , 
2023/3/17, 20, , 26, 3, , 
2023/3/18, 21, , 19, 2, , 
2023/3/19, 35, , 28, 1, , 
2023/3/20, 19, , 30, 1, , 
2023/3/21, 10, , 26, 1, , 
2023/3/22, 20, , 26, 1, , 
2023/3/23, 10, , 26, 1, , 
2023/3/24, 10, , 29, 2, , 
2023/3/25, 9, , 28, 1, , 
2023/3/26, 11, , 27, 1, , 
2023/3/27, 14, , 27, 2, , 
2023/3/28, 15, , 24, 1, , 
2023/3/29, 17, , 24, 1, , 
2023/3/30, 13, , 26, 2, , 
2023/3/31, 11, , 27, 1, , 
2023/4/1, 17, , 24, 1, , 
2022/10/2, 20, , 28, 1, , 
2022/10/3, 25, , 30, 2, , 
2022/10/4, 29, , 30, 3, , 
2022/10/5, 38, , 35, 4, , 
2022/10/6, 35, , 42, 6, , 
2022/10/7, 38, , 38, 5, , 
2022/10/8, 34, , 36, 3, , 
2022/10/9, 31, , 26, 2, , 
2022/10/10, 21, , 31, 2, , 
2022/10/11, 23, , 29, 4, , 
2022/10/12, 34, , 24, 2, , 
2022/10/13, 42, , 24, 2, , 
2022/10/14, 19, , 31, 3, , 
2022/10/15, 25, , 26, 1, , 
2022/10/18, 45, , 31, 6, , 
2022/10/19, 49, , 31, 6, , 
2022/10/20, 30, , 42, 6, , 
2022/10/21, 39, , 27, 4, , 
2022/10/22, 46, , 27, 1, , 
2022/10/23, 19, , 25, 1, , 
2022/10/24, 9, , 25, 2, , 
2022/10/25, 9, , 22, 4, , 
2022/10/26, 21, , 27, 3, , 
2022/10/27, 19, , 25, 4, , 
2022/10/28, 14, , 25, 4, , 
2022/10/29, 20, , 28, 2, , 
2022/10/30, 40, , 25, 3, , 
2022/10/31, 44, , 24, 4, , 
2022/11/1, 42, , 20, 1, , 
2022/11/2, 20, , 22, 2, , 
2022/11/3, 15, , 20, 6, , 
2022/11/4, 14, , 17, 7, , 
2022/11/5, 22, , 14, 3, , 
2022/11/6, 34, , 23, 1, , 
2022/11/7, 16, , 24, 1, , 
2022/11/8, 13, , 20, 1, , 
2022/11/9, 13, , 18, 3, , 
2022/11/10, 12, , 16, 5, , 
2022/11/11, 23, , 15, 6, , 
2022/11/12, 26, , 16, 5, , 
2022/11/13, 46, , 21, 3, , 
2022/11/14, 18, , 19, 6, , 
2022/11/15, 36, , 21, 7, , 
2022/11/16, 24, , 20, 6, , 
2022/11/17, 33, , 20, 9, , 
2022/11/18, 47, , 21, 5, , 
2022/11/19, 35, , 20, 4, , 
2022/11/20, 16, , 21, 8, , 
2022/11/21, 40, , 15, 10, , 
2022/11/22, 42, , 18, 9, , 
2022/11/23, 50, , 16, 9, , 
2022/11/24, 50, , 29, 4, , 
2022/11/25, 66, , 22, 8, , 
2022/11/26, 71, , 23, 7, , 
2022/11/27, 49, , 18, 4, , 
2022/11/28, 45, , 19, 4, , 
2022/11/29, 33, , 21, 3, , 
2022/11/30, 13, , 18, 5, , 
2022/12/1, 31, , 13, 2, , 
2022/12/2, 24, , 12, 6, , 
2022/12/3, 19, , 10, 6, , 
2022/12/4, 29, , 18, 1, , 
2022/12/5, 10, , 18, 2, , 
2022/12/6, 13, , 14, 5, , 
2022/12/7, 14, , 16, 3, , 
2022/12/8, 11, , 14, 3, , 
2022/12/9, 37, , 16, 2, , 
2022/12/10, 37, , 19, 2, , 
2022/12/11, 28, , 21, 1, , 
2022/12/12, 9, , 20, 3, , 
2022/12/13, 6, , 12, 4, , 
2022/12/14, 19, , 12, 4, , 
2022/12/15, 31, , 13, 6, , 
2022/12/16, 37, , 11, 7, , 
2022/12/17, 45, , 9, 6, , 
2022/12/18, 60, , 13, 3, , 
2022/12/19, 72, , 12, 2, , 
2022/12/20, 66, , 9, 5, , 
2022/12/21, 71, , 8, 4, , 
2022/12/22, 71, , 7, 2, , 
2022/12/23, 89, , 7, 4, , 
2022/12/24, 73, , 9, 4, , 
