date, pm25, o3, no2, so2, co
2022/10/5, 87, 9, 4, , 
2022/10/6, 55, 8, 3, , 
2022/10/7, 17, 10, 1, , 
2022/10/8, 34, 5, 5, , 
2022/10/9, 70, 2, 10, , 
2022/10/10, 78, 11, 4, , 
2022/10/11, 68, 12, 1, , 
2022/10/12, 21, 11, 1, , 
2022/10/13, 63, 13, 1, , 
2022/10/14, 25, 10, 3, , 
2022/10/15, 17, 10, 1, , 
2022/10/16, 21, 9, 2, , 
2022/10/17, 13, 10, 1, , 
2022/10/18, 21, 11, 2, , 
2022/10/19, 38, 4, 8, , 
2022/10/20, 70, 11, 6, , 
2022/10/21, 95, 13, 2, , 
2022/10/22, 34, 11, 2, , 
2022/10/23, 25, , , , 
2022/10/27, 46, 6, 4, , 
2022/10/28, 42, 9, 3, , 
2022/10/29, 17, 1, 18, , 
2022/10/30, 57, 11, 3, , 
2022/10/31, 21, 8, 4, , 
2022/11/1, 25, 6, 8, , 
2022/11/2, 30, 9, 1, , 
2022/11/3, 5, 10, 1, , 
2022/11/4, 5, 11, 2, , 
2022/11/5, 25, 3, 10, , 
2022/11/6, 63, 10, 1, , 
2022/11/7, 21, 11, 3, , 
2022/11/8, 9, 12, 1, , 
2022/11/9, 9, 11, 3, , 
2022/11/10, 17, 8, 12, , 
2022/11/11, 17, 9, 8, , 
2022/11/12, 42, 5, 15, , 
2022/11/13, 25, 10, 5, , 
2022/11/14, 30, 8, 5, , 
2022/11/15, 70, 9, 7, , 
2022/11/16, 57, 9, 4, , 
2022/11/17, 34, 11, 1, , 
2022/11/18, 17, 11, 6, , 
2022/11/19, 17, 11, 5, , 
2022/11/20, 9, 7, 15, , 
2022/11/21, 34, 9, 13, , 
2022/11/22, 25, 4, 20, , 
2022/11/23, 63, 7, 12, , 
2022/11/24, 42, 10, 7, , 
2022/11/25, 25, 8, 8, , 
2022/11/26, 38, 12, 4, , 
2022/11/27, 5, 9, 6, , 
2022/11/28, 25, 10, 1, , 
2022/11/29, 5, 13, 1, , 
2022/7/2, 38, 3, 1, , 
2022/7/3, 21, 2, 5, , 
2022/7/4, 46, 4, 5, , 
2022/7/5, 42, 7, 1, , 
2022/7/6, 34, 8, 1, , 
2022/7/7, 34, 5, 2, , 
2022/7/8, 30, 7, 1, , 
2022/7/9, 25, 4, 2, , 
2022/7/10, 55, 6, 3, , 
2022/7/11, 50, 7, 1, , 
2022/7/12, 25, 5, 1, , 
2022/7/13, 17, 8, 1, , 
2022/7/14, 21, 12, 1, , 
2022/7/15, 38, 7, 1, , 
2022/7/16, 21, 5, 2, , 
2022/7/17, 46, 11, 1, , 
2022/7/18, 46, 3, 2, , 
2022/7/19, 65, 6, 2, , 
2022/7/20, 65, 9, 1, , 
2022/7/21, 25, 5, 1, , 
2022/7/22, 21, 6, 1, , 
2022/7/23, 46, 6, 1, , 
2022/7/24, 25, 7, 1, , 
2022/7/25, 21, 9, 1, , 
2022/7/26, 21, 8, 1, , 
2022/7/27, 38, 5, 2, , 
2022/7/28, 25, 4, 4, , 
2022/7/29, 42, 9, 1, , 
2022/7/30, 30, 8, 1, , 
2022/7/31, 70, 7, 1, , 
2022/8/1, 25, 7, 1, , 
2022/8/2, 34, 8, 1, , 
2022/8/3, 21, 5, 1, , 
2022/8/4, 21, 4, 3, , 
2022/8/5, 30, 10, 1, , 
2022/8/6, 21, 5, 1, , 
2022/8/7, 13, 7, 1, , 
2022/8/8, 17, 5, 2, , 
2022/8/9, 21, 11, 1, , 
2022/8/10, 13, 3, 3, , 
2022/8/11, 34, 8, 1, , 
2022/8/12, 30, 11, 1, , 
2022/8/13, 25, 4, 1, , 
2022/8/14, 50, 9, 1, , 
2022/8/15, 34, 4, 1, , 
2022/8/16, 34, , 8, , 
2022/8/17, 46, 6, 5, , 
2022/8/18, 25, 4, 2, , 
2022/8/24, 70, 6, 1, , 
2022/8/25, 72, 5, 3, , 
2022/8/26, 99, 1, 10, , 
2022/8/27, 91, 11, 2, , 
2022/8/28, 30, 14, 1, , 
2022/8/29, 21, 7, 1, , 
2022/8/30, 42, 2, 6, , 
2022/8/31, 25, 5, 2, , 
2022/9/1, 30, 7, 1, , 
2022/9/2, 25, 10, 1, , 
2022/9/3, 17, 11, 1, , 
2022/9/4, 46, 12, 2, , 
2022/9/5, 57, 14, 2, , 
2022/9/6, 53, 13, 1, , 
2022/9/7, 46, 4, 6, , 
2022/9/8, 53, 10, 1, , 
2022/9/9, 34, 7, 1, , 
2022/9/10, 13, 5, 4, , 
2022/9/11, 25, 11, 3, , 
2022/9/12, 50, 9, 1, , 
2022/9/13, 91, 2, 5, , 
2022/9/14, 42, 6, 2, , 
