date, pm25, pm10, o3, no2, so2, co, psi
2023/4/2, 45, 20, 19, , 3, 3, 
2023/4/3, 51, 24, 8, , 4, 3, 
2023/4/4, 46, 21, 14, , 2, 2, 
2023/4/5, 36, 24, 12, , 2, 2, 
2023/4/6, 58, 28, 11, , 2, 2, 
2023/4/7, 57, 25, 8, , 4, 2, 
2023/4/8, 48, 28, 20, , 3, 3, 
2023/4/9, 62, 23, 11, , 1, 1, 
2023/4/10, 39, 21, 12, , 1, 4, 
2023/4/11, 53, 33, 13, , , 4, 
2023/4/12, 65, , , , , , 
2023/1/3, 54, 22, 17, , 2, 4, 
2023/1/4, 35, 17, 12, , 2, 4, 
2023/1/5, 26, 19, 12, , 2, 5, 
2023/1/6, 44, 26, 19, , 2, 5, 
2023/1/7, 42, 18, 18, , 2, 4, 
2023/1/8, 25, 15, 17, , 3, 4, 
2023/1/9, 29, 16, 15, , 3, 4, 
2023/1/10, 44, 20, 20, , 4, 5, 
2023/1/11, 46, 29, 8, , 4, 5, 
2023/1/12, 51, 30, 24, , 4, 4, 
2023/1/13, 52, 21, 17, , 3, 4, 
2023/1/14, 34, 30, 39, , 3, 7, 
2023/1/15, 68, 29, 24, , 5, 5, 
2023/1/16, 47, 23, 14, , 3, 5, 
2023/1/17, 39, 18, 22, , 2, 4, 
2023/1/18, 37, 18, 16, , 2, 4, 
2023/1/19, 37, 25, 14, , 2, 5, 
2023/1/20, 33, 16, 10, , 2, 5, 
2023/1/21, 25, 16, 14, , 1, 4, 
2023/1/22, 22, 13, 13, , 1, 5, 
2023/1/23, 25, 14, 7, , 1, 5, 
2023/1/24, 33, 11, 7, , 1, 5, 
2023/1/25, 19, 9, 8, , 1, 4, 
2023/1/26, 23, 14, 10, , 1, 4, 
2023/1/27, 31, 16, 15, , 1, 4, 
2023/1/28, 27, 11, 10, , 2, 3, 
2023/1/29, 17, 8, 16, , 2, 3, 
2023/1/30, 20, 17, 17, , 2, 4, 
2023/1/31, 40, 22, 16, , 2, 4, 
2023/2/1, 36, 22, 12, , 2, 4, 
2023/2/2, 40, 21, 11, , 2, 4, 
2023/2/3, 39, 20, 10, , 2, 4, 
2023/2/4, 39, 17, 4, , 2, 4, 
2023/2/5, 29, 20, 10, , 2, 3, 
2023/2/6, 41, 14, 11, , 2, 3, 
2023/2/7, 25, 13, 13, , 2, 3, 
