date, pm25, o3
2023/4/2, 22, 37
2023/4/3, 25, 36
2023/4/4, 25, 27
2023/4/5, 57, 27
2023/4/6, 31, 34
2023/4/7, 28, 39
2023/4/8, 36, 42
2023/4/9, 33, 44
2023/4/10, 39, 42
2023/4/11, 46, 28
2023/4/12, 59, 
2023/1/3, 47, 
2023/1/4, 18, 
2023/1/5, 20, 
2023/1/6, 26, 
2023/1/7, 49, 
2023/1/8, 51, 
2023/1/9, 59, 
2023/1/10, 64, 
2023/1/11, 55, 
2023/1/12, 71, 
2023/1/13, 67, 
2023/1/14, 39, 
2023/1/15, 53, 
2023/1/16, 39, 
2023/1/17, 31, 
2023/1/18, 50, 
2023/1/19, 51, 
2023/1/20, 24, 
2023/1/21, 34, 
2023/1/22, 56, 
2023/1/23, 53, 
2023/1/24, 48, 
2023/1/25, 52, 
2023/1/26, 36, 
2023/1/27, 28, 
2023/1/28, 28, 
2023/1/29, 35, 
2023/1/30, 42, 
2023/1/31, 24, 
2023/2/1, 27, 
2023/2/2, 48, 
2023/2/3, 56, 
2023/2/4, 30, 
2023/2/5, 29, 
2023/2/6, 38, 
2023/2/7, 39, 
2023/2/8, 33, 
2023/2/9, 58, 
2023/2/10, 17, 
2023/2/11, 43, 
2023/2/12, 36, 
2023/2/13, 46, 
2023/2/14, 36, 
2023/2/15, 29, 
2023/2/16, 27, 
2023/2/17, 36, 
2023/2/18, 27, 
2023/2/19, 22, 
2023/2/20, 34, 
2023/2/21, 48, 30
2023/2/22, 29, 20
2023/2/23, 34, 24
2023/2/24, 31, 26
2023/2/25, 30, 25
2023/2/26, 59, 24
2023/2/27, 60, 26
2023/2/28, 44, 29
2023/3/1, 44, 30
2023/3/2, 49, 26
2023/3/3, 35, 25
2023/3/4, 33, 31
2023/3/5, 52, 34
2023/3/6, 44, 37
2023/3/7, 35, 32
2023/3/8, 37, 29
2023/3/9, 24, 23
2023/3/10, 36, 29
2023/3/11, 26, 27
2023/3/12, 44, 26
2023/3/13, 32, 28
2023/3/14, 23, 31
2023/3/15, 40, 34
