date, pm25, pm10, o3, no2, so2, co
2020/4/2, 50, 25, 36, 8, , 
2020/4/3, 61, 21, 31, 6, , 
2020/4/4, 55, 20, 35, 5, , 
2020/4/5, 51, 21, 40, 4, , 
2020/4/6, 11, 21, 45, 7, , 
2020/4/7, 23, 24, 49, 8, , 
2020/4/8, 55, 20, 48, 7, , 
2020/4/9, 57, 24, 52, 8, , 
2020/4/10, 63, 27, 49, 5, , 
2020/4/11, 63, 15, 41, 4, , 
2020/4/12, 35, 18, 42, 4, , 
2020/4/13, 48, 19, 35, 4, , 
2020/4/14, 49, 17, 34, 3, , 
2020/4/15, 28, 19, 32, 7, , 
2020/4/16, 38, 24, 43, 8, , 
2020/4/17, 51, 29, 44, 8, , 
2020/4/18, 54, 25, 34, 5, , 
2020/4/19, 48, 19, 39, 3, , 
2020/4/20, 47, 26, 39, 2, , 
2020/4/21, 44, 23, 42, 2, , 
2020/4/22, 38, 22, 43, 3, , 
2020/4/23, 38, 22, 49, 4, , 
2020/4/24, 45, 23, 49, 5, , 
2020/4/25, 52, 20, 42, 3, , 
2020/4/26, 51, 17, 40, 3, , 
2020/4/27, 39, 16, 40, 4, , 
2020/4/28, 43, 11, 32, 2, , 
2020/4/29, 30, 8, 29, 3, , 
2020/4/30, 20, 8, 26, 3, , 
2020/5/1, 16, 9, 29, 2, , 
2020/5/2, 15, 9, 31, 3, , 
2020/5/3, 22, 13, 38, 4, , 
2020/5/4, 34, 12, 28, 7, , 
2020/5/5, 33, 18, 30, 5, , 
2020/5/6, 43, 18, 39, 5, , 
2020/5/7, 29, 15, 48, 8, , 
2020/5/8, 41, , 55, 7, , 
2020/5/9, 51, , 42, 8, , 
2020/5/10, 56, , 36, 5, , 
2020/5/11, 60, 6, 27, 3, , 
2020/5/12, 28, 13, 28, 5, , 
2020/5/13, 32, 17, 19, 7, , 
2020/5/14, 48, 21, 31, 5, , 
2020/5/15, 60, 17, 40, 5, , 
2020/5/16, 50, 17, 47, 7, , 
2020/5/17, 5, 19, 49, 7, , 
2020/5/18, 5, 18, 43, 7, , 
2020/5/19, 42, 18, 50, 11, , 
2020/5/20, 45, 18, 47, 4, , 
2020/5/21, 46, 17, 49, 4, , 
2020/5/22, 50, 20, 47, 7, , 
2020/5/23, 56, 11, 26, 3, , 
2020/5/24, 28, 11, 30, 2, , 
2020/5/25, 27, 13, 29, 5, , 
2020/5/26, 33, 16, 41, 5, , 
2020/5/27, 40, 13, 42, 4, , 
2020/5/28, 36, 19, 43, 7, , 
2020/5/29, 48, 13, 41, 3, , 
2020/5/30, 30, 13, 39, 2, , 
2020/5/31, 36, 11, 38, 1, , 
2020/6/1, 31, 13, 45, 2, , 
2020/6/2, 36, 21, 54, 6, , 
2020/6/3, 50, 21, 46, 7, , 
2020/6/4, 64, 10, 35, 3, , 
2020/1/3, 87, 31, 2, 14, , 
2020/1/4, 54, 16, 16, 10, , 
2020/1/5, 29, 11, 21, 7, , 
2020/1/6, 52, 20, 13, 13, , 
2020/1/7, 77, 27, 4, 15, , 
2020/1/8, 58, 22, 7, 19, , 
2020/1/9, 54, 18, 7, 17, , 
2020/1/10, 30, 11, 14, 10, , 
2020/1/11, 14, 7, 25, 8, , 
2020/1/12, 38, 16, 18, 11, , 
2020/1/13, 62, 22, 15, 11, , 
2020/1/14, 54, 19, 13, 13, , 
2020/1/15, 42, 13, 20, 11, , 
2020/1/16, 32, 13, 27, 9, , 
2020/1/17, 43, 20, 22, 18, , 
2020/1/18, 51, 20, 15, 17, , 
2020/1/19, 21, 10, 21, 8, , 
2020/1/20, 37, 14, 18, 8, , 
