date, pm25, o3, no2, so2, co
2023/4/2, 87, , 33, 9, 
2023/4/3, 125, , 32, 12, 
2023/4/4, 65, , 31, 12, 
2023/4/5, 65, , , , 
2023/4/9, 87, , 33, 14, 
2023/4/10, 83, , 32, 14, 
2023/4/11, 74, , , , 
2023/4/12, 79, , , , 
2023/1/3, 136, , 30, 146, 
2023/1/4, 152, , 30, 118, 
2023/1/5, 152, , 30, 112, 
2023/1/6, 167, , 30, 102, 
2023/1/7, 163, , 31, 105, 
2023/1/8, 153, , 31, 46, 
2023/1/9, 118, , 33, 23, 
2023/1/10, 62, , 32, 16, 
2023/1/11, 31, , 32, 17, 
2023/1/12, 57, , 32, 13, 
2023/1/13, 60, , 32, 14, 
2023/1/14, 62, , 32, 17, 
2023/1/15, 76, , 32, 22, 
2023/1/16, 91, , 32, 23, 
2023/1/17, 107, , 32, 21, 
2023/1/18, 84, , 32, 39, 
2023/1/19, 109, , 32, 55, 
2023/1/20, 125, , 33, 40, 
2023/1/21, 96, , 32, 23, 
2023/1/22, 102, , 32, 20, 
2023/1/23, 92, , 32, 15, 
2023/1/24, 68, , 32, 15, 
2023/1/25, 80, , 32, 15, 
2023/1/26, 82, , 32, 16, 
2023/1/27, 85, , 32, 39, 
2023/1/28, 93, , 32, 69, 
2023/1/29, 133, , 30, 36, 
2023/1/30, 151, , 31, 29, 
2023/1/31, 131, , 32, 23, 
2023/2/1, 101, , 32, 32, 
2023/2/2, 98, , 32, 36, 
2023/2/3, 76, , 32, 21, 
2023/2/4, 54, , 31, 22, 
2023/2/5, 71, , 31, 21, 
2023/2/6, 76, , 32, 26, 
2023/2/7, 72, , 32, 23, 
2023/2/8, 74, , 30, 20, 
2023/2/9, 76, , 33, 21, 
2023/2/10, 48, , 33, 15, 
2023/2/11, 26, , 33, 22, 
2023/2/12, 54, , 32, 50, 
2023/2/13, 87, , 32, 48, 
2023/2/14, 99, , 32, 49, 
2023/2/15, 99, , 31, 39, 
2023/2/16, 110, , 32, 49, 
2023/2/17, 97, , 32, 30, 
2023/2/18, 66, , 31, 23, 
2023/2/19, 70, , 30, 45, 
2023/2/20, 111, , 31, 64, 
2023/2/21, 99, , , , 
2023/3/5, 92, , 32, 25, 
2023/3/6, 110, , 32, 21, 
2023/3/7, 103, , 33, 20, 
2023/3/8, 106, , 32, 20, 
2023/3/9, 71, , , , 
2023/3/10, 69, , 31, 17, 
2023/3/11, 81, , 31, 27, 
2023/3/12, 83, , 31, 24, 
2023/3/13, 89, , 30, 23, 
2023/3/14, 80, , 31, 21, 
2023/3/15, 74, , 33, 23, 
2023/3/16, 73, , 32, 17, 
2023/3/17, 53, , 32, 17, 
2023/3/18, 67, , 27, 20, 
2023/3/19, 74, , 33, 11, 
2023/3/20, 71, , 33, 7, 
2023/3/21, 56, , 33, 5, 
2023/3/22, 45, , , , 
2023/3/23, 24, , 33, 3, 
2023/3/24, 59, , 32, 5, 
2023/3/25, 73, , 32, 7, 
2023/3/26, 75, , 32, 9, 
2023/3/27, 89, , 32, 8, 
2023/3/28, 71, , 32, 7, 
2023/3/29, 67, , 31, 10, 
2023/3/30, 67, , 33, 8, 
2023/3/31, 72, , 32, 9, 
2023/4/1, 85, , 32, 9, 
2022/10/13, 58, , , , 
2022/10/28, 113, , , 16, 
2022/10/29, 59, , , 14, 
2022/10/30, 46, , , , 
2022/11/10, 53, , , 26, 
2022/11/11, 73, , , , 
