date, pm25, pm10, o3, no2, so2, co
2023/4/2, 69, 33, 28, 14, , 5
2023/4/3, 65, 37, 30, 11, , 4
2023/4/4, 64, 36, 30, 8, , 4
2023/4/5, 61, 42, 29, 16, , 7
2023/4/6, 78, 51, 17, 23, , 9
2023/4/7, 94, 37, 38, 15, , 9
2023/4/8, 72, 61, 41, 13, , 7
2023/4/9, 86, 35, 32, 10, , 6
2023/4/10, 53, 35, 29, 14, , 8
2023/4/11, 58, 44, 35, 20, , 9
2023/4/12, 74, , , , , 
2023/1/3, 55, 21, 28, 16, , 9
2023/1/4, 47, 28, 23, 20, , 7
2023/1/5, 57, 26, 19, 19, , 8
2023/1/6, 49, 28, 17, 19, 1, 7
2023/1/7, 50, 54, 29, 20, 1, 7
2023/1/8, 90, 51, 31, 15, 1, 7
2023/1/9, 81, 46, 19, 29, 1, 11
2023/1/10, 84, 25, 23, 14, 1, 6
2023/1/11, 47, 28, 16, 17, , 7
2023/1/12, 51, 45, 15, 27, 1, 10
2023/1/13, 71, 45, 20, 26, 1, 14
2023/1/14, 79, 43, 22, 21, 1, 10
2023/1/15, 73, 17, 20, 8, , 5
2023/1/16, 39, 25, 20, 16, 1, 8
2023/1/17, 50, 23, 21, 20, 1, 8
2023/1/18, 46, 40, 22, 22, 1, 9
2023/1/19, 70, 49, 26, 17, 1, 9
2023/1/20, 77, 47, 32, 12, 1, 6
2023/1/21, 70, 35, 33, 10, 1, 7
2023/1/22, 62, 39, 22, 14, 1, 8
2023/1/23, 78, 22, 19, 10, 1, 7
2023/1/24, 47, 37, 28, 7, 1, 6
2023/1/25, 62, 28, 26, 7, 1, 6
2023/1/26, 49, 26, 20, 14, 1, 8
2023/1/27, 49, 49, 30, 14, 1, 8
2023/1/28, 79, 47, 28, 13, 1, 7
2023/1/29, 68, 44, 27, 12, 1, 7
2023/1/30, 65, 40, 32, 20, 1, 10
2023/1/31, 63, 45, 22, 29, 1, 14
2023/2/1, 72, 50, 9, 38, 2, 18
2023/2/2, 84, 49, 24, 20, 1, 8
2023/2/3, 69, 41, 21, 16, 1, 6
2023/2/4, 60, 30, 24, 17, 1, 6
2023/2/5, 52, 20, 24, 17, 1, 7
2023/2/6, 45, 31, 16, 25, , 10
2023/2/7, 64, 33, 20, 19, , 9
2023/2/8, 58, 22, 23, 15, , 7
2023/2/9, 45, 42, 19, 26, , 11
2023/2/10, 84, 37, 20, 24, , 12
2023/2/11, 75, 34, 20, 20, , 8
2023/2/12, 62, 38, 18, 21, , 11
2023/2/13, 77, 32, 29, 16, , 10
2023/2/14, 61, 25, 28, 13, , 6
2023/2/15, 47, 43, 27, 14, , 6
2023/2/16, 59, 41, 27, 17, , 6
2023/2/17, 53, 45, 25, 25, , 9
2023/2/18, 63, 40, 24, 20, , 9
2023/2/19, 67, 50, 33, 17, , 9
2023/2/20, 102, 57, 37, 12, , 6
2023/2/21, 85, 39, 28, 14, , 5
2023/2/22, 56, 30, 24, 18, , 6
2023/2/23, 50, 21, 24, 17, , 7
2023/2/24, 40, 20, 27, 12, , 7
2023/2/25, 40, 52, 34, 14, , 7
2023/2/26, 89, 40, 32, 10, , 5
2023/2/27, 52, 30, 27, 10, , 5
2023/2/28, 46, 32, 23, 17, , 8
2023/3/1, 54, 46, 24, 18, , 9
2023/3/2, 83, 57, 40, 13, , 7
2023/3/3, 92, 42, 25, 17, , 7
2023/3/4, 57, 39, 34, 14, , 7
2023/3/5, 58, 39, 33, 17, , 8
2023/3/6, 62, 39, 30, 22, 1, 8
2023/3/7, 58, 39, 31, 23, , 7
2023/3/8, 60, 44, 36, 27, , 9
2023/3/9, 75, 45, 31, 25, 1, 8
2023/3/10, 79, 42, 34, 20, , 6
2023/3/11, 67, 33, 31, 14, , 5
2023/3/12, 55, 30, 29, 13, , 6
2023/3/13, 57, 47, 27, 12, , 5
2023/3/14, 67, 40, 21, 20, , 8
2023/3/15, 59, 43, 32, 25, 1, 11
2023/3/16, 71, 39, 22, 17, , 6
2023/3/17, 65, 50, 20, 27, , 7
2023/3/18, 86, 34, 25, 14, , 5
2023/3/19, 62, 31, 29, 13, , 6
2023/3/20, 57, 55, 20, 25, , 8
2023/3/21, 88, 51, 24, 26, , 10
2023/3/22, 88, 51, 32, 24, 1, 9
2023/3/23, 89, 38, 24, 20, , 8
2023/3/24, 66, 42, 24, 16, , 7
2023/3/25, 73, 33, 26, 15, , 5
2023/3/26, 52, 31, 26, 10, , 4
2023/3/27, 54, 47, 32, 18, , 5
2023/3/28, 70, 21, 31, 20, , 5
2023/3/29, 47, 35, 22, 27, , 9
2023/3/30, 63, 31, 33, 19, , 7
2023/3/31, 57, 33, 24, 17, , 5
2023/4/1, 54, 34, 16, 22, , 6
2022/10/2, 48, 25, 20, 8, , 7
2022/10/3, 48, 30, 12, 10, , 7
2022/10/4, 51, 36, 36, 15, 1, 9
2022/10/5, 66, 33, 23, 13, , 9
2022/10/6, 56, 30, 24, 15, , 8
2022/10/7, 45, 27, 24, 15, , 8
2022/10/8, 38, 28, 26, 16, , 8
2022/10/9, 44, 23, 28, 10, , 7
2022/10/10, 49, 45, 29, 13, , 8
2022/10/11, 67, 41, 34, 19, 1, 8
2022/10/12, 65, 26, 27, 16, , 8
2022/10/13, 48, 35, 30, 13, , 6
2022/10/14, 57, 38, 26, 15, , 7
2022/10/15, 62, 25, 28, 8, , 5
2022/10/16, 44, 18, 20, 6, , 5
2022/10/17, 31, 18, 35, 6, , 6
2022/10/18, 41, 32, 30, 13, 1, 7
2022/10/19, 59, 40, 25, 14, 1, 7
2022/10/20, 59, 42, 22, 23, 1, 9
2022/10/21, 56, 40, 19, 19, 1, 8
2022/10/22, 59, 19, 20, 9, 1, 7
2022/10/23, 35, 34, 25, 9, , 7
2022/10/24, 60, 52, 32, 12, 1, 8
2022/10/25, 67, 53, 29, 15, 1, 8
2022/10/26, 55, 46, 26, 18, 1, 9
2022/10/27, 60, 41, 19, 17, 1, 12
2022/10/28, 65, 31, 24, 14, 1, 8
2022/10/29, 55, 34, 27, 9, , 6
2022/10/30, 59, 34, 29, 7, 1, 6
2022/10/31, 64, 19, 30, 10, , 7
2022/11/1, 44, 24, 28, 13, , 8
2022/11/2, 46, 26, 29, 15, , 8
2022/11/3, 51, 23, 26, 17, 1, 9
2022/11/4, 48, 27, 30, 16, 1, 8
2022/11/5, 49, 31, 25, 12, , 7
2022/11/6, 53, 28, 23, 12, 1, 7
2022/11/7, 48, 34, 23, 17, 1, 8
2022/11/8, 56, 36, 20, 21, 1, 9
2022/11/9, 51, 33, 15, 17, , 8
2022/11/10, 35, 32, 10, 14, 1, 8
2022/11/11, 42, 32, 8, 14, 1, 9
2022/11/12, 44, 38, 24, 15, 1, 9
2022/11/13, 62, 38, 28, 10, 1, 8
2022/11/14, 64, 44, 27, 14, 1, 9
2022/11/15, 61, 44, 24, 17, 1, 9
2022/11/16, 67, 23, 23, 15, 1, 10
2022/11/17, 55, 39, 21, 20, 1, 11
2022/11/18, 70, 38, 17, 21, 1, 10
2022/11/19, 56, 33, 23, 13, 1, 8
2022/11/20, 55, 30, 22, 12, 1, 7
2022/11/21, 47, 36, 24, 17, 1, 8
2022/11/22, 55, 39, 23, 20, 2, 9
2022/11/23, 68, 27, 21, 16, 1, 9
2022/11/24, 48, 20, 26, 17, 1, 8
2022/11/25, 46, 21, 22, 20, 1, 10
2022/11/26, 42, 28, 22, 16, 1, 9
2022/11/27, 50, 31, 23, 14, 1, 10
2022/11/28, 58, 44, 26, 26, 1, 12
2022/11/29, 78, 44, 22, 21, 1, 13
2022/11/30, 77, 19, 22, 11, 1, 7
2022/12/1, 40, 17, 20, 14, 1, 8
2022/12/2, 31, 16, 23, 13, 1, 8
2022/12/3, 28, 21, 16, 12, 1, 9
2022/12/4, 30, 19, 17, 10, 1, 9
2022/12/5, 34, 16, 21, 11, 1, 9
2022/12/6, 31, 28, 20, 17, 1, 8
2022/12/7, 50, 24, 22, 14, 1, 9
2022/12/8, 48, 22, 26, 13, 1, 9
2022/12/9, 42, 21, 24, 16, 1, 10
2022/12/10, 46, 25, 29, 9, 1, 8
2022/12/11, 44, 22, 24, 9, 1, 9
2022/12/12, 51, 28, 29, 14, , 7
2022/12/13, 54, 40, 29, 19, , 6
2022/12/14, 74, 28, 30, 15, , 5
2022/12/15, 59, 16, 26, 19, , 6
2022/12/16, 35, 17, 20, 18, , 8
2022/12/17, 34, 28, 26, 12, , 5
2022/12/18, 54, 42, 22, 10, , 4
2022/12/19, 59, 38, 18, 18, , 7
2022/12/20, 54, 35, 20, 18, , 8
2022/12/21, 48, 39, 14, 23, , 10
2022/12/22, 64, 47, 26, 22, 1, 12
2022/12/23, 71, 47, 24, 19, 1, 10
2022/12/24, 71, 35, 26, 16, , 9
2022/12/25, 56, 34, 27, 13, , 7
2022/12/26, 60, 38, 17, 20, , 10
2022/12/27, 58, 40, 17, 22, 1, 7
2022/12/28, 60, 37, 24, 21, , 8
2022/12/29, 75, 34, 27, 19, , 9
2022/12/30, 67, 20, 26, 18, , 9
2022/12/31, 37, 27, 27, 13, , 8
2023/1/1, 56, 24, 26, 9, , 7
2023/1/2, 49, 26, 32, 13, , 7
2022/7/2, 22, 22, 16, 12, , 4
2022/7/3, 40, 25, 23, 10, , 5
2022/7/4, 44, 29, 17, 17, , 7
2022/7/5, 54, 27, 14, 13, , 6
2022/7/6, 42, 29, 25, 15, , 10
2022/7/7, 45, 35, 27, 16, , 9
2022/7/8, 60, 31, 25, 19, , 8
2022/7/9, 53, 32, 41, 14, , 7
2022/7/10, 57, 28, 33, 11, , 6
2022/7/11, 52, 30, 40, 15, , 8
2022/7/12, 55, 30, 30, 15, , 7
2022/7/13, 55, 22, 27, 14, 2, 7
2022/7/14, 47, 27, 36, 19, 1, 8
2022/7/15, 49, 27, 20, 17, , 8
2022/7/16, 45, 27, 30, 13, , 7
2022/7/17, 45, 25, 26, 11, , 7
2022/7/18, 46, 31, 32, 14, , 13
2022/7/19, 59, 35, 29, 16, , 14
2022/7/20, 58, 33, 29, 15, , 14
2022/7/21, 49, 31, 31, 17, , 10
2022/7/22, 54, 33, 47, 19, , 15
2022/7/23, 61, 33, 44, 15, , 9
2022/7/24, 65, 30, 45, 11, , 8
2022/7/25, 61, 36, 44, 14, , 10
2022/7/26, 69, 32, 36, 16, , 9
2022/7/27, 67, 30, 25, 16, 1, 9
2022/7/28, 56, 33, 42, 16, , 8
2022/7/29, 66, 30, 22, 13, , 5
2022/7/30, 59, 19, 9, 7, , 3
2022/7/31, 33, 23, 29, 8, , 4
