date, pm25, pm10, o3, no2, so2, co
2023/4/2, 19, 27, 44, , , 
2023/4/3, 24, 29, 36, , , 
2023/4/4, 16, 71, 35, , , 
2023/4/5, 55, 21, 41, , , 
2023/4/6, 17, 28, 39, , , 
2023/4/7, 23, 28, 38, , , 
2023/4/8, 22, 26, 40, , , 
2023/4/9, 19, 22, 40, , , 
2023/4/10, 31, 29, 42, , , 
2023/4/11, 43, 32, 17, , , 
2023/4/12, 26, , , , , 
2023/1/3, 20, 13, 30, , , 
2023/1/4, 20, 15, 29, , , 
2023/1/5, 23, 18, 20, , , 
2023/1/6, 22, 19, 24, , , 
2023/1/7, 20, 21, 22, , , 
2023/1/8, 27, 15, 31, , , 
2023/1/9, 27, 25, 29, , , 
2023/1/10, 21, 27, 26, , , 
2023/1/11, 24, 20, 30, , , 
2023/1/13, 11, 25, 34, , , 
2023/1/14, 25, 31, 26, , , 
2023/1/15, 33, 12, 28, , , 
2023/1/16, 20, 6, 24, , , 
2023/1/17, 16, 8, 33, , , 
2023/1/18, 19, 20, 32, , , 
2023/1/19, 21, 16, 32, , , 
2023/1/20, 13, 16, 33, , , 
2023/1/21, 25, 14, 30, , , 
2023/1/22, 27, 11, 33, , , 
2023/1/23, 24, 7, 34, , , 
2023/1/24, 11, 15, 33, , , 
2023/1/25, 24, 22, 31, , , 
2023/1/26, 21, 18, 32, , , 
2023/1/27, 20, 21, 30, , , 
2023/1/28, 34, 26, 34, , , 
2023/1/29, 36, 24, 38, , , 
2023/1/30, 23, 31, 32, , , 
2023/1/31, 30, 22, 34, , , 
2023/2/1, 23, 21, 30, , , 
2023/2/2, 21, 24, 33, , , 
2023/2/3, 21, 30, 35, , , 
2023/2/4, 28, 25, 37, , , 
2023/2/5, 22, 25, 37, , , 
2023/2/6, 21, 35, 36, , , 
2023/2/7, 24, 26, 33, , , 
2023/2/8, 15, 22, 34, , , 
2023/2/9, 21, 30, 37, , , 
2023/2/10, 22, 26, 37, , , 
2023/2/11, 19, 32, 36, , , 
2023/2/12, 22, 31, 40, , , 
2023/2/13, 27, 14, 35, , , 
