date, pm25, pm10, o3, no2, so2, co
2022/10/2, 30, 44, 12, , 3, 2
2022/10/3, 31, 86, 17, , 3, 5
2022/10/4, 68, 103, 14, , 11, 7
2022/10/5, 93, 104, 13, , 16, 7
2022/10/6, 90, 107, 14, , 14, 9
2022/10/7, 91, 96, 16, , 10, 7
2022/10/8, 102, 60, 19, , 4, 3
2022/7/2, 80, 126, 45, , 1, 3
2022/7/3, 96, 127, 36, , 1, 4
2022/7/4, 60, 72, 15, , 1, 4
2022/7/5, 32, 84, 31, , 1, 4
2022/7/6, 39, 159, 25, , 1, 4
2022/7/7, 52, 109, 28, , 2, 2
2022/7/8, 35, 113, 21, , 1, 12
2022/7/9, 60, 187, 26, , 1, 18
2022/7/10, 48, 100, 29, , 1, 2
2022/7/11, 35, 41, 30, , , 3
2022/7/12, 24, 33, 19, , 1, 1
2022/7/13, 17, 69, 29, , 1, 1
2022/7/14, 37, 60, 31, , 1, 1
2022/7/15, 39, 29, 23, , 1, 1
2022/7/16, 30, 29, 22, , 2, 2
2022/7/17, 33, 64, 30, , 1, 2
2022/7/18, 45, 47, 36, , 2, 2
2022/7/19, 33, 60, 41, , 1, 1
2022/7/20, 45, 67, 38, , 1, 4
2022/7/21, 34, 50, 21, , 1, 5
2022/7/22, 37, 19, 16, , 1, 2
2022/7/23, 27, 24, 19, , , 
2022/7/24, 20, 76, 24, , , 3
2022/7/25, 28, 75, 22, , 1, 9
2022/7/26, 34, 59, 17, , 1, 11
2022/7/27, 30, 35, 23, , 1, 3
2022/7/28, 20, 33, 9, , 2, 4
2022/7/29, 50, 29, 23, , 1, 4
2022/7/30, 28, 28, 29, , 1, 5
2022/7/31, 18, 54, 32, , 1, 3
2022/8/1, 36, 73, 26, , 1, 1
2022/8/2, 42, 116, 29, , 1, 2
2022/8/3, 46, 104, 11, , 1, 2
2022/8/9, 55, , , , , 
2022/9/29, 48, 76, 16, , 5, 4
2022/9/30, 46, 53, 20, , 2, 3
2022/10/1, 41, 110, 14, , 2, 4
2022/4/2, 106, 100, 27, , 17, 8
2022/4/3, 97, 104, 29, , 17, 10
2022/4/4, 100, 124, 31, , 13, 16
2022/4/5, 81, 66, 28, , 17, 5
2022/4/6, 64, 104, 26, , 14, 5
2022/4/7, 94, 111, 27, , 20, 8
2022/4/8, 102, 97, 31, , 14, 4
2022/4/9, 92, 365, 33, , 9, 5
2022/4/10, 107, 42, 26, , 8, 4
2022/4/11, 59, 44, 32, , 6, 5
2022/4/12, 38, 59, 27, , 9, 7
2022/4/13, 80, , 23, , 10, 9
2022/4/14, 80, 27, 31, , 10, 16
2022/4/15, 84, 75, 28, , 10, 12
2022/4/16, 85, 66, 29, , 11, 8
2022/4/17, 62, 75, 32, , 11, 10
2022/4/18, 82, 85, 27, , 17, 9
