date, pm25, pm10, o3, no2, so2, co
2023/4/2, 40, 8, 22, 2, , 
2023/4/3, 29, 5, 32, 3, , 
2023/4/4, 13, 9, 29, 5, , 
2023/4/5, 24, 25, 27, 16, , 
2023/4/6, 61, 12, 28, 5, , 
2023/4/7, 37, 16, 20, 5, , 
2023/4/8, 49, 12, 33, 2, , 
2023/4/9, 43, 13, 32, 4, , 
2023/4/10, 44, 15, 36, 6, , 
2023/4/11, 47, 19, 39, 9, , 
2023/4/12, 55, , , , , 
2023/1/3, 55, 11, 21, 7, , 
2023/1/4, 36, 16, 19, 9, , 
2023/1/5, 53, 3, 19, 4, , 
2023/1/6, 12, 10, 23, 2, , 
2023/1/7, 39, 22, 12, 8, , 
2023/1/8, 66, 19, 16, 2, , 
2023/1/9, 64, 21, 10, 7, , 
2023/1/10, 69, 25, 8, 11, , 
2023/1/11, 72, 21, 15, 7, , 
2023/1/12, 60, 15, 16, 8, , 
2023/1/13, 55, 10, 18, 8, , 
2023/1/14, 38, 10, 19, 5, , 
2023/1/15, 37, 7, 23, 3, , 
2023/1/16, 30, 11, 19, 7, , 
2023/1/17, 43, 15, 17, 8, , 
2023/1/18, 52, 16, 15, 9, , 
2023/1/19, 55, 17, 11, 10, , 
2023/1/20, 61, 15, 23, 9, , 
2023/1/21, 57, 8, 21, 4, , 
2023/1/22, 32, 15, 11, 3, , 
2023/1/23, 56, 21, 8, 7, , 
2023/1/24, 66, 26, 13, 8, , 
2023/1/25, 75, 20, 21, 7, , 
2023/1/26, 64, 23, 18, 7, , 
2023/1/27, 72, 30, 14, 9, , 
2023/1/28, 84, 14, 22, 7, , 
2023/1/29, 52, 14, 23, 3, , 
2023/1/30, 52, 12, 21, 5, , 
2023/1/31, 50, 8, 23, 6, , 
2023/2/1, 30, 5, 26, 3, , 
2023/2/2, 22, 5, 22, 6, , 
2023/2/3, 22, 8, 21, 6, , 
2023/2/4, 31, 7, 21, 4, , 
2023/2/5, 28, 10, 21, 6, , 
2023/2/6, 36, 49, 8, 25, , 
2023/2/7, 128, 29, 16, 16, , 
