date, pm25, pm10, o3, no2, so2, co
2023/4/2, 32, 3, 13, , 17, 
2023/4/3, 25, 4, 12, , 15, 
2023/4/4, 17, 4, 13, , 20, 
2023/4/5, 26, 3, 15, , 19, 
2023/4/6, 17, 4, 14, , 20, 
2023/4/7, 17, 3, 13, 1, 17, 
2023/4/8, 18, 3, 12, 1, 10, 
2023/4/9, 23, 4, 11, , 14, 
2023/4/10, 37, 4, 13, , 14, 
2023/4/11, 31, 4, 5, 2, 31, 
2023/4/12, 32, , , , , 
2023/1/3, 40, 4, 4, 3, 16, 
2023/1/4, 80, 5, 1, 3, 13, 
2023/1/5, 97, 4, 4, 3, 13, 
2023/1/6, 78, 4, 7, 1, 22, 
2023/1/7, 60, 3, 9, , 25, 
2023/1/8, 47, 3, 7, 2, 20, 
2023/1/9, 45, 3, 6, 2, 24, 
2023/1/10, 60, 3, 9, , 23, 
2023/1/11, 59, 4, 8, , 22, 
2023/1/12, 62, 3, 11, , 24, 
2023/1/13, 20, 1, 9, , 26, 
2023/1/14, 22, 3, 8, 1, 20, 
2023/1/15, 40, 4, 7, 1, 22, 
2023/1/16, 60, 3, 9, , 21, 
2023/1/17, 39, 3, 9, , 25, 
2023/1/18, 18, 3, 8, , 15, 
2023/1/19, 19, 3, 7, 1, 21, 
2023/1/20, 19, 3, 8, 1, 21, 
2023/1/21, 26, 3, 9, 1, 21, 
2023/1/22, 38, 2, 10, 1, 21, 
2023/1/23, 56, 3, 10, , 20, 
2023/1/24, 32, 3, 8, , 21, 
2023/1/25, 16, 3, 7, 1, 23, 
2023/1/26, 19, 2, 9, 1, 21, 
2023/1/27, 35, 4, 10, , 25, 
2023/1/28, 19, 3, 9, , 25, 
2023/1/29, 17, 3, 10, , 19, 
2023/1/30, 19, 2, 9, , 23, 
2023/1/31, 15, 3, 3, 1, 20, 
2023/2/1, 27, 3, 8, 2, 7, 
2023/2/2, 39, 3, 6, , 25, 
2023/2/3, 18, 1, 7, , 23, 
2023/2/4, 18, 3, 5, 1, 18, 
2023/2/5, 35, 3, 8, , 21, 
2023/2/6, 32, 3, 7, , 19, 
2023/2/7, 28, 3, 4, 1, 19, 
2023/2/8, 22, 3, 6, 2, 6, 
2023/2/9, 40, 3, 6, , 21, 
2023/2/10, 19, 2, 6, , 18, 
2023/2/11, 23, 3, 5, , 18, 
2023/2/12, 20, 2, 6, , 17, 
2023/2/13, 23, 2, 5, 1, 21, 
2023/2/14, 27, 3, 6, 2, 17, 
2023/2/15, 24, 3, 5, , 14, 
2023/2/16, 15, 3, 6, 1, 20, 
2023/2/17, 20, 3, 7, , 13, 
2023/2/18, 27, 3, 7, , 13, 
2023/2/19, 28, 2, 5, , 22, 
2023/2/20, 19, 3, 6, , 13, 
2023/2/21, 15, 4, 6, 1, 22, 
2023/2/22, 27, 3, 6, , 20, 
2023/2/23, 18, 3, 6, , 19, 
2023/2/24, 16, 2, 6, , 21, 
2023/2/25, 26, 2, 7, , 6, 
2023/2/26, 25, 2, 6, 1, 20, 
2023/2/27, 28, 3, 8, , 20, 
2023/2/28, 29, 3, 7, , 19, 
2023/3/1, 32, 4, 5, , 22, 
2023/3/2, 21, 3, 7, , 26, 
