date, pm10, o3, no2, so2
2023/4/2, 6, 30, 4, 
2023/4/3, 3, 30, 7, 
2023/4/4, 6, 35, 7, 
2023/4/5, 10, 37, 10, 
2023/4/6, 15, 38, 18, 
2023/4/7, 16, 31, 11, 
2023/4/8, 12, 28, 9, 
2023/4/9, 7, 35, 7, 
2023/4/10, 13, 37, 8, 
2023/4/11, 11, 37, 6, 
2023/4/12, 9, , , 
2023/1/3, 13, 26, 14, 
2023/1/4, 9, 27, 13, 
2023/1/5, 10, 26, 4, 
2023/1/6, 6, 15, 11, 
2023/1/7, 9, 22, 10, 
2023/1/8, 10, 20, 10, 
2023/1/9, 10, 32, 10, 
2023/1/10, 8, 27, 5, 
2023/1/11, 5, 25, 10, 
2023/1/12, 7, 27, 8, 
2023/1/13, 7, 30, 7, 
2023/1/14, 6, 28, 6, 
2023/1/15, 6, 30, 7, 
2023/1/16, 6, 28, 8, 
2023/1/17, 6, 28, 12, 
2023/1/18, 7, 25, 20, 
2023/1/19, 10, 23, 15, 
2023/1/20, 13, 20, 20, 
2023/1/21, 18, 17, 21, 
2023/1/22, 23, 17, 12, 
2023/1/23, 15, 17, 9, 
2023/1/24, 18, 12, 12, 
2023/1/25, 21, 13, 13, 
2023/1/26, 20, 18, 12, 
2023/1/27, 20, 15, 12, 
2023/1/28, 19, 10, 11, 
2023/1/29, 17, 16, 9, 
2023/1/30, 17, 21, 10, 
2023/1/31, 20, 22, 15, 
2023/2/1, 19, 29, 13, 
2023/2/2, 20, 28, 6, 
2023/2/3, 11, 29, 6, 
2023/2/4, 9, 25, 8, 
2023/2/5, 7, 15, 16, 
2023/2/6, 12, 20, 11, 
2023/2/7, 13, 17, 10, 
2023/2/8, 19, 15, 15, 
2023/2/9, 26, 23, 21, 
2023/2/10, 29, 22, 22, 
2023/2/11, 28, 19, 11, 
2023/2/15, 32, 16, 20, 
2023/2/16, 27, 23, 25, 
2023/2/17, 27, 26, 23, 
2023/2/18, 22, 26, 17, 
2023/2/19, 15, 26, 9, 
2023/2/20, 8, 23, 11, 
2023/2/21, 9, 21, 21, 
2023/2/22, 15, 25, 22, 
2023/2/23, 22, 26, 14, 
2023/2/24, 23, 27, 19, 
2023/2/25, 26, 24, 11, 
2023/2/26, 20, 28, 8, 
2023/2/27, 8, 26, 5, 
2023/2/28, 9, 22, 8, 
2023/3/1, 14, 20, 10, 
2023/3/2, 23, 16, 13, 
2023/3/3, 31, 19, 20, 
2023/3/4, 39, 25, 18, 
2023/3/5, 46, 29, 12, 
2023/3/6, 39, 22, 16, 
2023/3/7, 26, 31, 12, 
2023/3/8, 17, 27, 10, 
2023/3/9, 17, 35, 7, 
2023/3/10, 7, 34, 6, 
2023/3/11, 6, 27, 7, 
2023/3/12, 5, 26, 9, 
2023/3/13, 7, 29, 8, 
2023/3/14, 5, 33, 9, 
2023/3/15, 5, 32, 7, 
2023/3/16, 4, 30, 19, 
2023/3/17, 8, 31, 23, 
2023/3/18, 12, 38, 21, 
2023/3/19, 14, 39, 11, 
2023/3/20, 11, 29, 9, 
2023/3/21, 9, 27, 16, 
2023/3/22, 9, 35, 16, 
2023/3/23, 12, 32, 13, 
2023/3/24, 10, 36, 11, 
2023/3/25, 10, 34, 5, 
2023/3/26, 5, 36, 4, 
2023/3/27, 4, 32, 6, 
2023/3/28, 4, 38, 11, 
2023/3/29, 7, 33, 10, 
2023/3/30, 9, 37, 11, 
2023/3/31, 17, 35, 9, 
2023/4/1, 16, 34, 4, 
2022/10/2, 11, 24, 4, 
2022/10/3, 6, 27, 6, 
2022/10/4, 6, 17, 14, 
2022/10/5, 12, 27, 14, 
2022/10/6, 14, 30, 16, 
2022/10/7, 13, 28, 16, 
2022/10/8, 18, 22, 13, 
2022/10/9, 19, 20, 11, 
2022/10/10, 13, 21, 9, 
2022/10/11, 14, 24, 12, 
2022/10/12, 15, 14, 12, 
