name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Addis Ababa, Ethiopia",2022-01-01,25.4,9,16.8,25.4,7.5,16.6,7.8,59.8,0,0,0,,,,,10.8,63.7,,63.3,,264.4,22.7,9,,2022-01-01T06:40:16,2022-01-01T18:16:44,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Addis Ababa, Ethiopia",2022-01-02,25.4,12.4,18.5,25.4,12.4,18.5,9.8,60.1,0.1,100,4.17,rain,,,,10.4,112.5,,79.2,,254,22.1,9,,2022-01-02T06:40:40,2022-01-02T18:17:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
"Addis Ababa, Ethiopia",2022-01-03,23.5,12.4,16.9,23.5,12.4,16.9,11.1,71.5,0.6,100,25,rain,0,0,,20.9,80.3,1004.8,93.9,30,247.8,21.6,9,,2022-01-03T06:41:04,2022-01-03T18:17:48,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"63451099999,remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-04,25.4,12.8,17.4,25.4,12.8,17.4,12.5,76.7,3.2,100,70.83,rain,0,0,,28.8,79.4,1014.9,88.5,30,251.4,21.8,9,,2022-01-04T06:41:27,2022-01-04T18:18:20,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-05,24,13.2,17.3,24,13.2,17.3,11.7,73.2,2.4,100,54.17,rain,0,0,,28.5,83.6,1013.2,66.5,30,269,23.2,9,,2022-01-05T06:41:49,2022-01-05T18:18:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"63451099999,remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-06,25.5,13.1,18.1,25.5,13.1,18.1,11.4,70.4,0.8,100,12.5,rain,0,0,,19.8,83.4,1020.7,38.8,30,280.6,24.2,10,,2022-01-06T06:42:11,2022-01-06T18:19:23,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"HAAB,remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-07,25.9,11.9,18,25.9,11.9,18,11.5,69.9,0,0,0,,0,0,,28.8,76.2,1012.9,66.6,30,268.3,23.3,9,,2022-01-07T06:42:31,2022-01-07T18:19:55,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63451099999,remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-08,27.1,12.9,17.4,26.7,12.9,17.4,12.1,75.3,0,0,0,,0,0,,24.1,76.3,1010.1,30,30,274.9,23.8,10,,2022-01-08T06:42:51,2022-01-08T18:20:26,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63451099999,remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-09,22,12.4,16.4,22,12.4,16.4,12,78,0,0,0,,0,0,,27.7,73.3,1015.1,60.3,30,226.5,19.6,8,,2022-01-09T06:43:10,2022-01-09T18:20:57,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-10,25.2,11.1,16.6,25.2,11.1,16.6,8.5,64.2,0,0,0,,0,0,20.5,21.7,87.7,1014,34.4,24,298.5,25.8,10,10,2022-01-10T06:43:29,2022-01-10T18:21:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63451099999,HAAB,remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-11,22.6,12.7,16.5,22.6,12.7,16.5,6.8,54.9,1.4,100,20.83,rain,0,0,15.1,18.4,103,1015.6,50.5,24.1,245.4,21.9,8,10,2022-01-11T06:43:46,2022-01-11T18:21:59,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,63450099999"
"Addis Ababa, Ethiopia",2022-01-12,21.8,11,15.5,21.8,11,15.5,5.6,53.4,0,0,0,,0,0,16.9,21.6,102.6,1017.4,79.5,24.1,226.3,19.5,8,10,2022-01-12T06:44:03,2022-01-12T18:22:29,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Addis Ababa, Ethiopia",2022-01-13,23.1,11,16.1,23.1,11,16.1,2.5,42.6,0,0,0,,0,0,22.3,22,116.1,1016.6,58.9,24.1,291.9,25.2,8,10,2022-01-13T06:44:18,2022-01-13T18:22:59,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Addis Ababa, Ethiopia",2022-01-14,22.2,11.8,16.5,22.2,11.8,16.5,3.4,43.3,0.7,100,12.5,rain,0,0,13,12.6,341.1,1015.9,88.6,23.5,216.7,19.4,8,10,2022-01-14T06:44:33,2022-01-14T18:23:29,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
"Addis Ababa, Ethiopia",2022-01-15,20.9,12.8,16.4,20.9,12.8,16.4,6.7,54.6,1.5,100,41.67,rain,0,0,13,12.6,129.7,1015.3,71.2,23.7,206.2,18.2,7,10,2022-01-15T06:44:47,2022-01-15T18:23:58,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Addis Ababa, Ethiopia",2022-01-16,26.2,12.9,17.4,26.2,12.9,17.4,6.7,50.7,0.4,100,8.33,rain,0,0,15.1,32.4,136.3,1013.5,67.7,25.1,211.1,18.7,8,10,2022-01-16T06:45:00,2022-01-16T18:24:27,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63451099999,remote,63450099999"
