name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Adelaide, SA 5000, Australia",2022-01-01,30,23.1,26.5,28.8,23.1,26.1,10.8,38,0,0,0,,0,0,,18,200.3,1007.1,60.1,19.2,194.5,16.7,6,,2022-01-01T06:05:17,2022-01-01T20:32:34,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-02,26.7,15.4,22.6,27.1,15.4,22.6,14.3,60.1,0,0,0,,0,0,,25.6,203.3,1009,4.7,19.2,358.8,31.2,10,,2022-01-02T06:06:03,2022-01-02T20:32:43,0.98,Clear,Clear conditions throughout the day.,clear-day,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-03,23.5,13.5,17.7,23.5,13.5,17.7,9.3,59.9,0,0,0,,0,0,,26.1,146.6,1013.4,5.1,17.9,354.3,30.6,10,,2022-01-03T06:06:49,2022-01-03T20:32:51,0,Clear,Clear conditions throughout the day.,clear-day,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-04,21.7,13.2,16.8,21.7,13.2,16.8,8.5,59.9,0,0,0,,0,0,,25.9,148.3,1014.4,12.4,17.3,361.2,31.3,10,,2022-01-04T06:07:37,2022-01-04T20:32:57,0.04,Clear,Clear conditions throughout the day.,clear-day,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-05,18.8,13.3,16,18.8,13.3,16,11.6,75.6,1.26,100,8.33,rain,0,0,,25.6,176.5,1013.5,46.1,13.8,182.9,15.7,9,,2022-01-05T06:08:27,2022-01-05T20:33:01,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-06,19.4,15.3,17.1,19.4,15.3,17.1,14.9,86.7,2.55,100,12.5,rain,0,0,,26,228.8,1009.6,59.2,13.1,159.8,13.8,5,,2022-01-06T06:09:17,2022-01-06T20:33:03,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-07,18.8,15.6,16.9,18.8,15.6,16.9,14.6,86.4,2.648,100,16.67,rain,0,0,,27.6,217.2,1013.1,65.6,11.3,149.3,12.9,6,,2022-01-07T06:10:08,2022-01-07T20:33:03,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-08,21,14.4,17.4,21,14.4,17.4,13.6,78.6,0.728,100,8.33,rain,0,0,,23.2,174.4,1015.1,49.7,15.5,180.9,15.8,5,,2022-01-08T06:11:01,2022-01-08T20:33:02,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-09,28.7,12.2,20.9,27.6,12.2,20.6,10.7,58.3,0,0,0,,0,0,,16.1,228.6,1012.9,3.3,20.4,376.8,32.6,10,,2022-01-09T06:11:54,2022-01-09T20:32:58,0.21,Clear,Clear conditions throughout the day.,clear-day,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
"Adelaide, SA 5000, Australia",2022-01-10,34,21.4,28.2,31.8,21.4,27.2,8,29,0,0,0,,0,0,52.6,29.8,105.2,1011.9,49.2,20,276.5,24,9,10,2022-01-10T06:12:48,2022-01-10T20:32:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D0156,94683099999,95676099999,94808099999,95678099999,94672099999,95677099999"
