name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-01,28.5,7,13.3,32.3,6.2,13.4,11.2,87.8,0,0,0,,0,0,,38.9,37.7,1027.6,49.9,4.4,133.6,11.6,5,,2022-01-01T08:00:34,2022-01-01T17:42:16,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60390099999,60371099999,60415099999,9V8207,60381099999,60437099999,60369099999,DAAG,remote,60372099999,60374099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-02,17,7,11.5,17,6.2,11.4,10.3,92.6,0,0,0,,0,0,,10.2,359.3,1029.1,68.1,1.6,134.5,11.7,5,,2022-01-02T08:00:43,2022-01-02T17:43:03,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60390099999,60371099999,60415099999,9V8207,60381099999,60437099999,60369099999,DAAG,60372099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-03,28.9,6,11.8,31.4,6,11.8,10.5,92,0,0,0,,0,0,,22.3,83.5,1026.2,70.9,1.9,133.9,11.6,5,,2022-01-03T08:00:50,2022-01-03T17:43:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60390099999,60371099999,60415099999,9V8207,60381099999,60437099999,60369099999,DAAG,60372099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-04,19.7,3,12.4,19.7,1.7,12.3,8.4,79.1,0,0,0,,0,0,,20.9,214.7,1017.2,33.2,4.9,137.6,11.9,6,,2022-01-04T08:00:55,2022-01-04T17:44:42,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60390099999,60371099999,60415099999,9V8207,60381099999,60437099999,60369099999,DAAG,remote,60372099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-05,27,8.2,14.1,30.1,5.3,13.9,7.4,64.9,2.375,100,8.33,rain,0,0,63,42.5,261.6,1014.7,58.9,10.4,90.2,7.7,4,,2022-01-05T08:00:58,2022-01-05T17:45:34,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"60390099999,60371099999,9V8207,60415099999,60381099999,60437099999,60369099999,DAAG,remote,60372099999,60394099999,60374099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-06,12.7,7.8,9.6,12.7,5.7,8.9,7.3,86,4.466,100,12.5,rain,0,0,,15.2,210.9,1016.5,72.6,9.4,70.3,6,3,,2022-01-06T08:00:59,2022-01-06T17:46:26,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60390099999,60371099999,9V8207,60381099999,60437099999,60369099999,remote,60394099999,60374099999,60415099999,DAAG,60376099999,60372099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-07,13.3,5,9,13.3,2.4,8.2,4.8,76.6,6.813,100,4.17,rain,0,0,,16.6,266,1023.6,44.4,10.1,117.2,10.1,5,,2022-01-07T08:00:58,2022-01-07T17:47:20,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60390099999,60371099999,9V8207,60415099999,60381099999,60437099999,60369099999,DAAG,60372099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-08,15,4,10.1,15,2.8,9.5,5.5,74.5,0,0,0,,0,0,,31.7,237.9,1026.1,42.3,10.1,65.1,5.7,3,,2022-01-08T08:00:55,2022-01-08T17:48:15,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60390099999,60371099999,9V8207,60415099999,60381099999,60437099999,60369099999,DAAG,60372099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-09,18,7.3,12.5,18,4.8,11.8,6,65.9,0,0,0,,0,0,66.6,44.6,242.7,1019.9,54.4,10.6,133.8,11.6,5,,2022-01-09T08:00:50,2022-01-09T17:49:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60390099999,60371099999,9V8207,60415099999,60381099999,60437099999,60369099999,DAAG,remote,60372099999,60394099999"
Ø§ÙØ¬Ø²Ø§Ø¦Ø±,2022-01-10,17,12,14.9,17,12,14.9,9.9,72.7,0.312,100,4.17,rain,0,0,64.8,44.6,251.2,1015.3,74.5,9.8,80.1,6.9,3,10,2022-01-10T08:00:43,2022-01-10T17:50:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60390099999,60371099999,9V8207,60415099999,60381099999,60437099999,60369099999,DAAG,60372099999,60394099999"
