name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Alice Springs, NT 0870, Australia",2022-01-01,40,23.4,32.4,37.7,23.4,31.4,11.8,32,0,0,0,,0,0,,27.7,288.3,1004.4,68.8,10,355,30.9,10,,2022-01-01T05:50:50,2022-01-01T19:24:51,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-02,42,23.1,33.5,39,23.1,31.8,6.5,21.3,0,0,0,,0,0,40.7,22.5,215.3,1005.1,21.2,10,381,32.8,10,,2022-01-02T05:51:29,2022-01-02T19:25:08,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-03,40.1,23.2,32.8,37,23.2,31,4.1,18.5,0,0,0,,0,0,50,35.3,123.5,1007,6.6,10,380.5,32.7,10,,2022-01-03T05:52:08,2022-01-03T19:25:24,0,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-04,39.8,22,32.3,37.5,22,30.7,5.1,19.4,0,0,0,,0,0,,25.9,138.6,1008.6,7.9,10,357.8,31,10,,2022-01-04T05:52:48,2022-01-04T19:25:38,0.04,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-05,36.8,21.1,30.2,34.2,21.1,28.6,1.4,16.6,0,0,0,,0,0,,24.1,139.4,1009.4,0.1,10,382.4,33,10,,2022-01-05T05:53:29,2022-01-05T19:25:51,0.08,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-06,34.8,20.2,28.2,32.3,20.2,27,3.7,22.2,0,0,0,,0,0,,22.3,141.2,1009.2,0,10,382.9,33.1,10,,2022-01-06T05:54:10,2022-01-06T19:26:02,0.11,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-07,34.8,17,26.8,32.3,17,25.8,2.4,22.4,0,0,0,,0,0,,22.2,122.5,1010.8,0,9.8,387,33.6,10,,2022-01-07T05:54:52,2022-01-07T19:26:13,0.14,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-08,35,16.9,27.5,32.5,16.9,26.3,3,22.2,0,0,0,,0,0,,25.8,120,1010.4,0,10,385,33.4,10,,2022-01-08T05:55:34,2022-01-08T19:26:21,0.18,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-09,40,18,30.6,37.2,18,29,2.5,18.7,0,0,0,,0,0,,20.5,100,1008.5,0,10,380.2,32.8,10,,2022-01-09T05:56:16,2022-01-09T19:26:29,0.21,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-10,42,22.9,33.8,38.8,22.9,31.8,1.3,13.9,0,0,0,,0,0,50.8,20.5,103.1,1008.7,0.1,10,378.4,32.6,10,10,2022-01-10T05:56:59,2022-01-10T19:26:35,0.25,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-11,41.1,21.1,33.2,37.9,21.1,31.2,1.4,14.6,0,0,0,,0,0,52.9,32.2,120.4,1010.2,1.4,10,385.2,33.4,10,10,2022-01-11T05:57:42,2022-01-11T19:26:40,0.27,Clear,Clear conditions throughout the day.,clear-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-12,41.1,27,35.1,38.4,26.1,33,5.1,16.2,0,0,0,,0,0,61.2,31.7,123.5,1010,28.1,9.8,363.2,31.5,10,10,2022-01-12T05:58:25,2022-01-12T19:26:43,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YBAS,94326099999"
"Alice Springs, NT 0870, Australia",2022-01-13,42.1,28.8,35.3,39.7,27.8,33.3,5.7,17.1,0,0,0,,0,0,48.2,22.3,115.9,1008.6,38,10,356.3,31,10,10,2022-01-13T05:59:09,2022-01-13T19:26:45,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YBAS,94326099999"
